abé	a β e
basthardha	b a ɬ t a ɮ d a
basthardha	b a ɬ t a ɮ a
basthardha	b a ɬ a ɮ d a
basthardha	b a ɬ a ɮ a
basthardha	b a ɬː a ɮː a
basthardhi	b a ɬ t a ɮ d i
basthardhi	b a ɬ t a ɮ i
basthardhi	b a ɬ a ɮ d i
basthardhi	b a ɬ a ɮ i
basthardhi	b a ɬː a ɮː i
basthardhu	b a ɬ t a ɮ d u
basthardhu	b a ɬ t a ɮ u
basthardhu	b a ɬ a ɮ d u
basthardhu	b a ɬ a ɮ u
basthardhu	b a ɬː a ɮː u
dubé	d u β e
ischoràsthigga	i x x o r a ɬ ɬ i ɡ ɡ a
ischoràsthigghi	i x x o r a ɬ ɬ i ɡ ɡ i
ischoràsthiggu	i x x o r a ɬ ɬ i ɡ ɡ u
ischumpassi	i x x u m p a s s i
ischumpassu	i x x u m p a s s u
isthaddiari	i ɬ t a d d j aː ɾ i
isthagioni	i ɬ t aˑ d͡ʒ ɔː n i
isthasgioni	i ɬ t aˑ ʒ ʒ ɔː n i
isthasgioni	i ɬ t aˑ ʒ ɔː n i
isthazioni	i ɬː a t s j o n i
isthazioni	i ɬ t a t s j o n i
isthii	i ɬː i i
isthii	i ɬ t i i
labagna	l a β a ɲ ɲ a
labagni	l a β a ɲ ɲ i
nosthra	n ɔ ɬ t r a
nosthra	n ɔ ɬ r a
nosthra	n ɔ ɬ ɬ r a
nosthri	n ɔ ɬ t r i
nosthri	n ɔ ɬ r i
nosthri	n ɔ ɬ ɬ r i
pasthelli	p a ɬ ɬ e l l i
pasthellu	p a ɬ ɬ e l l u
polcu	p ɔ ʟ̝̊ k u
polcu	p o ʟ̝̊ k u
rasgioni	rˑ aˑ ʒ ʒ ɔː n i
rasgioni	rˑ aˑ ʒ ɔː n i
