ённ	j o nː
ёрбас	j o r b ɑ s
А̄дз	ɑː d͡z
аккш	ɑ kː ʃ
аллт	ɑ ɫː t
алльке	a ʎː kʲ ɛ
аххш	ɑ xː ʃ
валльтэ	v ɑ lʲː t ɛ
Васьк	v a sʲ k
вересь	s u̯ ɛ pʲː ɛ sʲ
вилль	vʲ i ʎː
виэссы	vʲ i̯ ɛ sː ɪ
виһкке	vʲ hʲ kʲː ɛ
вуалльк	v u̯ ɑ ʎː k
вуаррев	v u̯ ɑ rʲː ɛ v
вуйк	v u j k
вуолас	v u̯ o ɫ ɑ s
вуоро	v u̯ o r o
вуоск	v u̯ o s k
вуэссь	v u̯ ɛ sʲː
выййвас	v ɨ i̯ j v ɑ s
выэнас	v ɨ̯ ɛ n ɑ s
Вэттэр	v ɛ tː ɛ r
вӣдт	vʲ iː d̥ː
гылк	ɡ ɨ ɫ k
еййль	j ɛ jː ʎ
Иллеп	i lʲː ɛ p
йиӈӈ	j i ŋː
к̌иһччем	c i h t͡ʃː ɛ m
к̌ӣ	c iː
кёлстэллы	kʲ o ɫ s t ɛ ɫː ɪ
ка̄рнас	k ɑː r n ɑ s
кавцинт	k a w t͡sʲ i n t
каййм	k ɑ jː m
калле	k ɑ ʎː ɛ
карнэсь	k ɑ r n ɛ sʲ
каһц	k a h t͡s
кеаппесь	kʲ ɛ̯ ɑ p s a p
келл	kʲ ɛ ɫː
кемесь	kʲ ɛ mʲ ɛ sʲ
кидд	kʲ i dː
киэссь	kʲ i̯ ɛ sʲː
киһт	kʲ i h t
киһтпиэлль	kʲ i h t p i̯ ɛ ʎː
Ко̄мыш	k oː m ɨ ʃ
коамат	k o̯ ɑ m ɑ t
коддэ	k o dː ɛ
копчлэ	k o p t͡ʃ ɫ ɛ
коррэ	k o rː ɛ
коттк	k o tː k
коум	k o u̯ m
кошк	k o ʃ k
куввт	k u vː t
куввч	k u vː t͡ʃ
кумбар	k u m b ɑ rː
куохтлоггь	k u̯ o x t l o ɡʲː
куохтлоггь	k u̯ o x t l o ɣʲː
куоһт	k u̯ o h t
кусс	k u sː
куцц	k u t͡sː
куэлль	k u̯ ɛ ʎː
куэһт	k u̯ ɛ h t
куэһть	k u̯ ɛ h tʲ
куһкь	k u hʲ kʲ
кы̄нял	k ɨː ɲ ɑ ɫ
кылм	k ɨ ɫ m
кылмас	k ɨ ɫ m ɑ s
кыскас	k ɨ s k ɑ s
кысс	k ɨ sː
кэһчче	k ɛ h t͡ʃː ɛ
кӯдт	k uː d̥ː
ламбесь	ɫ ɑ m bʲ ɛ sʲ
лешшӹ	ʎ ɛ ʃː ɪ
лоһкь	ɫ o hʲ kʲ
луоһт	ɫ u̯ o h t
лысст	ɫ ɨ sː t
лэввьнҍ	ɫ ɛ vʲː nʲ
ма̊йнас	m ɔ i̯ n ɑ s
маннь	m ɑ ɲː
марксыш	m ɑ r k s ɪ ʃ
ме̄кь	mʲ ɛ kʲ
милл	mʲ i ɫː
миллыш	mʲ i ɫː ɨ ʃ
монн	m o nː
моһчас	m o h t͡ʃ ɑ s
мурр	m u rː
мылл	m ɨ ɫː
мэннҍ	m ɛ nʲː
нелль	ɲ ɛ ʎː
нимме	nʲ i mʲː ɛ
ниннч	ɲ i nː t͡ʃ
нумб	n u m b
нурр	n u rː
ныййпь	n ɨ jː pʲ
ньӓлльм	ɲ a lʲː mʲ
нэззан	n ɛ zː ɑ n
нюрркэ	ɲ u rː k ɛ
нюххч	ɲ u xː t͡ʃʲ
нюхчем	ɲ u x t͡ʃ ɛ m
нюцькесь	ɲ u t͡sʲ kʲ ɛ sʲ
няльгись	ɲ ɑ ʎ ɡʲ i sʲ
няппь	ɲ ɑ pʲː
нҍуһчем	nʲ u h t͡ʃ ɛ m
овмыш	o w m ɨ ʃ
оккс	o kː s
оллм	o ɫː m
пальдесь	p ɑ ʎ dʲ ɛ sʲ
паррьц	p ɑ rʲː t͡s
пасс	p ɑ sː
пелль	pʲ e ʎː
печкерь	pʲ ɛ t͡ʃ kʲ ɛ rʲ
пиэлль	p i̯ ɛ ʎː
пиэһц	pʲ i̯ ɛ h t͡s
пиэһць	pʲ i̯ ɛ hʲ t͡sʲ
повбынч	p o w b ɨ n t͡ʃ
поннҍ	p o nʲː
пуадз	p u̯ ɑ d͡z
пуэррь	p u̯ ɛ rʲː
пыллв	p ɨ ɫː v
пыррт	p ɨ rː t
реннт	rʲ ɛ nː t
роббот	r o bː o t
руошлынч	r u̯ o ʃ ɫ ɨ n t͡ʃ
саннҍ	s ɑ nʲː
сессь	sʲ ɛ sʲː
сивнись	sʲ i w ɲ i sʲ
силлп	sʲ i ɫː p
соһпь	s o hʲ pʲ
суоһпь	s u̯ o h pʲ
суххс	s u xː s
суэлл	s u̯ ɛ ɫː
суэлль	s u̯ ɛ ʎː
суэппесь	s u̯ ɛ pʲː ɛ sʲ
сэррв	s ɛ rː v
сямьй	sʲ ɑ mʲ j
таббэк	t ɑ bː ɛ k
талльв	t ɑ lʲː v
таххт	t ɑ xː t
толл	t o ɫː
Торьһим	t o rʲ h i m
тулльв	t u ʎː v
тыт	t ɨ t
Тяһпан	c a h p a n
тӓт	tʲ a t
уввй	u vː j
уххс	u xː s
уцць	u t͡sʲː
Фёдот	fʲ o d o t
Файди	f a i̯ dʲ i
Фелькь	fʲ ɛ lʲ kʲ
Феӈьк	fʲ ɛ ŋʲ k
Фо̄к	f oː k
целльке	t͡sʲ ɛ ʎː kʲ ɛ
церрик	t͡sʲ ɛ rʲː k
цэдзиш	t͡s ɛ d͡zʲ i ʃ
чаһппат	t͡ʃ ɑ h pː ɑ t
чаһць	t͡ʃ a hʲ t͡sʲ
чаӈӈ	t͡ʃ ɑ ŋː
чилльм	t͡ʃ i lʲː m
чилльм	t͡ʃ e lʲː m
чилльмьбиэлль	t͡ʃ i ʎː mʲ b i̯ ɛ ʎː
чильмбиэлль	t͡ʃ i ʎ m b i̯ ɛ ʎː
чоххч	t͡ʃ o xː t͡ʃ
чуть	t͡ʃ u tʲ
чуэррьв	t͡ʃ u̯ ɛ rʲː v
чуһппэ	t͡ʃ u h pː ɛ
шыг	ʃ ɨ ɡ
шэ̄мерь	ʃ ɛː mʲ e rʲ
ыхт	ɨ x t
ыһт	ɨ h t
эввь	ɛ vʲː
элльк	ɛ lʲː k
эуныш	ɛ u̯ n ɪ ʃ
юммель	j u mʲː ɛ ʎ
юэллькьпиэлль	j u̯ ɛ ʎː kʲ p i̯ ɛ ʎː
һеаваш	hʲ ɛ̯ ɑ v ɑ ʃ
Һягл	hʲ ɑ ɡ ɫ
ӓййрь	a jː rʲ
Ӓнишк	a nʲ i ʃ k
ӓһкельса̄мла	a hʲ kʲ ɛ ʎ s ɑː m ɫ ɑ
Ӓһкельсиййт	a hʲ kʲ ɛ ʎ sʲ i jː t
