අ	a
අකුර	a k u r a
අගය	a ɡ a j a
අටුව	a ʈ u ʋ a
අඬ	aᶯ ɖ a
අත	a t ə
අතුරනවා	a t u r a n a ʋ aː
අනුරාධපුර	a n u r aː d a p u r a
අප්පා	a p p a
අඹ	aᵐ b a
අරනවා	a ɾ a n a ʋ aː
අර්‍තාපල්	a r t̪ aː p a l
අවට	a v a ʈ a
අවුරුද්‍ද	a ʋ u r u d d a
අහනවා	a h ə n̪ ə ʋ aː
අළු	ə ɭ u
ආ	aː
ආජන්ටිනාව	aː d͡ʒ a n̪ ʈ i n̪ aː w a
ආදෙස	aː d e s a
ඇ	æ
ඇදුරු	æ d u r u
ඇඳ	æⁿ d a
ඈ	æː
ඉ	i
ඉඟුරු	iᵑ ɡ u r u
ඉඩම	i ɖ ə m ə
ඉඳිනවා	iⁿ d i n a ʋ aː
ඉරනවා	i r a n a ʋ aː
ඉස්සර	i s s a r a
ඊ	iː
ඊජිප්තුව	iː d͡ʒ i p ə t̪ u w ə
උ	u
උකුණු	u k u n u
උගන්නවා	u ɡ a n n a ʋ aː
උණු	u n u
උතුරනවා	u t u r a n a ʋ aː
උතුරු	u t̪ u r u
උදුන	u d u n a
උඳුන	uⁿ d u n a
උපන්	u p a n
උපුරනවා	u p u r a n a ʋ aː
ඌ	uː
ඌව	uː ʋ a
ඍ	r i
ඍ	r u
ඎ	r iː
ඎ	r uː
ඏ	l i
ඐ	l iː
එ	e
එකතු	e k a t u
එක්වෙනවා	e k ʋ e n a ʋ aː
එකානූව	e k aː n uː ʋ a
එදිරිය	e d̪ i r i j ə
ඒ	eː
ඔද	u d a
ඔසවනවා	o s a ʋ a n a ʋ aː
කටුපිල	k a ʈ u p i l a
කඩනවා	k ə ɖ ə n ə ʋ aː
කනිනවා	k a n i n a ʋ aː
කපනවා	k a p a n a w aː
කපු	k a p u
කඹුරා	k aᵐ b u r aː
කරවළ	k ə r ə w ə ɭ ə
කහිනවා	k a h i n a ʋ aː
කාර	k a r a
කැනඩාව	k æ n̪ ə ɖ aː w ə
කැඳනවා	k æⁿ d a n a ʋ aː
කිරනවා	k i r a n a ʋ aː
කුණ්ඩලිය	k u n ɖ a l i j a
කුඹුරුවෙල්	k uᵐ b u ɾ u ʋ e l
කුරුණෑගල	k u r u n æː ɡ a l a
කුලි	k u l i
කුළු	k u ɭ u
කෘෂ්ණ	k r i s ɳ a
කෙළිනවා	k e ɭ i n a ʋ aː
කොකුම්	k o k u m
කොටනවා	k o ʈ ə n ə ʋ aː
කොතඹුරු	k o t aᵐ b u r u
කොර	k o r a
කොළඹ	k o ɭ aᵐ b a
කෝවිල	k oː w i l ə
ඛ	k a
ග	ɡ
ගඩුව	ɡ a ɖ u ʋ a
ගණිනවා	ɡ a n i n a ʋ aː
ගන්නවා	ɡ a n n a n iː
ගස	ɡ a s a
ගහනවා	ɡ a h a n a ʋ aː
ගළපනවා	ɡ a ɭ a p a n a ʋ aː
ග්‍රන්ථ	ɡ r a n t a
ගාල්ල	ɡ aː l l a
ගිගුරනවා	ɡ i ɡ u r a n a ʋ aː
ගිගුරුම	ɡ i ɡ u r u m a
ගිතෙල්	ɡ i t e l
ගුළිය	ɡ u ɭ i j a
ගූ	ɡ uː
ගූථ	ɡ uː t̪ a
ගෙනෙනවා	ɡ e n e n a ʋ aː
ගොතනවා	ɡ o t a n a ʋ aː
ගෝණිය	ɡ oː n̪ i j a
ඝ	ɡʱ a
ඟ	ᵑɡ
ච	t͡ʃ a
චීනය	t͡ʃ iː n̪ ə j ə
ඡ	t͡ʃ a
ජ	d͡ʒ a
ඣ	d͡ʒ a
ඤ	ɲ a
ඥ	d͡ʒ ɲ a
ඦ	n d͡ʒ a
ට	ʈ a
ටකනවා	ʈ a k ə n ə w aː
ඨ	ʈ a
ඩ	ɖ a
ඪ	ɖ a
ණ	ɳ a
ඬ	ᶯɖ a
ත	t̪ a
තණ	t a n a
තඹර	t aᵐ b a r a
ත්‍රිකුණාමලය	t r i k u n aː m a l a j a
තාච්චිය	t aː t͡ʃ t͡ʃ i j a
තාත්තා	t̪ aː t̪ ə t̪ aː
තුර්කිය	t̪ u r k i j a
තුවක්කුව	t̪ u w ə k ə k u w ə
තුවරා	t̪ u w ə r aː
ථ	t̪ a
ද	d̪ a
දකුණු	d a k u n u
දඩය	d a ɖ a j a
දඬු	d aᶯ ɖ u
දත	d a t a
දමනවා	d a m a n a ʋ aː
දවනවා	d a ʋ a n a ʋ aː
දවල	d a ʋ ə l ə
දැන්	d æ n
දිග	d i ɡ a
දිය	d i j ə
දිල්ලිය	d i l l i j a
දුනු	d u n u
දුරු	d i r i
දුවනවා	d u ʋ ə n ə ʋ aː
දෙනවා	d e n a ʋ aː
දොළ	d o ɭ a
ධ	d̪ a
න	n a
නගනවා	n a ɡ a n a ʋ aː
නැගෙනහිර	n æ ɡ e n a h i r a
නිදනවා	n iⁿ d a n a w aː
නෙරනවා	n e r a n a v aː
ඳ	ⁿd a
ප	p a
පටන්	p a ʈ a n
පණුවා	p a n u ʋ aː
පන	p ə n ə
පනාව	p a n aː ʋ a
පරිප්පු	p ə r i p ə p u
පල්ල	p a l l a
පල්ලල	p a l l a l a
පවුර	p a ʋ u r a
පළාත	p a ɭ aː t̪ a
ප්රේත	p r eː t a
පාකිස්ථානය	p aː k i s t̪ aː n̪ a j a
පැණි	p æ n i
පිට	p i ʈ a
පිටි	p i ʈ i
පිලි	p i l i
පීනනවා	p iː n a n a ʋ aː
පුරුදු	p u r u d u
පූසා	p uː s aː
පෙඳ	p eⁿ d a
පෙර	p e r a
පේ	p eː
පෝච්චිය	p oː t͡ʃ t͡ʃ i j a
ඵ	p a
බ	b a
බංගලාදේශය	b a m̃ ɡ a l aː d̪ eː ʃ a j a
බටු	b a ʈ u
බත	b a t a
බදනවා	b a d a n a ʋ aː
බදුල්ල	b a d u l l a
බඳිනවා	b aⁿ d i n a ʋ aː
බප	b a p a
බබලනවා	b a b a l a n a ʋ aː
බර	b a r a
බල	b a l a
බස්නාහිර	b a s n aː h i r a
බ්‍රසීලය	b r a s iː l a j a
බානවා	b aː n a ʋ aː
බැහැර	b æ h æ r a
බිරි	b i r i
බිහිරි	b i h i r i
බුද්ධි	b u d d i
බෙක	b e k a
බෙරය	b e r a j a
බොනවා	b o n ə w aː
බොබ්	b o b
බෝක්කුව	b oː k k u ʋ a
භ	b a
ම	m a
මඩ	m a ɖ a
මඩකලපුව	m a ɖ a k a l a p u ʋ a
මඩිනවා	m aᶯ ɖ i n a ʋ aː
මඩුල්ල	m a ɖ i l l a
මත්ත	m a t t a
මධ්‍යම	m a d j a m a
මන	m a n a
මර	m a r a
මහත	m a h a t a
මහනුවර	m a h a n u ʋ a r a
මැටි	m æ ʈ i
මිටිය	m i ʈ i j a
මිතුරු	m i t u r u
මිදුල	m i d u l a
මිශ්‍ර	m i s r a
මුගුර	m u ɡ u r a
මුරුංගා	m u r u m̃ ɡ aː
මෙක්සිකෝව	m e k s i k oː w a
ඹ	ᵐb a
යට	j a ʈ a
යම	j a m a
යහන	j a h a n a
යාපනය	j aː p a n a j a
යෙළ	j e ɭ a
ර	r a
රට	r ə ʈ ə
රත්නපුර	r a t n a p u r a
රළු	r a ɭ u
රාජධානිය	r aː d͡ʒ a d aː n i j a
රාජපක්ෂ	r aː d͡ʒ ə p ə k ə ʃ ə
රැලි	r æ l i
රිදී	r i d iː
රිදෙනවා	r i d e n a ʋ aː
රියඟ	r i j əᵑ ɡ ə
රියන්	r i j ə n
රුපියල	r u p i j a l a
රුවල්	r u w ə l ə
ල	l a
ලක්ෂය	l a k s ə j ə
ලනවා	l ə n ə w aː
ලබනවා	l a b a n a ʋ aː
ලියනවා	l i j a n a ʋ aː
ලේ	l eː
ව	ʋ a
වට	w ə ʈ ə
වණ්ෂ	v a n s a
වදනවා	ʋ a d a n a ʋ aː
වයඹ	ʋ a j aᵐ b a
වර	ʋ a r a
වර්ග	ʋ a r ɡ a
වරෙණ්ය	ʋ a ɾ e n j a
වළ	ʋ a ɭ a
විදුලිය	v i d u l i j a
වී	w iː
වෙනවා	ʋ e n a ʋ aː
ශ	s a
ශ්වාස	s v aː s a
ශ්‍රී	s r iː
ශුද්ධ	s u d d a
ෂ	s a
සදනවා	s a d a n a ʋ aː
සබරගමුව	s a b a r a ɡ a m u ʋ a
සලනවා	s a l a n a ʋ aː
සාහිත්‍යය	s aː h i t j a j a
සිංහයා	s i ŋ h ə j aː
සිංහල	s i ŋ h a l a
සුබ	s u b ə
සුරුට්ටුව	s̪ u ɾ u ʈ ʈ u ʋ ə
සුලුප්පුව	s u l u p p u ʋ a
සෙය	s e j ə
සෙරෙප්පුව	s e r e p ə p u w ə
සොබන	s o b ə n ə
හකුරු	h a k u ɾ u
හපනවා	h a p a n a ʋ aː
හම්බන්තොට	h ə m ə b ə n̪ ə t̪ o ʈ ə
හානවා	h aː n a ʋ aː
හිටිනවා	h i ʈ i n a ʋ aː
හුළු	h u ɭ u
හෙණ	h e n a
හෙළනවා	h e ɭ a n a ʋ aː
හොවිනවා	h o ʋ i n a ʋ aː
