آلھݨا	aː lʰ ɳ aː
آوݨ	aː v ə ɳ
آکھݨ	aː kʰ ə ɳ
ابھا	ʊ b̚ bʰ aː
ارک	ə ɾ ə k
اساں	ə sː ãː
انگل	ə ŋ ɡ ɪ l
او	oː
اٹھ	ə ʈʰ
اٻاسی	ʊ ɓ aː s iː
بدل	b ə d̪ d̪ ə l
بدل	b ə d̪ d̪ ʊ l
بھاہ	bʰ aː h
بھرݨ	bʰ ə ɾ ə ɳ
بھڄݨ	bʱ ə ʄ ʄ ə ɳ
بھیݙ	bʰ eː ɗ
بھیݨ	bʰ eː ɳᵊ
تاوݨ	t̪ aː v ə ɳ
تتا	t̪ ə t̪ t̪ aː
ترائے	t̪ ə ɾ a eː
ترائے	t̪ ə ɾ ɛː
تروڑݨ	t̪ ə ɾ oː ɽ ə ɳ
ترکھا	t̪ ə ɾ i k kʰ aː
تساں	t̪ ʊ s s ãː
توں	t̪ ũː
تپ	t̪ ə p
تپاوݨ	t̪ ə p aː v ə ɳ
تکھا	t̪ i k kʰ aː
تھوں	t̪ʰ ũː
تھیوݨ	t̪ʰ iː v ə ɳ
تہاݙا	t̪ ʊ ɦ aː ɗ aː
تیرھاں	t̪ eː ɾʰ ãː
تیݙا	t̪ ɛː ɗ aː
تے	t̪ eː
خوراک	x uː ɾ aː k
خوش	x ʊ ʃ
خچر	x ə t͡ʃ t͡ʃ ə ɾ
دا	d̪ aː
دھوتی	d̪ʰ oː t̪ iː
دیگ	d̪ eː ɡ
دیگڑی	d̪ eː ɡ ɽ iː
رووݨ	ɾ oː v ə ɳ
ساݙا	s aː ɗ aː
ست	s ə t̪
سر	s ɪ ɾ
سلھ	s ɪ lʰ
سناں	s i n n ãː
سنیہا	s ə n eː h aː
سوݨھا	s oː h ɳ aː
سوݨھا	s oː ɳʰ aː
سکا	s ʊ k k aˑ
سکھݨ	s i k̚ kʰ ə ɳ
سݙݨ	s ə ɗ ɗ ə ɳ
شاپر	ʃ aˑ p o ɾ
شاپر	ʃ aˑ p ə ɾ
لانگھا	l ãː ɡʰ aː
لت	l ə t̪ː
لوٹا	l oː ʈ aː
لوݨ	l uː ɳ
لکݨ	l ə k k ə ɳ
لکݨ	l ʊ k k ə ɳ
مسات	m ə s aː t̪
مسیت	m ə s iː t̪
مسیتر	m ə s iː t̪ ə ɾ
مسیتر	m ə s iː t̪ ʊ ɾ
منجھ	m ə̃ d͡ʒʰ
مٹھا	m ɪ ʈ ʈʰ aː
میں	m ɛ̃ː
میݙا	m ɛː ɗ aː
ناس	n aː s
نانگ	n ãː ɡ
نوں	n õː
نوں	n ũː
نوں	n ɔ̃ː
نک	n ə kː
نکا	n i k k aː
واسطے	v aː s t̪ eˑ
وال	v aː l
وتاؤں	v ə t̪ a ũː
وسل	v ə sː o l
وسل	v ə sː ə l
ولݨ	v ə l l ə ɳ
ونڄݨ	v ə̃ ʄ ʄ ə ɳ
وچ	v ɪ t͡ʃ
وݙا	v ə ɗ ɗ aː
ٹرݨ	ʈ ʊ ɾ ə ɳ
ٹٻا	ʈ i ɓ ɓ aː
ٻارھاں	ɓ aː ɾʰ ãː
ٻال	ɓ aː l
ٻالٹی	ɓ aː l ʈ iː
ٻانہہ	ɓ ãː h
ٻلا	ɓ ɪ l l aː
ٻلی	ɓ ɪ l l iː
ٻولݨ	ɓ oː l ə ɳ
ٻڈھا	ɓ ʊ ɖ ɖʰ aː
پاݨی	p aː ɳ iː
پتر	p a t r
پتر	p o t̪ ɾ
پتر	p ʊ t̪ ɾ
پترا	p ə t̪ ɾ aː
پراݨا	p ʊ ɾ aː ɳ aː
پسݨ	p ʊ s s ə ɳ
پنج	p ə̃ d͡ʒ
پٹھاݨ	p ə ʈʰ aː ɳ
پکھا	p ə kːʰ aː
پکھی	p ə k kʰ iː
پکݨ	p ə k k ə ɳ
پیر	p eː ɾ
پیر	p iː ɾ
پیوݨ	p iː v ə ɳ
پے	p ɛː
ڄبھ	ʄ ɪ bʰ
ڄنگھ	ʄ ə̃ ŋ ɡʰ
چار	t͡ʃ aː ɾ
چاٻی	t͡ʃ aː ɓ iː
چن	t͡ʃ ə n
چنانہہ	t͡ʃ ə n ãː h
چوݙاں	t͡ʃ oː ɗ ãː
چکھݨ	t͡ʃ ə kʰ ə ɳ
چھوہر	t͡ʃʰ oː h o ɾ
چھوہر	t͡ʃʰ oː h ɪ ɾ
چھوہر	t͡ʃʰ oː h ɾ
چھوہر	t͡ʃʰ uː h o ɾ
چھوہر	t͡ʃʰ uː h ɪ ɾ
چھوہر	t͡ʃʰ uː h ɾ
چھوݨی	t͡ʃʰ ũː ɳ iː
چھیں	t͡ʃʰ ĩː h̃
چھیں	t͡ʃʰ ẽː h̃
ڈیرہ	ɖ eː ɾ aː
کاوڑ	k aː v ɪ ɽ
کاں	k ãˑ
کتا	k ʊ t̪ t̪ aː
کلھ	k ə lʰ
کن	k ə nː
کنجی	k ʊ̃ n d͡ʒ iː
کوں	k ũː
کوݨ	k oː ɳ
کچھ	k ə t͡ʃːʰ
ککڑ	k ʊ k k ʊ ɽ
کھاوݨ	kʰ aː v ə ɳ
کھاݨاں	kʰ aː ɳ ãː
کھرسی	kʰ ʊ ɾ s iː
کھکھر	kʰ ə k̚ kʰ ɪ ɾ
کھیر	kʰ iː ɾ
کیویں	k iː v ẽː
گوشت	ɡ oː ʃ t̪
گھنݨ	ɡʰ i n ə ɳ
گھٹݨ	ɡʰ ʊ ʈ ʈ ə ɳ
گھٹݨ	ɡʱ ə ʈ ʈ ə ɳ
ڳاں	ɠ ãː
ڳوݙا	ɠ oː ɗ aː
ڳٹا	ɠ i ʈ ʈ aː
ڳچی	ɠ ɪ t͡ʃ t͡ʃ iː
ہتھ	h ə t̪ʰ
ہنج	h ə̃ d͡ʒ
ہوا	h ə v aː
ہووݨ	h oː v ə ɳ
ہک	h ɪ k
ہݙی	ɦ ə ɗ ɗ iː
یارھاں	j aː ɾʰ ãː
یہݨ	j ə h ə ɳ
ݙ	ɗ
ݙ	ɗ aː l
ݙا	ɗ ɑː
ݙاند	ɗ ãː d̪
