Adama	a d a m a
Adamami	a d a m a m i
Adamoch	a d a m ɔ x
Adamom	a d a m ɔ m
Adamov	a d a m ɔ u̯
Adamovi	a d a m ɔ v i
Adamovia	a d a m ɔ v i̯ a
Adelka	a d ɛ ɫ k a
Ado	a d ɔ
Adolf	a d o ɫ f
Afrika	a f r i k a
Afrike	a f r i k ɛ
Afrikou	a f r i k ɔ u̯
Afriku	a f r i k u
Afriky	a f r i k i
Afrikánec	a f r i k aː ɲ ɛ t͡s
Agnesa	a ɡ n ɛ s a
Alah	a ɫ a x
Alan	a ɫ a n
Alandy	a ɫ a n d i
Albín	a ɫ b iː n
Albína	a ɫ b iː n a
Alena	a l ɛ n a
Alexander	a l ɛ k s a n d ɛ r
Alexej	a l ɛ k s ɛ j
Aleš	a l ɛ ʃ
Alfonz	a ɫ f ɔ n s
Alfréd	a ɫ f r ɛː t
Alica	a l i t͡s a
Aljaška	a lʲ a ʃ k a
Alojz	a ɫ ɔ j s
Alpy	a l p i
Alánd	a ɫ aː n t
Ambróz	a m b r ɔ s
Američan	a m ɛ r i t͡ʃ a n
Američanka	a m ɛ r i t͡ʃ a ŋ k a
Amália	a m aː l i a
Anabela	a n a b ɛ ɫ a
Anaxagoras	a n a k s a ɡ o r a s
Andrea	a n d r ɛ a
Andrej	a n d r ɛ j
Annu	a n n u
Anton	a n t ɔ n
Antónia	a n t ɔː n i a
Aristoteles	a r i s t ɔ t ɛ l ɛ s
Arménsko	a r m ɛː n s k ɔ
Arnold	a r n ɔ l d
Arpád	a r p aː t
Artúr	a r t uː r
Augustín	a u̯ ɡ u s t iː n
Aurel	a u̯ r ɛː ɫ
Baleáry	b a l ɛ aː r i
Bara	b a r a
Barbara	b a r b a r a
Barbora	b a r b ɔ r a
Bartolomej	b a r t ɔ ɫ ɔ m ɛ j
Belgicko	b ɛ ɫ ɡ i t͡ʃ k ɔ
Belo	b ɛ ɫ ɔ
Benjamín	b ɛ n j a m iː n
Berlín	b ɛ r l iː n
Bernard	b ɛ r n a r d
Berta	b ɛ r t a
Beskydy	b ɛ s k i d i
Beátka	b ɛ aː t k a
Beňadik	b ɛ ɲ a ɟ i k
Beňo	b ɛ ɲ ɔ
Bianka	b i̯ a ŋ k a
Bibiána	b i b i aː n a
Bielorusko	b i̯ ɛ ɫ ɔ r u s k ɔ
Blahoslav	b ɫ a ɦ ɔ s ɫ a u̯
Blanka	b ɫ a ŋ k a
