abessiiva	a p e s s i jː v a
ablatiiva	a pː l a tʰ i jː v a
abmet	a bː m e h t
abmet	a bː m e h
abohtta	a p o hː t a
aboriginála	a p o r i k iː n aː l a
aborta	a p o r t a
aborteret	a p o r t eː r e h t
aborteret	a p o r t eː r e h
abskissa	a pː s k iː s s a
absorberet	a pː s o r p eː r e h t
absorberet	a pː s o r p eː r e h
abstrákta	a pː s t r aː k t a
addalit	a dː d a l i h t
addalit	a dː d a l i h
addáladdat	a dː d aː l a dː d a h t
addáladdat	a dː d aː l a dː d a h
addálas	a dː d aː l a s
addálasamus	a dː d aː l a s a m u s
addálasat	a dː d aː l a s a h t
addálasat	a dː d aː l a s a h
addáleamos	a dː d aː l e̯ a m o s
addálit	a dː d aː l i h t
addálit	a dː d aː l i h
addámuš	a dː d aː m u ʃ
adde	a dː d e
adderet	a dː d eː r e h t
adderet	a dː d eː r e h
addes	a dː d e s
addesis	a dː d e s i s
addet	a dː d e h t
addet	a dː d e h
addi	a dː d iː
addilit	a dː d iː l i h t
addilit	a dː d iː l i h
addišuvdna	a dː d iː ʃ u vː t n a
addit	a dː d iː h t
addit	a dː d iː h
addjohit	a ɟː ɟ o h i h t
addjohit	a ɟː ɟ o h i h
addjot	a ɟː ɟ o h t
addjot	a ɟː ɟ o h
addon	a dː d o n
addot	a dː d o h t
addot	a dː d o h
addu	a dː d uː
adessiiva	a t e s s i jː v a
adjágas	a ɟ ɟ aː k a s
adjektiiva	a ɟ ɟ e k t i jː v a
administrašuvdna	a tː m iː n i sː t r a ʃ u vː t n a
administratiiva	a tː m iː n i sː t r a tʰ i jː v a
administreret	a tː m iː n i sː t r eː r e h t
administreret	a tː m iː n i sː t r eː r e h
admirála	a tː m iː r aː l a
adni	a dː n iː
adnostit	a dː n o s t i h t
adnostit	a dː n o s t i h
adnot	a dː n o h t
adnot	a dː n o h
adopšuvdna	a t o p ʃ u vː t n a
adopteret	a t o p t eː r e h t
adopteret	a t o p t eː r e h
adreassa	a tː r e a̯ s s a
adresseret	a tː r e s s eː r e h t
adresseret	a tː r e s s eː r e h
adveanta	a tː v e a̯ n t a
adverbiála	a tː v e r p i aː l a
advokáhta	a tː v o kʰ aː h t a
ađa	a ð a
ađadákti	a ð a t aː kː t iː
ađaheapme	a ð a h e̯ a p m e
ađahuvvat	a ð a h u v v a h t
ađahuvvat	a ð a h u v v a h
ađaiduvvat	a ð a j t u v v a h t
ađaiduvvat	a ð a j t u v v a h
ađđamahttá	a ð ð a m a hː t aː
ađđái	a ð ð aː j
aforisma	a f o r i sː m a
Afrihkká	a fː r iː hː k aː
agáiduvvat	a k aː j t u v v a h t
agáiduvvat	a k aː j t u v v a h
agálaččat	a k aː l a t t͡ʃ a h t
agálaččat	a k aː l a t t͡ʃ a h
agálaš	a k aː l a ʃ
agálašvuohta	a k aː l a ʃː v u o̯ h t a
agás	a k aː s
aggressiiva	a ɡː ɡ r e s s i jː v a
agi	a k iː
agis	a k iː s
agit	a k iː h t
agit	a k iː h
ahccát	a hː t͡s aː h t
ahccát	a hː t͡s aː h
ahccot	a hː t͡s o h t
ahccot	a hː t͡s o h
ahcit	a h t͡s iː h t
ahcit	a h t͡s iː h
ahkahaš	a h k a h a ʃ
ahkáduvvat	a h k aː t u v v a h t
ahkáduvvat	a h k aː t u v v a h
ahkásaš	a h k aː s a ʃ
ahkásii	a h k aː s i j
ahki	a h k iː
ahkidis	a h k iː ð i s
ahkiduššat	a h k iː t u ʃ ʃ a h t
ahkiduššat	a h k iː t u ʃ ʃ a h
ahkit	a h k iː h t
ahkit	a h k iː h
ahkitvuohta	a h k iː t v u o̯ h t a
ahkkái	a hː k aː j
ahkkás	a hː k aː s
ahte	a h t e
aiddo	a jː t t o
aiddolaš	a jː t t o l a ʃ
aiddonassii	a jː t t o n a s s i j
aiddostahttit	a jː t t o s t a hː t iː h t
aiddostahttit	a jː t t o s t a hː t iː h
aiddostassii	a jː t t o s t a s s i j
aiget	a jː k e h t
aiget	a jː k e h
ain	a j n
aisttan	a j s t a n
aitto	a j t t o
aivve	a j v v e
aivvefal	a j v v e f a l
aivvestassii	a j v v e s t a s s i j
aji	a j iː
ajihastit	a j iː h a sː t iː h t
ajihastit	a j iː h a sː t iː h
ajihustit	a j iː h u sː t iː h t
ajihustit	a j iː h u sː t iː h
ajihuvvat	a j iː h u v v a h t
ajihuvvat	a j iː h u v v a h
akademalaš	a k a t eː m a l a ʃ
akademihkar	a k a t e m iː h k a r
akademiija	a k a t e m i j j a
akkusatiiva	a k k uː s a t i j v a
akselereret	a kː s e l e r eː r e h t
akselereret	a kː s e l e r eː r e h
akšuvdna	a kː ʃ uː v t n a
akta	a kː t a
aktiiva	a kː t i j v a
aktiivvalaččat	a kː t i j v v a l a t t͡ʃ a h t
aktiivvalaččat	a kː t i j v v a l a t t͡ʃ a h
aktiivvalaš	a kː t i j v v a l a ʃ
aktiveret	a kː t iː v eː r e h t
aktiveret	a kː t iː v eː r e h
aktivitehta	a kː t iː v i t eː h t a
akustihkalaš	a k uː s t i h k a l a ʃ
akustihkka	a k uː s t i hː k a
ala	a l a
alarmeret	a l a r m eː r e h t
alarmeret	a l a r m eː r e h
alárbma	a l aː r p m a
Albánia	a lː p aː n i a
albbas	a lː p p a s
albma	a lː p m a
albmadit	a lː p m a ð i h t
albmadit	a lː p m a ð i h
albmaduvvat	a lː p m a t u v v a h t
albmaduvvat	a lː p m a t u v v a h
albmanit	a lː p m a n i h t
albmanit	a lː p m a n i h
albmáimannan	a lː p m aː j m a n n a n
albmi	a lː p m iː
albmoneapmi	a lː p m o n e a̯ p m iː
albmudit	a lː p m uː ð i h t
albmudit	a lː p m uː ð i h
alde	a lː t e
aldi	a lː t iː
aldna	a lː t n a
ale	a l e
alfabehta	a lː f a p eː h t a
alfabehtalaš	a lː f a p eː h t a l a ʃ
algŋa	a lː t ɲ a
algoritma	a lː k o r i tː m a
aliheamos	a l iː h e̯ a m o s
alihit	a l iː h i h t
alihit	a l iː h i h
alimahtes	a l iː m a h t e s
alimas	a l iː m a s
alimus	a l iː m u s
alimusriekti	a l iː m u s r i e̯ kː t iː
alit	a l iː h t
alit	a l iː h
alitfális	a l iː t f aː l iː s
alitrássi	a l iː t r aː s s iː
alkohola	a lː k o h oː l a
alkoholaheapme	a lː k o h oː l a h e̯ a p m e
alkoholisma	a lː k o h o l iː s m a
alkoholista	a lː k o h o l iː s t a
alla	a l l a
alladávttat	a l l a t aː v t t a h t
alladávttat	a l l a t aː v t t a h
alladávttálaš	a l l a t aː v t t aː l a ʃ
allalávlla	a l l a l aː v l l a
allamielalaš	a l l a m i e̯ l a l a ʃ
allamielalašvuohta	a l l a m i e̯ l a l a ʃː v u o̯ h t a
allaskuvla	a l l a s k u vː l a
allat	a l l a h t
allat	a l l a h
allatiiva	a l l a tʰ i jː v a
allatvuohta	a l l a t v u o̯ h t a
allergiija	a l l e r k i j j a
allergiijalaš	a l l e r k i j j a l a ʃ
allet	a l l e h t
allet	a l l e h
alli	a lː l iː
allodat	a l l o ð a h t
allodat	a l l o ð a h
allodatnjuiken	a l l o t a t ɲ u j k e n
allon	a l l o n
allos	a l l o s
alloset	a l l o s e h t
alloset	a l l o s e h
alloska	a l l o s k a
allot	a l l o h t
allot	a l l o h
allu	a lː l uː
almmaiduvvat	a l m m a j t u v v a h t
almmaiduvvat	a l m m a j t u v v a h
almmá	a l m m aː
almmái	a l m m aː j
almmálaš	a l m m aː l a ʃ
almmáskit	a l m m aː s k i h t
almmáskit	a l m m aː s k i h
almmenáhkki	a l m m e n aː hː k iː
almmivierca	a l m m iː v i e̯ rː t͡s a
almmolaččat	a l m m o l a t t͡ʃ a h t
almmolaččat	a l m m o l a t t͡ʃ a h
almmolaš	a l m m o l a ʃ
almmolašvuohta	a l m m o l a ʃː v u o̯ h t a
almmostahttit	a l m m o s t a hː t iː h t
almmostahttit	a l m m o s t a hː t iː h
almmuheapmi	a l m m uː h e a̯ p m iː
almmuhit	a l m m uː h i h t
almmuhit	a l m m uː h i h
almmuhus	a l m m uː h u s
almmus	a l m m uː s
almmustahttit	a l m m uː s t a hː t iː h t
almmustahttit	a l m m uː s t a hː t iː h
almmustit	a l m m uː s t i h t
almmustit	a l m m uː s t i h
alternatiiva	a lː t e r n a t i j v a
altteson	a l t t e s o n
alumiidna	a l uː m i jː t n a
alva	a lː v a
