ܐ	ʔ
ܐ	ʔ ɑ l a f
ܐ	ʔ ɑ l ɛ f
ܐܐܪ	ʔ ɑ ʔ a r
ܐܒ	ʔ ɑ v
ܐܒܐ	ʔ a b b e
ܐܒܐ	ʔ a b b ɑ
ܐܒܐ	ʔ a b b ɑ n e
ܐܒܐ	ʔ ă v ɑ
ܐܒܐ	ʔ ɛ b b e
ܐܒܐ	ʔ ɛ b b ɑ
ܐܒܐ	ʔ ɛ b b ɑ n e
ܐܒܓܕ	ʔ a b ɡ a d
ܐܒܕܢܐ	ʔ a b d ɑ n ɑ
ܐܒܕܢܐ	ʔ a v d ɑ n ɑ
ܐܒܗܐ	ʔ ă v ɑ h e
ܐܒܗܬܐ	ʔ ă v ɑ h ɑ θ ɑ
ܐܒܘܒܐ	ʔ a b b u v e
ܐܒܘܒܐ	ʔ a b b u v ɑ
ܐܒܙܪܐ	ʔ a v z ɑ r e
ܐܒܙܪܐ	ʔ a v z ɑ r ɑ
ܐܒܝܕܘܬܐ	ʔ ă v i ð u θ ɑ
ܐܒܟܐ	ʔ ɑ v a k k e
ܐܒܟܐ	ʔ ɑ v a k k ɑ
ܐܒܟܐܙܝܐ	ʔ a b x ɑ z y ɑ
ܐܒܠܐ	ʔ a b b ɑ l ɑ
ܐܒܠܐ	ʔ ɛ b b ɑ l ɑ
ܐܒܠܐ	ʔ ɛ b b ə l ɑ
ܐܒܠܐ	ʔ ɛ b l ɑ
ܐܒܠܐ	ʔ ɛ v l e
ܐܒܠܐ	ʔ ɛ v l ɑ
ܐܒܠܬܐ	ʔ a b b ɑ l t ɑ
ܐܒܠܬܐ	ʔ a b b ɑ l ɑ θ ɑ
ܐܒܠܬܐ	ʔ ɛ b b a l t ɑ
ܐܒܠܬܐ	ʔ ɛ b b ɑ l t ɑ
ܐܒܠܬܐ	ʔ ɛ b b ɑ l ɑ θ ɑ
ܐܒܠܬܐ	ʔ ɛ b b ə l ɑ θ ɑ
ܐܒܠܬܐ	ʔ ɛ b l ɑ θ ɑ
ܐܒܢܐ	ʔ a b b ɑ n e
ܐܒܢܐ	ʔ a v n ɑ
ܐܒܢܐ	ʔ a w n ɑ
ܐܒܢܐ	ʔ ɑ b o n e
ܐܒܢܐ	ʔ ɑ w n o
ܐܒܢܐ	ʔ ɛ b b ɑ n e
ܐܒܢܐ	ʔ ɛ b o n e
ܐܒܢܐ	ʔ ɪ b b ɑ n e
ܐܒܢܘܣܐ	ʔ a v n u s e
ܐܒܢܘܣܐ	ʔ a v n u s ɑ
ܐܒܩܐ	ʔ a v q ɑ
ܐܒܪܐ	ʔ ă v ɑ r ɑ
ܐܒܪܐ	ʔ ɛ v r e
ܐܒܪܐ	ʔ ɛ v r ɑ
ܐܒܪܗܡ	ʔ a v r ɑ h ɑ m
