ꠀ	a
ꠀꠀꠠ	á ɽ
ꠀꠁꠌ꠆ꠍꠣ	a i t͡ʃː á
ꠀꠁꠌꠍꠣ	a ɪ t ɕ t ɕ á
ꠀꠁꠎ	a i z
ꠀꠁꠎꠇꠣꠁꠟ	a i z x a i l
ꠀꠄꠚꠟ	a e̯ f ɔ́ l
ꠀꠅꠞ	á ɔ ɾ
ꠀꠇꠔꠣ	a x t̪ a
ꠀꠇꠞꠣ	a x ɾ a
ꠀꠇꠟ	a x ɔ l
ꠀꠇꠟꠖꠣꠔ	a x ɔ l d̪ a t̪
ꠀꠉꠘ	a ɡ ɔ n
ꠀꠋꠉꠥꠞ	a ŋ ɡ u ɾ
ꠀꠋꠉꠦꠎ	a ŋ ɡ e z
ꠀꠋꠑꠤ	a ŋ ʈ í
ꠀꠍꠦ	a s é
ꠀꠐ	a ʈ
ꠀꠐꠣ	a ʈ a
ꠀꠐꠣ	a ʈ a
ꠀꠑꠣ	a ʈ á
ꠀꠑꠥ	a ʈ ú
ꠀꠗꠤ	a d̪ í
ꠀꠘꠗꠣꠁꠞ	a n d̪ á ɪ ɾ
ꠀꠙꠘꠦ	a ɸ n e
ꠀꠝ	a m
ꠀꠝꠌꠂꠟ	á m s ɔ i l
ꠀꠝꠤ	a m i
ꠀꠞ	ɑ r
ꠀꠟ꠆ꠟꠣ	a l l a
ꠀꠟ꠆ꠟꠣ	a l a
ꠀꠟꠤ	a l i
ꠀꠡꠤꠘ	a ʃ i n
ꠀꠢꠝꠖ	a ɦ m ɔ d̪
ꠁ	i
ꠁꠌ꠆ꠍꠣ	i t͡ʃ t͡ʃ a
ꠁꠐ	i ʈ
ꠁꠐꠣꠘꠤ	i ʈ a n i
ꠁꠔꠤꠀꠍ	i t̪ i ā s
ꠁꠔꠤꠀꠍ	i t̪ i j ā s
ꠁꠔꠤꠀꠍ	i t̪ i ā ʃ
ꠁꠔꠤꠀꠍ	i t̪ i j ā ʃ
ꠁꠟꠣ	i l a
ꠁꠟꠣꠈꠣꠘ	i l a x á n
ꠁꠟꠤꠡꠣ	i l i ʃ a
ꠃ	u
ꠃꠇꠂꠘ	u k ɔ i n
ꠃꠐ	u ʈ
ꠃꠖ	u d̪
