ก	k ɔː ˧
ก	k ɔː ˧ k a j ˨˩
กก	k o k̚ ˨˩
กกุท	k a ˨˩ k u t̚ ˨˩
กกุธภัณฑ์	k a ˨˩ k u t̚ ˨˩ tʰ a ˦˥ pʰ a n ˧
กง	k o ŋ
กง	k o ŋ ˧
กงกาง	k o ŋ ˧ k aː ŋ ˧
กงการ	k o ŋ ˧ k aː n ˧
กงล้อ	k o ŋ ˧ l ɔː ˦˥
กงศุล	k o ŋ ˧ s u n ˩˩˦
กงสี	k o ŋ ˧ s iː ˩˩˦
กงสุล	k o ŋ ˧ s u n ˩˩˦
กงเวียน	k o ŋ ˧ w i a̯ n ˧
กฎ	k o t̚ ˨˩
กฎข้อบังคับ	k o t̚ ˨˩ kʰ ɔː ˥˩ b a ŋ ˧ kʰ a p̚ ˦˥
กฎจราจร	k o t̚ ˨˩ t͡ɕ a ˨˩ r aː ˧ t͡ɕ ɔː n ˧
กฎบัตร	k o t̚ ˨˩ b a t̚ ˨˩
กฎมนเทียรบาล	k o t̚ ˨˩ m o n ˧ tʰ i a̯ n ˧ b aː n ˧
กฎหมาย	k o t̚ ˨˩ m aː j ˩˩˦
กฎหมายปกครอง	k o t̚ ˨˩ m aː j ˩˩˦ p o k̚ ˨˩ kʰ r ɔː ŋ ˧
กฎหมายมนุษยธรรมระหว่างประเทศ	k o t̚ ˨˩ m aː j ˩˩˦ m a ˦˥ n u t̚ ˦˥ s a ˨˩ j a ˦˥ tʰ a m ˧ r a ˦˥ w aː ŋ ˨˩ p r a ˨˩ tʰ eː t̚ ˥˩
กฎหมายมหาชน	k o t̚ ˨˩ m aː j ˩˩˦ m a ˦˥ h aː ˩˩˦ t͡ɕʰ o n ˧
กฎหมายระหว่างประเทศ	k o t̚ ˨˩ m aː j ˩˩˦ r a ˦˥ w aː ŋ ˨˩ p r a ˨˩ tʰ eː t̚ ˥˩
กฎหมายระหว่างประเทศแผนกคดีบุคคล	k o t̚ ˨˩ m aː j ˩˩˦ r a ˦˥ w aː ŋ ˨˩ p r a ˨˩ tʰ eː t̚ ˥˩ pʰ a ˨˩ n ɛː k̚ ˨˩ kʰ a ˦˥ d iː ˧ b u k̚ ˨˩ kʰ o n ˧
กฎหมายระหว่างประเทศแผนกคดีเมือง	k o t̚ ˨˩ m aː j ˩˩˦ r a ˦˥ w aː ŋ ˨˩ p r a ˨˩ tʰ eː t̚ ˥˩ pʰ a ˨˩ n ɛː k̚ ˨˩ kʰ a ˦˥ d iː ˧ m ɯ a̯ ŋ ˧
กฎหมายรัฐธรรมนูญ	k o t̚ ˨˩ m aː j ˩˩˦ r a t̚ ˦˥ tʰ a ˨˩ tʰ a m ˧ m a ˦˥ n uː n ˧
กฎหมายเหตุ	k o t̚ ˨˩ m aː j ˩˩˦ h eː t̚ ˨˩
กฎหมายเอกชน	k o t̚ ˨˩ m aː j ˩˩˦ ʔ eː k̚ ˨˩ k a ˨˩ t͡ɕʰ o n ˧
กฎเกณฑ์	k o t̚ ˨˩ k eː n ˧
กฏ	k o t̚ ˨˩
กฐิน	k a ˨˩ tʰ i n ˩˩˦
กฐิน	k a ˨˩ tʰ i n ˩˩˦ n a ˦˥
กด	k o t̚ ˨˩
กดขี่	k o t̚ ˨˩ kʰ iː ˨˩
กดดัน	k o t̚ ˨˩ d a n ˧
กตัญญุตา	k a ˨˩ t a n ˧ j u ˦˥ t aː ˧
กตัญญู	k a ˨˩ t a n ˧ j uː ˧
กติกา	k a ˨˩ t i ˨˩ k aː ˧
กติกาสัญญา	k a ˨˩ t i ˨˩ k aː ˧ s a n ˩˩˦ j aː ˧
กตเวที	k a ˨˩ t a ˨˩ w eː ˧ tʰ iː ˧
กถา	k a ˨˩ tʰ aː ˩˩˦
กน	k o n ˧
กนก	k a ˨˩ n o k̚ ˨˩
กบ	k o p̚ ˨˩
กบ	k ɔː ˧ b ɔː ˧
กบฏ	k a ˨˩ b o t̚ ˨˩
กบนา	k o p̚ ˨˩ n aː ˧
กบเลือกนาย	k o p̚ ˨˩ l ɯ a̯ k̚ ˥˩ n aː j ˧
กบเหลา	k o p̚ ˨˩ l a w ˩˩˦
กบเหลาดินสอ	k o p̚ ˨˩ l a w ˩˩˦ d i n ˧ s ɔː ˩˩˦
กบในกะลา	k o p̚ ˨˩ n a j ˧ k a ˨˩ l aː ˧
กบในกะลาครอบ	k o p̚ ˨˩ n a j ˧ k a ˨˩ l aː ˧ kʰ r ɔː p̚ ˥˩
กบไสไม้	k o p̚ ˨˩ s a j ˩˩˦ m aː j ˦˥
กม	k o m ˧
กร	k ɔː n ˧
กรกฎ	k ɔː ˧ r a ˦˥ k o t̚ ˨˩
กรกฎา	k a ˨˩ r a k̚ ˦˥ k a ˨˩ d aː ˧
กรกฎา	k a ˨˩ r a ˦˥ k a ˨˩ d aː ˧
กรกฎาคม	k a ˨˩ r a k̚ ˦˥ k a ˨˩ d aː ˧ kʰ o m ˧
กรกฎาคม	k a ˨˩ r a ˦˥ k a ˨˩ d aː ˧ kʰ o m ˧
กรง	k r o ŋ ˧
กรงขัง	k r o ŋ ˧ kʰ a ŋ ˩˩˦
กรงเล็บ	k r o ŋ ˧ l e p̚ ˦˥
กรณี	k a ˨˩ r a ˦˥ n iː ˧
กรณี	k ɔː ˧ r a ˦˥ n iː ˧
กรณีพิพาท	k a ˨˩ r a ˦˥ n iː ˧ pʰ i ˦˥ pʰ aː t̚ ˥˩
