Amelika	a m e l i k a
Apelila	a p e l i l a
Atafu	a t a hᵝ u
Atua	a t u a
Auhitalia	a u h i t a l i a
Aukilani	a u k i l a n i
Aukuho	a u k u hʲ o
Egelani	e ŋ e l a n i
Eleni	e l e n i
Fakaafu	h a k a a hᵝ u
Fakaofo	h a k a o hᵝ o
Falani	h a l a n i
Fepuali	ɸ e p u a l i
Fiti	ɸ i t i
Haina	hʲ a i n a
Hami	hʲ a m i
Hetema	h e t e m a
Hāmoa	hʲ aː m o a
Ianuali	i a n u a l i
Iehu	i e hʲ u
Ieova	i e o v a
Ioa	i o a
Iulai	i u l a i
Iuni	i u n i
Iunivehite	i u n i v e h i t e
Kaununu	k a u n u n u
Me	m e
Mulifā	m u l i h aː
Māti	m aː t i
Novema	n o v e m a
Oketopa	o k e t o p a
Palolomua	p a l o l o m u a
Peletānia	p e l e t aː n i a
Tahemānia	t a h e m aː n i a
Takaoga	t a k a o ŋ a
Toga	t o ŋ a
Tokelau	t o k e l a u
Toma	t o m a
Tui	t u i
Tēhema	t eː h e m a
Ueligitone	u e l i ŋ i t o n e
Vainoa	v a i n o a
afe	a ɸ e
afi	a ɸ i
agāga	a ŋ aː ŋ a
aho	a hʲ o
ai	a i
aiha	a i hʲ a
aihā	a i hʲ aː
aitu	a i t u
aitua	a i t u a
aka	a k a
akalava	a k a l a v a
aku	a k u
ala	a l a
alo	a l o
alofa	a l o h a
amene	a m e n e
ana	a n a
ao	a o
apohetolo	a p o h e t o l o
apu	a p u
ata	a t a
atu	a t u
atua	a t u a
au	a u
aua	a u a
aulua	a u l u a
aunehe	a u n e h e
autou	a u t o u
auā	a u aː
e	e
fafine	h a ɸ i n e
faga	h a ŋ a
fai	h a i
fakailoga	h a k a i l o ŋ a
fakamanuia	h a k a m a n u i a
fakaofo	h a k a o hᵝ o
fakatahi	h a k a t a h i
fakavae	h a k a v a e
fale	h a l e
fano	h a n o
fenua	ɸ e n u a
fifiti	ɸ i ɸ i t i
fiti	ɸ i t i
fitu	ɸ i t u
fofotu	hᵝ o hᵝ o t u
fotu	hᵝ o t u
fā	h aː
fālanu	h aː l a n u
fānau	h aː n a u
fīlēmū	ɸ iː l eː m uː
gagako	ŋ a ŋ a k o
gagana	ŋ a ŋ a n a
gako	ŋ a k o
gali	ŋ a l i
galo	ŋ a l o
galue	ŋ a l u e
gata	ŋ a t a
gāluega	ŋ aː l u e ŋ a
gāuta	ŋ aː u t a
hahalu	hʲ a hʲ a l u
hahama	hʲ a hʲ a m a
haku	hʲ a k u
halu	hʲ a l u
hama	hʲ a m a
hana	hʲ a n a
hata	hʲ a t a
hau	hʲ a u
haulua	hʲ a u l u a
hautou	hʲ a u t o u
he	h e
hefulu	h e hᵝ u l u
hehega	h e h e ŋ a
helo	h e l o
hetahi	h e t a h i
heā	h e aː
hihi	h i h i
hili	h i l i
hiva	h i v a
hoku	hʲ o k u
hona	hʲ o n a
hota	hʲ o t a
houlua	hʲ o u l u a
houtou	hʲ o u t o u
hā	hʲ aː
hē	h eː
hēai	h eː a i
hēhēmū	h eː h eː m uː
hēki	h eː k i
hō	hʲ oː
ia	i a
ika	i k a
ilo	i l o
iloa	i l o a
iloga	i l o ŋ a
iva	i v a
iē	i eː
iēia	i eː i a
iēnei	i eː n e i
iēnā	i eː n aː
kai	k a i
kakā	k a k aː
kalapu	k a l a p u
kaufakatahi	k a u h a k a t a h i
