abaküs	ɑ b ɑ c y s
abartmak	ɑ b ɑ ɾ t m ɑ k
abdüktörler	ɑ b d y c t œ ɾ l æ ɾ
abdüktörü	ɑ b d y c t œ ɾ y
abide	ɑː b i d e
abla	ɑ b ɫ ɑ
abonelik	ɑ b o n e l i c
absürd	ɑ b s y ɾ d
acemi	ɑ d͡ʒ e m iː
acentelik	ɑ d͡ʒ æ n t e l i c
acı	ɑ d͡ʒ ɯ
aç	ɑ t͡ʃ
açım	ɑ t ʃ ɯ m
açlık	ɑ t ʃ ɫ ɯ k
ada	a d a
adaletsiz	ɑ d ɑː l e t s i z
adaletsizlik	ɑ d ɑː l e t s i z l i c
adenozin	ɑ d e n o z i n
Adıyamanlı	ɑ d ɯ j ɑ m ɑ n ɫ ɯ
agresiflik	ɑ ɡ ɾ e s i f l i c
ağ	ɑː
ağdacı	ɑː d ɑ d͡ʒ ɯ
ağır	ɑː ɾ
ağır	ɑ ɰ ɯ ɾ
ağıt	ɑ ɯ t
ağız	ɑ ɯ z
ağlaşmak	ɑː ɫ ɑ ʃ m ɑ k
ağrı	ɑː ɾ ɯ
ahize	ɑː h i z e
ahizeler	ɑː h i z e l æ ɾ
ahizem	ɑː h i z æ m
ahizen	ɑː h i z æ n
ahizenin	ɑː h i z e n i n
ahizesi	ɑː h i z e s i
ahizeyi	ɑː h i z e j i
ahlaksızlaştırmak	a h l a k s ɯ z ɫ a ʃ t ɯ ɾ m a k
ahlat	ɑ h ɫ a t
ahmak	ɑ h m ɑ k
ahududu	ɑː h u d u d u
akbaba	ɑ k b ɑ b ɑ
Akbil	ɑ k b i l
akraba	ɑ k ɾ ɑ b ɑː
Akrep	ɑ k ɾ e p
aksiseda	a k s i s e d aː
akşam	ɑ k ʃ ɑ m
ala	ɑ ɫ ɑ
alamet	a l aː m e t
alem	a l æ m
alemi	a l ɛ m i
âlemi	aː l ɛ m i
alemler	a l ɛ m l ɛ ɾ
âlemler	aː l ɛ m l ɛ ɾ
algoloji	a l ɡ ɔ l ɔ ʒ i
alıç	ɑ ɫ ɯ t͡ʃ
allık	ɑ ɫ ɫ ɯ k
almak	ɑ ɫ m ɑ k
Alman	ɑ ɫ m ɑ n
Almanca	ɑ ɫ m ɑ n d͡ʒ ɑ
Almancı	ɑ ɫ m ɑ n d͡ʒ ɯ
alşimi	ɑ l ʃ i m i
ama	ɑ m ɑ
ama	ɑ m ɑ
amaç	ɑ m ɑ t͡ʃ
âmâlar	aː m aː ɫ a ɾ
Amasya	ɑ m ɑ s j ɑ
âmâyı	aː m aː j ɯ
anahtar	ɑ n ɑ h t ɑ ɾ
anahtarlık	a n a h t a ɾ ɫ ɯ k
anamalcılık	ɑ n ɑ m ɑ ɫ d͡ʒ ɯ ɫ ɯ k
ananas	ɑ n ɑ n ɑ s
anarat	ɑ n ɑ ɾ ɑ t
ancak	ɑ n d͡ʒ ɑ k
andaval	ɑ n d ɑ β ɑ ɫ
andavallı	ɑ n d ɑ β ɑ ɫ ɫ ɯ
animasyon	a n i m a s j o n
Anka	a ŋ k aː
Ankara	ɑ n k ɑ ɾ ɑ
Ankara	ɑ ŋ k ɑ ɾ ɑ
Ankara	ɑ ŋ ɡ ɑ ɾ ɑ
Ankaralı	ɑ n k ɑ ɾ ɑ ɫ ɯ
anlamsız	ɑ n ɫ ɑ m s ɯ z
annelik	ɑ n n e l i c
Antakya	ɑ n t ɑ k j ɑ
antibiyotik	ɑ n t i b i j ɔ t i c
Apeninler	a p e n i n l e ɾ
aralık	ɑ ɾ ɑ l ɯ c
Arjantin	a ɾ ʒ ɑ n t i n
Arjantinli	ɑ ɾ ʒ ɑ n t i n l i
arkadaşa	a ɾ k a d a ʃ a
arkadaşı	a ɾ k a d a ʃ ɯ
arkadaşın	a ɾ k a d a ʃ ɯ n
arkadaşlar	a ɾ k a d a ʃ l a ɾ
arkadaşlara	a ɾ k a d a ʃ l a ɾ a
arkadaşlarda	a ɾ k a d a ʃ l a ɾ d a
arkadaşlardan	a ɾ k a d a ʃ l a ɾ d a n
arkadaşların	a ɾ k a d a ʃ l a ɾ ɯ n
arkadaşta	a ɾ k a d a ʃ t a
arkadaştan	a ɾ k a d a ʃ t a n
Arsuz	a ɾ s u z
artık	ɑ ɾ t ɯ k
artık	ɑ ɾ t ɯ k
arz	a ɾ z
aseksüel	ɑ s e c s y æ l
aseton	ɑ s ɛ t ɔ n
asimptot	ɑ s i m p t ɔ t
asistan	ɑ s i s t ɑ n
Asyalı	ɑ s j ɑ ɫ ɯ
aşağılığı	ɑ ʃ ɑ ɰ ɯ ɫ ɯ ɰ ɯ
aşağılığı	ɑ ʃ ɑ ɰ ɯ ɫ ɯ ɯ
aşağılığı	ɑ ʃ ɑ ɯ ɫ ɯ ɰ ɯ
aşağılığı	ɑ ʃ ɑ ɯ ɫ ɯ ɯ
aşama	ɑ ʃ ɑ m ɑ
aşçı	a ʃ t͡ʃ ɯ
aşiret	a ʃ iː ɾ e t
aşk	ɛ ʃ k
at	ɑ t
atamak	ɑ t ɑ m ɑ k
Atina	a t i n a
atlı	ɑ t ɫ ɯ
atom	ɑ t ɔ m
avanak	ɑ β ɑ n ɑ k
avize	ɑ v i z e
avizeler	aː v i z e l e ɾ
avizem	aː v i z e m
avizen	aː v i z e n
avizenin	aː v i z e n i n
avizesi	aː v i z e s i
avizeyi	aː v i z e j i
Avrasya	ɑ β ɾ ɑ s j ɑ
Avrupalı	ɑ v ɾ u p ɑ ɫ ɯ
ayakkabıcı	ɑ j ɑ k k ɑ b ɯ d ʒ ɯ
ayazlı	a j a z ɫ ɯ
ayazsız	a j a z s ɯ z
Ayça	ɑ j t͡ʃ ɑ
Aydın	ɑ j d ɯ n
aydınlık	a j d ɯ n ɫ ɯ k
ayı	ɑ j ɯ
ayin	ɑː j i n
ayran	ɑ j ɾ ɑ n
ayva	a j v a
ayvaz	ɑ j v ɑ z
Azerbaycanlı	aː z e ɾ b a j d ʒ a n ɫ ɯ
Azerice	a z e ɾ iː d͡ʒ e
Aziziye	a z i z i j e
azot	ɑ z o t
Azrail	ɑ z ɾ ɑː i l
babacık	b ɑ b ɑ d͡ʒ ɯ k
babaları	b a b a l a ɾ ɯ
babalı	b a b a ɫ ɯ
Babalı	b a b a ɫ ɯ
babasız	b a b a s ɯ z
bademcik	b aː d ɛ m d͡ʒ i c
bağ	b ɑː
bağcığı	b ɑ ɰ d͡ʒ ɯ ɰ ɯ
bağcığım	b ɑ ɰ d͡ʒ ɯ ɰ ɯ m
bağcığın	b ɑ ɰ d͡ʒ ɯ ɰ ɯ n
bağcıklar	b ɑ ɰ d͡ʒ ɯ c ɫ a ɾ
bağı	b ɑ ɯ
bağım	b ɑ ɯ m
bağın	b ɑ ɰ ɯ n
bağız	b ɑ ɯ z
bağlamak	b ɑː ɫ ɑ m a k
bağlamaz	b ɑ ɰ ɫ a m a z
bağlar	b ɑ ɰ ɫ a ɾ
bağlar	b ɑː ɫ a ɾ
bağları	b ɑ ɰ ɫ a ɾ ɯ
bahadır	b ɑ h ɑ d ɯ r
bahçe	b ɑ h t ʃ e
bahçıvan	b ɑ h t͡ʃ ɯ v ɑ n
bakıcı	b ɑ k ɯ d ʒ ɯ
bakır	b ɑ k ɯ ɾ
balalayka	b ɑ ɫ ɑ ɫ ɑ j k ɑ
baldız	b ɑ ɫ d ɯ z
balığı	b ɑ ɫ ɯ ɰ ɯ
Balık	b ɑ ɫ ɯ k
balıkçı	b ɑ ɫ ɯ k t ʃ ɯ
balkan	b ɑ ɫ k ɑ n
Balkanlar	b ɑ ɫ k ɑ n ɫ ɑ ɾ
baltacı	b ɑ ɫ t ɑ d͡ʒ ɯ
baltacılık	b ɑ ɫ t ɑ d͡ʒ ɯ ɫ ɯ k
baltalar	b ɑ ɫ t ɑ ɫ ɑ ɾ
baltam	b ɑ ɫ t ɑ m
baltan	b ɑ ɫ t ɑ n
baltanı	b ɑ ɫ t ɑ n ɯ
baltayı	b ɑ ɫ t ɑ j ɯ
bamya	b ɑ m j ɑ
bandaj	b ɑ n d ɑ ʒ
bank	b ɑ ŋ k
bankı	b ɑ n k ɯ
bankım	b ɑ n k ɯ m
bankın	b ɑ n k ɯ n
banklar	b ɑ n k ɫ a ɾ
bankları	b ɑ n k ɫ a ɾ ɯ
baraj	b ɑ ɾ ɑ ʒ
bardak	b ɑ ɾ d ɑ k
basiretli	b a s iː ɾ e t l i
basiretsiz	b a s iː ɾ e t s i z
basit	b ɑ s i t
baston	b ɑ s t o n
Başak	b ɑ ʃ ɑ k
başı	b ɑ ʃ ɯ
başıboş	b a ʃ ɯ b o ʃ
başlama	b a ʃ l a m a
başlama	b a ʃ l a m a
başlamak	b ɑ ʃ ɫ ɑ m ɑ k
başlar	b ɑ ʃ l a ɾ
başparmak	b ɑ ʃ p ɑ ɾ m ɑ k
batı	b ɑ t ɯ
Batum	b ɑ t u m
bayat	b ɑ j ɑ t
baygın	b ɑ j ɡ ɯ n
baygınlık	b ɑ j ɡ ɯ n ɫ ɯ k
bayılma	b ɑ j ɯ ɫ m ɑ
Bayram	b ɑ j ɾ ɑ m
baytar	b ɑ j t ɑ ɾ
bazı	b aː z ɯ
bazı	b a z ɯ
bebe	b e̞ b ɛ
bebek	b e b e c
bedel	b e d æ l
beden	b e d æ n
bedevi	b ɛ d ɛ v iː
bekâr	b e c a ɾ
bekletmek	b e̞ c l e̞ t m e̞ c
bel	b ɛ l
Belarusça	b ɛ l a ɾ ʊ s t͡ʃ ɑ
Belçikalı	b e l t͡ʃ i c ɑ ɫ ɯ
Belen	b ɛ l ɛ n
belgesel	b æ l ɟ e s æ l
bencillik	b e n d ʒ i l l i c
benzin	b e̞ n z i n
berilyum	b ɛ ɾ i l j u m
Berlinli	b e ɾ l i n l i
bermuda	b e ɾ m ʊ d ɑ
beşgen	b e ʃ ɟ e n
beyinler	b ɛ j i n l e ɾ
beyit	b ɛ j i t
beyni	b ɛ j n i
Beytüşşebap	b e j t y ʃ ʃ e b a p
bikini	b i c i n i
bilinemezcilik	b i l i n e m æ z d ʒ i l i c
bilye	b i l j e
bir	b ɪ
bir	b ɪ r
bira	b i ɾ ɑ
Birce	b i ɾ d ʒ ɛ
birey	b i ɾ e̞ j
birim	b i ɾ i m
birincil	b i ɾ i n d͡ʒ i ɫ
birleşik	b i ɾ l e ʃ i c
birlikte	b i ɾ l i c t ɛ
birliktelik	b i ɾ l i c t e l i c
bişi	b i ʃ iː
bitim	b i t i m
bitiş	b i t i ʃ
bitme	b i t m e
bizmut	b i z m u t
boci	b o̞ d͡ʒ ɪ
bor	b o ɾ
boru	b o ɾ u
boş	b o̞ ʃ
boşamak	b o̞ ʃ a m a k
boşanma	b ɔ ʃ ɑ n m ɑ
boşanma	b ɔ ʃ ɑ n m ɑ
boy	b o j
boyacı	b ɔ j ɑ d ʒ ɯ
boza	b o z ɑ
bozayı	b o z ɑ j ɯ
bozmak	b o̞ z m ɑ k
börülce	b ø ɾ y l d͡ʒ ɛ
bulaşıcı	b u ɫ ɑ ʃ ɯ d ʒ ɯ
Burçin	b u r t ʃ i n
burnu	b u ɾ n u
Bursalı	b u ɾ s a ɫ ɯ
burunlar	b u ɾ u n l a ɾ
buzdolabı	b u z d ɔ ɫ ɑ b ɯ
bükme	b y k m e
bükmeme	b y k m e m e
bülbül	b y l b y l
Bünyamin	b y n j ɑ m i n
büst	b y s t
büyü	b y j y
büyü	b y j y
büyücü	b y j y d ʒ y
büyük	b y j y c
cadılık	d ʒ a d ɯ ɫ ɯ k
cami	d ʒ aː m i
camii	d ʒ aː m i i
camisi	d͡ʒ aː m i s i
canlandırılmak	d͡ʒ a n ɫ a n d ɯ ɾ ɯ ɫ m a c
canlandırma	d͡ʒ a n ɫ a n d ɯ ɾ m a
canlandırtılmak	d͡ʒ a n ɫ a n d ɯ ɾ t ɯ ɫ m a c
canlandırtmak	d͡ʒ a n ɫ a n d ɯ ɾ t m a c
canlanılmak	d͡ʒ a n ɫ a n ɯ ɫ m a c
canlanmak	d͡ʒ a n ɫ a n m a c
Cezayirli	d ʒ ɛ z ɑː j i ɾ l i
ciddi	d͡ʒ i d d iː
cihanlar	d͡ʒ i h a n l a r
ciklet	t͡ʃ i c l ɛ t
cin	d͡ʒ i n
civciv	d ʒ i β d ʒ i β
cumhur	d͡ʒ u m h u ɾ
cumhur	d͡ʒ u m u ɾ
çaba	t͡ʃ ɑ b ɑ
çabucak	t͡ʃ ɑ b u d͡ʒ ɑ k
çaça	t ʃ ɑ t ʃ ɑ
çağ	t͡ʃ ɑː
çağdaş	t͡ʃ ɑː d ɑ ʃ
çakma	t͡ʃ ɑ k m ɑ
çalgı	t͡ʃ ɑ ɫ ɡ ɯ
çalgıcı	t͡ʃ ɑ ɫ ɡ ɯ d ʒ ɯ
çalgıç	t͡ʃ ɑ ɫ ɡ ɯ t͡ʃ
çalışma	t͡ʃ a ɫ ɯ ʃ m a
çalışmak	t͡ʃ ɑ ɫ ɯ ʃ m ɑ k
çap	t͡ʃ a p
çapa	t͡ʃ ɑ p ɑ
çarşaf	t͡ʃ ɑ ɾ ʃ ɑ f
çaşıt	t ʃ ɑ ʃ ɯ t
Çat	t͡ʃ a t
çatlak	t ʃ ɑ t ɫ ɑ k
çavuş	t͡ʃ ɑ v ʊ ʃ
çaydanlık	t ʃ a j d a n ɫ ɯ k
çeker	t͡ʃ ɛ c ɛ ɾ
çekirge	t ʃ e k i ɾ ɟ e
çekmek	t͡ʃ e̞ c m e̞ c
çekmez	t͡ʃ ɛ c m ɛ z
çemen	t͡ʃ e m æ n
çene	t͡ʃ e ŋ e
çerez	t͡ʃ e ɾ e z
Çernobil	t͡ʃ e ɾ n ɔ b i l
çevre	t͡ʃ e v ɾ ɛ
çevrim	t͡ʃ ɛ β ɾ i m
çılgınlık	t ʃ ɯ ɫ ɟ ɯ n ɫ ɯ k
çıpa	t͡ʃ ɯ p ɑ
çıplak	t͡ʃ ɯ p ɫ ɑ k
çıplaklık	t͡ʃ ɯ p ɫ ɑ k ɫ ɯ k
çiçe	t ʃ i t ʃ ɛ
çift	t ʃ i f t
çizburger	t ʃ i z b u ɾ ɟ æ ɾ
çizmeci	t͡ʃ i z m ɛ d ʒ i
çocuklardan	t͡ʃ o d͡ʒ u k l a ɾ d a n
çocukluk	t ʃ o d ʒ u k ɫ u k
çok	t ʃ ɔ k
çokgen	t ʃ o k ɟ e n
çökelti	t͡ʃ œ c æ l t i
çökermek	t͡ʃ ø k e ɾ m e c
çökerti	t͡ʃ ø k e ɾ t i
çökertici	t͡ʃ ø k e ɾ t i j i
çökertmek	t͡ʃ ø k e ɾ t m e c
çöp	t ʃ œ p
çubuk	t ʃ u b u k
çubuklu	t͡ʃ u b u k ɫ u
çubuksuz	t͡ʃ u b u k s u z
çürümek	t͡ʃ y r y m e c
dadaş	d ɑ d ɑ ʃ
dalgıç	d ɑ ɫ ɡ ɯ t͡ʃ
damatlık	d aː m a t ɫ ɯ k
darmadağınık	d a ɾ m a d a ɯ n ɯ k
darmadağınık	d a ɾ m a d aː n ɯ k
davranışçılık	d ɑ v ɾ ɑ n ɯ ʃ t͡ʃ ɯ ɫ ɯ k
dede	d e d e
Dedeağaç	d ɛ d ɛ ɑ ɰ ɑ t͡ʃ
Dedeağaç	d ɛ d ɛ ɑː ɑ t͡ʃ
dedikoducu	d ɛ d i k ɔ d u d ʒ u
Defne	d e f n e
değilde	d iː l d e
değilden	d iː l d ɛ n
değildir	d iː l d i ɾ
değile	d iː l e
değili	d iː l i
değilim	d iː l i m
değilin	d iː l i n
değiliz	d iː l i z
değilsin	d iː l s i n
değilsiniz	d iː l s i n i z
değişmez	d e j i ʃ m e z
dehşet	d e h ʃ ɛ t
deltoid	d e l t o j i d
demir	d e m i ɾ
denizanası	d e n i z a n a s ɯ
Denizlili	d ɛ n i z l i l i
dergi	d æ ɾ ɟ i
derin	d e ɾ i n
dernek	d e ɾ n e c
dertli	d e ɾ t l i
destan	d ɛ s t ɑ n
dev	d ɛ β
devam	d e v a m
devrimci	d ɛ v ɾ i m d͡ʒ i
deyn	d e j n
dılak	d ɯ ɫ a k
dırçık	d ɯ r t͡ʃ i k
dış	d ɯ ʃ
didaktik	d i d a k t i c
Didem	d i d æ m
dijital	d i ʒ i t a l
dikdörtgen	d i k d œ ɾ t ɟ e n
diken	d i c æ n
dilbilim	d i l b i l i m
dildo	d i l d o
dilenci	d i l ɛ n d ʒ ɪ
dilim	d i l i m
dilimde	d i l i m d e
dilimden	d i l i m d e n
dilime	d i l i m e
dilimi	d i l i m i
dilimim	d i l i m i m
dilimimi	d i l i m i m i
dilimimin	d i l i m i m i n
dilimin	d i l i m i n
dilimini	d i l i m i n i
diliminin	d i l i m i n i n
dilimler	d i l i m l e ɾ
dilimleri	d i l i m l e ɾ i
dilinde	d i l i n d e
dilinden	d i l i n d e n
diline	d i l i n e
dilini	d i l i n i
dilinin	d i l i n i n
Dimetoka	d i m ɛ t ɔ k ɑ
dinamit	d i n ɑ m i t
dinç	d i n t ʃ
dindarlık	d i n d a r ɫ ɯ c
dini	d iː n i
dinlenmeme	d i n l e n m e m e
dinlerde	d i n l e ɾ d e
dinlerden	d i n l e ɾ d e n
dinlere	d i n l e ɾ e
dinleri	d i n l e ɾ i
dinlerin	d i n l e ɾ i n
dinli	d i n l i
dinlilik	d i n ɫ i ɫ i c
dinsiz	d i n s i z
dinsizlik	d i n s i z ɫ i c
disko	d i s k ɔ
diskotek	d i s k ɔ t ɛ c
disleksi	d i s ɫ e k s i
Diyarbakır	d i j ɑ ɾ b ɑ k ɯ ɾ
diye	d i j ɛ
dize	d i z e
dizemi	d i z e m i
dizemim	d i z e m i m
dizemin	d i z e m i n
dizemler	d i z e m l e ɾ
dokuzgen	d o k u z ɟ e n
dolaşan	d o ɫ a ʃ a n
dolaşmayan	d o ɫ a ʃ m a j a n
dolmuş	d ɔ ɫ m ʊ ʃ
dönmek	d œ n m e c
dönüş	d ø n y ʃ
dönüşlü	d ø n y ʃ l y
dönüşmek	d œ n y ʃ m e c
dönüşsüz	d ø n y ʃ s y z
dörtgen	d œ ɾ t ɟ e n
dudak	d u d ɑ k
dudu	d u d u
duman	d u m ɑ n
duy	d u j
duyma	d u j m a
duymama	d u j m a m a
duyun	d u j uː n
dük	d y c
dünür	d ʏ n ʏ ɾ̝̊
dürüm	d y ɾ y m
dürüstlük	d y r y s t l y c
düşes	d y ʃ e s
düşkün	d y ʃ c y n
düyun	d y j uː n
ebe	ɛ b ɛ
ecel	e d͡ʒ æ l
edat	e d a t
edibane	e d i b aː n e
Edirneli	e d i ɾ n ɛ l i
efendi	e f æ n d i
efsanevi	ɛ f s ɑː n ɛ v iː
egoizm	e ɡ o iː z m
ekimi	e k i m i
ekimler	e k i m l e ɾ
ekini	e k i n i
ekinim	e k i n i m
ekinin	e k i n i n
ekinler	e k i n l e ɾ
ekran	e c ɾ ɑ n
ekranı	e k ɾ a n ɯ
ekranım	e k ɾ a n ɯ m
ekranın	e k ɾ a n ɯ n
ekranlar	e k ɾ a n ɫ a ɾ
ekseni	e k s e n i
eksenim	e k s e n i m
eksenin	e k s e n i n
eksenler	e k s e n l e ɾ
eksenleri	e k s e n l e ɾ i
eksiklik	ɛ c s i c l i c
ekstremum	ɛ c s t ɾ ɛ m u m
ekşimek	ɛ c ʃ i m ɛ c
ekşitmek	ɛ c ʃ i t m ɛ c
elbiseler	e l b i s ɛ l ɛ ɾ
elbiseyi	e l b i s ɛ j i
elçi	ɛ l t͡ʃ i
elçi	æ l t͡ʃ i
elçi	e l t͡ʃ i
elemli	ɛ l e m l i
elips	ɛ l i p s
elmalar	e l m a ɫ a ɾ
embriyo	ɛ m b ɾ i j ɔ
Emir	e m i ɾ
Emir'e	e m i ɾ e
Emir'i	e m i ɾ i
Emir'im	e m i ɾ i m
Emir'ime	e m i ɾ i m e
Emir'in	e m i ɾ i n
Emir'ler	e m i ɾ l e ɾ
emire	e m i ɾ e
emiri	e m i ɾ i
emirim	e m i ɾ i m
emirime	e m i ɾ i m e
emirin	e m i ɾ i n
emirler	e m i ɾ l e ɾ
Emirler	e m i ɾ l e ɾ
emniyet	e m n i j e t
Emre	e m ɾ ɛ
emri	e m ɾ i
emrim	e m ɾ i m
emrin	e m ɾ i n
en	e n
en	æ n
Endülüs	ɛ n d y l y s
enişte	e̞ n i ʃ t e̞
entrika	e n t ɾ i k a
entrikalar	e n t ɾ i k a ɫ a ɾ
entrikanın	e n t ɾ i k a n ɯ n
entrikayı	e n t ɾ i k a j ɯ
er	æ ɾ
Erdoğan	æ ɾ d o ɰ a n
Erdoğan	ɛ ɾ d o ɰ a n
Eren	e̞ ɾ æ n
ergenlik	e ɾ ɟ e n l i c
Erhan	æ ɾ h ɑ n
erik	e ɾ i c
Erivan	ɛ ɾ i v ɑ n
erkeksi	æ ɾ c e c s i
ermek	æ ɾ m e c
ertelemek	æ ɾ t e l e m e c
ertelenemez	ɛ ɾ t e l e n e m e z
Erzin	ɛ ɾ z i n
Erzincan	æ ɾ z i n d͡ʒ ɑ n
Erzurumlu	ɛ ɾ z u ɾ u m ɫ u
esas	e s a s
eski	e s k i
esrar	ɛ s ɾ ɑ ɾ
esrarı	ɛ s ɾ ɑ ɾ ɯ
esrarlar	ɛ s ɾ ɑ ɾ l ɑ ɾ
eşya	ɛ ʃ j ɑː
eşzamansız	e ʃ z a m a n s ɯ z
evci	e̞ v d͡ʒ ɪ
evcik	ɛ v d͡ʒ i k
evciyi	e̞ v d͡ʒ i j ɪ
evim	e v i m
evine	ɛ v i n ɛ
evlen	ɛ v l e n
evren	e v ɾ æ n
fagot	f ɑ ɡ o t
fahişelik	f ɑː h i ʃ ɛ l i c
faks	f a k s
fâni	f aː n iː
Faslı	f ɑ s ɫ ɯ
fayton	f a j t o n
fazlalık	f a z ɫ a ɫ ɯ k
feci	f e d͡ʒ iː
fen	f æ n
festival	f e s t i v a l
fırtınalı	f ɯ ɾ t ɯ n ɑ ɫ ɯ
fışkı	f ɯ ʃ k ɯ
fikoloji	f i k ɔ l ɔ ʒ i
filiz	f i l i z
finiş	f i n i ʃ
fişek	f i ʃ ɛ c
fizyoloji	f i z j o l o ʒ i
flaş	f l a ʃ
flor	f l o ɾ
frapan	f r ɑ p ɑ n
frende	f ɾ e n d e
frenden	f ɾ e n d e n
freni	f ɾ e n i
frenim	f ɾ e n i m
frenin	f ɾ e n i n
frenler	f ɾ e n l e ɾ
Frigya	f ɾ i ɟ j ɑ
fulya	f ʊ l j ɑ
gacı	ɡ ɑ d͡ʒ ɯ
gaflet	ɡ a f l e̞ t
Galiçyaca	ɡ ɑ l i t͡ʃ j ɑ d ʒ ɑ
gamlı	ɡ ɑ m ɫ ɯ
gancelli	ɡ a n d͡ʒ ɛ l l i
gayda	ɟ a j d a
gazel	ɡ ɑ z e l
gazete	ɡ ɑ s t e
gazeteci	ɡ ɑ s t e d ʒ i
gebe	ɟ e̞ b e̞
gece	ɟ e̞ d͡ʒ ɛ
gecekondu	ɟ e̞ d͡ʒ e̞ k o̞ n d u
gecelik	ɟ ɛ d ʒ ɛ l i k
geçmiş	ɡ e t͡ʃ m i ʃ
gedmek	ɡ e t m e c
gel	ɟ æ l
gelin	ɟ e l i n
gelin	ɟ e l i n
gelinlik	ɟ ɛ l i n l i c
gemi	ɟ e m i
gençlik	ɟ ɛ n t ʃ l i c
genelev	ɟ e n e l e v
geometri	ɟ e o m e t ɾ i
gerçek	ɟ æ ɾ t͡ʃ e c
