ⴰ	ɑ
ⴰ	ɑ
ⴰ	j ɑ
ⴰ	j ɑ
ⴰⴱⴰⴱⴱⵓⵥ	ɑ β ɑ̝ bː ʊ̙̞ zˤ
ⴰⴱⴰⴱⴱⵓⵥ	ɑ β ɑ̝ bː ʊ̙̞ zˤ
ⴰⴱⴰⵏⴷⵓ	æ β æ̝ n̪ ð u
ⴰⴱⴰⵏⴷⵓ	æ β æ̝ n̪ ð u
ⴰⴱⵅⵅⵓⵛ	æ β ə χː ʊ̙̞ ʃ
ⴰⴱⵅⵅⵓⵛ	æ β ə χː ʊ̙̞ ʃ
ⴰⴱⵓⴱⴱⵓ	æ β u̞ bː u
ⴰⴱⵓⴱⴱⵓ	æ b u̞ bː u
ⴰⴱⵓⴱⴱⵓ	æ β u̞ bː u
ⴰⴱⵓⴱⴱⵓ	æ b u̞ bː u
ⴰⴱⵓⴱⴱⵓ	æ b u̞ bː u
ⴰⴱⵔⴹⵓⴹ	ɑ β r̩ˤ ðˤ ʊ̙̞ ðˤ
ⴰⴱⵔⴹⵓⴹ	ɑ β r̩ˤ ðˤ ʊ̙̞ ðˤ
ⴰⴱⵔⴽⴰⵏ	æ β r̩ ç æ̝ n̪
ⴰⴱⵔⴽⴰⵏ	æ β r̩ ç æ̝ n̪
ⴰⴱⵔⵉⴷ	æ̝ β r i̞ ð
ⴰⴱⵔⵉⴷ	æ̝ β r i̞ ð
ⴰⴱⵔⵛⴰⵏ	æ β r̩ ʃ æ̝ n̪
ⴰⴱⵔⵛⴰⵏ	æ β r̩ ʃ æ̝ n̪
ⴰⴱⵕⴹⵓⴹ	ɑ β r̩ˤ ðˤ ʊ̙̞ ðˤ
ⴰⴱⵕⴹⵓⴹ	ɑ β r̩ˤ ðˤ ʊ̙̞ ðˤ
ⴰⴳⴰⴷⵉⵔ	æ ʝ æ ð i̞ r
ⴰⴳⴰⴷⵉⵔ	æ ʝ æ ð i̞ r
ⴰⴳⴰⵎⴰ	æ ʝ æ m ɑ
ⴰⴳⴰⵎⴰ	æ ʝ æ m ɑ
ⴰⴳⴰⵎⴰⵏ	æ ʝ æ m æ̝ n̪
ⴰⴳⴰⵎⴰⵏ	æ ʝ æ m æ̝ n̪
ⴰⴳⴰⵜⵓ	æ ʝ æ θ u
ⴰⴳⴰⵜⵓ	æ ʝ æ θ u
ⴰⴳⴳⵓ	æ̝ ɟː u
ⴰⴳⴳⵓ	æ̝ ɟː u
ⴰⴳⴳⵓⵔ	æ̝ ɟː u̞ r
ⴰⴳⴳⵓⵔ	æ̝ ɟː u̞ r
ⴰⴳⴷⵉ	æ̝ ʝ ð i
ⴰⴳⴷⵉ	æ̝ ʝ ð i
ⴰⴳⴷⵓⴷ	æ̝ ʝ ð u̞ ð
ⴰⴳⴷⵓⴷ	æ̝ ʝ ð u̞ ð
ⴰⴳⴹⵉⴹ	ɑ̝ ʝ ðˤ ɪ̙̞ ðˤ
ⴰⴳⴹⵉⴹ	ɑ̝ ʝ ðˤ ɪ̙̞ ðˤ
ⴰⴳⵊⴷⵉ	æ ʝ ə ʒ ð i
ⴰⴳⵊⴷⵉ	æ ʝ ə ʒ ð i
ⴰⴳⵍⵍⵉⴷ	æ ʝ l̩ː i̞ ð
ⴰⴳⵍⵍⵉⴷ	æ ʝ l̩ː i̞ ð
ⴰⴳⵏⴰⵔ	æ̝ ʝ n̪ æ̝ r
ⴰⴳⵏⴰⵔ	æ̝ ʝ n̪ æ̝ r
ⴰⴳⵔⵉⵙ	æ̝ ʝ r i̞ s
ⴰⴳⵔⵉⵙ	æ̝ ʝ r i̞ s
ⴰⴳⵯⵍⵉⵎ	æ̝ ɣʷ l i̞ m
ⴰⴳⵯⵍⵉⵎ	æ̝ ɣʷ l i̞ m
ⴰⴳⵯⵍⵎⴰⵎ	æ ɣʷ l̩ m æ̝ m
ⴰⴳⵯⵍⵎⴰⵎ	æ ɣʷ l̩ m æ̝ m
ⴰⴳⵯⵍⵎⵉⵎ	æ ɣʷ l̩ m i̞ m
ⴰⴳⵯⵍⵎⵉⵎ	æ ɣʷ l̩ m i̞ m
ⴰⴳⵯⵏⵉ	æ̝ ɣʷ n̪ i
ⴰⴳⵯⵏⵉ	æ̝ ɣʷ n̪ i
ⴰⴳⵯⵔⵉⵙ	æ̝ ɣʷ r i̞ s
ⴰⴳⵯⵔⵉⵙ	æ̝ ɣʷ r i̞ s
ⴰⴷ	æ̝ ð
ⴰⴷ	æ̝ ð
ⴰⴷⴰⵙⵉⵍ	æ ð æ s i̞ l
ⴰⴷⴰⵙⵉⵍ	æ ð æ s i̞ l
ⴰⴷⴼⵍ	æ̝ θ f l̩
ⴰⴷⴼⵍ	æ̝ θ f l̩
ⴰⴷⵉⵙ	æ ð i̞ s
ⴰⴷⵉⵙ	æ ð i̞ s
ⴰⴷⵔⴰⵔ	æ̝ ð r æ̝ r
ⴰⴷⵔⴰⵔ	æ̝ ð r æ̝ r
ⴰⴷⵡⴰⵙ	æ̝ ð w æ̝ s
ⴰⴷⵡⴰⵙ	æ̝ ð w æ̝ s
ⴰⴹⴰⴹ	ɑ ðˤ ɑ̝ ðˤ
ⴰⴹⴰⴹ	ɑ ðˤ ɑ̝ ðˤ
ⴰⴹⴰⵔ	ɑ ðˤ ɑ̝ rˤ
ⴰⴹⴰⵔ	ɑ ðˤ ɑ̝ rˤ
ⴰⴹⴰⵕ	ɑ ðˤ ɑ̝ rˤ
ⴰⴹⴰⵕ	ɑ ðˤ ɑ̝ rˤ
ⴰⴹⵏ	ɑ ðˤ n̪̩
ⴰⴹⵏ	ɑ ðˤ n̪̩
ⴰⴹⵓ	ɑ ðˤ ʊ̙
ⴰⴹⵓ	ɑ ðˤ ʊ̙
ⴰⴼⴰ	æ f ɑ
ⴰⴼⴰ	æ f ɑ
ⴰⴼⴰⵍⴽⵓ	æ f æ̝ l ç u
ⴰⴼⴰⵍⴽⵓ	æ f æ̝ l ç u
ⴰⴼⴰⵙⵉ	æ f æ s i
ⴰⴼⴰⵙⵉ	æ f æ s i
ⴰⴼⴼ	æ̝ fː
ⴰⴼⴼ	æ̝ fː
ⴰⴼⵓⴷ	æ f u̞ ð
ⴰⴼⵓⴷ	æ f u̞ ð
ⴰⴼⵓⵙ	æ f u̞ s
ⴰⴼⵓⵙ	æ f u̞ s
ⴰⴼⵔ	æ f r̩
ⴰⴼⵔ	æ f r̩
ⴰⴼⵔⴰ	æ̝ f r ɑ
ⴰⴼⵔⴰ	æ̝ f r ɑ
ⴰⴼⵔⴷⵉⵙ	æ f r̩ ð i̞ s
ⴰⴼⵔⴷⵉⵙ	æ f r̩ ð i̞ s
ⴰⴼⵔⵡ	æ̝ f r u̞ w
ⴰⴼⵔⵡ	æ̝ f r u̞ w
ⴰⴼⵙⵙⴰⵢ	æ f ə sː æ̝ j
ⴰⴼⵙⵙⴰⵢ	æ f ə sː æ̝ j
ⴰⴽⴰⵍ	æ ç æ̝ l
ⴰⴽⴰⵍ	æ ç æ̝ l
ⴰⴽⵙⵉⵍ	æ̝ ç s i̞ l
ⴰⴽⵙⵉⵍ	æ̝ ç s i̞ l
ⴰⴽⵙⵓⵎ	æ̝ ç s u̞ m
ⴰⴽⵙⵓⵎ	æ̝ ç s u̞ m
ⴰⵀⴰⴷ	æ h æ̝ ð
ⴰⵀⴰⴷ	æ h æ̝ ð
ⴰⵀⵉⵜⵓⵔ	æ h i θ u̞ r
ⴰⵀⵉⵜⵓⵔ	æ h i θ u̞ r
ⴰⵄⴱⴰⵏ	ɑ̝ ʕ β æ̝ n̪
ⴰⵄⴱⴰⵏ	ɑ̝ ʕ b æ̝ n̪
ⴰⵄⴱⴰⵏ	ɑ̝ ʕ β æ̝ n̪
ⴰⵄⴱⴰⵏ	ɑ̝ ʕ b æ̝ n̪
ⴰⵄⴱⴰⵏ	ɑ̝ ʕ b æ̝ n̪
ⴰⵄⴷⴷⵉⵙ	ɑ ʕ ə d̪ː i̞ s
ⴰⵄⴷⴷⵉⵙ	ɑ ʕ ə d̪ː i̞ s
ⴰⵅ	ɑ̝ χ
ⴰⵅ	ɑ̝ χ
ⴰⵅⴰⵜⴰⵔ	ɑ χ ɑ θ æ̝ r
ⴰⵅⴰⵜⴰⵔ	ɑ χ ɑ θ æ̝ r
ⴰⵅⴱⴰⵛ	ɑ̝ ʁ β æ̝ ʃ
ⴰⵅⴱⴰⵛ	ɑ̝ ʁ β æ̝ ʃ
ⴰⵅⵍⵉⵊⵊ	ɑ̝ χ l i̞ d͡ʒː
ⴰⵅⵍⵉⵊⵊ	ɑ̝ χ l i̞ d͡ʒː
ⴰⵅⵎⵉⵎ	ɑ̝ χ m i̞ m
ⴰⵅⵎⵉⵎ	ɑ̝ χ m i̞ m
ⴰⵇⴷⵉⵎ	ɑ̝ q ð i̞ m
ⴰⵇⴷⵉⵎ	ɑ̝ q ð i̞ m
ⴰⵇⵎⵓ	ɑ̝ q m u
ⴰⵇⵎⵓ	ɑ̝ q m u
ⴰⵇⵕⵕⵓ	ɑ q r̩ˤː ʊ̙
ⴰⵇⵕⵕⵓ	ɑ q r̩ˤː ʊ̙
ⴰⵇⵛⴰⵛ	ɑ̝ q ʃ æ̝ ʃ
ⴰⵇⵛⴰⵛ	ɑ̝ q ʃ æ̝ ʃ
ⴰⵇⵛⵎⵉⵔ	ɑ q ə ʃ m i̞ r
ⴰⵇⵛⵎⵉⵔ	ɑ q ə ʃ m i̞ r
ⴰⵇⵛⵓⵔ	ɑ̝ q ʃ u̞ r
ⴰⵇⵛⵓⵔ	ɑ̝ q ʃ u̞ r
ⴰⵊⴷⴷⵉⴳ	æ ʒ ə d̪ː i̞ ʝ
ⴰⵊⴷⴷⵉⴳ	æ ʒ ə d̪ː i̞ ʝ
ⴰⵊⴹⵉⴹ	ɑ̝ ʒ ðˤ ɪ̙̞ ðˤ
ⴰⵊⴹⵉⴹ	ɑ̝ ʒ ðˤ ɪ̙̞ ðˤ
ⴰⵊⵢ	æ ʒ i̞ j
ⴰⵊⵢ	æ ʒ i̞ j
ⴰⵍ	æ̝ l
ⴰⵍ	æ̝ l
ⴰⵍⴰⵖⵎⵓ	æ l ɑ̝ ʁ m u
ⴰⵍⴰⵖⵎⵓ	æ l ɑ̝ ʁ m u
ⴰⵍⴳⴳⵯⴰⵖ	æ l ə ɡʷː ɑ̝ ʁ
ⴰⵍⴳⴳⵯⴰⵖ	æ l ə ɡʷː ɑ̝ ʁ
ⴰⵍⵅⵉⵅ	æ̝ l χ ɪ̙̞ χ
ⴰⵍⵅⵉⵅ	æ̝ l χ ɪ̙̞ χ
ⴰⵍⵍ	æ̝ lː
ⴰⵍⵍ	æ̝ lː
ⴰⵍⵍⵏ	æ̝ lː n̪̩
ⴰⵍⵍⵏ	æ̝ lː n̪̩
ⴰⵍⵡⵡⴰⵖ	æ l ə ɡʷː ɑ̝ ʁ
ⴰⵍⵡⵡⴰⵖ	æ l ə ɡʷː ɑ̝ ʁ
ⴰⵍⵢ	æ l i̞ j
ⴰⵍⵢ	æ l i̞ j
ⴰⵎⴰⴹⴰⵍ	ɑ m ɑ ðˤ ɑ̝ l
ⴰⵎⴰⴹⴰⵍ	ɑ m ɑ ðˤ ɑ̝ l
ⴰⵎⴰⵍⵓ	æ m æ l u
ⴰⵎⴰⵍⵓ	æ m æ l u
ⴰⵎⴰⵏ	æ m æ̝ n̪
ⴰⵎⴰⵏ	æ m æ̝ n̪
ⴰⵎⴰⵖⵓⴷ	æ m ɑ ʁ ʊ̙̞ ð
ⴰⵎⴰⵖⵓⴷ	æ m ɑ ʁ ʊ̙̞ ð
ⴰⵎⴰⵣⵉⵖ	æ m æ z ɪ̙̞ ʁ
ⴰⵎⴰⵣⵉⵖ	æ m æ z ɪ̙̞ ʁ
ⴰⵎⴳⵔⴹ	ɑ̝ m ʝ r̩ˤ ə ðˤ
ⴰⵎⴳⵔⴹ	æ̝ m ʝ r̩ˤ ðˤ
ⴰⵎⴳⵔⴹ	ɑ̝ m ʝ r̩ˤ ə ðˤ
ⴰⵎⴳⵔⴹ	æ̝ m ʝ r̩ˤ ðˤ
ⴰⵎⴳⵔⴹ	æ̝ m ʝ r̩ˤ ðˤ
ⴰⵎⴷⴰ	æ̝ m ð ɑ
ⴰⵎⴷⴰ	æ̝ m ð ɑ
ⴰⵎⴷⴷⴰⴽⴽⵯⵍ	æ m ə d̪ː æ̝ kʷː l̩
ⴰⵎⴷⴷⴰⴽⴽⵯⵍ	æ m ə d̪ː æ̝ kʷː l̩
ⴰⵎⴷⵖ	æ̝ m ð ə ʁ
ⴰⵎⴷⵖ	æ̝ m ð ə ʁ
ⴰⵎⴹⴰⵏ	ɑ̝ m ðˤ ɑ̝ n̪
ⴰⵎⴹⴰⵏ	ɑ̝ m ðˤ ɑ̝ n̪
ⴰⵎⴹⵓⵡⵔ	ɑ̝ m ðˤ ʊ̙ w r̩ˤ
ⴰⵎⴹⵓⵡⵔ	ɑ̝ m ðˤ ʊ̙ w r̩ˤ
ⴰⵎⴽⴽⵓⵥ	ɑ m ə cː ʊ̙̞ zˤ
ⴰⵎⴽⴽⵓⵥ	ɑ m ə cː ʊ̙̞ zˤ
ⴰⵎⴽⵔⴰⴹ	ɑ m ə ç rˤ ɑ̝ ðˤ
ⴰⵎⴽⵔⴰⴹ	ɑ m ə ç rˤ ɑ̝ ðˤ
ⴰⵎⴽⵕⴰⴹ	ɑ m ə ç rˤ ɑ̝ ðˤ
ⴰⵎⴽⵕⴰⴹ	ɑ m ə ç rˤ ɑ̝ ðˤ
ⴰⵎⵀⴰⴷ	æ̝ m h æ̝ ð
ⴰⵎⵀⴰⴷ	æ̝ m h æ̝ ð
ⴰⵎⵇⵇⵔⴰⵏ	æ m ə qː r æ̝ n̪
ⴰⵎⵇⵇⵔⴰⵏ	æ m ə qː r æ̝ n̪
ⴰⵎⵍⵍⴰⵍ	æ m l̩ː æ̝ l
ⴰⵎⵍⵍⴰⵍ	æ m l̩ː æ̝ l
ⴰⵎⵓⴷ	æ m u̞ ð
ⴰⵎⵓⴷ	æ m u̞ ð
ⴰⵎⵓⴹⵉⵏ	ɑ m ʊ̙ ðˤ ɪ̙̞ n̪
ⴰⵎⵓⴹⵉⵏ	ɑ m ʊ̙ ðˤ ɪ̙̞ n̪
ⴰⵎⵓⵏⵙⴽⴰⵍ	æ m u n̪ ə s ç æ̝ l
ⴰⵎⵓⵏⵙⴽⴰⵍ	æ m u n̪ ə s ç æ̝ l
ⴰⵎⵓⵛⵛ	æ m u̞ t͡ʃː
ⴰⵎⵓⵛⵛ	æ m u̞ t͡ʃː
ⴰⵎⵖⵔⵉⴱⵉ	æ m ə ʁ r i β i
ⴰⵎⵖⵔⵉⴱⵉ	æ m ə ʁ r i β i
ⴰⵎⵖⵔⵓⵏ	æ m ə ʁ r u̞ n̪
ⴰⵎⵖⵔⵓⵏ	æ m ə ʁ r u̞ n̪
ⴰⵎⵖⵖⵔⴰⵏ	æ m ə qː r æ̝ n̪
ⴰⵎⵖⵖⵔⴰⵏ	æ m ə qː r æ̝ n̪
ⴰⵎⵛⵉⵛ	æ̝ m ʃ i̞ ʃ
ⴰⵎⵛⵉⵛ	æ̝ m ʃ i̞ ʃ
ⴰⵎⵟⵟⴰ	ɑ m ə t̪ˤː ɑ
ⴰⵎⵟⵟⴰ	ɑ m ə t̪ˤː ɑ
ⴰⵎⵟⵟⴰⵡ	ɑ m ə t̪ˤː ɑ̝ w
ⴰⵎⵟⵟⴰⵡ	ɑ m ə t̪ˤː ɑ̝ w
ⴰⵎⵢⴰ	æ̝ m j ɑ
ⴰⵎⵢⴰ	æ̝ m j ɑ
ⴰⵎⵣⵔⵓⵢ	æ m ə z r u̞ j
ⴰⵎⵣⵔⵓⵢ	æ m ə z r u̞ j
ⴰⵎⵥ	ɑ m ə zˤ
ⴰⵎⵥ	ɑ m ə zˤ
ⴰⵎⵥⵢⴰⵏ	ɑ m ə zˤ j ɑ̝ n̪
ⴰⵎⵥⵢⴰⵏ	ɑ m ə zˤ j ɑ̝ n̪
ⴰⵎⵥⵥⵓⵖ	ɑ m ə zˤː ʊ̙̞ ʁ
ⴰⵎⵥⵥⵓⵖ	ɑ m ə zˤː ʊ̙̞ ʁ
ⴰⵎⵥⵥⵢⴰⵏ	ɑ m ə zˤː j ɑ̝ n̪
ⴰⵎⵥⵥⵢⴰⵏ	ɑ m ə zˤː j ɑ̝ n̪
ⴰⵏⴰⵎⵓⵔ	æ n̪ æ m u̞ r
ⴰⵏⴰⵎⵓⵔ	æ n̪ æ m u̞ r
ⴰⵏⴰⵏⴰⵚ	ɑ n̪ ɑ n̪ ɑ̝ sˤ
ⴰⵏⴰⵏⴰⵚ	ɑ n̪ ɑ n̪ ɑ̝ sˤ
ⴰⵏⴼⴰⵍ	æ̝ n̪ f æ̝ l
ⴰⵏⴼⴰⵍ	æ̝ n̪ f æ̝ l
ⴰⵏⵏⴰⵢ	æ̝ n̪ː æ̝ j
ⴰⵏⵏⴰⵢ	æ̝ n̪ː æ̝ j
ⴰⵏⵓ	æ n̪ u
ⴰⵏⵓ	æ n̪ u
