луғәт	l u ɣ ɛ t̚
луғәт	l u ɣ æ t̚
сүзүк	s y z y k̚
сүзүк	s y z y x
ئادەتتە	a l t æ t̚ t æ
ئادەتتە	a l d æ t̚ t æ
ئادەتتە	a l t ɛ t̚ t ɛ
ئادەتتە	a l d ɛ t̚ t ɛ
ئىقتىساد	ɯ̥ χ tʰ ɪ̥ s ɑ t
ئۆلمەك	œ l m æ k̚
ئۆلمەك	œ l m ɛ k̚
ئۆلمەك	œ l m æ x
ئۆلمەك	œ l m ɛ x
تاش	t ɑ ʃ
تام	tʰ ɑ m
تىز	t i z
تەس	tʰ ɛ s
جاۋاب	d͡ʒ ɑ w ɑ p̚
جاۋاب	d͡ʒ ɑ v ɑ p̚
جاۋاب	d͡ʒ a w a p̚
جاۋاب	d͡ʒ a v a p̚
ـلار	l ɑ r
ـلار	l ɑː
ـلەر	l æ r
ـلەر	l æː
ياخشى	j ɑ̝ χ ʃ ɪ
ياخشىمۇسىز	j ɑ̝ χ ʃ ɪ m ʊ s ɘ s
يىل	j ɨ l
پاك	pʰ ɑ k
پاكىز	pʰ ɑ kʰ ɪ z
پۇل	pʰ u l
