Inkerimaa	i ŋ k e r iː m ɑː
Ičäpäivä	i t͡ʃ æ p æ i̯ v æ
Jaama	j ɑː m ɑ
Jõgõperä	j ɤ ɡ ɤ p e r æ
Kabrio	k ɑ b r i o̯
Kattila	k ɑ tː i l ɑ
Kerstova	k e r s t o v ɑ
Kliimettina	k l iː m e tː i n ɑ
Krissuz	k r i sː u z
Kukkuzi	k u kː u z i
Kõrvõttula	k ɤ r v ɤ tː u l ɑ
Laugaz	l ɑ u̯ ɡ ɑ z
Lempola	l e m p o l ɑ
Liivčülä	l iː v t͡ʃ y l æ
Luuditsa	l uː d i t͡s ɑ
Luutsa	l uː t͡s ɑ
Luutsa	l uː t͡sː ɑ
Mati	m ɑ t i
Muukõ	m uː k ɤ
Petteri	p e tː e r i
Pihlaala	p i h l ɑː l ɑ
Rajo	r ɑ j o
Rootsimaa	r oː t͡s iː m ɑː
Soomi	s oː m i
Soomõmaa	s oː m ɤː m ɑː
Undova	u n d o v ɑ
Vaipooli	v ɑ i̯ p oː l i
Velikkä	v e l i kː æ
Venamaa	v e n ɑ m ɑː
Viipuri	v iː p u r i
Viromaa	v i r oː m ɑː
aa	ɑː
aadu	ɑː d u
aapain	ɑː p ɑ i̯ n
aapõ	ɑː p ɑ
aarto	ɑː r t o
aarõ	ɑː r ɑ
aavõ	ɑː v ɑ
adrõ	ɑ d r ɑ
aftobussõ	ɑ f t o b u sː ɑ
ahavõ	ɑ h ɑ v ɑ
ahaz	ɑ h ɑ z
ahilõ	ɑ h i l ɑ
ahissa	ɑ h i sː ɑː
ahjo	ɑ h j o
ahjopäälüz	ɑ h j o p æː l y z
ahkõrõ	ɑ h k ɤ r ɑ
ahmia	ɑ h m i ɑ̯
ahnõ	ɑ h n ɤ
ahnõz	ɑ h n ɑ z
aho	ɑ h o
ahta	ɑ h t ɑː
ahtõri	ɑ h t ɤ r i
ahvõkko	ɑ h v ɑ kː o
ahvõn	ɑ h v ɤ n
ahvõnõ	ɑ h v ɤ n ɑ
ai	ɑ i̯
aika	ɑ i̯ k ɑː
aikõ	ɑ i̯ k ɑ
ain	ɑ i̯ n
ainogo	ɑ i̯ n o ɡ o
ainovõ	ɑ i̯ n o v ɑ
aintaki	ɑ i̯ n t ɑ k i
ainõgo	ɑ i̯ n ɑ ɡ o
airo	ɑ i̯ r o
aisõ	ɑ i̯ s ɑ
aitõ	ɑ i̯ t ɑ
aivo	ɑ i̯ v oː
aivõsõllõ	ɑ i̯ v ɑ s ɤ lː ɑ
aivõz	ɑ i̯ v ɑ z
ajajõ	ɑ j ɑ j ɑ
ajatuz	ɑ j ɑ t u z
ajatõllõ	ɑ j ɑ t ɤ lː ɑ
ajja	ɑ j ɑː
ajo	ɑ j o
ajud	ɑ j u d
ajõllõ	ɑ j ɤ lː ɑ
akanõ	ɑ k ɑ n ɑ
akkunaluz	ɑ kː u n ɑ l u z
akkunõ	ɑ kː u n ɑ
akkõ	ɑ kː ɑ
alameri	ɑ l ɑ m e r i
alassi	ɑ l ɑ sː i
alattu	ɑ l ɑ tː u
alaz	ɑ l ɑ z
alka	ɑ l k ɑː
alko	ɑ l k o
alku	ɑ l k u
alkua	ɑ l k u ɑ̯
all	ɑ lː
all	ɑ lː ɑ
alla	ɑ l ɑː
allõ	ɑ lː ɑ
alt	ɑ l t
alt	ɑ l t ɑ
