aa	a a
aa	aː
achaws	a χ a u̯ s
achos	a χ o s
adaw	a d a u̯
adaw	a ð a u̯
adeiladeu	a d e i̯ l a d e ʉ̯
adeilat	a d e i̯ l a d
adnabot	a d n a b o d
adnabydy	a d n a b ə ð ɨ
adnappo	a d n a p o
adoed	a ð o ɨ̯ ð
adurn	a ð ʉ r n
adwaenwn	a d w a ɨ̯ n u n
ae	a ɨ̯
aem	a e m
aem	a ɨ̯ m
aent	a e n t
aent	a ɨ̯ n t
aet	a e d
aet	a ɨ̯ d
aeth	a e θ
aeth	a ɨ̯ θ
aethont	a e θ o n t
aethont	a ɨ̯ θ o n t
af	aː v
agheuawl	a ŋ̊ e ʉ̯ a u̯ l
agoret	a ɡ o r e d
agori	a ɡ o r i
angheu	a ŋ̊ e ʉ̯
allan	a ɬ a n
am	a m
amdanaf	a m d a n a v
amdanat	a m d a n a t
amdanaw	a m d a n a u̯
amdanei	a m d a n e i̯
amgeledus	a m ɡ e l e ð ʉ s
amgen	a m ɡ e n
ammot	a m m o d
ammouyn	a m m o v ɨ n
amser	a m s e r
amserach	a m s e r a χ
amyl	a m l
an	ə n
anglot	a ŋ̊ l o d
annwyt	a n n u ɨ̯ d
anryded	a n r̥ ə d e ð
ansawd	a n s a u̯ ð
ansyberwyt	a n s ə b e r u ɨ̯ d
ant	aː n t
anuod	a n v o ð
anuon	a n v o n
anwedus	a n w e ð ʉ s
anwybot	a n w ə b o d
ar	a r
araf	a r a v
arall	a r a ɬ
araued	a r a v e ð
arch	a r χ
archaf	a r χ a v
archo	a r χ o
archoll	a r χ o ɬ
archut	a r χ ʉ d
ardelw	a r ð e l w
ardurn	a r ð ʉ r n
arf	a r v
arglwyd	a r ɡ l u ɨ̯ ð
arglwydes	a r ɡ l u ɨ̯ ð e s
arglwydiaeth	a r ɡ l u ɨ̯ ð j a ɨ̯ θ
arlwy	a r l u ɨ̯
arnaf	a r n a v
arnat	a r n a d
arueu	a r v e ʉ̯
arwyd	a r u ɨ̯ ð
arho	a r̥ o
arhos	a r̥ o s
at	a t
attaf	a t a v
attal	a t a l
attaw	a t a u̯
attei	a t e i̯
attep	a t e b
attunt	a t ʉ n t
attwyn	a t u ɨ̯ n
attygaf	a t ə ɡ a v
attygy	a t ə ɡ ɨ
atuyd	a t v ɨ ð
athoed	a θ o ɨ̯ ð
aut	a ʉ d
auory	a v o r ɨ
awn	a u n
awn	a u̯ n
awyd	a u ɨ̯ ð
awyr	a u ɨ̯ r
barr	b a r
bawb	b a u̯ b
bei	b e i̯
beth	b e θ
beunoeth	b e ʉ̯ n o ɨ̯ θ
beunyd	b e ʉ̯ n ɨ ð
blaen	b l a ɨ̯ n
blwydyn	b l u ɨ̯ ð ɨ n
blwydyned	b l u ɨ̯ ð ə n ɛ ð
blyned	b l ə n e ð
bo	b o
bogel	b o ɡ e l
bonhedigeid	b o n̥ e ð i ɡ e i̯ ð
bonhedigeidaf	b o n̥ e ð i ɡ e i̯ ð a v
bord	b o r d
bordeu	b o r d e ʉ̯
bot	b o d
breich	b r e i̯ χ
brenhin	b r e n̥ i n
brenhines	b r e n̥ i n e s
brethyn	b r e θ ɨ n
bu	b ʉ
buam	b ʉ a m
buant	b ʉ a n t
buassei	b ʉ a s e i̯
buom	b ʉ o m
buont	b ʉ o n t
buost	b ʉ o s t
buwyt	b ʉ u ɨ̯ d
bwrw	b u r w
bwyf	b u ɨ̯ v
bwyt	b u ɨ̯ d
bych	b ɨ χ
byd	b ɨ ð
bydaf	b ə ð a v
bydei	b ə ð e i̯
bydwch	b ə ð u χ
bydwn	b ə ð u n
bydy	b ə ð ɨ
bydynt	b ə ð ɨ n t
bynnac	b ə n a ɡ
byrit	b ə r i t
byrwn	b ə r u n
byryer	b ə r j e r
byt	b ɨ d
byw	b ɨ u̯
cadarn	k a d a r n
cadarnhau	k a d a r n̥ a ʉ̯
cadw	k a d w
cael	k a ɨ̯ l
Caerussalem	k e ɨ̯ r u̯ s a l ɛ m
caf	k a v
caffael	k a f a ɨ̯ l
caffei	k a f e i̯
caffel	k a f e l
caffo	k a f o
caffwn	k a f u n
cam	k a m
camhet	k a m̥ e d
can	k a n
canis	k a n i s
canlyn	k a n l ɨ n
canlynwys	k a n l ə n u ɨ̯ s
cant	k a n t
cantref	k a n t r e v
canu	k a n ʉ
cany	k a n i
canys	k a n ɨ s
canyt	k a n i d
capla	k a b l a
caplu	k a b l ʉ
caraf	k a r a v
caru	k a r ʉ
carueidrwyd	k a r ʉ e i̯ ð r u ɨ̯ ð
carw	k a r w
caryat	k a r j a d
kauas	k a v a s
caussam	k a u̯ s a m
cawssei	k a u̯ s e i̯
keffy	k e f ɨ
kegin	k e ɡ i n
keif	k e i̯ f
keis	k e i̯ s
keissaw	k e i̯ s a u̯
kerd	k e r ð
kerdassant	k e r ð a s a n t
kerdawd	k e r ð a u̯ ð
kerdei	k e r ð e i̯
kerdet	k e r ð e d
kerdeu	k e r ð e ʉ̯
kerdwn	k e r ð u n
kerdwys	k e r ð u ɨ̯ s
kerennyd	k e r e n n ɨ ð
kery	k e r ɨ
kerych	k e r ɨ χ
kerynt	k e r ɨ n t
keueis	k e v e i̯ s
keueist	k e v e i̯ s t
keuen	k e v e n
kewch	k e u̯ χ
cheuyn	ŋ̊ e v ə n
cheuyn	ŋ̊ e v n
cheuyn	χ e v ə n
cheuyn	χ e v n
ki	k i
kigleu	k i ɡ l e ʉ̯
kilyd	k i l ɨ ð
claerwyn	k l a ɨ̯ r w ɨ n
cledyf	k l e ð ɨ v
cledyueu	k l e ð ə v e ʉ̯
clust	k l ʉ s t
clusteu	k l ʉ s t e ʉ̯
clywei	k l ə u̯ e i̯
clywet	k l ə u̯ e d
clywhont	k l ə u̯ h o n t
clywssont	k l ə u̯ s o n t
knaw	k n a u̯
kneu	k n e ʉ̯
coch	k o χ
cochet	k o χ e d
cochwys	k oː χ χ w ɨː s
cochyon	k o χ j o n
coet	k o ɨ̯ d
cof	k o v
corff	k o r f
corn	k o r n
cwn	k u n
kychwyn	k ə χ w ɨ n
kychwynnaf	k ə χ w ə n n a v
kychwynnwys	k ə χ w ə n n u ɨ̯ s
kydymdeith	k ə d ə m d e i̯ θ
kydymdeithas	k ə d ə m d e i̯ θ a s
kydymdeithon	k ə d ə m d e i̯ θ o n
kyfranc	k ə v r a ŋ k
kyfryw	k ə v r ɨ u̯
kyffes	k ə f e s
kyffy	k ə f ɨ
kyghor	k ə ŋ̊ o r
kymeint	k ə m e i̯ n t
Kymraec	k ə m r a ɛ ɡ
Kymraec	k ə m r a ɨ̯ ɡ
kynnwryf	k ə n n u r ə v
kynnwryf	k ə n n u r v
kyuar	k ə v a r
kyuarch	k ə v a r χ
kyuarchaf	k ə v a r χ a v
kyuarws	k ə v a r u s
chauas	χ a v a s
chadw	ŋ̊ a d w
chadw	χ a d w
chaffei	χ a f e i̯
chaffo	χ a f o
chan	χ a n
chanu	ŋ̊ a n ʉ
chanu	χ a n ʉ
chapla	χ a b l a
charueidrwyd	ŋ̊ a r ʉ e i̯ ð r u ɨ̯ ð
charueidrwyd	χ a r ʉ e i̯ ð r u ɨ̯ ð
charyat	ŋ̊ a r j a d
charyat	χ a r j a d
cherdet	ŋ̊ e r ð e d
cherdet	χ e r ð e d
cherdeu	ŋ̊ e r ð e ʉ̯
cherdeu	χ e r ð e ʉ̯
chewch	χ e u̯ χ
chorn	ŋ̊ o r n
chorn	χ o r n
chwerw	x w e r w
chyuarchaf	χ ə v a r χ a v
chyuarchaf	ŋ̊ ə v a r χ a v
dirvawr	d i r v a u r
diued	d i w e ð
dos	d oː s
dwfyr	d u v ə r
dyd	d ɨː ð
eirch	e i̯ r χ
eit	e i d
eit	e i̯ d
el	eː l
elei	e l e i̯
elem	e l e m
eler	e l e r
elid	e l i d
eloch	e l o χ
elom	e l o m
elut	e l ʉ d
elwn	e l u n
elwyf	e l u ɨ̯ v
elych	e l ɨ χ
enryded	e n r̥ ə d e ð
enw	e n w
ercheis	e r χ e i̯ s
ercheist	e r χ e i̯ s t
erchi	e r χ i
erchy	e r χ ɨ
erchych	e r χ ɨ χ
ereill	e r e i̯ ɬ
etteil	e t e i̯ l
ewch	e u χ
ewch	e u̯ χ
ey	e ɨ
gadarn	ɡ a d a r n
gaffel	ɡ a f e l
gaffwn	ɡ a f u n
gam	ɡ a m
gamhet	ɡ a m̥ e d
garaf	ɡ a r a v
garueidrwyd	ɡ a r ʉ e i̯ ð r u ɨ̯ ð
garyat	ɡ a r j a d
gauas	ɡ a v a s
gaussam	ɡ a u̯ s a m
gawssei	ɡ a u̯ s e i̯
gegin	ɡ e ɡ i n
geif	ɡ e i̯ f
gerdassant	ɡ e r ð a s a n t
gerdawd	ɡ e r ð a u̯ ð
gerdei	ɡ e r ð e i̯
gerdet	ɡ e r ð e d
gerdwys	ɡ e r ð u ɨ̯ s
gerennyd	ɡ e r e n n ɨ ð
gery	ɡ e r ɨ
gerynt	ɡ e r ɨ n t
geuen	ɡ e v e n
geueis	ɡ e v e i̯ s
geueist	ɡ e v e i̯ s t
geuyn	ɡ e v ə n
geuyn	ɡ e v n
gigleu	ɡ i ɡ l e ʉ̯
gilyd	ɡ i l ɨ ð
glywei	ɡ l ə u̯ e i̯
glywhont	ɡ l ə u̯ h o n t
glywssont	ɡ l ə u̯ s o n t
gnaw	ɡ n a u̯
gochyon	ɡ o χ j o n
gof	ɡ o v
gor	ɡ o r
gorff	ɡ o r f
gorn	ɡ o r n
goruotref	ɡ o r v o t r e v
gwell	ɡ w e ɬ
gwn	ɡ u n
gwr	ɡ uː r
gwyn	ɡ w ɨ n
gwyr	ɡ w ɨ r
gwyr	ɡ u ɨ̯ r
gychwynnaf	ɡ ə χ w ə n n a v
gychwynnwys	ɡ ə χ w ə n n u ɨ̯ s
gydymdeithas	ɡ ə d ə m d e i̯ θ a s
gydymdeithon	ɡ ə d ə m d e i̯ θ o n
gyfranc	ɡ ə v r a ŋ k
gyfryw	ɡ ə v r ɨ u̯
hachos	h a χ o s
hamser	h a m s e r
hannwyt	h a n n u ɨ̯ d
hanuot	h a n v o d
harch	h a r χ
hardelw	h a r ð e l w
harlwy	h a r l u ɨ̯
henw	h e n w
herchi	h e r χ i
hun	h ʉ n
idaw	i ð a u̯
it	i t
gnouein	ɡ n o v e i̯ n
knouein	k n o v e i̯ n
llanw	ɬ a n w
mae	m a ɨ̯
marchawc	m a r χ a u̯ ɡ
marr	m a r
mlyned	m l ə n e ð
mynet	m ə n e d
mynyd	m ə n ɨ ð
newyn	n e w ɨ n
ny	n i
nyd	n ɨː ð
oed	o ɨ̯ ð
oedit	o ɨ̯ ð i t
oedwn	o ɨ̯ ð u n
oedynt	o ɨ̯ ð ɨ n t
oes	o ɨ̯ s
pawb	p a u̯ b
pendeuic	p e n d e v i ɡ
penn	p e n
pynnac	p ə n a ɡ
phawb	f a u̯ b
phawb	m̥ a u̯ b
redec	r̥ e d e ɡ
rwyt	r̥ u ɨ̯ d
seith	s e i̯ θ
taiauctref	t a ɨ̯ a u̯ ɡ t r eː v
taryan	t a r j a n
taryaneu	t a r j a n a ʉ̯
twryf	t u r ə v
twryf	t u r v
ulaen	v l a ɨ̯ n
ulwydyn	v l u ɨ̯ ð ɨ n
un	ʉ n
uot	v o d
uuassei	v ʉ a s e i̯
uuost	v ʉ o s t
varr	v a r
uei	v e i̯
uo	v o
ureich	v r e i̯ χ
urenhin	v r e n̥ i n
wrenhin	v r e n̥ i n
urenhines	v r e n̥ i n e s
urethyn	v r e θ ɨ n
uu	v ʉ
uuwyt	v ʉ u ɨ̯ d
uwrw	v u r w
uwyt	v u ɨ̯ d
uych	v ɨ χ
uyd	v ɨ ð
uydaf	v ə ð a v
uydei	v ə ð e i̯
uydwn	v ə ð u n
vynet	v ə n e d
uyrit	v ə r i t
well	w e ɬ
wr	uː r
wyf	u ɨ̯ v
wyr	w ɨː r
wyr	u ɨ̯ r
wyt	u ɨ̯ t
