аав	aː w ə
авх	a w χ ə
аһар	a ʁ a r
аһр	a ʁ ə r
ад	a t
айлһ	a j ə l ʁ ə
алтн	a l t ə n
альчур	a lʲ t͡ɕ u r
амар	a m a r
амн	a m ə n
амтн	a m t ə n
андн	a n d ə n
анр	a n ə r
арл	a r ə l
арслң	a r s l ə ŋ k
ахр	a χ ə r
аю	a j u
әмтн	æ m t ə n
Әрәсә	æ r æ s æ
баатр	b aː t ə r
бавуха	b a w u χ a
багш	b a k ʃ ə
баһ	b a ʁ ə
баһ	b a χ
баһчуд	b a ɣ t ʃ u d
бадм	b a d m ə
бадмшх	b a d ə m ʃ χ ə
байрлҗанав	b a j r ə lʲ d͡ʑ a n a w
бал	b a l
бал	b a l ə
барун	b a r u n
бәәх	b æː χ ə
биз	b i z ə
биз	b i s
биллүр	b i lʲ l y r
билцг	b i lʲ t͡s ə k
бичәч	b i t͡ɕ æː t͡ɕ ə
бичг	b i t͡ɕ ə k
бичкн	b i t͡ɕ k ə n
бичх	b i t ʃ x ə
биш	b i ʃ ə
болн	b o l ə n
болх	b o l χ ə
бө	b ø
бөкүн	b ø k yː n ə
буйн	b u j ə n
буйн	b u i n
булһн	b u l ʁ ə n
бух	b u χ ə
бүдүн	b y d y n
бүр	b y r ə
бүшмүд	b y ʃ m y t
гелң	ɡ e l ə ŋ k
геңгә	ɡ e ɳ ɡ æ
гер	ɡ e r
гер	ɡ e r ə
гергн	ɡ e r ɡ ə n
гесн	ɡ e s ə n
гиҗг	ɡ i d͡ʑ ə k
гөрәсн	ɡ ø r æː s ə n
һазр	ʁ a z ə r
һал	ʁ a l
һар	ʁ a r
һарх	ʁ a r χ ə
һаха	ɢ ɑ χ ɑ
һәрд	ɢ æ r d ə
һол	ʁ o l
һосн	ɢ o s ə n
һуйр	ʁ u j ə r
һурвн	ʁ u r w ə n
давсн	d a w s ə n
дала	d a l a
дараһар	d a r a ʁ a r
даран	d a r a n
дәәсн	d æː s ə n
девл	d e w ə lʲ
девтр	d e v t ə r
деегүр	d eː ɡ y r
дел	d e lʲ
делкә	d e lʲ k æ
делң	d e lʲ ə ɳ k
делүн	d e lʲ y n
дер	d e r
дер	d e r ə
долан	d o l a n
долах	d o l aː x ə
дольган	d o lʲ ɡ a n
дөрвн	d ø r w ə n
дулан	d u l a n
дун	d u n
дурн	d u r ə n
дуулх	d uː l x ə
дүрклх	d y r k ə lʲ χ ə
җид	d͡ʑ i d ə
җил	d ʒ i l
җомба	d͡ʑ o m b a
заһсн	z a χ s ə n
залу	z a l u
зара	z a r a
зарһ	z a r ʁ ə
зарһч	z a r χ t͡ɕ ə
зах	z a χ ə
зег	z e k
зос	z o s ə
зөг	z ø k
зузан	z u z a n
зун	z u n ə
зун	z u n
зурач	z u r aː t͡ɕ ə
зусн	z u s ə n
зүн	z y n
зүн	z y n
зүрҗ	z u r d͡ʑ ə
зүркн	z y r k ə n
зүсн	z y s ə n
зүүдн	z yː d ə n
идх	i t χ ə
ик	i k ə
инрл	i n r ə lʲ
йовдл	j o w d ə l
йовх	j o w x ə
йөрәл	j ø r æ lʲ
кампать	k a m p a tʲ
ке	k e
кевс	k e w ə s
келх	k e lʲ χ ə
кех	k e χ ə
киилг	k iː lʲ ə k
киисн	k i s ə n
киитн	k iː t ə n
килң	k i lʲ ə ɳ k
кимзә	k i m z æ
көвүн	k ø w y n
көглҗрһн	k ø ɡ ə lʲ d͡ʑ ə r ʁ n ə
көглҗрһн	k ø ɡ ə lʲ d͡ʑ ə r ʁ ə n
көк	k ø k ə
көкн	k ø k ə n
күзүн	k y z y n
күн	k y n
күрх	k y r χ ə
күүкн	k yː k ə n
күчтә	k y t͡ɕ t æ
лам	l a m ə
маальг	m aː lʲ ə k
маңна	m a ɳ ɡ n a
маңна	m a ɳ ʁ n a
марһан	m a r ʁ a n
махла	m a χ l a
маштг	m a ʃ t ə k
медх	m e t χ ə
меклә	m e k l æ
менд	m e n d ə
мендвт	m e n d y t
мендвт	m e n d ə t
мендвт	m e n d ə f t
мис	m i s
моһа	m o ʁ a
модн	m o d ə n
моңһл	m o ŋ ɡ ə l
мөңгн	m ø ŋ ɡ ə n
мөр	m ø r
мөр	m ø r ə
мөрн	m ø r ə n
му	m u
намр	n a m ə r
намтр	n a m t ə r
невчкн	n e w t͡ɕ k ə n
нерн	n e r ə n
нигүлскү	n i ɡ y lʲ s k y
ниигм	n iː ɡ ə m
нимгн	n i m ɡ ə n
ноһан	n o ʁ a n
ном	n o m ə
номт	n o m t ə
ноха	n o χ a
нур	n u r
нурһн	n u r ʁ ə n
нүдн	n y d ə n
нүр	n y r
ң	ŋ ɡ
одн	o d ə n
одх	o t χ ə
олзлх	o l z ə l χ ə
олн	o l ə n
он	o n
ооль	oː lʲ ə
оошк	oː ʃ k ə
орм	o r ə m
орн	o r ə n
орс	o r ə s
орс	o r s ə
орх	o r χ ə
орчулвр	o r t͡ɕ u l v ə r
охх	o χ k ə
оштрм	o ʃ t r ə m
оютн	o j uː t ə n
ө	ø
ө	ø
өвр	ø w ə r
өгх	ø k x ə
өгх	ø k k ə
өмн	ø m n ə
өөкн	øː k ə n
өөрд	øː r ə t
өргн	ø r ɡ ə n
өршәңгү	ø r ʃ æ ɳ ɡ y
пөөгр	p øː ɡ ə r
сандл	s a n d ə l
сар	s a r
сар	s a r ə
сарсхр	s a r s χ ə r
сәәхн	s æː χ ə n
селән	s e l æ n
сертхр	s e r t χ ə r
сиик	s iː k ə
симфонь	s i m f o nʲ
симфонь	s i m f oː nʲ ə
сойл	s o j ə l
солңһ	s o l ə ŋ ʁ ə
сонҗлта	s o nʲ d ʑ i lʲ t a
сө	s ø
суль	s u lʲ
сурһуль	s u r ʁ u lʲ
сурһульч	s u r ʁ uː lʲ t͡ɕ ə
сурх	s u r χ ə
суух	s uː χ ə
сүл	s y lʲ
сүлд	s y lʲ d ə
