bebí	p ɛ̀ p í ʔ
bebí	p ɛ̀ p í
bebíah	p ɛ̀ p ɪ́ à h
bebíah	p ɛ̀ p ɪ́ à
che	t͡ʃʰ ɛ̀ ʔ
che	t͡ʃʰ ɛ̀
cheekuah	t͡ʃʰ ɛ̀ː kʷʰ ù à h
cheekuah	t͡ʃʰ ɛ̀ː kʷʰ ù à
chá	t͡ʃʰ á ʔ
chá	t͡ʃʰ á
chǫ	t͡ʃʰ õ̞̀ ʔ
chǫ	t͡ʃʰ õ̞̀
dechį	t ɛ̀ t͡ʃʰ ĩ̀ ʔ
dechį	t ɛ̀ t͡ʃʰ ĩ̀
deh	t ɛ̀ h
deh	t ɛ̀
dene	t ɛ̀ n ɛ̀ ʔ
dene	t ɛ̀ n ɛ̀
deneke	t ɛ̀ n ɛ̀ cʰ ɛ̀ ʔ
deneke	t ɛ̀ n ɛ̀ cʰ ɛ̀
denekéhle	t ɛ̀ n ɛ̀ cʰ ɛ́ʰ ɮ ɛ̀ ʔ
denekéhle	t ɛ̀ n ɛ̀ cʰ ɛ́ʰ ɮ ɛ̀
deshį	t ɛ̀ ʃ ĩ̀ ʔ
deshį	t ɛ̀ ʃ ĩ̀
dih	t ì h
dih	t ì
dihcho	t ɪ̀ʰ t͡ʃʰ ò̞ ʔ
dihcho	t ɪ̀ʰ t͡ʃʰ ò̞
dzene	t͡s ɛ̀ n ɛ̀ ʔ
dzene	t͡s ɛ̀ n ɛ̀
dzéh	t͡s ɛ́ h
dzéh	t͡s ɛ́
dánéhtʼé	t á n ɛ́ʰ tʼ ɛ́ ʔ
dánéhtʼé	t á n ɛ́ʰ tʼ ɛ́
dúyé	t ú j é ʔ
dúyé	t ú j é
dúyé	t ú ʒ é ʔ
dúyé	t ú ʒ é
dųa	t ũ̀ à ʔ
dųa	t ũ̀ à
gah	k à h
gah	k à
gha	ɣ à ʔ
gha	ɣ à
golǫ	kʷ ò̞ ɮ õ̞̀ ʔ
golǫ	kʷ ò̞ ɮ õ̞̀
gotsʼę́	kʷ ò̞ t͡sʼ ɛ̃́ ʔ
gotsʼę́	kʷ ò̞ t͡sʼ ɛ̃́
hé	h ɛ́ ʔ
hé	h ɛ́
jíye	t͡ʃ ɪ́ j è ʔ
jíye	t͡ʃ ɪ́ j è
jíye	t͡ʃ ɪ́ ʒ è ʔ
jíye	t͡ʃ ɪ́ ʒ è
jíyetú	t͡ʃ ɪ́ j è tʰ ú ʔ
jíyetú	t͡ʃ ɪ́ j è tʰ ú
jíyetú	t͡ʃ ɪ́ ʒ è tʰ ú ʔ
jíyetú	t͡ʃ ɪ́ ʒ è tʰ ú
kų́	kʷʰ ṹ ʔ
kų́	kʷʰ ṹ
kǫ́	kʷʰ ṍ̞ ʔ
kǫ́	kʷʰ ṍ̞
kǫ́tu	kʷʰ ṍ̞ tʰ ù ʔ
kǫ́tu	kʷʰ ṍ̞ tʰ ù
kʼoh	kʼ ò̞ h
kʼoh	kʼ ò̞
kʼáy	kʼ á j
kʼáy	kʼ á ʒ
kʼų́	kʼ ṹ ʔ
kʼų́	kʼ ṹ
libé	ɮ ɪ̀ p ɛ́ ʔ
libé	ɮ ɪ̀ p ɛ́
lidí	ɮ ɪ̀ t í ʔ
lidí	ɮ ɪ̀ t í
líbarí	ɮ ɪ́ p à ɾ í ʔ
líbarí	ɮ ɪ́ p à ɾ í
mbeh	ᵐb ɛ̀ h
mbeh	ᵐb ɛ̀
mbehah	ᵐb ɛ̀ h à h
mbehah	ᵐb ɛ̀ h à
medzih	m ɛ̀ t͡s ì h
medzih	m ɛ̀ t͡s ì
meh	m ɛ̀ h
meh	m ɛ̀
mehchiné	m ɛ̀ʰ t͡ʃʰ ɪ̀ n ɛ́ ʔ
mehchiné	m ɛ̀ʰ t͡ʃʰ ɪ̀ n ɛ́
máhsi	m áʰ s ì ʔ
máhsi	m áʰ s ì
mį́h	m ĩ́ h
mį́h	m ĩ́
ndu	ⁿt ù ʔ
ndu	ⁿt ù
noohtsi	n ò̞ːʰ t͡sʰ ì ʔ
noohtsi	n ò̞ːʰ t͡sʰ ì
nu	n ù ʔ
nu	n ù
nóda	n ó̞ t à ʔ
nóda	n ó̞ t à
nódacho	n ó̞ t à t͡ʃʰ ò̞ ʔ
nódacho	n ó̞ t à t͡ʃʰ ò̞
nódayaa	n ó̞ t à j àː
nódayaa	n ó̞ t à ʒ àː
sa	s à ʔ
sa	s à
sachǫ	s à t͡ʃʰ õ̞̀ ʔ
sachǫ	s à t͡ʃʰ õ̞̀
sadzee	s à t͡s ɛ̀ː
sah	s à h
sah	s à
sahcho	s àʰ t͡ʃʰ ò̞ ʔ
sahcho	s àʰ t͡ʃʰ ò̞
sahdhéh	s àʰ ð ɛ́ h
sahdhéh	s àʰ ð ɛ́
sahyaa	s àʰ j àː
sahyaa	s àʰ ʒ àː
samba	s àᵐ b à ʔ
samba	s àᵐ b à
shah	ʃ à h
shah	ʃ à
shį	ʃ ĩ̀ ʔ
shį	ʃ ĩ̀
shǫ	ʃ õ̞̀ ʔ
