आँभु	ã bʱ u
इॽठोप	i ʔ ʈʰ o p
एन्‍ढि	e n ɖʱ i
का	k a
किङ्‌मे़ॽला	k i ŋ m ɛ ʔ l a
किसा	k i s a
के़ए़	k ɛ ɛ
कोक्चुम	k o k t͡s u m
खनावा	kʰ ʌ n a w a
खपेटा	kʰ ʌ p e ʈ a
खाइमा	kʰ a i m a
खाप	kʰ a p
खाम्‍डाङ	kʰ a m ɖ a ŋ
खाम्‍बुक	kʰ a m b u k
खासा	kʰ a s a
खाॽला	kʰ a ʔ l a
खिम	kʰ i m
खिरिक	kʰ i r i k
खिसाक	kʰ i s a k
खुङ्‌सा	kʰ u ŋ s a
खो	kʰ o
खोइॽए	kʰ o i ʔ e
खोरे़	kʰ o r ɛ
गिबा	ɡ i b a
ङाजिक	ŋ a d͡z i k
चम	t͡s ʌ m
चा	t͡s a
चिउरिङ	t͡s i u r i ŋ
चुक	t͡s u k
चुङ्‌नम	t͡s u ŋ n ʌ m
चेॽठाम	t͡s e ʔ ʈʰ a m
चोक्पा	t͡s o k p a
चोक्‍चि	t͡s o k t͡s i
चोफुक्‍ला	t͡s o pʰ u k l a
चोमोलोङ्‍मा	t͡s o m o l o ŋ m a
चोरा	t͡s o r a
जिउ	d͡z i u
टाङ	ʈ a ŋ
टुबालाबा	ʈ u b a l a b a
ठाक्‍पा	ʈʰ a k p a
ठुक्‍ला	ʈʰ u k l a
डप्‍को	ɖ ʌ p k o
डिहि	ɖ i h i
डुक्‍घ्‍रेक	ɖ u k ɡʱ r e k
डुम्‍खुरा	ɖ u m kʰ u r a
डुम्‍रुक	ɖ u m r u k
डुम्‍हाङ	ɖ u m h a ŋ
तुक	t u k
थाउरुम	tʰ a u r u m
दोस्‍कार	d o s k a r
ननि	n ʌ n i
नम्‍डेम	n ʌ m ɖ e m
नाॽउ	n a ʔ u
निवा	n i w a
निॽचि	n i ʔ t͡s i
नुच्‍चि	n u t͡s t͡s i
नेए़क	n e ɛ k
पक्‍पक्मा	p ʌ k p ʌ k m a
पयाक	p ʌ j a k
पस्‍ना	p ʌ s n a
पाक्‍देङ	p a k d e ŋ
पिक	p i k
पिक्‍पुसा	p i k p u s a
पितोङ्सि	p i t o ŋ s i
पिम्‍भि	p i m bʱ i
पुडाङ	p u ɖ a ŋ
पुवाबु	p u w a b u
पे़पु	p ɛ p u
पोबोक	p o b o k
फाक्‍मा	pʰ a k m a
फाखामा	pʰ a kʰ a m a
फाबु	pʰ a b u
फेॽवा	pʰ e ʔ w a
फोकुन्डोइक	pʰ o k u n ɖ o i k
फॽवा	pʰ ʌ ʔ w a
मक्‍मिॽ	m ʌ k m i ʔ
मखुवा	m ʌ kʰ u w a
माःक्‍सा	m a : k s a
माक्लुङ्बिक	m a k l u ŋ b i k
माक्‍तेङ	m a k t e ŋ
मागुप	m a ɡ u p
माङ्सुक	m a ŋ s u k
मिॽवा	m i ʔ w a
मे़ःॽमा	m ɛ : ʔ m a
मे़ॽखु	m ɛ ʔ kʰ u
रङ	r ʌ ŋ
रप्‍खे़ॽवा	r ʌ p kʰ ɛ ʔ w a
रम	r ʌ m
राङ्‌खे़ॽवासि	r a ŋ kʰ ɛ ʔ w a s i
राङ्‍घाॽवा	r a ŋ ɡʱ a ʔ w a
राजिमि	r a d͡z i m i
राजिराङ्‌मा	r a d͡z i r a ŋ m a
रिक्‍ना	r i k n a
रिङ्बु	r i ŋ b u
रिजि	r i d͡z i
रुङ्सेप्पा	r u ŋ s e p p a
ला	l a
लेन	l e n
लेम	l e m
वया	w ʌ j a
वाइङ	w a i ŋ
वाक्‍पा	w a k p a
वाफिमा	w a pʰ i m a
वाबोक्ला	w a b o k l a
सङ्‌गि	s ʌ ŋ ɡ i
सजङ	s ʌ d͡z ʌ ŋ
समिक	s ʌ m i k
समिक्‍पा	s ʌ m i k p a
सम्‍फि	s ʌ m pʰ i
सयचोङ	s ʌ j ʌ t͡s o ŋ
ससोक	s ʌ s o k
साँङा	s ã ŋ a
साउक	s a u k
साङ्‌याङ	s a ŋ j a ŋ
साटा	s a ʈ a
साधि	s a dʱ i
साप्‍फि	s a p pʰ i
साम	s a m
सिङाक	s i ŋ a k
सिङ्‌	s i ŋ
सिङ्‌बु	s i ŋ b u
सिचउवा	s i t͡s ʌ u w a
सुःक्मारा	s u : k m a r a
सेमाङ	s e m a ŋ
से़ला	s ɛ l a
सेॽकोॽवा	s e ʔ k o ʔ w a
सोःक्‍मा	s o : k m a
सोङ	s o ŋ
सोङा	s o ŋ a
सोङ्‌घेङ	s o ŋ ɡʱ e ŋ
सोङ्‌रा	s o ŋ r a
सोरि	s o r i
हउरम्बा	h ʌ u r ʌ m b a
हचोक्टोक	h ʌ t͡s o k ʈ o k
हरि	h ʌ r i
हुक	h u k
