אַ	a
אַ סך	a s a x
אַזיע	a z j ə
אַנדערע	a n d ə r ə
אַפֿריקע	a f r ɪ k ə
אויס־	oː s
אויס־	o ʊ̯ s
אויס־	ɔ ɪ̯ s
אויער	ɛ v ə ʁ
אויער	e ɪ ə ʁ
אויער	e ɪ v ə ʁ
אויער	ɛ ʊ̯ ə ʁ
אויפֿוועקן	a v v ɛ k ŋ̩
אויפֿוועקן	ɔ v v ɛ k ŋ̩
אויקען	ɔ ɪ̯ k ŋ̩
אומעטום	ʊ m ə t ʊ m
אומעטום	ɨ m ə t ɨ m
אומעטום	ɪ m ə t ɪ m
און	ʊ n
און	ɪ n
און	ɨ n
אונדז	ʊ n d z
אונדז	ɪ n d z
אונדז	ɨ n d z
איבער	i b ə r
איבער	j i b ə r
איבערלעבן	i b ə ʁ ɫ ɛ b m̩
איז	ɪ
אייראָפּע	ɛ j r ɔ p ə
אין	i n
באָבע־מעשׂה	b ʊ b ə m aː s ə
באַר	b a ʁ
בויך	b ɔ ɪ χ
בוך	b ʊ χ
בוך	b iː χ
בוך	b i χ
בית המקדש	b ɛ ɪ̯ s h a m ɪ ɡ d ɜ ʃ
בית המקדש	b a ɪ̯ s h a m ɪ ɡ d ə ʃ
בעט	b ɛ t
בער	b ɛ ʁ
ברודער	b r u d ə r
ברודער	b r i d ə r
ברויט	b r e ɪ̯ t
ברויט	b r ɔ ɪ̯ t
ברויט	b r ɔ u t
בריוו	b ʁ ɪ v
בריוו	b ʁ iː v
בריוו	b ʁ i v
גאונים	ɡ ɛ ɪ n ə m
גאונים	ɡ ɔ ɪ n ə m
גוט	ɡ ʊ t
גוט	ɡ ɪ t
גוטע	ɡ ʊ t ə
גוף	ɡ ʊ f
גוף	ɡ ɪ f
גנבֿ	ɡ a n ə f
גנבֿה	ɡ n ɛ ɪ v ə
גנבֿיש	ɡ a n ɛ ɪ v ɪ ʃ
געבן	ɡ ɛ b m̩
געבן	ɡ e ɪ̯ b m̩
געזונט	ɡ ə z ʊ n t
געזונט	ɡ ə z ɪ n t
געפֿרעגט	ɡ ə f ʁ ɛ k t
גערויש	ɡ ə ʁ ɔ ɪ ʃ
גערויש	ɡ ə ʁ ɔː ʃ
גערעדט	ɡ ə r ɛ t
גערעדט	ɡ ə ʁ ɛ t
גראָז	ɡ ʁ ɔ z
גראָז	ɡ ʁ uː s
גרויס	ɡ r e ɪ̯ s
גרויס	ɡ r ɔ u s
גריבענעס	ɡ ʁ ɪ b ə n ə s
גרענעץ	ɡ ʀ ɛ n ə t͡s
גרײַז	ɡ ʁ a ɪ z
גרײַז	ɡ ʁ aː z
גרײַז	ɡ ʁ a z
גײַסט	ɡ a ɪ s t
גײַסטיק	ɡ a ɪ s t ɪ k
גײַסטיק	ɡ aː s t ɪ k
דאָ	d u
דאָס	d ɔ s
דאָס	d ʊ s
דאַרף	d a f
די	d i
דעם	d ɛ m
דער	d ɛ r
דײַן	d a ɪ n
האָבן	h ɔ b n̩
האָבן	h ɔ b m̩
האַנט	h a n t
האָר	h ɔ ʁ
האָר	h ʊ ʁ
הויז	h oː z
הויז	h o ʊ̯ z
הויז	h ɔ ɪ̯ z
הויט	h e ɪ t
הויט	h ɔː t
הענט	h ɛ n t
הקדמה	h a ɡ d ɔ m ə
וואָגן	v uː ɡ ŋ̩
וואָס	v ɔ s
וואָס	v ʊ s
וואָסער	v ɔ s ə r
וואָסערע	v ɔ s ə r ə
וווּ	v u
וווּ	v i
וווּרשט	v ʊ ʁ ʃ t
וווּרשט	v ɪ ʁ ʃ t
וויסן	v ɪ s n̩
ווערב	v ɛ ʁ b
זאָגט	z ɔ k t
זאָגט	z uː k t
זאָגט	z u k t
זאָגן	z ʊ ɡ ŋ̩
זאַנג	z a ŋ ɡ
זון	z ʊ n
זון	z ɪ n
זון	z ɨ n
זון	z ʊ n
זון	z iː n
זון	z i n
זיבן	z ɪ b m̩
זיבן	z iː b m̩
זיבן	z i b m̩
זינגען	z ɪ ŋ ɡ ŋ̩
זיצטרין	z ɪ t s t ʁ ɪ n
זײַ מיר מוחל	z a ɪ̯ m i ʁ m ɔ ɪ̯ χ ɫ̩
זײַ מיר מוחל	z a ɪ̯ m i ʁ m ɛ ɪ̯ χ ɫ̩
זײַ מיר מוחל	z aː m i ʁ m ɔ ɪ̯ χ ɫ̩
זײַנען	z a ɪ n ə n
חופּה	χ ʊ p ə
חופּה	χ ɪ p ə
חופּה	χ ɨ p ə
חזיר	χ a z ə ʁ
חלום	χ ɔ l ə m
חלום	χ uː l ə m
חלום	χ u l ə m
חן	χ ɛ ɪ̯ n
חן	χ a ɪ̯ n
חשבון	χ ɛ ʒ b m̩
טאַטע	t a t ə
טאָן	t ɔ n
־טום	t ʊ m
טייטן	t ɛ j t n̩
יאָ	j ɔ
יאָר	j ɔ ʁ
יאָר	j uː ʁ
יאָר	j u ʁ
יום־טובֿ	j ɔ n t ɪ f
ייִד	j i d
ייִדן	j i d n̩
ישׂראל	j ɪ s ʀ ɔ ɪ̯ ɫ
כאַפּן	χ a p m̩
לאַקס	l a k s
לעבן	ɫ ɛ b m̩
לעבן	ɫ e ɪ b m̩
לענדער	l ɛ n d ə r
לײַב	l a ɪ b
לײַב	l aː b
לײַב	l a b
מאָגן	m ɔ ɡ ə n
מאָגן	m ʊ ɡ ə n
מאַמע	m a m ə
מאַמע	m ɔ m ə
מאָנאָפּאָל	m ɔ n ɔ p ɔ l
מאַראַנץ	m a ʁ a n t s
מאַרך	m a ʁ χ
מוזיק	m ʊ z ɪ k
מוח	m ɔ ɪ ə χ
מוח	m e ɪ ə χ
מוטער	m ʊ t ə ʁ
מוטער	m ɪ t ə ʁ
מוטערשייד	m ʊ t ə ʁ ʃ ɛ ɪ d
מוטערשייד	m ɪ t ə ʁ ʃ a ɪ d
מויז	m ɔ j z
מומע	m ʊ m ə
מומע	m iː m ə
מומע	m i m ə
מיכאל	m ɪ χ ɔ ɪ̯ ɫ
מענטש	m ɛ n t͡ʃ
מער	m ɛ ʁ
מער	m eː ʀ
מער	m e j ə
משפּחהדיק	m ɪ ʃ p ɔ χ ə d ɪ k
משפּחהדיקן	m ɪ ʃ p ɔ χ ə d ɪ k ŋ̩
משפּחהדיקס	m ɪ ʃ p ɔ χ ə d ɪ k s
משפּחהדיקע	m ɪ ʃ p ɔ χ ə d ɪ k ə
משפּחהדיקער	m ɪ ʃ p ɔ χ ə d ɪ k ə ʁ
משפּחות	m ɪ ʃ p ɔ χ ə s
ניט	n i t
־ניש	n ɪ ʃ
נישט	n ɪ ʃ t
סטרונע	s t ʁ ʊ n ə
סטרונע	s t ʁ i n ə
סטרונע	s t ʁ ɪ n ə
ס׳	s
עט	ɛ t
עפּל	ɛ p ə l
פֿאָטער	f ɔ t ə ʁ
פֿאָטער	f ʊ t ə r
פֿאָלק	f ɔ ɫ k
פֿאָלקס	f ɔ l k s
פּויק	p ɔ ɪ k
פּויק	p a ʊ k
פּויק	p ɔ ʊ k
פּויק	p ʊ ɪ k
פּויק	p ɔ ʊ k
פּויק	p oː k
פּויק	p ɔː k
פּויק	p ʊ k
פּויק	p u k
פּויק	p ɔ ʊ k
פּויק	p ɔ ɪ k
פּויק	p ɔ ɪ k
פּורים	p ʊ ʁ ə m
פּורים	p iː ʁ ə m
פּורים	p i ʁ ə m
פּירגע	p ɪ r ɡ ə
פֿון	f ʊ n
פֿון	f ɪ n
פּנים	p ɔ n ə m
פּנים	p uː n ə m
פּנים	p u n ə m
פֿוס	f ʊ s
פֿוס	f ɪ s
פֿוקס	f ʊ k s
פֿוקס	f i k s
פֿוקס	f ɪ k s
פֿינגער	f ɪ ŋ ɡ ə ʁ
פֿינגערל	f ɪ ŋ ɡ ə ʁ ə l
פֿיסל	f ɪ s ə l
פֿלוים	f l e ɪ m
פֿלוים	f l ɔː m
פֿערשקע	f ɛ ʁ ʃ k ə
פֿרוכט	f ʁ ʊ χ t
פֿרוכט	f ʁ ɪ χ t
פֿרום	f ʁ ʊ m
פֿרום	f ʁ ɪ m
פֿרום	f ʁ ɨ m
פֿרום	f ʁ ʊ m
פֿרום	f ʁ ɪ m
פֿרום	f ʁ ɨ m
פֿרעגן	f ʁ ɛ ɡ ŋ̩
פֿרעגן	f r ɛ ɡ ŋ̩
פֿײַפֿל	f aː f ɫ̩
פֿײַפֿל	f a ɪ̯ f ɫ̩
פֿײַפֿן	f aː f n̩
פֿײַפֿן	f a ɪ̯ f n̩
צאָן	t s ɔ n
צאָן	t s uː n
צאָן	t s u n
צוזאַמען	t͡s ʊ z a m ə n
צונג	t s ʊ ŋ ɡ
צונג	t s ɪ ŋ ɡ
צענטערס	t s ɛ n t ə r s
קאָנטינענטן	k ɔ n t i n ɛ n t n̩
קאַץ	k a t s
קהלת	k ə h ɛ l ə s
קהלת	k ə h e ɪ̯ l ə s
קו	k ʊ
קו	k iː
קוועטשן	k v ɛ t ʃ n̩
קומען	k ʊ m ə n
קומען	k ɪ m ə n
קומען	k ɨ m ə n
קוקן	k ʊ k ŋ̩
קורווע	k u r v ə
קורווע	k ʊ r v ə
קורווע	k ʊ ə v ə
קורווע	k ʊ ʁ v ə
קין	k ɪ n
קישקע	k ɪ ʃ k ə
קלײַבן	k l a ɪ b n̩
קני	k n ɪ
קרעפּל	k ʁ ɛ p l̩
ראַטעווען	ʁ a t ə v ə n
רבֿקה	r ɪ f k ə
רעגן	ɾ ɛ ɡ ŋ̩
רעגן־וואַסער	ʁ ɛ ɡ ŋ̩ v a s ə ʁ
רעד	r ɛ d
רעדן	ʁ ɛ d n̩
רעדסט	r ɛ t s t
רעדסט	ʁ ɛ t s t
רשימה	r ə ʃ i m ə
שאָטן	ʃ ɔ t n̩
שבת	ʃ a b ə s
שדכן	ʃ a t χ n̩
שטאָט	ʃ t ɔ t
שטאָט	ʃ t uː t
שטאַפּל	ʃ t a p l̩
שטום	ʃ t ʊ m
שטום	ʃ t ɪ m
שטום	ʃ t ɨ m
שטופּן	ʃ t ʊ p m̩
שטעטל	ʃ t ɛ t l̩
שטעטל	ʃ t e ɪ t l̩
שטערן	ʃ t ɛ ʁ ə n
שייד	ʃ ɛ ɪ d
שייד	ʃ a ɪ d
שיר	ʃ ɪ ʁ
שלאַנג	ʃ l a ŋ ɡ
שלאַנג	ʃ l a ɪ̯ ŋ ɡ
שלעפּן	ʃ ɫ ɛ p m̩
שמאַלץ	ʃ m a ɫ t͡s
שמאַלציק	ʃ m a ɫ t͡s ɪ k
שמאַלציקן	ʃ m a ɫ t͡s ɪ k ŋ̩
שמאַלציקע	ʃ m a ɫ t͡s ɪ k ə
שמאַלציקער	ʃ m a ɫ t͡s ɪ k ə ʁ
שעה	ʃ u
שפּראַך	ʃ p ʁ a χ
שפּריצן	ʃ p ʁ ɪ t͡s n̩
שרײַבטיש	ʃ ʁ a ɪ̯ p t ɪ ʃ
שרײַבטיש	ʃ r aː p t ɪ ʃ
שרײַבן	ʃ r a ɪ b m̩
שרײַבן	ʃ r aː b m̩
תּורה	t e ɪ ʁ ə
תּורה	t ɔ ɪ ʁ ə
תּחת	t ɔ χ ə s
תּחת	t ʊ χ ə s
תּפֿילה	t f ɪ l ə
תּפֿילה	t f ɨ l ə
