Barra	b a ɾ ɐ
Kayarí	k a j a ɾ i
Kurupira	k u ɾ u p i ɾ ɐ
Surimãu	s u ɾ i m ã w
Tupana	t u p a n ɐ
aintá	a ĩ t a
akapira	a k a p i ɾ a
anama	a n ã m a
andirá	ã d i ɾ a
andurinhu	ã d u ɾ ĩ ɲ u
apigawa	a p i ɡ a w ɐ
arapasu	a ɾ a p a s u
arara	a ɾ a ɾ ɐ
arawanã	a ɾ a w ã n ã
arawé	a ɾ a w ɛ
asaí	a s a i
awa	a w ɐ
ayurú	a j u ɾ u
aé	a ɛ
aé	a ʔ ɛ
aí	a ɨ
aí	a ʔ i
aíwa	a i w ɐ
babasú	b a b a s u
dedu	d ɛ d u
era	ɛ ɾ ɐ
gagaluna	ɡ a ɡ a l u n a
gandú	ɡ ã d u
igara	i ɡ a ɾ ɐ
iiyara	i i j a ɾ ɐ
iiyara	i ʔ i j a ɾ ɐ
iké	i k ɛ
ikú	i k u
imirikú	i m i ɾ i k u
indé	ĩⁿ d ɛ
iperú	i p e ɾ u
irundisawa	i ɾ ũ d i s a w a
iwa	i w ɐ
iwa	ɨ w ɐ
iwaka	i w a k a
iwituwasú	i w i t u w a s u
iwitú	i w i t u
ixé	i ʃ ɛ
ií	i ʔ i
kamarãu	k a m a ɾ ã w
kana	k ã n ɐ
kandirú	k ãⁿ d i ɾ u
kanindé	k ã n ĩⁿ d ɛ
karapanã	k a ɾ a p a n ã
kariwa	k a ɾ i w ɐ
kawarú	k a w a ɾ u
kaximbu	k a ʃ ĩ b u
kaá	k a a
kaá	k a ʔ a
kexu	k ɛ ʃ u
kisé	k i s ɛ
kisé	k ɨ s e
kupuasú	k u p u ʔ a s u
kurumĩ	k u ɾ ũ m ĩ
kweré	k w ɛ ɾ ɛ
maitaka	m a i t a k ɐ
makaka	m a k a k a
mamayakú	m a m a j a k u
manga	m ã ɡ ɐ
manga	m ãᵑ ɡ ɐ
manha	m a j̃ ɐ
marakatĩ	m a ɾ a k a t͡ʃ ĩ
mikura	m ɨ k u ɾ ɐ
mirá	m i ɾ a
mirá	m ɨ ɾ a
mituú	m i t u
mituú	m ɨ t u u
muirakitã	m u ɨ ɾ a k ɨ t ã
mukũisawa	m u k ũ i s a w a
mupuranga	m u p u ɾ ã ɡ a
murakimukũi	m u ɾ a k ɨ̃ m u k ũ j
murakimusapiri	m u ɾ a k ɨ m u s a p ɨ ɾ i
murakipí	m u ɾ a k ɨ p ɨ
murukuyá	m u ɾ u k u j a
musapirisawa	m u s a p i r i s a w a
nheenga	ɲ e ʔ ɛ̃ ɡ ɐ
nheengatú	ɲ e ʔ ẽ ɡ a t u
nheengatú	ɲ ẽ ɡ a t u
papera	p a p ɛ ɾ ɐ
paraná	p a ɾ ã n a
paranã	p a ɾ ã n ã
parawá	p a ɾ a w a
pará	p a ɾ a
paya	p a j ɐ
pekadu	p e k a d u
penhẽ	p ẽ ɲ ẽ
pepusantá	p e p u s ã t a
perereka	p e ɾ e ɾ ɛ k ɐ
peteka	p e t ɛ k ɐ
pirarukú	p i ɾ a ɾ u k u
pirawasú	p i ɾ a w a s u
pirikitu	p i ɾ i k i t u
pirá	p i ɾ a
pitanga	p i t ãᵑ ɡ ɐ
pitanga	p ɨ t ãᵑ ɡ ɐ
pitera	p i t ɛ ɾ a
pitiú	p i t i u
pitiú	p i t͡ʃ i u
pituú	p i t u
praya	p ɾ a j ɐ
puká	p u k a
puraké	p u ɾ a k ɛ
puranga	p u ɾ ã ɡ a
purangasawa	p u ɾ ã ɡ a s a w a
pusé	p u s ɛ
puxiwera	p u ʃ i w ɛ ɾ ɐ
pú	p u ʔ u
rera	ɾ ɛ ɾ a
riré	ɾ i ɾ ɛ
sapukaya	s a p u k a j ɐ
saruã	s a ɾ u ã
saurú	s a ʔ u ɾ u
sawiyá	s a w i j a
suasú	s u a s u
supapawa	s u p a p a w ɐ
surara	s u ɾ a ɾ ɐ
tapiira	t a p i i ɾ ɐ
tapiira	t a p i ɾ ɐ
tasiwa	t a s i w ɐ
teutéu	t ɛ w t ɛ w
tukana	t u k ã n ɐ
tupana	t u p a n ɐ
tutira	t u t i ɾ a
ukena	u k ẽ n ɐ
uwí	u w i
wainambí	w a j n ã b i
wakarí	w a k a ɾ i
waruá	w a ɾ u a
wawirú	w a w i ɾ u
wayawa	w a j a w ɐ
xaa	ʃ a ʔ a
yakarewasú	j a k a ɾ ɛ w a s u
yakaré	j a k a ɾ ɛ
yandara	j ã d a ɾ ɐ
yandara	j ãⁿ d a ɾ ɐ
yandé	j ã d ɛ
yandé	j ãⁿ d ɛ
yandé	ɲ ã d ɛ
yandú	j ã d u
yané	j ã n ɛ
yané	ɲ ã n ɛ
yapukúi	j a p u k u i
yawara	j a w a ɾ ɐ
yenũ	j ɛ n ũ
yepesawa	j ɛ p ɛ s a w a
yepé	j e p ɛ
yukwakú	j u kʷ a k u
yuwá	j u w a
