alungz	ʔ a ˨˦ l u ŋ ˧˩
anax	ʔ a ˨˦ n a ˦˨
asoi	ʔ a ˨˦ θ oː i ˨˦
Ayuzvuengz	ʔ a ˨˦ j u ˧˩ β uː ŋ ˧˩
aj	ʔ a ˥
ajaeu	ʔ a ˥ ʔ a u ˨˦
ajcaeuz	ʔ a ˥ ɕ a u ˧˩
ahswhbizlinz	ʔ a ˧ θ ɯ ˧ p i ˧˩ l i n ˧˩
aiswhbing	ʔ aː i ˧˥ θ ɯ ˧ p i ŋ ˧˥
ancienz	ʔ aː n ˨˦ ɕ iː n ˧˩
Anhveih	ʔ aː n ˧ β e i ˧
angq	ʔ aː ŋ ˧˥
angqhoh	ʔ aː ŋ ˧˥ h o ˧
au	ʔ aː u ˨˦
Aucouh	ʔ aː u ˧˥ ɕ o u ˧
Audaliya	ʔ aː u ˧˥ t a ˧˥ l i ˧˥ j a ˧˥
Aumwnz	ʔ aː u ˧˥ m ɯ n ˧˩
aux	ʔ aː u ˦˨
ae	ʔ a i ˨˦
aek	ʔ a k ˥
aemq	ʔ a m ˧˥
aen	ʔ a n ˨˦
aennou	ʔ a n ˨˦ n o u ˨˦
aenvih	ʔ a n ˨˦ β i ˧
aep	ʔ a p ˥
aeu	ʔ a u ˨˦
aeuroengz	ʔ a u ˨˦ ɣ o ŋ ˧˩
baduet	p a ˨˦ t uː t ˧˥
bahek	p a ˨˦ h eː k ˧˥
banoeknoek	p a ˨˦ n o k ˥ n o k ˥
baz	p a ˧˩
bazdangq	p a ˧˩ t aː ŋ ˧˥
bazhwnz	p a ˧˩ h ɯ n ˧˩
bazlwtbazlw	p a ˧˩ l ɯ t ˥ p a ˧˩ l ɯ ˨˦
baj	p a ˥
bajaek	p a ˥ ʔ a k ˥
bajbingq	p a ˥ p i ŋ ˧˥
bajboengq	p a ˥ p o ŋ ˧˥
bajbwz	p a ˥ p ɯ ˧˩
bajdak	p a ˥ t aː k ˧˥
bajfwngz	p a ˥ f ɯ ŋ ˧˩
bajgvan	p a ˥ kʷ aː n ˨˦
bajheiq	p a ˥ h e i ˧˥
bajlaih	p a ˥ l aː i ˧
bajliuz	p a ˥ l i u ˧˩
bajmungz	p a ˥ m u ŋ ˧˩
bajmwz	p a ˥ m ɯ ˧˩
bajsouj	p a ˥ θ o u ˥
bajsoengq	p a ˥ θ o ŋ ˧˥
baxbenz	p a ˦˨ p eː n ˧˩
baxlet	p a ˦˨ l eː t ˧˥
baxletlet	p a ˦˨ l eː t ˧˥ l eː t ˧˥
baqciemq	p a ˧˥ ɕ iː m ˧˥
baqciengx	p a ˧˥ ɕ iː ŋ ˦˨
Bahgihswhdanj	p a ˧ k i ˧ θ ɯ ˧ t aː n ˥
Bahliz	p a ˧ l i ˧˩
bahlinz	p a ˧ l i n ˧˩
badfwngz	p aː t ˧ f ɯ ŋ ˧˩
badmbaq	p aː t ˧ ɓ a ˧˥
bag	p aː k ˧
baicuzsoj	p aː i ˧˥ ɕ u ˧˩ θ o ˥
baih	p aː i ˧
bak	p aː k ˧˥
Baksaek	p aː k ˧˥ θ a k ˥
banngoenz	p aː n ˨˦ ŋ o n ˧˩
banringz	p aː n ˨˦ ɣ i ŋ ˧˩
banjgienz	p aː n ˥ k iː n ˧˩
banq	p aː n ˧˥
Banh	p aː n ˧
banhfap	p aː n ˧ f aː p ˧˥
bat	p aː t ˧˥
baujciz	p aː u ˥ ɕ i ˧˩
baux	p aː u ˦˨
bauqceij	p aː u ˧˥ ɕ e i ˥
baugau	p aː u ˧˥ k aː u ˧˥
bae	p a i ˨˦
baecinj	p a i ˨˦ ɕ i n ˥
baedangq	p a i ˨˦ t aː ŋ ˧˥
baedauq	p a i ˨˦ t aː u ˧˥
baefinz	p a i ˨˦ f i n ˧˩
baegau	p a i ˨˦ k aː u ˨˦
baehaq	p a i ˨˦ h a ˧˥
baelaw	p a i ˨˦ l a ɯ ˨˦
baelae	p a i ˨˦ l a i ˨˦
baelo	p a i ˨˦ l o ˨˦
baeluengq	p a i ˨˦ l uː ŋ ˧˥
baema	p a i ˨˦ m a ˨˦
baenaj	p a i ˨˦ n a ˥
bae'ngwtngwt	p a i ˨˦ ŋ ɯ t ˥ ŋ ɯ t ˥
baenyinz	p a n ˨˦ j i n ˧˩
baevah	p a i ˨˦ β a ˧
baez	p a i ˧˩
baezaen	p a i ˧˩ ʔ a n ˨˦
baezbaez	p a i ˧˩ p a i ˧˩
baezbaeu	p a i ˧˩ p a u ˨˦
baezcij	p a i ˧˩ ɕ i ˥
baezcueng	p a i ˧˩ ɕ uː ŋ ˨˦
baezding	p a i ˧˩ t i ŋ ˨˦
baezgonq	p a i ˧˩ k oː n ˧˥
baezgoemh	p a i ˧˩ k o m ˧
baezgyaeujngwz	p a i ˧˩ kʲ a u ˥ ŋ ɯ ˧˩
baezhaj	p a i ˧˩ h a ˥
baezhangx	p a i ˧˩ h aː ŋ ˦˨
baezhaem	p a i ˧˩ h a m ˨˦
baezlaeng	p a i ˧˩ l a ŋ ˨˦
baezlitmboeng	p a i ˧˩ l i t ˥ ɓ o ŋ ˨˦
baezmboq	p a i ˧˩ ɓ o ˧˥
baezmyaeg	p a i ˧˩ mʲ a k ˧
baeznauq	p a i ˧˩ n aː u ˧˥
baeznaengz	p a i ˧˩ n a ŋ ˧˩
baezneix	p a i ˧˩ n e i ˦˨
baeznou	p a i ˧˩ n o u ˨˦
baezndip	p a i ˧˩ ɗ i p ˥
baezngoenz	p a i ˧˩ ŋ o n ˧˩
baezrwzlingz	p a i ˧˩ ɣ ɯ ˧˩ l i ŋ ˧˩
baezyamq	p a i ˧˩ j aː m ˧˥
baexrumz	p a i ˦˨ ɣ u m ˧˩
baeq	p a i ˧˥
baeb	p a p ˧
baed	p a t ˧
baedgen	p a t ˧ k eː n ˨˦
baednangnang	p a t ˧ n aː ŋ ˨˦ n aː ŋ ˨˦
baeg	p a k ˧
baegfofo	p a k ˧ f o ˨˦ f o ˨˦
baegmou	p a k ˧ m o u ˨˦
baek	p a k ˥
baekbak	p a k ˥ p aː k ˧˥
baekbawq	p a k ˥ p a ɯ ˧˥
baekbi'gyoij	p a k ˥ p i ˨˦ kʲ oː i ˥
baekcijceuq	p a k ˥ ɕ i ˥ ɕ eː u ˧˥
baekcungq	p a k ˥ ɕ u ŋ ˧˥
baekgigsing	p a k ˥ k i k ˧ θ i ŋ ˨˦
Baekging	p a k ˥ k i ŋ ˨˦
baekmax	p a k ˥ m a ˦˨
baemz	p a m ˧˩
baemj	p a m ˥
baenboiq	p a n ˨˦ p oː i ˧˥
baencang	p a n ˨˦ ɕ aː ŋ ˨˦
baencek	p a n ˨˦ ɕ eː k ˧˥
baen'gya	p a n ˨˦ kʲ a ˨˦
baenz	p a n ˧˩
baenzaen	p a n ˧˩ ʔ a n ˨˦
baenzbaenz	p a n ˧˩ p a n ˧˩
baenzbi	p a n ˧˩ p i ˨˦
baenzboix	p a n ˧˩ p oː i ˦˨
baenzbongz	p a n ˧˩ p oː ŋ ˧˩
baenzboengj	p a n ˧˩ p o ŋ ˥
baenzbw	p a n ˧˩ p ɯ ˨˦
baenzbyoz	p a n ˧˩ pʲ o ˧˩
baenzcaiz	p a n ˧˩ ɕ aː i ˧˩
baenzcaiq	p a n ˧˩ ɕ aː i ˧˥
baenzcengx	p a n ˧˩ ɕ eː ŋ ˦˨
baenzciuh	p a n ˧˩ ɕ i u ˧
baenzdauq	p a n ˧˩ t aː u ˧˥
baenzdong	p a n ˧˩ t oː ŋ ˨˦
baenzfoeg	p a n ˧˩ f o k ˧
baenzgai	p a n ˧˩ k aː i ˨˦
baenzgamz	p a n ˧˩ k aː m ˧˩
