ƶ	ʐ
џ	d͡ʐ
џь	d͡ʒ
џь	d͡ʒ
ааба	a a p a
ажьырныҳәа	a ʒ ɨ r n ɨ ħʷ a
акы	a kʼ ɨ
амшынҳәа	ɑ m ʂ ɨ n ħʷ ɑ
аха	a x a
ахумарра	a x ɨ w m a r r a
ахухуа	a x ɨ w x w a
ахушә	a χˤʷ ʂʷ
ахыц	a χ ə t s
ац	a t͡s
аца	a t s a
ацыр	a t s ə r
аҭаацәа	a tʰ a a t͡ɕʷʰ a
аҳа	a ħ a
аҳамҭа	a ħ a m tʰ a
аҳасабтә	a ħ a s a p tʷʼ
аҵаа	a t sʼ a a
аҵыху	a t͡sʼ ɨ x ɨ w
аӡа	a d z a
аӡы	a d͡z ɨ
аӡын	a d z ə n
аӡәыцәи	a d͡ʑʷ ɨ t͡ɕʰʷ ɨ j
аӷу	ɑ ʁ ɨ w
бжьба	p ʒ p a
гь	c
гь	c
гә	kʷ
гә	kʷ
дә	tʷ
дә	tʷ
жь	ʒ
жь	ʒ
жә	ʒʷ
жә	ʒʷ
жәаа	ʒʷ a a
жәаба	ʒʷ a p a
жәаха	ʒʷ a x a
жәаҩа	ʒʷ a ɥ a
жәба	ʒʷ p a
жәеиза	ʒʷ a j z a
жәибжь	ʒʷ ɨ j p ʒ
жәиԥшь	ʒʷ ɨ j pʰ ʃ
жәохә	ʒʷ a xʷ
зеижә	z a j ʒʷ
кь	cʼ
кь	cʼ
кә	kʼʷ
кә	kʼʷ
тә	tʼʷ
тә	tʼʷ
фба	f p a
хь	ç
хә	ʍ
хә	ʍ
хәба	xʷ p a
хԥа	x pʰ a
цә	t͡ɕʷʰ
цә	t͡ɕʷʰ
шь	ʃ
шь	ʃ
шә	ʃʷ
шә	ʃʷ
ҕ	ʁ
ҕ	ɣ
ҕь	ʁʲ
ҕь	ɣʲ
ҕә	ʁʷ
ҕә	ɣʷ
қь	cʰ
қь	cʰ
қә	kʷʰ
қә	kʷʰ
ҟ	qʼ
ҟ	qʼ
ҟь	qʼʲ
ҟь	qʼʲ
ҟә	qʼʷ
ҟә	qʼʷ
ҩ	ɥ
ҩ	ɥ
ҩажәа	ɥ a ʒʷ a
ҩба	ɥ p a
ҭ	tʰ
ҭә	tʷʰ
ҭә	tʷʰ
ҳ	ħ
ҳә	ħʷ
ҳә	ħʷ
ҵ	t͡sʼ
ҵә	t͡ɕʼʷ
ҵә	t͡ɕʼʷ
ҷ	t͡ʃʼ
ҽ	t͡ʂʰ
ҽ	t͡ʂʰ
ҿ	t͡ʂʼ
ҿ	t͡ʂʼ
ә	ʷ
ӡ	d͡z
ӡә	d͡ʑʷ
ӡә	d͡ʑʷ
ӷь	ʁʲ
ӷь	ʝ
ӷь	ʁʲ
ӷь	ʝ
ӷә	ʁʷ
ӷә	ɣʷ
ӷә	ʁʷ
ӷә	ɣʷ
ԥ	pʰ
ԥшьба	pʰ ʃ p a
ⱬ	d͡ʑʷ
