آذى	ʔ aː z a
أبجورة	ʔ a b a d͡ʒ oː r a
أبغى	ʔ a b ɣ a
أبلة	ʔ a b l a
أبلة	ʔ a b ɫ a
أبله	ʔ a b l a h
أتسلق	ʔ a t s a lː a ɡ
أتكلم	ʔ a t k a lː a m
أثني	ʔ a t n i
أحبك	ʔ a ħ u bː a k
أحبك	ʔ a ħ u bː i k
أخت	ʔ u x t
أدري	ʔ a d r i
أدي	ʔ a dː i
أرخبيل	ʔ a r x a b iː l
أرقوز	ʔ a r a ɡ oː z
أزرق	ʔ a z r a ɡ
أسبوع	u s b uː ʕ
أستحمى	ʔ a s t a ħ a mː a
أسطوانة	ʔ u s tˤ u w aː n a
أصباع	ʔ u sˤ b aː ʕ
أصنصير	ʔ a sˤ a n sˤ eː r
أطالع	ʔ a tˤ aː l i ʕ
أغمض	ʔ a ɣ a mː i dˤ
أغنية	ʔ u ɣ n i j a
أغنية	ʔ u ɣ n i jː a
أقادير	ʔ a ɡ aː d iː r
أقدر	ʔ a ɡ a dː i r
أقدر	ʔ a ɡ d a r
أكرانيا	ʔ u k r aː n j a
ألبوم	a l b uː m
ألو	a l u
أنة	ʔ a nː a
أنقليس	ʔ a n ɡ a l iː s
أهو	ʔ a h oː
أوحش	ʔ a w ħ a ʃ
أوربا	ʔ oː r u bː a
أوربا	ʔ oː r u pː a
أوسلو	ʔ oː s l oː
أوسلو	ʔ oː s l u
أوقست	ʔ oː ɡ a s t
أوقست	ʔ oː ɡ i s t
أڤكادو	ʔ a f u k aː d u
أڤكادو	ʔ a v u k aː d u
إبتزاز	ʔ i b t i z aː z
إبريق	ʔ i b r iː ɡ
إستونيا	ʔ i s t oː n j a
إسورة	ʔ i s w a r a
إسپانيا	i s b aː n j a
إسپانيا	i s p aː n j a
إلين	ʔ i l eː n
إنقلترا	i n ɡ i l t r a
إنقليزي	i n ɡ i l iː z i
إيش	ʔ eː ʃ
إيقاع	ʔ iː ɡ aː ʕ
إيميل	ʔ iː m eː l
إيوه	ʔ iː w a
اتحمم	a t ħ a mː a m
احنا	i ħ n a
ازهم	a z h a m
استشوار	i s t i ʃ w aː r
استفتاء	i s t i f t aː ʔ
استقبال	i s t i ɡ b aː l
اسم	i s i m
اشتاق	a ʃ t aː ɡ
اشترى	a ʃ t a r a
اقتصاد	i ɡ t i sˤ aː d
ال	a
ال	a l
البلقان	a l b a l ɡ aː n
الظاهر	a zˤː aː h i r
العراق	a l ʕ i r aː ɡ
الله	a ɫː a
الله	a ɫː aː
النرويج	a n n u r w iː d͡ʒ
اليونان	a l j oː n aː n
اليونان	a l j uː n aː n
الپرتغال	a l b u r t u ɣ aː l
الپرتغال	a l p u r t u ɣ aː l
اندر	a n d u r
انفقع	a n f a ɡ a ʕ
انقلاب	i n ɡ i l aː b
ب	b
ب	b aː ʔ
ب	b i
بابا	b aː b a
باتنجان	b aː t i n d͡ʒ aː n
باط	b aː tˤː
بالتوفيق	b i tː a w f iː ɡ
بانيو	b aː n j u
باي	b aː j
بجعة	b a d͡ʒ a ʕ a
بحر	b a ħ a r
بحيث	b i ħ eː s
بحيث	b i ħ eː θ
بخارى	b u x aː r a
براتا	b u rː aː t a
برادة	b a rː aː d a
برادة	b u r aː d a
برة	b a rː a
برجون	b a r a d͡ʒ oː n
برشلونة	b a r ʃ a l oː n a
برشوت	b a r a ʃ oː t
برشوت	b a r a ʃ uː t
برضه	b a r dˤ u
برق	b a r ɡ
برقر	b u r ɡ a r
برقع	b u r ɡ u ʕ
بركان	b u r k aː n
برنامج	b a r n aː m a d͡ʒ
بروتستانتي	b r oː t i s t aː n t i
بروتستانتي	p r oː t i s t aː n t i
بريك	b i r eː k
بريك	b r eː k
بريك	b u r eː k
بزبوز	b a z b uː z
بس	b a sː
بس	b i sː
بسة	b i sː a
بسرعة	b i s u r ʕ a
بسكليتة	b u s k u l eː t a
بسكوت	b i s k oː t
بشع	b i ʃ i ʕ
بطء	b u tˤ u ʔ
بطء	b u tˤ ʔ
بطريق	b a tˤ r iː ɡ
بطن	b a tˤ i n
بطيخ	b a tˤː iː x
بعدين	b a ʕ d eː n
بفتيك	b u f t eː k
بقالات	b i ɡ aː l aː t
بقالة	b i ɡ aː l a
بقدونس	b a ɡ d uː n i s
بقلاوة	b i ɡ l aː w a
بكلة	b u k l a
بلاعة	b u lː aː ʕ a
بلغاريا	b a l ɣ aː r j a
بلكن	b a l k i n
بلكونة	b a l a k oː n a
بلنتي	b a l a n t i
بلنتي	p a l a n t i
بلنسية	b a l i n s i j a
بلوزة	b i l uː z a
بلوزة	b l uː z a
بلوزة	b u l uː z a
بلوفر	b l oː f a r
بلوفر	b u l oː f a r
بلوفر	b u l oː v a r
بلوڤر	b l oː v a r
بلوڤر	b u l oː v a r
بمبه	b a m b a
بندق	b u n d u ɡ
بنزهير	b a n z a h eː r
بنزين	b a n z iː n
بنسة	b i n s a
بنسة	p i n s a
بنطلون	b a n tˤ a l oː n
بوت	b oː t
بوت	b uː t
بوري	b uː r i
بوسة	b oː s a
بوصة	b uː sˤ a
بول	b oː l
بول	p oː l
بولندا	b oː l a n d a
بوية	b oː j a
بيارة	b a jː aː r a
بيالة	b i j aː l a
بيتزا	b iː t z a
بيتزا	p iː t s a
بيتزا	p iː t z a
بيج	b eː d͡ʒ
بير	b iː r
بيقل	b eː ɡ a l
بيقل	b i j ɡ u l
بيقول	b i j ɡ uː l
تابل	t aː b i l
تبرويرة	t a b i r w eː r a
تبرويرة	t a p i r w eː r a
تبسي	t i b s i
تبسي	t i p s i
تجليخ	t a d͡ʒ l iː x
تحت	t a ħ a t
تخين	t a x iː n
ترانزيت	t a r a n z iː t
ترانزيت	t r aː n z iː t
ترى	t a r a
تريقة	t a r j a ɡ a
تشاد	t ʃ aː d
تشبس	t ʃ i b s
تشبس	t ʃ i p s
تشيلي	t i ʃ iː l i
تشيلي	t ʃ iː l eː
تشيلي	t ʃ iː l i
تطبيق	t a tˤ b iː ɡ
تظليل	t a dˤ l iː l
تظليل	t a ðˤ l iː l
تعليق	t a ʕ l iː ɡ
تفل	t a fː a l
تقريبا	t a ɡ r iː b a n
تقليد	t a ɡ l iː d
تقنية	t a ɡ n i j a
تقويم	t a ɡ w iː m
تكنلوجيا	t i k n u l oː d͡ʒ j a
تلج	t a l d͡ʒ
تلفزيون	t a l f i z j oː n
تلفزيون	t i l f i z j oː n
تنية	t a n j a
توابل	t a w aː b i l
توت	t uː t
توصيلة	t a w sˤ iː l a
توفو	t oː f u
توقيع	t a w ɡ iː ʕ
تونة	t uː n a
تيس	t eː s
ثابت	s aː b i t
ثابت	θ aː b i t
ثخين	t a x iː n
ثرلر	θ r i l a r
ثعبان	t u ʕ b aː n
ثعبان	θ u ʕ b aː n
ثعلب	t a ʕ l a b
ثعلب	θ a ʕ l a b
ثقافة	s a ɡ aː f a
ثقافة	θ a ɡ aː f a
ثقب	t u ɡ b
ثقب	θ u ɡ b
ثقيل	t a ɡ iː l
ثقيل	θ a ɡ iː l
ثلج	t a l d͡ʒ
ثلج	t a lː a d͡ʒ
ثنية	t a n j a
ج	d͡ʒ
ج	d͡ʒ iː m
جا	d͡ʒ aː
جاب	d͡ʒ aː b
جاذبية	d͡ʒ aː z i b i jː a
جاذبية	d͡ʒ aː ð i b i jː a
جاروفة	d͡ʒ aː r uː f a
جالون	d͡ʒ aː l oː n
جاموس	d͡ʒ aː m uː s
جبنة	d͡ʒ u b n a
جراثيم	d͡ʒ a r aː θ iː m
جرايد	d͡ʒ a r aː j i d
جرثومة	d͡ʒ a r θ uː m a
جرثومة	d͡ʒ u r θ uː m a
جرجير	d͡ʒ a r d͡ʒ iː r
جرعة	d͡ʒ u r ʕ a
جزار	d͡ʒ a zː aː r
جزر	d͡ʒ a z i r
جزر	d͡ʒ u z a r
جزر	d͡ʒ u z u r
جزم	d͡ʒ i z a m
جزمة	d͡ʒ a z m a
جزيرة	d͡ʒ a z iː r a
جسر	d͡ʒ i s i r
جغمة	d͡ʒ u ɣ m a
جفس	d͡ʒ i f i s
جفن	d͡ʒ i f i n
جكيت	d͡ʒ a k eː t
جكيت	d͡ʒ i k eː t
جمارك	d͡ʒ a m aː r i k
جمرك	d͡ʒ u m r u k
جنب	d͡ʒ a n b
جنة	d͡ʒ a nː a
جنط	d͡ʒ a n tˤ
جو	d͡ʒ a w w
جوا	d͡ʒ oː
جوال	d͡ʒ a wː aː l
جوالات	d͡ʒ a wː aː l aː t
جوة	d͡ʒ u wː a
جوز	d͡ʒ oː z
جونتي	d͡ʒ u w a n t i
جونتي	d͡ʒ u w i n t i
جية	d͡ʒ a jː a
جيش	d͡ʒ eː ʃ
جيعان	d͡ʒ iː ʕ aː n
جينز	d͡ʒ iː n z
ح	ħ
ح	ħ a
ح	ħ aː ʔ
حابب	ħ aː b i b
حاجة	ħ aː d͡ʒ a
حب	ħ u bː
حبار	ħ a bː aː r
حبحب	ħ a b ħ a b
حبر	ħ i b i r
حبش	ħ a b a ʃ
حبق	ħ a b a ɡ
حديقة	ħ a d iː ɡ a
حراق	ħ a rː aː ɡ
حرامي	ħ a r aː m i
حرباية	ħ i r b aː j a
حرق	ħ a r a ɡ
حرق	ħ a rː a ɡ
حرق	ħ u r ɡ
حرقان	ħ a r a ɡ aː n
حرمة	ħ u r m a
حصان	ħ u sˤ aː n
حصوة	ħ a sˤ w a
حظ	ħ a zˤː
حفار	ħ a fː aː r
حفاضة	ħ u f aː dˤ a
حفيان	ħ a f j aː n
حق	ħ a ɡː
حق	ħ u ɡː
حقون	ħ a ɡː oː n
حقيقي	ħ a ɡ iː ɡ i
حكم	ħ a k a m
حكم	ħ u k u m
حلاق	ħ a lː aː ɡ
حلق	ħ a l a ɡ
حلق	ħ a l ɡ
حلق	ħ a lː a ɡ
حلق	ħ a lː i ɡ
حلقة	ħ a l a ɡ a
حلقة	ħ a l ɡ a
حلى	ħ a l a
حلى	ħ a lː a
حنجرة	ħ a n d͡ʒ a r a
حنجرة	ħ u n d͡ʒ u r a
حنش	ħ a n a ʃ
حوايج	ħ a w aː j i d͡ʒ
حوش	ħ oː ʃ
حوم	ħ oː m
حومة	ħ oː m a
حيقول	ħ a j ɡ uː l
خ	x
خ	x aː ʔ
خاشوقة	x aː ʃ uː ɡ a
خبز	x u b u z
خرا	x a r a
خربان	x a r b aː n
خربش	x a r b a ʃ
خرتيت	x a r t iː t
خرشوف	x a r ʃ uː f
خرقة	x i r ɡ a
خروف	x aː r uː f
خشم	x u ʃ u m
خفاش	x u fː aː ʃ
خفافيش	x a f aː f iː ʃ
خلاط	x a lː aː tˤ
خمر	x a m m a r
خمر	x a m u r
خنفسانة	x u n f u s aː n a
خوخ	x oː x
خیش	x eː ʃ
داك	d aː k
دايما	d aː j m a n
دبلجة	d a b l a d͡ʒ a
دبور	d a bː uː r
دجاجة	d u d͡ʒ aː d͡ʒ a
دحين	d a ħ eː n
دحين	d a ħ iː n
دحين	d a ħː iː n
دخلة	d a x l a
دربزين	d a r a b z iː n
درج	d a r a d͡ʒ
درج	d u r d͡ʒ
دري	d i r i
دعا	d a ʕ a
دعسوقة	d a ʕ s uː ɡ a
دغدغة	d a ɣ d a ɣ a
دفاية	d a fː aː j a
دقاق	d a ɡː aː ɡ
دقة	d a ɡ ɡ a
دقة	d i ɡ ɡ a
دقة	d u ɡ ɡ a
دقس	d u ɡː u s
دقيق	d a ɡ iː ɡ
دلفين	d u l f iː n
دهليز	d a h l iː z
دهليز	d i h l iː z
دوب	d uː b
دوسيه	d oː s eː
دوش	d uː ʃ
دولاب	d oː l aː b
ديجافو	d eː d͡ʒ aː f uː
ديجافو	d eː d͡ʒ aː v uː
ديجاڤو	d eː d͡ʒ aː v uː
ديس	d eː s
ديسمبر	d iː s a m b a r
دينين	d eː n eː n
دينين	d iː n eː n
ذاب	d aː b
ذاك	d aː k
ذبانة	d u bː aː n a
ذرة	d u r a
ذرة	z a rː a
ذرة	ð a rː a
ذرة	ð u r a
ذنب	d a n a b
ذنب	z a n b
ذنب	ð a n a b
ذنب	ð a n b
ذهب	d a h a b
ذهب	ð a h a b
ذوق	z oː ɡ
ذوق	ð oː ɡ
ر	r
ر	r aː ʔ
رايح	r aː j i ħ
رجال	r i d͡ʒ aː l
رجال	r i d͡ʒː aː l
رجيم	r a d͡ʒ iː m
رسالة	r i s aː l a
رغوة	r a ɣ w a
رغيف	r a ɣ iː f
رقاصة	r a ɡː aː sˤ a
رقبة	r a ɡ a b a
رقم	r a ɡ a m
رقم	r a ɡ i m
ركن	r a k a n
ركن	r u k u n
رمل	r a m i l
رموت	r i m oː t
رموت	r u m uː t
رنة	r a nː a
رهيب	r a h iː b
روب	r oː b
روج	r a wː a d͡ʒ
روج	r oː d͡ʒ
روما	r oː m a
رياح	r i j aː ħ
ريحان	r eː ħ aː n
ريحان	r iː ħ aː n
ريحة	r iː ħ a
زبالة	z i b aː l a
زبدة	z i b d a
زبدة	z u b d a
زحليقة	z u ħ l eː ɡ a
زر	z i rː
زرادية	z a rː aː d i jː a
زعق	z a ʕː a ɡ
زعلان	z a ʕ l aː n
زعيق	z a ʕ iː ɡ
