آش	ɑː ʃ
أوتي	ˑuː t i
أوردي	o rː ɪ d i
إنترنت	ɪ n t ə r n ə t
إنجليزي	ɪ ŋ ɡ ɪ l eː z i
ابلة	ə b lˤ ə
اثول	ə θ w ə l
اجار	ə d͡ʒ ɑː r
احنا	ə ħ n ə
اخترع	ɪ χ t ɪ r ə ʕ
اذون	ə ð uː n
استانس	ɪ s t a n ə s
استكان	ɪ s t ɪ k ɑː n
اشارة	ɪ ʃ ɑː r ə
اشكار	e ʃ k ɑː r
اشكرة	ə ʃ k ə r ə
اصنصير	ə sˤ a n sˤ eː r
اغراض	ə ʁ r ɑː ðˤ
اقزوز	ɡ z oː z
اقزوز	ɪ ɡ z oː z
ال	ɪ
ال	ʕ ɪ l
الاحد	ɪ l ə ħ ə d
الاربعا	ɪ l ə r b ɪ ʕ ə
الحين	ə l ħ i n
الحين	ɪ l ħ i n
الدنمارك	d ɪ n ɪ m ɑ r k
اليمعة	ɪ l j ɪ m ʕ ə
اليوم	ɪ l j oː m
انت	ɪ n t
انت	ɪ n t i
انت	ɪ n t ə
انتو	ɪ n t ə w
انتو	ɪ n t ʊ
انتي	ɪ n t i
انتي	ɪ n t ə j
انفش	ɪ n f ə ʃ
اهم	ʊ h ʊ m
اهمه	ʊ h m ə
اهو	ʊ h ʊ
اهوه	ʊ h w ə
اهي	ɪ h i
اهيه	ɪ h j ə
اوتوماتيك	o t o m ɑ t ɪ k
اوتوماتيك	o t o m ə t ɪ k
اوتوماتيك	oː t oː m ɑː t ɪ k
اچار	ə t͡ʃ ɑː r
باجلا	b ɑː d͡ʒ ɪ l l ə
بار	b ɑː r
باق	b ɑː ɡ
بالطو	b ɑː lˤ tˤ oː
بالطو	b ɑː lˤ tˤ ə w
بالطو	b ɑː lˤ tˤ ʊ
بالول	b a a l u u l
بالي	b ɑː l i
باورة	b a a w r a
بدون	b ɪ d uː n
بردة	b ɐ r d ə
بردة	p ɐ r d ə
بريك	b r eː k
بطاط	b ʊ tˤ ɑː tˤ
بطل	b ə tˤ ə l
بطل	b ə tˤ ə lˤ
بطل	b ə tˤː ə l
بطل	b ə tˤː ə lˤ
بطل	b ʊ tˤ ʊ lˤ
بطيخ	b ə tˤː iː χ
بعدين	b ə ʕ d eː n
بغى	b ɪ ʁ ə
بلبلة	b ə l b ə l ə
بلش	b ə l l ə ʃ
بلنتي	b ə l ə n t i
بنسل	b ɪ n s ɪ l
بنسل	p ɪ n s ɪ l
بنطرون	b ə n tˤ ə r oː n
بهار	b h ɑː r
بهمن	b ə h m ə n
بوسة	b oː s ə
بوفيه	b o f e
بيبي	b e b i
بيمة	b iː m ə
بچى	b ɪ t͡ʃ ə
تأتأة	t ə ʔ t ə ʔ ə
تانكي	t ɑː n k i
تاير	t ɑ j ɪ r
تبريز	t ə b r i z
تجوري	t ə d͡ʒ uː r i
تحت	t ɐ ħ ə t
تحلطم	t ħ ə ɫ tˤ ə m
تحلطم	t ə ħ ə ɫ tˤ ə m
تحلطم	t ə ħ ə ɫ tˤ ɪ m
تحلطم	t ə ħ ə ɫ tˤ ʊ m
تدوده	t d oː d ə h
تدوده	t ə d oː d ə h
ترانزيت	t r ɑː n z eː t
ترمس	t ɪ r m ə s
ترمس	t ʊ r m ə s
تسبح	t ə s ə bː ə ħ
تعبان	t ə ʕ b ɑː n
تقليد	t ə q l iː d
تقليد	t ə ʁ l iː d
تكانة	t ɪ k ɑː n ə
تمبل	t ə m b ə l
تمبل	t ə n b ə l
تمشى	t ə m ə ʃː ə
توست	t oː s t
توهق	t ə w ə hː ə ɡ
تيشيرت	t iː ʃ eː r t
تيلة	t iː l ə
تيلة	t iː l ə t
ثانية	θ ɑː n j ə
جادة	d͡ʒ ɑː dː ə
جار	d͡ʒ ɑ r
جاس	d͡ʒ ɑː s
جامة	d͡ʒ ɑː m ə
جامة	d͡ʒ ɑː m ə t
جبن	d͡ʒ ɪ b ɪ n
جدر	d͡ʒ ɪ d r
جدر	d͡ʒ ɪ d ɪ r
جعص	d͡ʒ ɪ ʕ sˤ
جليد	d͡ʒ ə l iː d
جمعية	d͡ʒ ə m ʕ iː j ə
جناية	d͡ʒ ɪ n ɑː j ə
جناية	d͡ʒ ɪ n ɑː j ə t
جنطة	d͡ʒ ə n tˤ ə
جوتي	d͡ʒ uː t i
جونقر	d͡ʒ oː ŋ ɡ ə r
جيكر	d͡ʒ eː k ə r
حارة	ħ ɑː r ə
حارة	ħ ɑː rː ə
حاس	ħ ɑː s
حاش	ħ ɑː ʃ
حامض	ħ ɑː m ɪ ðˤ
حجاب	ħ d͡ʒ ɑː b
حجي	ħ ə d͡ʒː i
حدث	ħ ə d ə θ
حرامي	ħ ə r ɑː m i
حرق	ħ ə r ɡ
حرق	ħ ɪ r ə ɡ
حريجة	ħ ə r i d͡ʒ ə
حريم	ħ ə r iː m
حش	ħ ə ʃ
حش	ħ ə ʃ ʃ
حفر	ħ ə f ə r
حفر	ħ ɪ f ə r
حكوك	ħ ə k uː k
حلاو	ħ ə l ɑː w
حلج	ħ ə l d͡ʒ
حلوج	ħ l uː d͡ʒ
حمرة	ħ ə m r ə
حمرة	ħ ʊ m r ə
حمسة	ħ m ɪ s ə
حوالين	ħ ə w ɑː l eː n
حواي	ħ ə wː ɑː j
حوض	ħ oː ðˤ
حيل	ħ e l
خاس	χ ɑː s
خبيث	χ ə b iː θ
خربان	χ ə r b ɑː n
خرطي	χ r ɪ tˤ i
خروف	χ ə r uː f
خشم	x ɐ ʃ ɪ m
خشوم	χ ʃ uː m
خطب	χ ɪ tˤ ə b
خل	χ ə l
خل	χ ə ɫ
خلص	χ ə ɫː ə sˤ
خمستعش	χ ə m ɪ s t ə ʕ ə ʃ
خنزير	χ ə n z iː r
خير	x eː r
دارسين	d ɑː r s iː n
داية	d ɑː j ə
دبة	d ə b b ə
دروازة	d ɪ r w ɑ z ə
درى	d ɪ r ə
دري	d ə r ə j j
دريشة	d ə r i ʃ ə
دريشة	d ɪ r i ʃ ə
دستور	d ɪ s t oː r
دستور	d ɪ s t uː r
دقمة	d ɪ ɡ m ə
دقوس	d ə qː uː s
دقيقة	d ə q iː q ə
دقيقة	d ə ʁ iː ʁ ə
دقيقة	d ɪ ɡ iː ɡ ə
دكتور	d ɪ k t oː r
دكور	d ə k w ə r
دلاغ	d l ɑː q
دلاغ	d l ɑː ʁ
دوام	d ə w ɑː m
دولكة	d oː l k ə
دولكة	d oː l k ə t
ديد	d eː d
ديرة	d iː r ə
ديرة	d iː r ə t
ديچ	d iː t͡ʃ
دچ	d ə t͡ʃ
ذهب	ð ə h ə b
ذيب	ð iː b
رادد	r ɑː d ə d
ربع	r ə b ɪ ʕ
ربع	r ʊ b ɪ ʕ
رجيم	r ɪ d͡ʒ iː m
رفيج	r f iː d͡ʒ
رقي	r ə ɡː i
رنق	r ə ŋ
رنق	r ɪ ŋ
روب	r oː b
روتي	r oː t i
روضة	r oː ðˤ ə
روضة	r oː ðˤ ə t
ريال	r j ɑː l
ريال	r ə jː ɑː l
ريل	r iː l
ريل	r ə j ɪ l
زبيدي	z b eː d i
زربول	z a r b uː l
زف	z ə f
زف	z ə fː
زفير	z ə f iː r
زقارة	z ɪ ɡ ɑː r ə
زقارة	z ɪ ɡ ɑː r ə t
زقرت	z ɡ ɪ r t
زقوم	z ə qː uː m
زهايمر	z ə h ɑ j m ɪ r
زهرة	z ə h r ə
زهيوي	z h eː w i
سبة	s i bː ə
ستيك	s t eː k
سستر	s ɪ s t ə r
سكان	s ɪ k k ɑː n
سكان	s ʊ k k ɑː n
سلاحف	s əˑ l ɑː ħ ɪ f
سما	s ɪ m ə
سمنديقة	s ə m ə n d eː ɡ ə
سمنديقة	s ə m ə n d eː ɡ ə t
سمي	s ɪ m i
سمچ	s ɪ m ə t͡ʃ
سمچ	s ɪ m ɪ t͡ʃ
سنسون	s ə n s uː n
سنع	s ə n ʕ
سولف	s oː l ə f
سيارة	s ə j j ɑː r ə
سيارة	s ə jː ɑː r ə
سيارة	s ə jː ɑː r ə t
سيكل	s eː k ə l
سچين	s ɪ t͡ʃː iː n
شات	ʃ ɑː t
شاصي	ʃ ɑː sˤ i
شال	ʃ ɑ l
شاوي	ʃ a a w i i
شايب	ʃ ɑː j ɪ b
شبة	ʃ ə bː ə
شبزي	ʃ ə b z i
شربت	ʃ ə r b ə t
شركة	ʃ ɐ r ɪ k ə
شقردي	ʃ ɪ ɡ ə r d i
شنص	ʃ ɪ n ə sˤ
شوربة	ʃ oː r b ə
شوربة	ʃ oː r b ə t ‿
شيشة	ʃ iː ʃ ə
شين	ʃ eː n
صاج	sˤ ɑː d͡ʒ
صراحة	sˤ ə r ɑː ħ ə
صراحة	sˤ ə r ɑː ħ ə t
صفرة	sˤ ʊ f r ə
صكر	sˤ ə kː ə r
صمنديقة	sˤ ə m ə n d eː ɡ ə
صمنديقة	sˤ ə m ə n d eː ɡ ə t
صمون	sˤ ə m m uː n
ضبط	ðˤ ə bː ə tˤ
ضنا	ðˤ ə n ə
ضيج	ðˤ ə j j i d͡ʒ
طاح	tˤ ɑː ħ
طر	tˤ ə r
طر	tˤ ɪ r
طراد	tˤ ə r r ɑ d
طرارة	tˤ r ɑː r ə
طرثوث	tˤ ə r θ uː θ
طريج	tˤ ɪ r iː d͡ʒ
طشت	tˤ ə ʃ t
طماط	tˤ ʊ m ɑː tˤ
طمباخية	tˤ ɪ m b ɑː χ iː j j ə
طنش	tˤ ə nː ə ʃ
طنطل	tˤ ə n tˤ ə lˤ
طوفة	tˤ oː f ə
طيب	tˤ ə jː ɪ b
