ainu	ʔ a j n u
an	a n
ariki	àꜛ ɾ í kʲ í
asikne	àꜛ ɕ í k n é
cep	t͡ʃ e p
cikap	t͡ɕ ìꜛ k á p
cikiri	t͡ɕ ìꜛ kʲ í ɾ í
cikoykip	t͡ɕ ì k ò jꜛ kʲ í p
cikuni	t͡ɕ ìꜛ k ú nʲ i
e	e̞
ek	e k
epitta	èꜛ p í tː á
eramuan	èꜛ ɾ á m ú á n
etu	èꜛ t ú
hapo	h áꜜ p ò
hekaci	h èꜛ k á t͡ɕ í
hoku	h òꜛ k ú
honi	h òꜛ nʲ í
hopuni	h òꜛ p ú nʲ í
hure	h u ɾ e
ine	íꜜ n è
ipe	ìꜛ p é
kem	k e̞ m
kema	k èꜛ m á
kina	kʲ ìꜛ n á
kinasut	kʲ ìꜛ n á ʃ ú t
kisara	kʲ ìꜛ s á ɾ á
ku	k u
kuru	k ùꜛ ɾ ú
kuru	ɡ ùꜛ ɾ ú
mat	m a t
matkaci	m á tꜜ k à t͡ɕ ì
menoko	m èꜛ n ó k ó
mici	m íꜜ t͡ɕ ì
ne	n e
ni	nʲ i
nimaki	nʲ ìꜛ m á kʲ í
nonno	n ó nꜜ n ò
nu	n u
nukara	n ùꜛ k á ɾ á
numa	n ùꜛ m á
okkayo	ó kꜜ k à j ò
opitta	òꜛ p í tː á
otop	òꜛ t ó p
paro	p àꜛ ɾ ó
parunpe	p á ɾꜜ ù m p è
parunpe	p á ɾꜜ ù n p è
pon	p o n
pone	p òꜛ n é
poro	p òꜛ ɾ ó
ramu	ɾ àꜛ m ú
ray	ɾ a j
rayke	ɾ á jꜜ k è
rekuci	ɾ èꜛ k ú t͡ɕ í
retar	ɾ e t a ɾ
reyep	r èꜛ j é p
ronnu	ɾ ó nꜜ n ù
sapa	s àꜛ p á
sara	s àꜛ ɾ á
seta	s èꜛ t á
siki	ɕ ìꜛ kʲ í
sine	ɕ ìꜛ n é
somo	ʃ òꜛ m ó
tannekamuy	t á nꜜ n è k àꜛ m ú j
teke	t èꜛ k é
tokkoni	t ó kꜜ k ò n ì
tu	t u
ure	ùꜛ ɾ é
utara	ùꜛ t á ɾ á
yaynu	j á jꜜ n ù
yayrayke	j á jꜜ ɾ à j k è
айну	ʔ a j n u
アベ	a b e
アベチクニ	a b e t ʃ i k u n i
アベバシュイ	a b e b a ʃ u i
アペ	a p e
アㇺベ	a m b e
シネㇷ゚	ɕ ìꜛ n é p
ヌチャ	n u̜ t͡ʃ a
ヌプリ	n u̜ p u̜ ɾ i
