অ	ɔ
অঁ	ɒ̃
অঁকৰা	ɒ̃ k ɒ ɹ a
অংক	ɒ ŋ k ɒ
অংগ	ɒ ŋ ɡ ɒ
অইন	ɒ i n
অকল	ɒ k ɒ l
অকলশৰীয়া	ɒ k ɒ l x ɒ ɹ i a
অকলে	ɒ k ɒ l ɛ
অকাপী	ɒ k a p i
অচিনাকি	ɒ s i n a k i
অচিনাকী	ɒ s i n a k i
অজগৰ	ɒ z ɒ ɡ ɒ ɹ
অজানিতে	ɒ z a n i t ɛ
অটা	ɒ t a
অণুজীৱ	ɔ n u z i b ɔ
অণুজীৱ	ɔ n u z i β ɔ
অনা	ɒ n a
অনাটন	ɒ n a t ɒ n
অনুবাদ	ɒ n u b a d
অনুবাদক	ɒ n u b a d ɒ k
অনোৱা	ɒ n ʊ a
অন্য	ɒ i n n ɒ
অভাৱ	ɒ bʱ a w
অভ্যাস	ɔ ɪ b bʱ a x
অমিতা	ó m i t a
অমিয়া	ɒ m i a
অযুত	ɒ z u t
অলপ	ɔ l ɔ p
অসম	ɔ x ɔ m
অসমীয়া	ɒ x ɔ m i a
অহা	ɒ ɦ a
অৰকা	ɒ ɹ ɒ k a
অ’	ó
আ	a
আঁউজ	ã u z
আঁউজা	ã u z a
আঁউজোৱা	ã u z ʊ a
আঁক	ã k
আঁকা	ã k a
আঁকোৱাল	ã k ʊ a l
আঁচ	ã s
আঁচনি	ã s ɒ n i
আঁচল	ã s ɒ l
আঁচোৰ	ã s ʊ ɹ
আঁচোৰা	ã s ʊ ɹ a
আঁঠু	ã tʰ u
আঁত	ã t
আঁতৰ	ã t ɒ ɹ
আঁতৰা	ã t ɒ ɹ a
আঁতৰোৱা	ã t ɒ ɹ ʊ a
আঁহ	ãʱ
আঁহত	ã ɦ ɒ t
আঁৰ	ã ɹ
আংগাৰ	a ŋ ɡ a ɹ
আই	a ɪ
আইচক্ৰিম	a ɪ s k i m
আইচক্ৰিম	a ɪ s k ɹ i m
আইচলেণ্ড	a i s l ɛ n
আইচ‌্ক্ৰিম	a ɪ s k i m
আইচ‌্ক্ৰিম	a ɪ s k ɹ i m
আইতা	a ɪ t a
আইন	a ɪ n
আইনা	a ɪ n a
আউটি	a ʊ t i
আউল	a ʊ l
আও	a ʊ
আওৰা	a ʊ ɹ a
আক	a q
আকন	a k ɒ n
আকাশ	a k a x
আকাশ	a k aʰ
আকো	a q ɒ
আকৌ	a k oː
আকৌ	a k ɔ ʊ
আকৌ	a k ɔː
আখৈ	a kʰ ɔ ɪ
আখৰ	a kʰ ɒ ɹ
আখৰ	a x ɒ ɹ
আগত	a ɡ ɒ t
আগতে	a ɡ ɒ t ɛ
আগনি	a ɡ ɒ n i
আগুনি	a ɡ u n i
আগেয়ে	a ɡ ɛ ɛ
আঘোণ	a ɡʱ ʊ n
আঙঠা	a ŋ ɒ tʰ a
আঙঠি	a ŋ ɒ tʰ i
আঙাৰ	a ŋ a ɹ
আঙুঠি	a ŋ u tʰ i
আঙুঠি	a ŋ ʊ tʰ i
আঙুল	a ŋ u l
আঙুলি	a ŋ u l i
আঙুলিওৱা	a ŋ u l i ʊ a
আঙুলিয়া	a ŋ u l i a
আঙ্গাৰ	a ŋ ɡ a ɹ
আচল	a s ɒ l
আচলটল	a s ɒ l ɒ t ɒ l
আচহুৱা	a s ɒ ɦ u a
আচাভুৱা	a s a bʱ u a
আছে	a s ɛ
আজান	a z a n
আজি	a z i
আজিনাই	a z i n a ɪ
আজো	a z ʊ
আঞ্জা	a n z a
আট	a t
আটা	a t a
আটাই	a t a ɪ
আটাইতকে	a t a ɪ t k ɛ
আটাইতকৈ	a t a ɪ t k ɔ ɪ
আটিল	a t i l
আঠ	a tʰ
আঠচল্লিছ	a t s ɒ l l i s
আঠত্ৰিছ	a tʰ ɒ t ɹ i s
আঠষষ্ঠি	a t x ɒ s tʰ i
আঠসত্তৰ	a t x ɒ t t ɒ ɹ
আঠা	a tʰ a
আঠাইছ	a tʰ a ɪ s
আঠান্নব্বৈ	a tʰ a n n ɒ b b ɔ ɪ
আঠাশী	a tʰ a x i
আঠাৱন	a tʰ a ɒ n
আতৰ	a t ɒ ɹ
আথৰ	a tʰ ɒ ɹ
আদহ	a d ɒ ɦ
আদহীয়া	a d ɒ ɦ i a
আদা	a d a
আদালত	a d a l ɒ t
আদৰ	a d ɒ ɹ
আধা	a dʱ a
আধিপত্য	a dʱ i p ɒ i t t ɒ
আধৰুৱা	a dʱ ɒ ɹ u a
আন	a n
আনা	a n a
আনোৱা	a n ʊ a
আন্দাজ	a n d a z
আন্ধাৰ	a n dʱ a ɹ
আপা	a p a
আপুনি	a p u n i
