q̇	qʼ
ƶ	ʒ
ƶ	d͡ʒ
ƶ	ʒ
ƶ	d͡ʒ
аьрзу	æ r z uː
бархӏ	b a ɾ̥
борз	b o ɾ z
борш	b o ɾ ʃ
буд	b u d
бутт	b u tː
буьйса	b y j s a
ваша	v a ʃ a
вир	v i ɾ
ворхӏ	v o ɾ̥
говр	ɡ o u̯ r
гӏа	ʁ a
гӏалгӏай	ʁ ə l ʁ ɑ j
да	d aː
дан	d ə
дахка	d a χ k a
де	d ɛ
дела	d ɛː l a
дети	d ɛ t i
деши	d e ʃ i
диг	d i ɡ
диъ	d i ʔ
дог	d o ɡ
досбух	d o s b u χ
дош	d o ʃ
дошам	d o ʃ ə m
еара	j e ʔ ʌ r ʌ
жӏаьла	ʒ ʔ æ l a
жӏаьлин	ʒ ʔ æ l̠ i n
иза	i z
исс	i sː
итт	i tː
йиша	j i ʃ a
ког	k o ɡ
кор	k o ɾ
кхера	q ɛː ɾ a
кхокха	q o q a
кхоъ	q o ʔ
кӏа	kʼ a
кӏомсар	kʼ o m s a ɾ
кӏур	kʼ u ɾ
лам	l a m
латта	l a tː a
лерг	l ɛ ɾ ɡ
малх	m a l χ
мар	m a ɾ
марс	m a ɾ s
марха	m a ɾ χ o
мача	m aː t͡ʃ
моз	m o z
морзах	m ɔ r z a h
морзах	m ɔ r z a x
мотт	m o tː
мох	m o χ
нана	n a n a
некъ	n ɛ qʼ
нитт	n i tː
нохчий	n o̞ x t ʃʼ iː
нускал	n u s k ə l
олхазар	o l χ a z a ɾ
пхиъ	p χ i ʔ
пхьид	p ħ i d
пхьид	p ħ i d
пӏелг	pʼ ɛ l ɡ
росси	r ɐ s i
са	s ə
сту	s t u
тхо	t xʷʰ o
хен	χ ɛ n
хи	χ i
хьакха	ħ a q a
хьоза	ħ o z a
хьун	ħ u n
хӏоъ	h o ʔ
ца	t͡s a
царг	t͡s a ɾ ɡ
це	t͡s ɛ
цхьаъ	t͡s ħ a ʔ
цӏе	t͡sʼ e
цӏе	t͡sʼ e
цӏен	t͡s eː
цӏонга	t͡sʼ o n ɡ a
цӏоькъалом	t sʼ y ø qʼ ə l o m
ча	t͡ʃ a
чо	t͡ʃ o
чӏурам	t͡ʃʼ u r a m
ша	ʃ a
шиъ	ʃ i ʔ
шура	ʃ u ɾ a
юкъ	j u qʼ
юкъ	j u qʼ
ялх	j a l χ
ӏаьржа	ʔ æ r ʒ
ცჰ⁊ა	t͡s ħ a
