a	a
aba	a b a
abbachjà	a bː a t j a
abbaghià	a bː a ɡ j a
abbaghjà	a bː a d j a
accumpagnà	a kː u m p a ɲ a
aceddu	a t ʃ ɛ ɖ ɖ u
aceddu	a t͡ʃ e ɖː u
acellu	a t͡ʃ e lː u
acqua	a kːʷ a
acque	a kːʷ e
acula	a k u l a
acule	a k u l e
africa	a f r i k a
aghjutà	a d j u t a
agnulu	a ɲ u l u
agostu	a ɡ o s t u
aiaccio	a j a t t ʃ o
aiutà	a j u t a
alzà	a l t͡s a
amacu	a m a k u
ambacu	a m b a k u
amicu	a m i k u
amà	a m a
anatomia	a n a t o m i a
anatumia	a n a t u m i a
anca	ã k a
anche	ã k ɛ
andà	a n d a
anfibi	ã f i b i
anfibiu	ã f i b i u
anghjulu	a n d j u l u
animale	a n i m a l e
annu	ã nː u
aostu	a o s t u
apa	a p a
approntà	a pː r o n t a
appruntà	a pː r u n t a
aprile	a p r i l e
aprili	a p r i l i
arabia	a r a b i a
arabu	a r a b u
argentinu	a r d͡ʒ e n t i n u
argentu	a r d͡ʒ e n t u
arghientu	a r ɡ i e n t u
arghjentu	a r d j e n t u
arigentu	a r i d͡ʒ e n t u
articulu	a r t i k u l u
artropodu	a r t r o p o d u
asia	a z j a
asinu	a s i n u
assai	a s s a j
avè	a v e
azotu	a z o t u
banca	b a n k a
banchieru	b a n k i e r u
bavosu	b a v o s u
beccazza	b e k k a t͡sː a
beiera	b e ɪ̯ e r a
belgica	b e l d͡ʒ i k a
ben	b ɛ n
bene	b ɛ n e
biancu	b i a n k u
bicazza	b i k a t͡sː a
bicazzu	b i k a t͡sː u
biccazza	b i k k a t͡sː a
biccazzu	b i k k a t͡sː u
bicchieru	b i kː i e r u
bichjere	b i t j e r e
bichjeri	b i t j e r i
bichjeru	b i t j e r u
biera	b i e r a
biochimica	b i ɔ k i m i k a
biuchimica	b i u k i m i k a
boscu	b ɔ s k u
bracciu	b r a t͡ʃː u
butirru	b u t i rː u
butiru	b u t i r u
buttiglia	b u t t i l j a
bè	b ɛ
caghia	k a ɡ i a
caghiarella	k a ɡ i a r e lː a
caghiu	k a ɡ i u
caghja	k a d j a
caghjarella	k a d j a r e lː a
caghjarellu	k a d j a r e lː u
caghju	k a d j u
camella	k a m e lː a
camellu	k a m e lː u
camelu	k a m e l u
caminu	k a m i n u
camminu	k a m m i n u
campà	k a m p a
cane	k a n ɛ
capu	k a b u
capu	k a p u
carminu	k a r m i n u
chj	c
chjichja	t j i t j a
chjì	c i
chì	k i
consonante	k o n s o n a n t e
corsica	k o r s i ɡ a
corsica	k ɔ r s i k a
corsu	k o r s u
corsu	k ɔ r s u
coscia	k o ʃ ʃ a
cumpagnu	k u m p a ɲ u
cumprà	k u m p r a
cunsunante	k u n s u n a n t e
cunsunanti	k u n s u n a n t i
cunsunente	k u n s u n e n t e
e	ɛ
ecologia	e k ɔ l ɔ d͡ʒ i a
ecolugia	e k ɔ l u d͡ʒ i a
eculugia	e k u l u d͡ʒ i a
eliu	e l i u
embriologia	ɛ m b r i ɔ l ɔ d͡ʒ i a
embriolugia	ɛ m b r i ɔ l u d͡ʒ i a
embriulugia	ɛ m b r i u l u d͡ʒ i a
farina	f a r i n a
faroese	f a r ɔ ɛ z ɛ
fisiologia	f i s i ɔ l ɔ d͡ʒ i a
fisiolugia	f i s i ɔ l u d͡ʒ i a
fisiulugia	f i s i u l u d͡ʒ i a
forse	f ɔ r s ɛ
francia	f r ã t ʃ a
ghiacaru	ɡ i a k a r u
ghj	ɟ
ghjacaru	d j a k a r u
ghjinochju	d j i n ɔ t j u
ghjornu	ɡʲ o r n u
ghjè	ɟ ɛ
glutinu	ɡ l u d i n u
glutinu	ɡ l u t i n u
granu	ɡ r a n u
grecu	ɡ r ɛ k u
grecu	ɡ r ɛ ɡ u
hà	a
hè	ɛ
idrogenu	i d r o d͡ʒ e n u
idrugenu	i d r u d͡ʒ e n u
inglese	i n ɡ l ɛ z ɛ
intinghje	i n t i n d j ɛ
irlanda	i r l ã d a
iè	j ɛ
jacaru	j a k a r u
kaamil	k aː m i l
la	l a
leida	l ɛ i d a
là	l a
medicina	m e d i t͡ʃ i n a
micciu	m i t͡ʃː u
midicina	m i d i t͡ʃ i n a
migliu	m i l j u
ocellu	o t͡ʃ e lː u
oncolugia	o n k o l u d͡ʒ i a
onculugia	o n k u l u d͡ʒ i a
parighji	p a r i ɡ i
prontu	p r o n t u
samere	s a m e r e
sameru	s a m e r u
staghjone	s t a ɟ ɔ n e
statu	s t a t u
stella	s t e lː a
studiu	s t u d i u
studiu	s t u d j u
succhiasangue	s u ɡ ɡ j a s a n ɡ w e
suchjasangue	s u c a s a n ɡ w e
sumere	s u m e r e
sumeru	s u m e r u
tarra	t a rː a
tedescu	t ɛ d ɛ s k u
tichju	t i t j u
tuttu	t u tː u
ucellu	u t͡ʃ e lː u
unculugia	u n k u l u d͡ʒ i a
verde	β ɛ r d ɛ
vermont	v ɛ r m ɔ̃ t
vucale	v u k a l e
zancaru	t s ã k a r u
zebaru	z ɛ b a r u
zebra	z ɛ b r a
zebru	z ɛ b r u
zoologia	z o o l ɔ d͡ʒ i a
zoolugia	z o o l u d͡ʒ i a
zuulugia	z u u l u d͡ʒ i a
è	ɛ
