ͷ	t͡sʼ
άλκιμοσ	a l c i m o s
αὔγη	a v ʝ i
αὔγη	a w ɡ e
αὔγη	a β ɣ i
αὔγη	ǎ u̯ ɡ ɛː
αὔγουρ	a v ɣ u r
αὔγουρ	a w ɡ u r
αὔγουρ	a β ɣ u r
αὔγουρ	ǎ u̯ ɡ oː r
αὔγουστοσ	a v ɣ u s t o s
αὔγουστοσ	a w ɡ u s t o s
αὔγουστοσ	a β ɣ u s t o s
αὔγουστοσ	ǎ u̯ ɡ oː s t o s
αὔδα	a v ð a
αὔδα	a w d a
αὔδα	a β ð a
αὔδα	ǎ u̯ d aː
αὔξειν	a f k s i n
αὔξειν	a ɸ k s i n
αὔξειν	a ʍ k s i n
αὔξειν	ǎ u̯ k s eː n
αὔξω	a f k s o
αὔξω	a ɸ k s o
αὔξω	a ʍ k s o
αὔξω	ǎ u̯ k s ɔː
αὔρα	a v r a
αὔρα	a w r a
αὔρα	a β r a
αὔρα	ǎ u̯ r aː
αὔριον	a v r i o n
αὔριον	a w r i o n
αὔριον	a β r i o n
αὔριον	ǎ u̯ r i o n
αὔσονεσ	a f s o n e s
αὔσονεσ	a ɸ s o n e s
αὔσονεσ	a ʍ s o n ɛ s
αὔσονεσ	ǎ u̯ s o n e s
αὔσπιξ	a f s p i k s
αὔσπιξ	a ɸ s p i k s
αὔσπιξ	a ʍ s p i k s
αὔσπιξ	ǎ u̯ s p i k s
αὔτωσ	a f t o s
αὔτωσ	a ɸ t o s
αὔτωσ	a ʍ t o s
αὔτωσ	ǎ u̯ t ɔː s
αὔω	a v o
αὔω	a w o
αὔω	a β o
αὔω	ǎ u̯ ɔː
αὖ	a v
αὖ	a w
αὖ	a β
αὖ	â u̯
αὖθ'	a f θ
αὖθ'	a ɸ θ
αὖθ'	a ʍ tʰ
αὖθ'	â u̯ tʰ
αὖθι	a f θ i
αὖθι	a ɸ θ i
αὖθι	a ʍ tʰ i
αὖθι	â u̯ tʰ i
αὖλαξ	a v l a k s
αὖλαξ	a w l a k s
αὖλαξ	a β l a k s
αὖλαξ	â u̯ l a k s
αὖλοσ	a v l o s
αὖλοσ	a w l o s
αὖλοσ	a β l o s
αὖλοσ	â u̯ l o s
αὖτ'	a f t
αὖτ'	a ɸ t
αὖτ'	a ʍ t
αὖτ'	â u̯ t
αὖτε	a f t e
αὖτε	a ɸ t e
αὖτε	a ʍ t ɛ
αὖτε	â u̯ t e
αὖτισ	a f t i s
αὖτισ	a ɸ t i s
αὖτισ	a ʍ t i s
αὖτισ	â u̯ t i s
αὐγέασ	a u̯ ɡ é aː s
αὐγέασ	a v ʝ e a s
αὐγέασ	a w ɡ ɛ a s
αὐγέασ	a β ɣ e a s
αὐγή	a u̯ ɡ ɛ̌ː
αὐγή	a v ʝ i
αὐγή	a w ɡ e
αὐγή	a β ɣ i
αὐγείασ	a u̯ ɡ ěː aː s
αὐγείασ	a v ʝ i a s
αὐγείασ	a w ɡ i a s
αὐγείασ	a β ɣ i a s
αὐγειαί	a u̯ ɡ eː ǎ i̯
αὐγειαί	a v ʝ i e
αὐγειαί	a w ɡ i ɛ
αὐγειαί	a β ɣ i ɛ
αὐδάομαι	a u̯ d á o m a i̯
αὐδάομαι	a v ð a o m e
αὐδάομαι	a w d a o m ɛ
αὐδάομαι	a β ð a o m ɛ
αὐδάω	a u̯ d á ɔː
αὐδάω	a v ð a o
αὐδάω	a w d a o
αὐδάω	a β ð a o
αὐδή	a u̯ d ɛ̌ː
αὐδή	a v ð i
αὐδή	a w d e
αὐδή	a β ð i
αὐδήν	a u̯ d ɛ̌ː n
αὐδήν	a v ð i n
αὐδήν	a w d e n
αὐδήν	a β ð i n
αὐδήσασ	a u̯ d ɛ̌ː s aː s
αὐδήσασ	a v ð i s a s
αὐδήσασ	a w d e s a s
αὐδήσασ	a β ð i s a s
αὐδήσασκε	a u̯ d ɛ̌ː s a s k e
αὐδήσασκε	a v ð i s a s c e
αὐδήσασκε	a w d e s a s k ɛ
αὐδήσασκε	a β ð i s a s k e
αὐδήσασκεν	a u̯ d ɛ̌ː s a s k e n
αὐδήσασκεν	a v ð i s a s c e n
αὐδήσασκεν	a w d e s a s k ɛ n
αὐδήσασκεν	a β ð i s a s k e n
αὐδήσασχ'	a u̯ d ɛ̌ː s a s kʰ
αὐδήσασχ'	a v ð i s a s x
αὐδήσασχ'	a w d e s a s kʰ
αὐδήσασχ'	a β ð i s a s x
αὐδήσομαι	a u̯ d ɛ̌ː s o m a i̯
αὐδήσομαι	a v ð i s o m e
αὐδήσομαι	a w d e s o m ɛ
αὐδήσομαι	a β ð i s o m ɛ
αὐδήσω	a u̯ d ɛ̌ː s ɔː
αὐδήσω	a v ð i s o
αὐδήσω	a w d e s o
αὐδήσω	a β ð i s o
αὐδᾶι	a u̯ d âː i̯
αὐδᾶι	a v ð a
αὐδᾶι	a w d a
αὐδᾶι	a β ð a
αὐδᾶν	a u̯ d âː n
αὐδᾶν	a v ð a n
αὐδᾶν	a w d a n
αὐδᾶν	a β ð a n
αὐδᾶσθαι	a u̯ d âː s tʰ a i̯
αὐδᾶσθαι	a v ð a s θ e
αὐδᾶσθαι	a w d a s tʰ ɛ
αὐδᾶσθαι	a β ð a s θ ɛ
αὐδηθήσομαι	a u̯ d ɛː tʰ ɛ̌ː s o m a i̯
αὐδηθήσομαι	a v ð i θ i s o m e
αὐδηθήσομαι	a w d e tʰ e s o m ɛ
αὐδηθήσομαι	a β ð i θ i s o m ɛ
αὐδηθείσ	a u̯ d ɛː tʰ ěː s
