a	ɒ	1444096
aba	ɒ b ɒ	42
abakusszal	ɒ b ɒ k u sː ɒ l	0
abakusszá	ɒ b ɒ k u sː aː	0
abakusz	ɒ b ɒ k u s	4
abakusza	ɒ b ɒ k u s ɒ	0
abakuszai	ɒ b ɒ k u s ɒʲ i	0
abakuszaid	ɒ b ɒ k u s ɒʲ i d	0
abakuszaik	ɒ b ɒ k u s ɒʲ i k	0
abakuszaim	ɒ b ɒ k u s ɒʲ i m	0
abakuszaink	ɒ b ɒ k u s ɒʲ i ŋ k	0
abakuszaitok	ɒ b ɒ k u s ɒʲ i t o k	0
abakuszba	ɒ b ɒ k u z b ɒ	0
abakuszban	ɒ b ɒ k u z b ɒ n	0
abakuszból	ɒ b ɒ k u z b oː l	0
abakuszhoz	ɒ b ɒ k u s h o z	0
abakuszig	ɒ b ɒ k u s i ɡ	0
abakuszként	ɒ b ɒ k u s k eː n t	0
abakusznak	ɒ b ɒ k u s n ɒ k	1
abakusznál	ɒ b ɒ k u s n aː l	0
abakuszod	ɒ b ɒ k u s o d	0
abakuszok	ɒ b ɒ k u s o k	0
abakuszokat	ɒ b ɒ k u s o k ɒ t	0
abakuszokba	ɒ b ɒ k u s o ɡ b ɒ	0
abakuszokban	ɒ b ɒ k u s o ɡ b ɒ n	0
abakuszokból	ɒ b ɒ k u s o ɡ b oː l	0
abakuszokhoz	ɒ b ɒ k u s o k h o z	0
abakuszokig	ɒ b ɒ k u s o k i ɡ	0
abakuszokkal	ɒ b ɒ k u s o kː ɒ l	0
abakuszokká	ɒ b ɒ k u s o kː aː	0
abakuszokként	ɒ b ɒ k u s o kː eː n t	0
abakuszoknak	ɒ b ɒ k u s o k n ɒ k	0
abakuszoknál	ɒ b ɒ k u s o k n aː l	0
abakuszokon	ɒ b ɒ k u s o k o n	0
abakuszokra	ɒ b ɒ k u s o k r ɒ	0
abakuszokról	ɒ b ɒ k u s o k r oː l	0
abakuszoktól	ɒ b ɒ k u s o k t oː l	0
abakuszokért	ɒ b ɒ k u s o k eː r t	0
abakuszom	ɒ b ɒ k u s o m	0
abakuszon	ɒ b ɒ k u s o n	1
abakuszotok	ɒ b ɒ k u s o t o k	0
abakuszra	ɒ b ɒ k u s r ɒ	0
abakuszról	ɒ b ɒ k u s r oː l	1
abakuszt	ɒ b ɒ k u s t	1
abakusztól	ɒ b ɒ k u s t oː l	0
abakuszuk	ɒ b ɒ k u s u k	0
abakuszunk	ɒ b ɒ k u s u ŋ k	0
abakuszért	ɒ b ɒ k u s eː r t	0
abba	ɒ bː ɒ	711
abbahagy	ɒ bː ɒ h ɒ ɟ	0
abbamarad	ɒ bː ɒ m ɒ r ɒ d	10
abban	ɒ bː ɒ n	5121
abból	ɒ bː oː l	1445
aberráció	ɒ b ɛ rː aː t͡s iʲ oː	0
aberrációk	ɒ b ɛ rː aː t͡s iʲ oː k	4
abház	ɒ p h aː z	6
abházok	ɒ p h aː z o k	1
abigél	ɒ b i ɡ eː l	4
abiogén	ɒ b iʲ o ɡ eː n	1
ablak	ɒ b l ɒ k	281
ablaka	ɒ b l ɒ k ɒ	39
ablakai	ɒ b l ɒ k ɒʲ i	34
