abbast	a p a s t
aborri	aː p ɔ rː i
afgreiðsluborð	a v k r ɛ i̯ ð s t l̥ ʏ p ɔ r ð
afhöfða	a f h œ v ð a
akuryrkja	a k ʏ r ɪ r c a
algildisstafur	a l c ɪ l t ɪ s s t aː v ʏ r
algildistákn	a l c ɪ l t ɪ s tʰ a u h k n
algyðistrú	a l c ɪː ð ɪ s tʰ r uː
alrúna	a l r u n a
altaíska	a l t a i s k a
alur	aː l ʏ r
ambátt	a m p a u h t
arfur	a r v ʏ r
athafna	a t h a v n a
au	ø yː
auk	ø yː k
að	aː ð
baktrygging	p a x t r ɪ c i ŋ k
band	p a n t
barefli	p aː r ɛ p l ɪ
barn	p a r n
barn	p a r t n
barn	p a t n
barnalegur	p a r t n̥ a l ɛ ɣ ʏ r
barnatönn	p a r t n̥ a t œ nː
beinir	p e iː n ɪ r
berglaug	p ɛ r k l œ y̯ k
björn	p j œ r t n
blauður	p l ø yː ð ʏ r
blæst	p l a i s t
blæða	p l a iː ð a
blús	p l uː s
branddís	p r a n t i s
brengl	p r e i ŋ l
bridds	p r ɪ tː s
bris	p r ɪː s
brúsi	p r uː s ɪ
bugðóttur	p ʏ ɣ ð o u̯ʰ t ʏ r
bíll	p i t l
bíó	p iː o uː
bóndi	p o u n t ɪ
böllóttur	p œ t l o u h t ʏ r
býsna	p i s t n̥ a
dalur	t aː l ʏ r
daður	t aː ð ʏ r
dekk	t ɛ h k
diktur	t ɪ x t ʏ r
drasl	t r a s t l
drif	t r ɪː v
drífur	t r iː v ʏ r
dula	t ʏː l a
dulur	t ʏː l ʏ r
dóra	t o uː r a
dóttir	t o ʊ̯ʰ t ɪ r
dúkku	t uʰ k ʏ
dúnn	t u t n
dúrhljómur	t uː r l̥ j o uː m ʏ r
dýfur	t iː v ʏ r
eggaldin	ɛ kː a l t ɪ n
egill	e iː j ɪ t l
eidís	ɛ i̯ t i s
eigulegur	ɛ i̯ ɣ ʏ l ɛ ɣ ʏ r
eima	e iː m a
eitur	e iː t ʏ r
eldfjall	ɛ l t f j a t l
endaþarmur	ɛ n t a θ a r m ʏ r
engifer	e i ɲ c ɪ f ɛː r
ensím	ɛ n s iː m
epli	ɛ h p l ɪ
eyra	e iː r a
eyrir	e iː r ɪ r
eyrnalokk	ɛ i̯ r t n̥ a l ɔʰ k
eyðing	ɛ i̯ ð i ŋ k
fag	f aː ɣ
fastbúnaður	f a s t p uː n aː ð ʏ r
ferningsmeðaltal	f ɛ r t n̥ i ŋ s m ɛ ð a l t a l
fjandafæla	f j a n t a v a i̯ l a
fjaðurpenni	f j aː ð ʏ r pʰ ɛ nː ɪ
fjaðurstafur	f j aː ð ʏ r s t aː v ʏ r
fjöllóttur	f j œ t l o u h t ʏ r
fjörður	f j œ r ð ʏ r
fjöður	f j œː ð ʏ r
fjöðurstafur	f j œː ð ʏ r s t aː v ʏ r
flakk	f l a h k
flakkari	f l a h k aː r ɪ
flaumur	f l ø yː m ʏ r
fleygbogi	f l e i ɣ p ɔ i j ɪ
flotkví	f l ɔ t k v i
flytjandi	f l ɪː t j a n t ɪ
fnæsa	f n a iː s a
fold	f ɔ l t
forvitnilegur	f ɔ r v ɪ h t n ɪ l ɛː ɣ ʏ r
framfærsla	f r a m v a i̯ r s t l̥ a
framtíð	f r a m tʰ iː ð
freyr	f r e iː r
friðrik	f r ɪ ð r ɪ k
frændi	f r a i n t ɪ
frýs	f r iː s
frýsa	f r iː s a
fífur	f iː v ʏ r
fílapensill	f i l a p ɛ n s ɪ t l̥
fíll	f i t l
fóstureyðing	f o u̯ s t ʏ r ɛ i̯ ð i ŋ k
föngulegur	f œ y̯ ŋ k ʏ l ɛ ɣ ʏ r
fýll	f i t l
gamanleikur	k a m a n l ɛ i̯ k ʏ r
gamlárskvöld	k a m l a u r̥ ʂ kʰ v œ l t
geimsteinn	c ɛ i̯ m s t ɛ i̯ t n̥
geldingur	c ɛ l t i ŋ k ʏ r
gemsi	c ɛ m s ɪ
gestheiður	c ɛ s t h ɛ i̯ ð ʏ r
geyma	k e iː m a
giftingarhringur	c ɪ f t i ŋ k a r r̥ i ŋ k ʏ r
glaumur	k l ø yː m ʏ r
gleyma	k l e iː m a
glás	k l a uː s
gná	k n a u̯
gnýr	k n iː r
grjót	k r j o uː t
grás	k r a uː s
grátur	k r a uː t ʏ r
grænn	kʰ r a ɪ̯ t n̩
guðdómlegur	k ʏ ð t o u̯ m l ɛ ɣ ʏ r
gámur	k a uː m ʏ r
gír	c iː r
hagræða	h a ɣ r a i̯ ð a
halur	h aː l ʏ r
handlóð	h a n t l o u̯ ð
haukur	h ø yː k ʏ r
heim	h e iː m
heródes	h ɛː r o uː t ɛː s
heróín	h ɛː r o u iː n
hjartarsalt	ç a r̥ t a r s a l̥ t
hland	l̥ a n t
hlaupár	l̥ ø yː p a uː r
hljómfræði	l̥ j o u m f r a iː ð ɪ
hlusta	l̥ ʏ s t a
hlynur	l̥ ɪː n ʏ r
hlægilegur	l̥ a iː j ɪ l ɛː ɣ ʏ r
hlíðar	l̥ i ð a r
hnappagat	n̥ aʰ p a ɣ a t
hnerra	n̥ ɛ rː a
hold	h ɔ l t
hornrétt	h ɔ r t n̥ r j ɛʰ t
hraðeind	r̥ aː ð e i n t
hripa	r̥ ɪː p a
hrota	r̥ ɔː t a
hrotur	r̥ ɔː t ʏ r
hrífur	r̥ iː v ʏ r
hugbúnaður	h ʏ ɣ p uː n aː ð ʏ r
hugleysi	h ʏ ɣ l e iː s ɪ
hugnæmur	h ʏ k n a i̯ m ʏ r
hvellur	kʰ v ɛ t l ʏ r
hvellur	xʷ v ɛ t l ʏ r
hvorki	kʰ v ɔ r̥ c ɪ
hvorki	xʷ ɔ r̥ c ɪ
hvorugur	kʰ v ɔː r ʏː ɣ ʏ r
hvorugur	xʷ ɔː r ʏː ɣ ʏ r
hvísla	kʰ v i s t l a
hvísla	xʷ i s t l a
hvönn	kʰ v œ nː
hvönn	xʷ œ nː
hyrndur	h ɪ r n t ʏ r
háð	h a uː ð
háðsádeila	h a u̯ ð s a u̯ t ɛ i̯ l a
hól	h o uː l
högni	h œ k n ɪ
innsláttur	ɪ nː s t l̥ a u̯ʰ t ʏ r
jafnvígur	j a v n v i ɣ ʏ r
jata	j aː t a
jógúrt	j o uː k u r̥ t
jóker	j o uː k ɛ r
jólatré	j o uː l a tʰ r j ɛː
jórvík	j o u r v iː k
júlía	j u l i a
kappræða	kʰ aʰ p r a i̯ ð a
karl	kʰ a r t l̥
karl	kʰ a t l̥
kaþólikki	kʰ a θ o u̯ l ɪʰ c ɪ
keilumyndaður	cʰ ɛ i̯ l ʏ m ɪ n t a ð ʏ r
keilusnið	cʰ ɛ i̯ l ʏ s t n̥ ɪ ð
kemba	cʰ ɛ m p a
kistur	cʰ ɪ s t ʏ r
kjallakur	cʰ a t l̥ a k ʏ r
kjarnasprengja	cʰ a r t n̥ a s p r ɛ i̯ n c a
kjörmaður	cʰ œ r m aː ð ʏ r
klif	kʰ l ɪː v
klyf	kʰ l ɪː v
klífur	kʰ l iː v ʏ r
klón	kʰ l o u̯ n
klýfur	kʰ l iː v ʏ r
knár	kʰ n a uː r
kofi	kʰ ɔː v ɪ
konungur	kʰ ɔː n u ŋ k ʏ r
kornflex	kʰ ɔ r t n f l ɛ k s
kornflex	kʰ ɔ r t n f l ɛ x s
kostur	kʰ ɔ s t ʏ r
krabbi	kʰ r a pː ɪ
krapi	kʰ r aː p ɪ
kristrós	kʰ r ɪ s t r o u̯ s
króna	kʰ r o uː n a
krúna	kʰ r uː n a
krús	kʰ r uː s
krúttlegur	kʰ r uʰ t l ɛ ɣ ʏ r
kul	kʰ ʏː l
kveikikerti	kʰ v e i c ɪ cʰ ɛ r̥ t ɪ
kveld	kʰ v ɛ l t
kvíðinn	kʰ v iː ð ɪ nː
kíkja	cʰ iː c a
kólera	kʰ o uː l ɛː r a
kólon	kʰ o uː l ɔ n
köstur	kʰ œ s t ʏ r
köttur	kʰ œ h t ʏ r
kúalubbi	kʰ uː a l ʏ pː ɪ
