adalem	ɐ d ɐ l ɛ m
adalem	ɐ d ɐ l ɯ m
adayo	ɐ d ɐ j u
adda	ɐ d d a
addayo	ɐ d d ɐ j u
adigi	ʔ ɐ d i ɡ i
adipen	ʔ ɐ d i p ɛ n
adipen	ʔ ɐ d i p ɯ n
agadal	ʔ ɐ ɡ a d a l
aganak	ʔ ɐ ɡ ɐ n a k
agarak	ʔ ɐ ɡ a ɾ a k
agarak	ʔ ɐ ɡ ɐ ɾ a k
agari	ʔ ɐ ɡ a r i
agbatok	ʔ ɐ ɡ b a t o k
agdan	ʔ ɐ ɡ d a n
agek	ʔ ɐ ɡ e k
agong	ʔ ɐ ɡ o ŋ
agsigarilio	ʔ ɐ ɡ s ɪ ɡ ɐ ɾ i lʲ o
agtaray	ɐ ɡ t ɐ ɾ a i
agus	ʔ a ɡ o s
akkub	ɐ k k u b
alagad	ʔ ɐ l ɐ ɡ a d
amianan	ʔ ɐ m j a n a n
amin	ʔ ɐ m i n
anak	ʔ ɐ n a k
angep	ʔ ɐ ŋ ɛ p
angep	ʔ ɐ ŋ ɯ p
anges	ʔ ɐ ŋ ɛ p
anges	ʔ ɐ ŋ ɯ p
anggo	ʔ ɐ ŋ ɡ u
angin	a ŋ ɛ n
angkat	ʔ ɐ ŋ k a t
ania	ʔ a nʲ a
aniaman	ʔ ɐ nʲ a m a n
anibong	ʔ ɐ n i b u ŋ
anis	ʔ ɐ n i s
anod	ʔ a n u d
apaman	ʔ ɐ p a m a n
apges	ʔ ɐ p ɡ ɛ s
apges	ʔ ɐ p ɡ ɯ s
apo	ʔ ɐ p u
apog	ʔ a p u ɡ
apon	ʔ a p u n
apoy	ʔ ɐ p u i̯
apros	ʔ a p r u s
arado	ʔ ɐ ɾ a d o
arak	ʔ ɐ ɾ a k
aramang	ʔ ɐ ɾ ɐ m a ŋ
aramid	ʔ ɐ ɾ ɐ m ɛ d
arban	ʔ ɐ ɾ b a n
arbis	ʔ ɐ ɾ b i s
ariek	ʔ ɐ ɾ j ɛ k
ariek	ʔ ɐ ɾ j ɯ k
arimadeng	ʔ ɐ ɾ ɪ m ɐ d ɛ ŋ
arimadeng	ʔ ɐ ɾ ɪ m ɐ d ɯ ŋ
arimokamok	ʔ ɐ ɾ ɪ m ʊ k a m u k
ariring	ʔ ɐ ɾ i ɾ ɛ ŋ
aririt	ʔ ɐ ɾ ɪ ɾ ɛ t
ariwatang	ʔ ɐ ɾ ɪ w a t a ŋ
ariwekwek	ʔ ɐ ɾ ɪ w ɛ k w ɛ k
ariwekwek	ʔ ɐ ɾ ɪ w ɯ k w ɯ k
arked	ʔ ɐ ɾ k ɛ d
arked	ʔ ɐ ɾ k ɯ d
arnged	ʔ ɐ ɾ ŋ ɛ d
arnged	ʔ ɐ ɾ ŋ ɯ d
aroo	ʔ ɐ ɾ u ʔ o
artem	ʔ ɐ ɾ t ɛ m
artem	ʔ ɐ ɾ t ɯ m
arusadanan	ʔ ɐ ɾ ʊ s ɐ d a n a n
asar	ʔ ɐ s a ɾ
asawa	ʔ ɐ s a w a
asep	ʔ ɐ s ɛ p
asep	ʔ ɐ s ɯ p
asin	ʔ ɐ s ɛ n
aso	ʔ a s u
asok	ʔ ɐ s u k
aspili	ʔ ɐ s p ɪ l i
asping	ʔ ɐ s p i ŋ
asug	ʔ ɐ s o ɡ
atab	ʔ ɐ t a b
atap	ʔ ɐ t a p
atep	ʔ ɐ t ɛ p
atep	ʔ ɐ t ɯ p
atio	ʔ ɐ tʲ u
atsuete	ɐ t͡ʃ w ɛ t ɛ
awan	ʔ ɐ w a n
ayat	ʔ ɐ j a t
ayaten	ʔ ɐ j a t ɛ n
ayaten	ʔ ɐ j a t ɯ n
ayoan	ʔ ɐ j o ʔ a n
ayup	ʔ ɐ j o p
baag	b ɐ a ɡ
baak	b ɐ ʔ a k
baba	b ɐ b a
babai	b ɐ b a ʔ i
babawi	b ɐ b a w i
baen	b ɐ ʔ ɛ n
baen	b ɐ ʔ ɯ n
bagi	b a ɡ ɛ
bagio	b ɐ ɡ j o
bagis	b ɐ ɡ ɛ s
bagius	b ɐ ɡ j u s
bagkong	b ɐ ɡ k u ŋ
bain	b ɐ ʔ ɛ n
bakag	b ɐ k a ɡ
bakia	b ɐ k j a
baknang	b ɐ k n a ŋ
bakud	b a k o d
balaniog	b ɐ l ɐ nʲ o ɡ
balasang	b ɐ l a s a ŋ
balatong	b ɐ l a t u ŋ
balaw	b ɐ l a u
balay	b ɐ l a i
balete	b ɐ l ɛ t ɛ
baliad	b ɐ lʲ a d
balibad	b ɐ l i b a d
baligawgaw	b ɐ l ɪ ɡ a u ɡ a u
balik	b ɐ l ɛ k
balikas	b ɐ l ɪ k a s
balla	b ɐ l l a
balligi	b ɐ l l i ɡ i
balo	b a l u
balon	b a l o n
banag	b ɐ n a ɡ
bandera	b ɐ n d ɛ ɾ a
bandus	b ɐ n d o s
bangar	b ɐ ŋ a ɾ
bangir	b a ŋ ɛ ɾ
bangkay	b ɐ ŋ k a i
banglo	b ɐ ŋ l o
baniaga	b ɐ nʲ a ɡ a
banias	b ɐ nʲ a s
bannawag	b ɐ n n a w a ɡ
bannug	b ɐ n n o ɡ
bantay	b ɐ n t a i
bantayan	b ɐ n t a j a n
bao	b ɐ ʔ o
baon	b ɐ o n
baot	b a ʔ o t
barato	b ɐ ɾ a t o
barekbek	b ɐ ɾ ɛ k b ɛ k
barekbek	b ɐ ɾ ɯ k b ɯ k
barot	b a ɾ o t
bartek	b ɐ ɾ t ɛ k
bartek	b ɐ ɾ t ɯ k
basa	b ɐ s a
baskag	b ɐ s k a ɡ
basol	b a s o l
bassit	b ɐ s s ɛ t
batea	b ɐ t͡ʃ a
bateng	b ɐ t ɛ ŋ
bateng	b ɐ ɾ t ɯ ŋ
batikuleng	b ɐ t ɪ k ʊ l ɛ ŋ
