abakus	a b a k ʊ s
abdomen	a p d o m ə n
abdusen	a p̚ d u s ə n
absolut	a p̚ s o l ʊ t̚
acak	a t͡ʃ a k̚
acala	a t͡ʃ a l a
acara	a t͡ʃ a r a
adiguna	a d i ɡ u n a
adiksi	a d ɪ k s i
adimarga	a d i m a r ɡ a
adipati	a d i p a t i
adipura	a d i p u r a
adiwira	a d i w i r a
administrasi	a t̚ m i n ɪ s t r a s i
administratif	a t̚ m i n ɪ s t r a t ɪ f
adusen	a d u s ɛ n
adven	a t v ɛ n
advokat	a t̚ v o k a t̚
afkir	a f k ɪ r
agak	a ɡ a ʔ
agama	a ɡ a m a
agenda	a ɡ ɛ n d a
agensi	a ɡ ɛ n s i
agni	a ɡ n i
agresif	a ɡ r ɛ s ɪ f
agustusan	a ɡ ʊ s t ʊ s a n
airawata	a i̯ r a w a t a
aja	a d͡ʒ a
ajaib	a d͡ʒ a ɪ p
ajun	a d͡ʒ ʊ n
akcaya	a k s a j a
aki	a k i
akrobatik	a k r o b a t ɪ k
akrobatis	a k r o b a t ɪ s
akromion	a k̚ r o m i ɔ n
akropolis	a k̚ r o p o l ɪ s
akses	a k s ɛ s
aksesori	a k̚ s e s o r i
akson	a k̚ s ɔ n
aktentas	a k̚ t ə n t a s
akting	a k̚ t i ŋ
aktinometer	a k̚ t i n o m ɛ t ə r
akun	a k ʊ n
akuntan	a k ʊ n t a n
ala	a l a
alaf	a l a f
alamas	a l a m a s
albania	a l b a n i a̯
alibi	a l i b i
alinea	a l i n e a
aljabar	a l d͡ʒ a b a r
alkes	a l k ə s
allah	a ɫ ɫ a h
allah	ɔ ɫ ɫ ɔ h
almanak	a l m a n a ʔ
almasih	a l m a s ɪ h
alveolus	a l v e o l ʊ s
amalaka	a m a l a k a
amatir	a m a t̪ ɪ r
ambah	a m b a h
ambeien	a m b e i ə n
ambigu	a m b i ɡ u
ambulatori	a m b u l a t o r i
amoi	a m o i̯
amplifikasi	a m p l i f i k a s i
amprah	a m p r a h
ampula	a m p u l a
ampun	a m p ʊ n
amtenar	a m t ə n a r
amulet	a m u l ɛ t
ananta	a n a n t a
anatomi	a n a t o m i
ancoa	a n t͡ʃ o a̯
andil	a n d ɪ l
anemer	a n e m ə r
angel	a ŋ ɛ l
anggur	a ŋ ɡ ʊ r
angkat	a ŋ k a t
angket	a ŋ k ɛ t̚
angkong	a ŋ k ɔ ŋ
angsio	a ŋ s i o̯
anime	a n i m e
anjing	a ɲ d͡ʒ ɪ ŋ
antariksa	a n t a r ɪ k s a
antarmuka	a n t a r m u k a
antik	a n t i ʔ
antre	a n t r e
antropologi	a n t r o p o l o ɡ i
antusias	a n t u s i a s
anugerah	a n u ɡ ə r a h
anugrahamurti	a n u ɡ r a h a m ʊ r t i
anyelir	a ɲ ə l ɪ r
aparatur	a p a r a t ʊ r
apel	a p ə l
apel	a p ɛ l
aplikasi	a p l i k a s i
aplus	a p l ʊ s
apokalips	a p o k a l ɪ p s
apokrifa	a p o k r i f a
arbitrase	a r b ɪ t r a s ə
arca	a r t͡ʃ a
arde	a r d ə
ares	a r ɛ s
arkeologi	a r k e o l o ɡ i
arnal	a r n a l
arsitek	a r s i t ɛ k̚
arsitektur	a r s i t ɛ k̚ t ʊ r
artefak	a r t ə f a k̚
arteri	a r t e r i
artikel	a r t i k ə l
arupadatu	a r u p a d̪ a t̪ u
as	a s
asana	a s a n a
asas	a s a s
asisten	a s ɪ s t̪ ɛ n
asmaradahana	a s m a r a d a h a n a
aspiran	a s p i r a n
asprak	a s p r a k̚
astrologi	a s t r o l o ɡ i
astronomi	a s t r o n o m i
astungkara	a s t ʊ ŋ k a r a
asuransi	a s u r a n s i
ateret	a t ə r ɛ t̚
atlet	a t l ɛ t
atletik	a t l ɛ t ɪ k
atom	a t o m
atonemen	a t o n ɛ m ə n
atribut	a t r i b ʊ t
aura	a u̯ r a
auskultasi	a ʊ s k ʊ l t a s i
autopsi	a u̯ t ɔ p s i
autopsi	o t ɔ p s i
awatara	a w a t a r a
badan	b a d a n
bagasi	b a ɡ a s i
bahagia	b a h a ɡ i a̯
bahari	b a h a r i
bahlul	b a h l ʊ l
bakar	b a k a r
bakteri	b a k̚ t e r i
bakteriologi	b a k t e r i o l o ɡ i
baku	b a k u
bal	b a l
balans	b a l a n s
balas	b a l a s
balkon	b a l k ɔ n
balut	b a l ʊ t̪
ban	b a n
bandana	b a n d a n a
bandar	b a n d a r
banget	b a ŋ ə t
bangga	b a ŋ ɡ a
bangkai	b a ŋ k a i̯
bangkrut	b a ŋ k r ʊ t
bankir	b a n k ɪ r
banyak	b a ɲ a ʔ
baper	b a p ə r
baptis	b a p t ɪ s
barber	b a r b ə r
baris	b a r ɪ s
barok	b a r ɔ k̚
baru	b a r u
bas	b a s
basa	b a s a
basil	b a s ɪ l
basis	b a s ɪ s
baskom	b a s k ɔ m
bastar	b a s t a r
baterai	b a t ə r a i̯
batrik	b a t̚ r ɪ k
bau	b a u̯
baut	b a ʊ t
bawasir	b a w a s ɪ r
bayonet	b a j o n ɛ t
bazoka	b a z o k a
becak	b ɛ t͡ʃ a ʔ
beda	b ɛ d a
bedinde	b ə d ɪ n d ə
begandering	b ə ɡ a n d ə r ɪ ŋ
behandel	b ə h a n d ə l
behel	b ɛ h ə l
bejana	b ə d͡ʒ a n a
bejibun	b ə d͡ʒ i b ʊ n
bek	b ɛ k
bekal	b ə k a l
bekel	b ə k ə l
bekel	b ɛ k ə l
beken	b ə k ɛ n
beker	b ɛ k ə r
bekerja	b ə k ə r d͡ʒ a
bekleding	b ə k l e d ɪ ŋ
bekles	b ɛ k l ɛ s
beku	b ə k u
belek	b ə l ɛ k
belek	b ɛ l ɛ k
belikat	b ə l i k a t̪
belut	b ə l ʊ t̚
bemper	b ɛ m p ə r
benang	b ə n a ŋ
benar	b ə n a r
bencana	b ə n t͡ʃ a n a
benci	b ə n t͡ʃ i
bendesa	b ə n d ɛ s a
bensin	b ɛ n s ɪ n
bento	b ɛ n t o
benua	b ə n u a̯
beol	b ɛ ɔ l
berat	b ə r a t
beredel	b ə r ɛ d ɛ l
bergejala	b ə r ɡ e d͡ʒ a l a
beri	b ɛ r i
beriani	b ə r i a n i
berita	b ə r i t a
berkat	b ə r k a t
berlian	b ə r l i a n
beslit	b ɛ s l ɪ t̚
bestek	b ɛ s t ɛ k̚
bestir	b ə s t ɪ r
besuk	b ə s ʊ k
bias	b i a s
bibliotek	b ɪ p l i o t ɛ k
bija	b i d͡ʒ a
binen	b i n ɛ n
bintang	b ɪ n t a ŋ
biologi	b i o l o ɡ i
bir	b ɪ r
birama	b i r a m a
birokrat	b i r o k r a t
bis	b ɪ s
bisa	b i s a
bisnis	b ɪ s n ɪ s
bistik	b ɪ s t ɪ k̚
bit	b ɪ t
blok	b l ɔ k̚
blokade	b l o k a d ə
bloknot	b l ɔ k̚ n ɔ t̚
bludrek	b l ʊ d r ə k
blumkol	b l ʊ m k ɔ l
blus	b l ʊ s
boa	b o a̯
bocuan	b o t͡ʃ u a̯ n
bodi	b o d i
boga	b o ɡ a
bohlam	b ɔ h l a m
boi	b o i
bokeh	b o k ɛ h
bokep	b o k ɛ p
bokser	b ɔ k s ə r
boksu	b ɔ k̚ s u
bola	b o l a
bolpen	b ɔ l p ɛ n
bolpoin	b o l p o i n
bom	b ɔ m
bombastis	b ɔ m b a s t ɪ s
boneka	b o n ɛ k a
bong	b ɔ ŋ
bonus	b o n ʊ s
boplang	b ɔ p l a ŋ
boreh	b o r ə h
boreh	b o r ɛ h
borjuis	b ɔ r d͡ʒ u ɪ s
bos	b ɔ s
botang	b o t a ŋ
botani	b o t a n i
botol	b o t ɔ l
brankas	b r a n k a s
branwir	b r a n w ɪ r
brata	b r a t a
brevet	b r ɛ v ɛ t
brompit	b r ɔ m p ɪ t
bros	b r ɔ s
brosur	b r o s ʊ r
brutal	b r u t a l
bruto	b r u t o
bui	b u i̯
bujet	b u d͡ʒ ɛ t
bujeter	b u d͡ʒ ɛ t ɛ r
buk	b ʊ k
buket	b u k ɛ t̪
bulevar	b u l ə f a r
bulevar	b u l ə p a r
bulevar	b u l ə v a r
bulsak	b ʊ l s a k
bumerang	b u m ə r a ŋ
bumper	b ʊ m p ə r
bundar	b ʊ n d a r
bunyi	b u ɲ i
bursa	b ʊ r s a
buruk	b u r u ʔ
busi	b u s i
butik	b u t ɪ ʔ
ca	t͡ʃ a
cabo	t͡ʃ a b o
cadangan	t͡ʃ a d a ŋ a n
caima	t͡ʃ a i̯ m a
caisim	t͡ʃ a i̯ s ɪ m
cakiak	t͡ʃ a k i a ʔ
calo	t͡ʃ a l o
calui	t͡ʃ a l u i̯
camca	t͡ʃ a m t͡ʃ a
canda	t͡ʃ a n d a
candi	t͡ʃ a n d i
cantik	t͡ʃ a n t i ʔ
cap	t͡ʃ a p
capcai	t͡ʃ a p t͡ʃ a i̯
capek	t͡ʃ a p ɛ ʔ
caper	t͡ʃ a p ə r
capgome	t͡ʃ a p ɡ o m e
cas	t͡ʃ a s
cawan	t͡ʃ a w a n
ceban	t͡ʃ ə b a n
cek	t͡ʃ ɛ ʔ
ceki	t͡ʃ ə k i
cemas	t͡ʃ ə m a s
cengbeng	t͡ʃ ɛ ŋ b ɛ ŋ
cengkau	t͡ʃ ə ŋ k a u̯
cengki	t͡ʃ ə ŋ k i
cengli	t͡ʃ ɛ ŋ l i
centeng	t͡ʃ ə n t ɛ ŋ
cerai	t͡ʃ ə r a i̯
cermin	t͡ʃ ə r m ɪ n
cerna	t͡ʃ ə r n a
ciak	t͡ʃ i a̯ k̚
cialat	t͡ʃ i a̯ l a t̚
cikuwa	t͡ʃ i k u w a
cina	t͡ʃ i n a
cincai	t͡ʃ ɪ n t͡ʃ a i̯
cincau	t͡ʃ i n t͡ʃ a u̯
cincin	t͡ʃ ɪ n t͡ʃ ɪ n
cincu	t͡ʃ i n t͡ʃ u
cinta	t͡ʃ ɪ n t a
cip	t͡ʃ ɪ p
cipta	t͡ʃ ɪ p t a
citra	t͡ʃ i t r a
citra	t͡ʃ ɪ t̚ r a
comblang	t͡ʃ ɔ m b l a ŋ
compoh	t͡ʃ ɔ m p ɔ h
congki	t͡ʃ ɔ ŋ k i
congsam	t͡ʃ ɔ ŋ s a m
cuan	t͡ʃ u a̯ n
cuci	t͡ʃ u t͡ʃ i
cukin	t͡ʃ u k ɪ n
cukong	t͡ʃ u k ɔ ŋ
dabing	d a b ɪ ŋ
dacin	d a t͡ʃ ɪ n
dadah	d a d a h
dading	d a d ɪ ŋ
dadu	d̪ a d̪ u
dak	d a k
daksa	d a k s a
dalih	d a l ɪ h
dam	d a m
damai	d a m a i̯
dapur	d a p ʊ r
darurat	d a r u r a t̚
data	d a t a
datum	d a t ʊ m
defamasi	d e f a m a s i
dek	d ɛ k
dekade	d e k a d ə
dekonsentrasi	d e k ɔ n s ɛ n t r a s i
dekor	d ɛ k ɔ r
dekorasi	d ɛ k o r a s i
dekret	d ə k r ɛ t̪
delapan	d ə l a p a n
deler	d ə l ɛ r
delik	d ə l ɪ k
delinkuensi	d e l ɪ n k u ɛ n s i
delta	d ɛ l t a
demagog	d e m a ɡ ɔ k̚
demokrasi	d e m o k r a s i
denda	d̪ ə n d̪ a
denominasi	d e n o m i n a s i
departemen	d ə p a r t ə m ɛ n
deposito	d e p o s i t o
derap	d ə r a p
derivatif	d ɛ r i v a t ɪ f
derji	d ə r d͡ʒ i
desa	d ɛ s a
desain	d e s a ɪ n
destar	d ə s t a r
detasemen	d e t a s ə m ɛ n
dewala	d ɛ w a l a
dewasa	d ɛ w a s a
diakones	d i a k o n ə s
diari	d i a r i
diaspora	d i a s p o r a
diktat	d ɪ k t a t
diktum	d ɪ k t ʊ m
dim	d ɪ m
dimensi	d̪ i m ɛ n s i
din	d ɪ n
dinamo	d i n a m o
dinas	d i n a s
dini	d i n i
diplomasi	d ɪ p l o m a s i
diplomatik	d ɪ p l o m a t ɪ k
diplomatis	d ɪ p l o m a t ɪ s
direk	d i r ɛ ʔ
direksi	d i r ɛ k s i
direktori	d i r ɛ k t o r i
direktur	d i r ɛ k t ʊ r
dirgantara	d ɪ r ɡ a n t a r a
dirigen	d i r i ɡ ɛ n
disel	d i s ə l
disel	d i s ɛ l
disket	d ɪ s k ɛ t
diskon	d i s k o n
diskonto	d ɪ s k ɔ n t o
diskriminasi	d ɪ s k r i m i n a s i
diskualifikasi	d ɪ s k u a l i f i k a s i
dispensasi	d ɪ s p ɛ n s a s i
dispenser	d ɪ s p ɛ n s ə r
divisi	d i v i s i
dobel	d o b ə l
doi	d o i
doi	d o i̯
dok	d ɔ k
doksologi	d ɔ k s o l o ɡ i
doktrin	d ɔ k t r ɪ n
dol	d ɔ l
dom	d ɔ m
domba	d ɔ m b a
domisili	d o m i s i l i
dongker	d ɔ ŋ k ə r
dop	d ɔ p
doping	d o p ɪ ŋ
dorslah	d ɔ r s l a h
duaja	d u a d͡ʒ a
dugem	d u ɡ ə m
dup	d ʊ p
durhaka	d ʊ r h a k a
durjana	d̪ ʊ r d͡ʒ a n a
dus	d ʊ s
dusta	d̪ ʊ s t a
ebi	ɛ b i
edukasi	ɛ d u k a s i
ekonomi	ɛ k o n o m i
eksamen	ɛ k s a m ə n
eksaminasi	ɛ k s a m i n a s i
eksekusi	ɛ k̚ s ə k u s i
eksekutif	ɛ k s ə k u t ɪ f
eksepsi	ɛ k s ɛ p̚ s i
eksis	ə k s ɪ s
eksis	ɛ k s ɪ s
eksit	ɛ ʔ s ɪ t
ekskavasi	ɛ k s k a v a s i
ekspedisi	ɛ x p ə d i s i
eksploit	ɛ x p l o ɪ t
elektorat	ɛ l ɛ k̚ t o r a t
elektronik	ɛ l ɛ k̚ t r o n ɪ k̚
elektronika	ɛ l ɛ k t r o n i k a
elektronis	ɛ l ɛ k̚ t r o n ɪ s
emat	ə m a t
ember	ɛ m b ɛ r
emisi	ɛ m i s i
emplasemen	ɛ m p l a s ə m ɛ n
enjin	ɛ n d͡ʒ i n
entablatur	e n t a b l a t ʊ r
enten	ə n t ɛ n
entente	ɛ n t ɛ n t ə
entre	ɛ n t r ɛ
epidemi	ɛ p i d̪ ɛ m i
epistel	ɛ p ɪ s t ə l
epistola	ɛ p ɪ s t o l a
eropa	e r o p a
eropa	ə r o p a
eror	e r ɔ r
esai	ɛ s a i̯
eselon	ɛ s ə l ɔ n
eskalasi	ɛ s k a l a s i
eskas	ɛ s k a s
etiket	ɛ t i k ɛ t̚
evangeli	ɛ v a ŋ e l i
faal	f a a l
fabel	f a b ə l
fail	f a ɪ l
faksi	f a k̚ s i
faktur	f a k̚ t ʊ r
fals	f a l ə̆ s
fanservis	f a n s ɛ r v ɪ s
fase	f a s ə
faset	f a s ɛ t
fatal	f a t a l
federasi	f ɛ d ə r a s i
fesyen	f e ʃ ə n
fetor	f e t̪ ɔ r
filibuster	f i l i b ʊ s t ə r
film	f ɪ l m
filosofi	f i l o s o f i
filsafat	f ɪ l s a f a t̚
filter	f ɪ l t ə r
filtrasi	f ɪ l t r a s i
firman	f ɪ r m a n
fisika	f i s i k a
fitur	f i t ʊ r
fon	f ɔ n
fraksi	f r a k s i
fulus	f u l ʊ s
fungsi	f ʊ ŋ s i
furnitur	f ʊ r n i t ʊ r
fusi	f u s i
gaban	ɡ a b a n
gaji	ɡ a d͡ʒ i
ganda	ɡ a n d̪ a
gandum	ɡ a n d ʊ m
gangren	ɡ a ŋ r ɛ n
ganjil	ɡ a n d͡ʒ ɪ l
garam	ɡ a r a m
garasi	ɡ a r a s i
garda	ɡ a r d a
gardan	ɡ a r d a n
garis	ɡ a r ɪ s
garisan	ɡ a r ɪ s a n
garnisun	ɡ a r n i s ʊ n
gas	ɡ a s
gasal	ɡ a s a l
gatra	ɡ a t r a
gawai	ɡ a w a i̯
gede	ɡ ə d e
gelap	ɡ ə l a p
gelas	ɡ ə l a s
gembira	ɡ ə m b i r a
geminte	ɡ ə m i n t ə
genap	ɡ ə n a p
gendewa	ɡ ə n d̪ ɛ w a
geografi	ɡ e o ɡ r a f i
geometri	ɡ e o m ɛ t r i
geram	ɡ ə r a m
geripir	ɡ ə r i p ɪ r
geta	ɡ ə t a
gi	ɡ i
gim	ɡ ɪ m
gincu	ɡ ɪ n t͡ʃ u
giok	ɡ i ɔ ʔ
girilaya	ɡ i r i l a j a
gizi	ɡ i z i
gocap	ɡ o t͡ʃ a p̚
goceng	ɡ o t͡ʃ ɛ ŋ
gokil	ɡ o k ɪ l
gonore	ɡ o n o r e
gorden	ɡ ɔ r d ɛ n
got	ɡ ɔ t
grad	ɡ r a t
gradasi	ɡ r a d a s i
grasi	ɡ r a s i
gratis	ɡ r a t ɪ s
gul	ɡ ʊ l
hablur	h a p̚ l ʊ r
haid	h a ɪ t
hak	h a ʔ
haleluya	h a l e l u j a
halsduk	h a l s d ʊ k̚
halte	h a l t ê
haminte	h a m i n t ə
hanger	h a ŋ ə r
has	h a s
hem	h ə m
hem	h ɛ m
hemoroid	h e m o r o i t̚
hendel	h ɛ n d ə l
hepar	h e p a r
hijau	h i d͡ʒ a u̯
hio	h i o̯
hipotek	h i p o t ɛ k
hoaks	h o a k s
hoki	h o k i
hook	h ʊ k̚
hotel	h o t ɛ l
huakiau	h u a k i a u̯
humaniora	h u m a n i o r a
identitas	i d̪ ɛ n t̪ i t a s
ikhlas	i k l a s
ikhlas	i x l a s
ikhtiar	ɪ x t i a r
ikon	i k ɔ n
ilmiah	ɪ l m i a h
imigrasi	i m i ɡ r a s i
imigrasi	i m ɪ ɡ r a s i
imitasi	ɪ m i t a s i
inci	ɪ n t͡ʃ i
indraloka	ɪ n d r a l o k a
infanteri	ɪ n f a n t ə r i
infeksi	ɪ n f ɛ k s i
inhalasi	ɪ n h a l a s i
inisiatif	ɪ n i s i a t ɪ f
injeksi	ɪ n d͡ʒ ɛ k s i
inkrah	ɪ n k r a h
inkues	ɪ n k u ɛ s
inlander	ɪ n l a n d̪ ə r
inokulasi	i n o k u l a s i
insan	ɪ n s a n
insek	ɪ n s ɛ k
insentif	ɪ n s ɛ n t ɪ f
insinyur	ɪ n s i ɲ ʊ r
inspeksi	ɪ n s p ɛ k̚ s i
inspektur	ɪ n s p ɛ k̚ t ʊ r
instalasi	ɪ n s t a l a s i
instan	ɪ n s t a n
instansi	ɪ n s t a n s i
institut	ɪ n s t i t ʊ t
intan	ɪ n t a n
integrasi	ɪ n t ə ɡ r a s i
inteligensi	ɪ n t ə l i d͡ʒ ɛ n s i
inteligensia	ɪ n t ə l i d͡ʒ ɛ n s i a̯
intelijen	ɪ n t ə l i d͡ʒ ɛ n
interaksi	ɪ n t ə r a k̚ s i
internat	ɪ n t ə r n a t
internir	ɪ n t ə r n ɪ r
interpelasi	ɪ n t ə r p ɛ l a s i
introdusir	ɪ n t r o d u s ɪ r
intuisi	ɪ n t u i s i
intuitif	ɪ n t u i t ɪ f
invalid	ɪ n v a l ɪ t
invasi	ɪ n v a s i
investigasi	ɪ n v ɛ s t i ɡ a s i
irigasi	ɪ r i ɡ a s i
isolasi	i s o l a s i
istal	ɪ s t a l
iuran	i ʊ r a n
izin	i z ɪ n
jabatan	d͡ʒ a b a t a n
jago	d͡ʒ a ɡ o
jagra	d͡ʒ a ɡ r a
jajan	d͡ʒ a d͡ʒ a n
jaket	d͡ʒ a k ɛ t
jam	d͡ʒ a m
janji	d͡ʒ a n d͡ʒ i
jasa	d͡ʒ a s a
jatarupa	d͡ʒ a t a r u p a
jawatan	d͡ʒ a w a t a n
jaya	d͡ʒ a j a
jemaah	d͡ʒ ə m a a h
jemaat	d͡ʒ ə m a a t
jibun	d͡ʒ i b ʊ n
jimat	d͡ʒ i m a t
jingga	d͡ʒ ɪ ŋ ɡ a
jip	d͡ʒ ɪ p
johan	j o h a n
jok	d͡ʒ ɔ ʔ
joki	d͡ʒ o k i
jubah	j u b a h
juhi	d͡ʒ u h i
jurnal	d͡ʒ ʊ r n a l
jus	d͡ʒ ʊ s
kabel	k a b ə l
kacau	k a c a u̯
kader	k a d ə r
kadera	k a d̪ ɛ r a
kadet	k a d ɛ t
kado	k a d o
kafir	k a f ɪ r
kail	k a ɪ l
kain	k a ɪ n
kakawin	k a k a w ɪ n
kaladuta	k a l a d u t a
kaldu	k a l d̪ u
kalem	k a l ə m
kalender	k a l ɛ n d ə r
kaliber	k a l i b ə r
kalimat	k a l i m a t̚
kalkir	k a l k ɪ r
kalor	k a l ɔ r
kamar	k a m a r
kamera	k a m ɛ r a
kamp	k a m p
kampanye	k a m p a ɲ ə
kampas	k a m p a s
kamping	k a m p ɪ ŋ
kampiun	k a m p i u n
kampus	k a m p ʊ s
kamsen	k a m s ɛ n
kamsia	k a m s i a̯
kanal	k a n a l
kanan	k a n a n
kandang	k a n d̪ a ŋ
kangen	k a ŋ ə n
kangkung	k a ŋ k ʊ ŋ
kanker	k a n k ə r
kans	k a n s
kanser	k a n s ə r
kanvas	k a n v a s
kapasitor	k a p a s i t ɔ r
kapitalis	k a p i t a l ɪ s
kapitulasi	k a p i t u l a s i
kapuk	k a p u ʔ
karantina	k a r a n t i n a
karcis	k a r t͡ʃ ɪ s
karena	k a r ə n a
karet	k a r ɛ t
karisma	k a r ɪ s m a
kartotek	k a r t o t ɛ k
karung	k a r ʊ ŋ
kas	k a s
kasa	k a s a
kasasi	k a s a s i
kasi	k a s i
kasir	k a s ɪ r
kasti	k a s t i
kasus	k a s ʊ s
kataka	k a t a k a
katakomba	k a t a k ɔ m b a
katalis	k a t a l ɪ s
katalisator	k a t a l i s a t ɔ r
katalog	k a t a l ɔ ɡ
katapel	k a t a p ɛ l
katarsis	k a t a r s ɪ s
katekis	k a t ə k ɪ s
katekumen	k a t ə k u m ə n
katering	k a t ə r ɪ ŋ
katolik	k a t o l ɪ k
katrij	k a t r ɪ d͡ʒ
katrol	k a t r ɔ l
katwal	k a t̚ w a l
kaus	k a ʊ s
kawi	k a w i
kawin	k a w ɪ n
kaya	k a j a
kayak	k a j a ʔ
kecemasan	k ə t͡ʃ ə m a s a n
kecoak	k ə t͡ʃ o a ʔ
kedelai	k ə d ə l a i̯
keki	k ɛ k i
kelam	k ə l a m
kelas	k ə l a s
kelasi	k ə l a s i
kelebut	k ə l ə b ʊ t̚
keledai	k ə l ə d a i̯
kelenteng	k ə l ɛ n t ɛ ŋ
kelir	k ə l ɪ r
kelos	k ə l ɔ s
kemalangan	k ə m a l a ŋ a n
kembara	k ə m b a r a
kementerian	k ə m ə n t ə r i a n
kemoceng	k ə m o t͡ʃ ɛ ŋ
kenduri	k ə n d u r i
kenop	k ə n ɔ p
kensel	k ɛ n s ə l
kental	k ə n t a l
kentut	k ə n t ʊ t
kepegawaian	k ə p ə ɡ a w a i̯ a n
kepo	k ɛ p o
kerah	k ə r a h
keran	k ə r a n
kerangkeng	k ə r a ŋ k ɛ ŋ
kereta	k ə r ɛ t̪ a
kerja	k ə r d͡ʒ a
kerkop	k ə r k ɔ p
kermi	k ə r m i
keron	k ə r ɔ n
kerul	k ə r ʊ l
kerun	k ə r ʊ n
kes	k ɛ s
kesatria	k ə s a t r i a̯
keskul	k ə s k ʊ l
kesumba	k ə s ʊ m b a
ketel	k ə t̪ ə l
ketel	k ə t̪ ɛ l
ketel	k ɛ t̪ ɛ l
khalwat	x a l w a t̚
khanjar	x a n d͡ʒ a r
khasi	x a s i
khoja	x o d͡ʒ a
kia	k i a̯
kiani	k i a n i
kiln	k ɪ l n
kiln	k ɪ l ə̆ n
kimci	k ɪ m t͡ʃ i
kimia	k i m i a̯
kio	k i o̯
kios	k i ɔ s
kiper	k i p ə r
kipsiau	k ɪ p s i a u̪
kir	k ɪ r
kisah	k i s a h
kismis	k ɪ s m ɪ s
kista	k ɪ s t a
klapertar	k l a p ə r t a r
klasik	k l a s ɪ k
klasis	k l a s ɪ s
klerek	k l e r ə k
klien	k l i e n
klien	k l i ə n
kliring	k l i r ɪ ŋ
klise	k l i s e
knop	k ə n ɔ p̚
koalisi	k o a l i s i
kodifikasi	k o d i f i k a s i
kohor	k o h ɔ r
koin	k o ɪ n
kok	k o ʔ
kol	k o l
kol	k ɔ l
kolaborasi	k o l a b o r a s i
kolaps	k o l a p s
kolegium	k o l e ɡ i ʊ m
kolekte	k o l ɛ k t ə
kolese	k o l e s ə
kolokium	k o l o k i ʊ m
kolone	k o l o n ə
koloni	k o l o n i
kolportir	k ɔ l p ɔ r t ɪ r
koma	k o m a
komanditer	k o m a n d i t ɛ r
komando	k o m a n d o
komendur	k o m ə n d ʊ r
komentar	k o m ɛ n t̪ a r
komik	k o m ɪ k
komika	k o m i k a
komisaris	k o m i s a r ɪ s
komitmen	k o m ɪ t m ə n
kompeni	k o m p ə n i
kompleks	k ɔ m p l ɛ k s
komponis	k ɔ m p o n ɪ s
kompor	k ɔ m p ɔ r
komputer	k ɔ m p u t ə r
komuni	k o m u n i
kondensator	k ɔ n d ɛ n s a t ɔ r
kondisi	k ɔ n d i s i
konfeksi	k ɔ n f ɛ k̚ s i
kongko	k ɔ ŋ k o
kongkoan	k ɔ ŋ k o a n
kongregasi	k ɔ ŋ r e ɡ a s i
kongres	k ɔ ŋ r ɛ s
kongsi	k ɔ ŋ s i
konkret	k ɔ n k r ɛ t
konkuisnador	k ɔ n k u ɪ s n a d ɔ r
konsinyasi	k ɔ n s i ɲ a s i
konsistori	k ɔ n s ɪ s t o r i
konstanta	k ɔ n s t a n t a
konstruksi	k ɔ n s t r ʊ k s i
konsumsi	k o n s u m s i
kontak	k o n t a k̚
kontan	k ɔ n t a n
konter	k ɔ n t ə r
kontrak	k ɔ n t r a k
kontrolir	k ɔ n t r o l ɪ r
konvensi	k ɔ n v ɛ n s i
konyan	k o ɲ a n
kopling	k o p̚ l i ŋ
koran	k o r a n
korban	k ɔ r b a n
korona	k o r o n a
korting	k ɔ r t ɪ ŋ
kos	k ɔ s
kosen	k o s ɛ n
koteng	k o t ɛ ŋ
koyok	k o j ɔ ʔ
kram	k r a m
kreatif	k r ɛ a t ɪ f
kreativitas	k r ɛ a t i v i t a s
krem	k r ɛ m
krim	k r ɪ m
krisis	k r i s ɪ s
krisma	k r ɪ s m a
kristal	k r ɪ s t a l
kriya	k r i j a
kroket	k r o k ɛ t̚
kromo	k r o m o
kromo	k r ɔ m ɔ
kronis	k r o n ɪ s
kuaci	k u a̯ t͡ʃ i
kualitas	k u a l i t a s
kuasa	k u a s a
kubah	k u b a h
kue	k u e̯
kueri	k u ɛ r i
kulkas	k ʊ l k a s
kulpa	k ʊ l p a
kultur	k ʊ l t ʊ r
kuman	k u m a n
kumba	k ʊ m b a
kumbakara	k ʊ m b a k a r a
kungfu	k ʊ ŋ f u
kunyit	k u ɲ ɪ t̚
kuota	k u o t a
kuotum	k u o t ʊ m
kurban	k ʊ r b a n
kuria	k u r i a̯
kurir	k u r ɪ r
kurkuma	k ʊ r k u m a
kurma	k ʊ r m a
kurus	k u r ʊ s
kurva	k ʊ r v a
kusala	k u s a l a
kutu	k u t u
kwetiau	k w e t i a u
laba	l a b a
laboratorium	l a b o r a t o r i ʊ m
lagu	l a ɡ u
lakban	l a k̚ b a n
lakmus	l a k m ʊ s
