ア	a̠
アイ	a̠ i
アイアイ	a̠ i a̠ i
アイアン	a̠ i ã̠ ɴ
アイアール	a̠ i a̠ː ɾ ɯ̟ᵝ
アイエスビーエヌ	a̠ i e̞ s ɨᵝ bʲ iː e̞ n ɯ̟ᵝ
アイオワ	a̠ i o̞ ɰᵝ a̠
アイキュー	a̠ i kʲ ɨᵝː
アイコン	a̠ i k õ̞ ɴ
アイコンタクト	a̠ i k õ̞ n t a̠ k ɯ̟ᵝ t o̞
アイシャドー	a̠ i ɕ a̠ d o̞ː
アイシング	a̠ i ɕ ĩ ŋ ɡ ɯ̟ᵝ
アイシービーエム	a̠ i ɕ iː bʲ iː e̞ m ɯ̟ᵝ
アイス	a̠ i s ɨᵝ
アイスキャンデー	a̠ i s ɨᵝ ̥ kʲ ã̠ n d e̞ː
アイスクリーム	a̠ i s ɨᵝ ̥ k ɯ̟ᵝ ɾʲ iː m ɯ̟ᵝ
アイスコーヒー	a̠ i s ɨᵝ k o̞ː ç iː
アイスホッケー	a̠ i s ɨᵝ ̥ h o̞ k̚ k e̞ː
アイスランド	a̠ i s ɨᵝ ɾ ã̠ n d o̞
アイデンティティ	a̠ i d ẽ̞ n tʲ i tʲ i
アイドル	a̠ i d o̞ ɾ ɯ̟ᵝ
アイナメ	a̠ i n a̠ m e̞
アイヌ	a̠ i n ɯ̟ᵝ
アイピーアドレス	a̠ i pʲ iː a̠ d o̞ ɾ e̞ s ɨᵝ
アイフォン	a̠ i ɸ õ̞ ɴ
アイフォーン	a̠ i ɸ õ̞ː ɴ
アイホン	a̠ i h õ̞ ɴ
アイマス	a̠ i m a̠ s ɨᵝ
アイマスク	a̠ i m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
アインスタイニウム	a̠ ĩ ɰ̃ s ɨ̥ᵝ t a̠ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
アウグストゥス	a̠ ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨ̥ᵝ t ɯ̟ᵝ s ɨᵝ
アウトプット	a̠ ɯ̟ᵝ t o̞ p ɯ̟ᵝ t̚ t o̞
アウトロー	a̠ ɯ̟ᵝ t o̞ ɾ o̞ː
アウフヘーベン	a̠ ɯ̟ᵝ ɸ ɯ̟ᵝ h e̞ː b ẽ̞ ɴ
