абдж	ʔ aː b d͡ʒ
адакъэ	ʔ a d aː q a
адыгэбзэ	aː d ə ɣ a b z a
адэ	aː d a
ажал	aː ʒ aː l
акъыл	ʔ aː q ə l
алэрыбгъу	ʔ a l a r ə b ʁʷ
анэ	ʔ aː n a
анэдэлъхубзэ	aː n a d a ɬ xʷ ə b z a
ар	aː r
арап	aː r aː p
аращ	ʔ aː r aː ɕ
аргъуей	aː r ʁʷ e j
арму	aː r m ə w
арщхьэкӏэ	a r ɕ ħ a t͡ʃʼ a
ахъшэ	aː χ ʃ a
ахьмакъ	aː ħ m aː q
бадзэ	b aː d͡z a
бажэ	b aː ʒ a
балыджэ	b aː ɮ ə d͡ʒ a
бамэ	b aː m a
банэ	b aː n a
бахъсымэ	b aː χ s ə m a
бахъэ	b aː χ a
бацэ	b aː t͡s a
бгъу	b ʁʷ ə
бгъэ	b ʁ a
бгы	b ɣ ə
бдзэ	b d͡z a
бдзэжьей	b d͡z a ʑ e j
бегъымбар	b e ʁ ə m b aː r
бедэхъауэ	b a j d a χ aː w a
бжы	b ʒ ə
бжын	b ʒ ə n
бжьыдзэ	b ʑ ə d͡z a
бжьыны	b ʑ ə n ə
бжьыныху	b ʑ ə n ə xʷ
бжьыхьэ	b ʑ ə ħ a
бжьэ	b ʑ ə
бжьэхуц	b ɕ a xʷ ə t͡s
бжэмышх	b ʒ a m ə ʃ x
бжэн	b ʒ a n
бжэндэхъу	b ʒ a n d a χʷ
бзаджэ	b z aː d͡ʒ a
бзу	b z ə w
бзугъуабжэгъуэщ	b z ə w ʁʷ aː b ʒ a ʁʷ a ɕ
бзупцӏ	b z ə w ə p t͡sʼ
бзы	b z ə
бзылъхугъэ	b z ə ɬ xʷ ə ʁ a
бзын	b z ə n
бзэ	b z a
бзэгу	b z a ɡʷ
бий	b ə j
блы	b l ə
блы	b ɮ ə
блыгу	b l ə ɡʷ
блын	b ɮ ə n ə
блыпкъ	b l ə p q
блыщхьэ	b ɮ ə ɕ ħ a
блэ	b ɮ a
блэгущӏэ	b l a ɡʷ ə ɕʼ a
быдзафэ	b ə d͡z aː f a
быдзы	b ə d͡z ə
быдэ	b ə d a
бый	b ə j
былым	b ə ɮ ə m
бын	b ə n
бынжэ	b ə n ʒ a
бытырбыху	b a t ə r b ə xʷ
бэ	b a
бэв	b a v
бэдрэжан	b a d r a ʒ aː n
бэн	b a n
бэрэжьей	b a r a ʑ e j
бэуэн	b a w a n
вабдзэ	v aː b d͡z a
вагъуэ	v aː ʁʷ a
вакъэ	v aː q a
вы	v ə
вынд	v ə n d
вэн	v a n
гу	ɡʷ ə
гуанэ	ɡʷ aː n a
гуапэ	ɡʷ aː p a
гуапӏэ	ɡʷ aː pʼ a
гуартэ	ɡʷ aː r t a
гуауэ	ɡʷ aː w a
гуахъуэ	ɡʷ aː χʷ a
гуащэ	ɡʷ aː ɕ a
гува	ɡʷ ə v a
гугъу	ɡʷ ə ʁʷ
гудз	ɡʷ a d͡z
гудэ	ɡʷ ə d
гузэвэн	ɡʷ ə z a v a n
гулъ	ɡʷ ə ɬ
гупсысэн	ɡʷ ə p s ə s a n
гурыӏуэн	ɡʷ ə r ə ʔʷ a n
гуфӏагъуэ	ɡʷ ə fʼ aː ʁʷ a
гуфӏагъэ	ɡʷ ə fʼ aː ʁ a
гуфӏакӏэ	ɡʷ ə fʼ aː t͡ʃ a
гуфӏэн	ɡʷ ə fʼ a n
гухэщӏ	ɡʷ ə x a ɕʼ
гушыӏэ	ɡʷ ə ʃ ə ʔ a
гуыбзыгъэ	ɡʷ ə b z ə ʁ a
гуэгуэн	ɡʷ a ɡʷ a n
гуэдз	ɡʷ a d͡z
гуэл	ɡʷ a ɮ
гуэлӏ	ɡʷ a ɬʼ
гуэныхь	ɡʷ a n ə ħ
гуэшын	ɡʷ a ʃ ə n
гъаблэ	ʁ aː b ɮ a
гъатхэ	ʁ aː t x a
гъащӏэ	ʁ aː ɕʼ a
гъозыпс	ʁʷ a z ə p s
гъозышъу	ʁʷ a z ə ʃʷ
гъубж	ʁʷ ə b ʒ
гъуджэ	ʁʷ ə d͡ʒ a
гъукӏэ	ʁʷ ə t͡ʃʼ a
гъум	ʁʷ ə m
гъунэгъу	ʁʷ ə n a ʁʷ
гъусэ	ʁʷ ə s a
гъущы	ʁʷ ə ɕ ə
гъущэ	ʁʷ ə ɕ a
гъущӏ	ʁʷ ə ɕʼ
гъуэгу	ʁʷ a ɡʷ
гъуэгурыкӏуэныгъэ	ʁʷ a ɡʷ ə w a n a kʷʼ ə n ə r
гъуэгъуэн	ʁʷ a ʁʷ a n
гъуэгын	ʁʷ a ɣ ə n
гъуэжьы	ʁʷ a ʑ ə
гъуэзыпс	ʁʷ a z ə p s
гъуэмыл	ʁʷ a m ə ɮ
гъуэмылапхъэ	ʁʷ a m ə l aː p χ a
гъуэншэдж	ʁʷ a n ʃ a d͡ʒ
гъуэщэн	ʁʷ a ɕ a n
гъэ	ʁ a
гъэвэн	ʁ a v a n
гъэджэрэзын	ʁ a d͡ʒ a r a z ə n
гъэдыргъ	ʁ a d ə r ʁ
гъэзэшын	ʁ a z a ʃ ə n
гъэзэщӏэн	ʁ a z a a ɕʼ a n
гъэлъэпӏэн	ʁ a ɬ a pʼ a n
гъэмахуэ	ʁ a m aː xʷ a
гъэпсэхун	ʁ a p s a xʷ ə n
гъэсагъ	ʁ a s aː ʁ
гъэутӏэпӏын	ʁ a w tʼ a pʼ ə n
гъэфӏэн	ʁ a fʼ a n
гъэщӏэгъуэн	ʁ a ʃʼ a ʁʷ a n
гъэӏулэн	ʁ a ʔʷ ə l a n
гын	ɣ ə n
гьанэ	ɡʲ aː n a
гьэгу	ɡʲ a ɡʷ
гэ	t͡ʃ a n t͡ʃ a
