abaxada	a b a ʃ a d a
abaxada	a b a ʃ a d e
abaxada	a b a ʃ a d ə
abaxada	a b a ʃ a ð a
abaxada	a b a ʃ a ð e
abaxada	a b a ʃ a ð æ
abaxada	a b a ʃ a ð ɛ
akodrar	a k o d̪ r a r
aktivizmo	a k t i v i z m o
alaha	a l a x a
alguno	a l ɡ u n o
alhad	a l x a d
arpa	a ɾ p a
arroz	a r o z
arroz	a ɾ o z
arrozal	a r o z a l
arrozal	a ɾ o z a l
arrozico	a r o z i k o
arrozico	a ɾ o z i k o
aserkar	a s e r k a r
atakanar	a t̪ a k a n a r
ayudan	a j u d a n
ayudash	a j u d a ʃ
azer	a z e ɾ
bivir	b i v i ɾ
caxonerío	k a ʃ o n e ɾ i j o
caxonerío	k a ʃ o n e ɾ i o
caxonerío	k a ʃ o n i ɾ i j o
caxonerío	k a ʃ o n i ɾ i j u
caxón	k a ʃ o n
chikez	t͡ʃ i k e z
chiko	t͡ʃ i k o
dever	d e v e r
dudak	d u d a k
el	e l
espejo	e s p e ʒ o
exército	e ɡ z e r s i t o
exércitos	e ɡ z e r s i t o s
eya	e j a
eyas	e j a s
eyos	e j o s
fambre	f a m b ɾ e
fambres	f a m b ɾ e s
frutas	f r u t̪ a s
giyotina	ɡ i j o t̪ i n a
grasias	ɡ r a s j a s
hanum	x a n u m
kafedjí	k a f e d ʒ i
kaji	k a ʒ i
kaleja	k a l e ʒ a
keruvim	k e r u v i m
kirendj	k i r e n d͡ʒ
kon	k o n
kosmopolito	k o s m o p o l i t o
kuyumchi	k u j u m t͡ʃ i
loar	l o a ɾ
lokedad	l o k e ð a ð
maale	m a a l e
meldar	m ɛ l d a ɾ
mersi	m e r s i
mirar	m i r a r
mobtadj	m o b t a d͡ʒ
modrer	m o ð r e r
mortaldad	m o r t a l d a ð
mozotras	m o z o t r a s
mozotros	m o z o t r o s
muevo	m w e v o
mujer	m u ʒ e ɾ
noche	n ɔ t ʃ ɛ
orozo	o r o z o
pajina	p a ʒ i n a
palavra	p a l a v ɾ a
palavras	p a l a v ɾ a s
pila	p i l a
pila	p i l e
pila	p i l æ
pila	p i l ə
pila	p i l ɛ
prejudizio	p r e ʒ u d i z j o
rasizmo	r a s i z m o
ruso	r u s o
salud	s a l u ð
sin	s i n
sivdad	s i v d a d
sovre	s o v r e
tanah	t a n a x
travajo	t ɾ a v a ʒ o
travajos	t ɾ a v a ʒ o s
tu	t u
umor	u m o r
vedre	β e ð r e
vez	v e z
vezes	v e z e s
vida	v i d a
viejo	v j e ʒ o
virus	v i r u s
vos	v o s
vozotras	v o z o t r a s
vozotros	v o z o t r o s
yo	j o
yo	j ɔ
