aarōn	a a ɾ oː n
abacaenum	a b a k a e̯ n ʊ̃ˑ
abace	a b a k ɛ
abacinā	a b a k ɪ n aː
abacinātūrus	a b a k ɪ n aː t̪ uː ɾ ʊ s̠
abacinātus	a b a k ɪ n aː t̪ ʊ s̠
abacinō	a b a k ɪ n oː
abacīnus	a b a k iː n ʊ s̠
abacīs	a b a k iː s̠
abacis	a b a k ɪ s̠
abāctius	a b aː k t̪ i ʊ s̠
abāctor	a b aː k t̪ ɔ r
abāctus	a b aː k t̪ ʊ s̠
abāctus	a b aː k t̪ uː s̠
abaculus	a b a k ʊ ɫ̪ ʊ s̠
abacum	a b a k ʊ̃ˑ
abacus	a b a k ʊ s̠
abaddōn	a b a d̪ d̪ oː n
abaesamis	a b a e̯ s̠ a m ɪ s̠
abaestuātum	a b a e̯ s̠ t̪ ʊ aː t̪ ʊ̃ˑ
abaestuō	a b a e̯ s̠ t̪ ʊ oː
ābaetō	aː b a e̯ t̪ oː
abagmentum	a b a ɡ m ɛ n̪ t̪ ʊ̃ˑ
abalī	a b a l̪ iː
abaliēnāte	a b a l̪ i eː n aː t̪ ɛ
abaliēnātiō	a b a l̪ i eː n aː t̪ i oː
abaliēnātō	a b a l̪ i eː n aː t̪ oː
abaliēnō	a b a l̪ i eː n oː
abalietās	a b a l̪ i ɛ t̪ aː s̠
aballaba	a b a l̠ l̠ a b a
aballava	a b a l̠ l̠ a w a
abalus	a b a ɫ̪ ʊ s̠
abambulō	a b a m b ʊ ɫ̪ oː
abamita	a b a m ɪ t̪ a
abanēt	a b a n eː t̪
abanēth	a b a n eː t̪ʰ
abannātiō	a b a n n aː t̪ i oː
abante	a b a n̪ t̪ ɛ
abantēa	a b a n̪ t̪ eː a
abantēa	a b a n̪ t̪ eː aː
abantēus	a b a n̪ t̪ eː ʊ s̠
abantius	a b a n̪ t̪ i ʊ s̠
abascanta	a b a s̠ k a n̪ t̪ a
abascanta	a b a s̠ k a n̪ t̪ aː
abascantissimus	a b a s̠ k a n̪ t̪ ʊ s̠
abascantus	a b a s̠ k a n̪ t̪ ʊ s̠
abascus	a b a s̠ k ʊ s̠
abasgī	a b a s̠ ɡ iː
abavunculus	a b a w ʊ ŋ k ʊ ɫ̪ ʊ s̠
abavus	a b a w ʊ s̠
abax	a b a k s̠
abbacinō	a b b a k ɪ n oː
abbās	a b b aː s̠
abbātia	a b b aː t̪ i a
abbātiālis	a b b aː t̪ i aː l̪ ɪ s̠
abbātissa	a b b aː t̪ ɪ s̠ s̠ a
abbātizō	a b b aː t̪ ɪ z z oː
abbreviandus	a b b ɾ ɛ w i a n̪ d̪ ʊ s̠
abbreviātiō	a b b ɾ ɛ w i aː t̪ i oː
abbreviātiōnibus	a b b ɾ ɛ w i aː t̪ i oː n ɪ b ʊ s̠
abbreviātulus	a b b ɾ ɛ w i aː t̪ ʊ ɫ̪ ʊ s̠
abbreviātum	a b b ɾ ɛ w i aː t̪ ʊ̃ˑ
abbreviātūrus	a b b ɾ ɛ w i aː t̪ uː ɾ ʊ s̠
abbreviō	a b b ɾ ɛ w i oː
abchasica	a p kʰ a s̠ ɪ k a
abchasica	a p kʰ a s̠ ɪ k aː
abchasicus	a p kʰ a s̠ ɪ k ʊ s̠
abdara	a b d̪ a ɾ a
abdērītānus	a b d̪ eː ɾ iː t̪ aː n ʊ s̠
abdērus	a b d̪ eː ɾ ʊ s̠
abdicā	a b d̪ ɪ k aː
abdīcam	a b d̪ iː k ãˑ
abdicandō	a b d̪ ɪ k a n̪ d̪ oː
abdīcar	a b d̪ iː k a r
abdicārās	a b d̪ ɪ k aː ɾ aː s̠
abdicārem	a b d̪ ɪ k aː ɾ ɛ̃ˑ
abdicārēs	a b d̪ ɪ k aː ɾ eː s̠
abdicās	a b d̪ ɪ k aː s̠
abdicās	a b d̪ iː k aː s̠
abdicāsse	a b d̪ ɪ k aː s̠ s̠ ɛ
abdicāssem	a b d̪ ɪ k aː s̠ s̠ ɛ̃ˑ
abdicāssēs	a b d̪ ɪ k aː s̠ s̠ eː s̠
abdicātiō	a b d̪ ɪ k aː t̪ i oː
abdicātīva	a b d̪ ɪ k aː t̪ iː w a
abdicātīva	a b d̪ ɪ k aː t̪ iː w aː
abdicātīvās	a b d̪ ɪ k aː t̪ iː w aː s̠
abdicātīvē	a b d̪ ɪ k aː t̪ iː w eː
abdicātīvō	a b d̪ ɪ k aː t̪ iː w oː
abdicātīvōs	a b d̪ ɪ k aː t̪ iː w oː s̠
abdicātīvus	a b d̪ ɪ k aː t̪ iː w ʊ s̠
abdicātōria	a b d̪ ɪ k aː t̪ oː ɾ i a
abdicātōria	a b d̪ ɪ k aː t̪ oː ɾ i aː
abdicātōrius	a b d̪ ɪ k aː t̪ oː ɾ i ʊ s̠
abdīcō	a b d̪ iː k oː
abdicō	a b d̪ ɪ k oː
abditīva	a b d̪ ɪ t̪ iː w a
abditīva	a b d̪ ɪ t̪ iː w aː
abditīvus	a b d̪ ɪ t̪ iː w ʊ s̠
abditus	a b d̪ ɪ t̪ ʊ s̠
abdō	a b d̪ oː
