aarōn	aː a r ɔ n
ababa	aː b a b a
abacaenum	a b a t͡ʃ ɛː n u m
abace	aː b a t͡ʃ ɛ
abacī	aː b a t͡ʃ i
abacīna	a b a t͡ʃ iː n a
abacīna	a b a t͡ʃ iː n a
abacinā	a b aː t͡ʃ i n a
abacinātūrus	a b a t͡ʃ i n a t̪ uː r u s
abacinātus	a b a t͡ʃ i n aː t̪ u s
abacinō	a b aː t͡ʃ i n ɔ
abacīnus	a b a t͡ʃ iː n u s
abacīs	aː b a t͡ʃ i s
abacis	aː b a t͡ʃ i s
abāctor	a b a k t̪ ɔ r
abāctus	a b a k t̪ u s
abāctus	a b a k t̪ u s
abacūc	aː b a k u k
abaculus	a b aː k u l u s
abacum	aː b a k u m
abacus	aː b a k u s
abaddōn	a b a d̪ d̪ ɔ n
abae	aː b ɛ
abaesamis	a b ɛː z a m i s
abaestuātum	a b ɛ s t̪ u aː t̪ u m
abaestuō	a b ɛ s t̪ u ɔ
ābaetō	a b ɛː t̪ ɔ
abagmentum	a b a ɡ m ɛ n̪ t̪ u m
abalī	aː b a l i
abaliēnāte	a b a l i ɛ n aː t̪ ɛ
abaliēnātiō	a b a l i ɛ n aː t͡s i ɔ
abaliēnātō	a b a l i ɛ n aː t̪ ɔ
abaliēnō	a b a l i ɛː n ɔ
abalietās	a b a l iː ɛ t̪ a s
abalus	aː b a l u s
abambulō	a b a m b u l ɔ
abamita	a b aː m i t̪ a
abanēt	aː b a n ɛ t̪
abanēth	aː b a n ɛ t̪
abannātiō	a b a n n aː t͡s i ɔ
abante	a b a n̪ t̪ ɛ
abantēa	a b a n̪ t̪ ɛː a
abantēa	a b a n̪ t̪ ɛː a
abantēus	a b a n̪ t̪ ɛː u s
abarceō	a b a r t͡ʃ ɛ ɔ
abascanta	a b a s k a n̪ t̪ a
abascanta	a b a s k a n̪ t̪ a
abascantissimus	a b a s k a n̪ t̪ u s
abascantus	a b a s k a n̪ t̪ u s
abavia	a b aː v i a
abavunculus	a b a v u ŋ k u l u s
abavus	aː b a v u s
abax	aː b a k s
abbacinō	a b b aː t͡ʃ i n ɔ
abbātia	a b b aː t͡s i a
abbātiālis	a b b a t͡s i aː l i s
abbātissa	a b b a t̪ i s s a
abbātizō	a b b a t̪ i d d͡z ɔ
abbreviandus	a b b r ɛ v i a n̪ d̪ u s
abbreviātiō	a b b r ɛ v i aː t͡s i ɔ
abbreviātiōnibus	a b b r ɛ v i a t͡s i ɔː n i b u s
abbreviātulus	a b b r ɛ v i aː t̪ u l u s
abbreviātum	a b b r ɛ v i aː t̪ u m
abbreviātūrus	a b b r ɛ v i a t̪ uː r u s
abbreviō	a b b r ɛː v i ɔ
abchasica	a p k aː z i k a
abchasica	a p k aː z i k a
abchasicus	a p k aː z i k u s
abdara	a b d̪ a r a
abdērītānus	a b d̪ ɛ r i t̪ aː n u s
abdērus	a b d̪ ɛː r u s
abdicā	a b d̪ i k a
abdīcam	a b d̪ iː k a m
abdicandō	a b d̪ i k a n̪ d̪ ɔ
abdīcar	a b d̪ iː k a r
abdicārās	a b d̪ i k aː r a s
abdicārem	a b d̪ i k aː r ɛ m
abdicārēs	a b d̪ i k aː r ɛ s
abdicās	a b d̪ i k a s
abdicās	a b d̪ iː k a s
abdicāsse	a b d̪ i k a s s ɛ
abdicāssem	a b d̪ i k a s s ɛ m
abdicāssēs	a b d̪ i k a s s ɛ s
abdicātiō	a b d̪ i k aː t͡s i ɔ
abdicātīva	a b d̪ i k a t̪ iː v a
abdicātīva	a b d̪ i k a t̪ iː v a
abdicātīvās	a b d̪ i k a t̪ iː v a s
abdicātīvē	a b d̪ i k a t̪ iː v ɛ
abdicātīvō	a b d̪ i k a t̪ iː v ɔ
abdicātīvōs	a b d̪ i k a t̪ iː v ɔ s
abdicātīvus	a b d̪ i k a t̪ iː v u s
abdicātōria	a b d̪ i k a t̪ ɔː r i a
abdicātōria	a b d̪ i k a t̪ ɔː r i a
abdicātōrius	a b d̪ i k a t̪ ɔː r i u s
abdīcō	a b d̪ iː k ɔ
abdicō	a b d̪ i k ɔ
abditīva	a b d̪ i t̪ iː v a
abditīva	a b d̪ i t̪ iː v a
abditīvus	a b d̪ i t̪ iː v u s
abditum	a b d̪ i t̪ u m
