ᤀ	ɔ
ᤀᤠᤀᤡᤴ	a i n
ᤀᤠᤀᤡᤴᤋᤠᤴᤍᤡᤰ	a i n t a n d i k
ᤀᤠᤂᤧᤴ	a kʰ ɛ n
ᤀᤠᤏᤡ	a n i
ᤀᤠᤑᤠᤗᤣ	a pʰ a l e
ᤀᤠᤱᤃᤠ	a ŋ ɡ a
ᤀᤠᤳᤋᤡᤴ	a t t i n
ᤀᤠᤴᤇᤡ	a n cʰ i
ᤀᤠᤶᤒᤡ	a m b i
ᤀᤠᤸᤗᤠᤣ	a l l o
ᤀᤡᤰᤗᤣᤰ	i k l e k
ᤀᤡᤱᤄᤱ	i ŋ ɡʱ ɔ ŋ
ᤀᤧᤄᤠᤱ	ɛ ɡʱ a ŋ
ᤁ	k ɔ
ᤁᤴ	k ɔ n
ᤁᤴᤇᤡ	k ɔ n cʰ i
ᤁᤴᤏᤠ	k ɔ n n a
ᤁᤴᤜᤠ	k ɔ n h a
ᤂ	kʰ ɔ
ᤂᤠᤍᤠᤶᤔᤠ	kʰ a d a m m a
ᤃ	ɡ ɔ
ᤄ	ɡʱ ɔ
ᤅ	ŋ ɔ
ᤅᤠᤛᤡ	ŋ a s i
ᤆ	c ɔ
ᤆᤠᤜᤠᤒᤠ	c a h a b a
ᤆᤠᤫ	c w a
ᤆᤢᤰᤛᤠ	c u k s a
ᤆᤣᤛᤢᤱ	c e s u ŋ
ᤆᤫᤠ᤹ᤸ	c w aˀ l
ᤇ	cʰ ɔ
ᤈ	ɟ ɔ
ᤉ	ɟʱ ɔ
ᤊ	n j ɔ
ᤋ	t ɔ
ᤋᤖᤣᤒᤠ	t ɔ r e b a
ᤋᤖᤣᤔᤠ	t ɔ r e m a
ᤋᤠᤑᤧᤶᤒᤠ	t a pʰ ɛ m b a
ᤋᤠᤴᤍᤡ	t a n d i
ᤋᤠᤴᤍᤡᤰ	t a n d i k
ᤌ	tʰ ɔ
ᤌᤠᤣ	tʰ o
ᤌᤠᤱᤒᤣᤴ	tʰ a ŋ b e n
ᤌᤡᤒᤠᤣᤱ	tʰ i b o ŋ
ᤌᤡᤰ	tʰ i k
ᤌᤡᤰᤛᤡᤃᤣᤰ	tʰ i k s i ɡ e k
ᤍ	d ɔ
ᤎ	dʱ ɔ
ᤏ	n ɔ
ᤏᤠᤁᤢᤛᤱ	n a k u s ɔ ŋ
ᤏᤠᤶᤎᤡᤱᤃᤥ	n a m dʱ i ŋ ɡ o
ᤏᤡᤱᤄᤢᤶ	n i ŋ ɡʱ u m
ᤏᤢ	n u
ᤏᤢᤒᤠ	n u b a
ᤏᤢᤔᤠ	n u m a
ᤏᤢᤛᤡ	n u s i
ᤏᤧᤳᤇᤡ	n ɛ t cʰ i
ᤐ	p ɔ
ᤐᤠᤍᤠᤱᤒᤠ	p a d a ŋ b a
ᤑ	pʰ ɔ
ᤑᤠᤱᤛᤡ	pʰ a ŋ s i
ᤑᤢᤱ	pʰ u ŋ
ᤑᤧᤍᤠᤱᤔᤠ	pʰ ɛ d a ŋ m a
ᤒ	b ɔ
ᤓ	bʱ ɔ
ᤔ	m ɔ
ᤔᤠᤱ	m a ŋ
ᤔᤠ᤺ᤰᤜᤡ	m aː kʰ i
ᤔᤡ	m i
ᤔᤡᤰ	m i k
ᤔᤢᤰᤁᤢᤶᤒᤠ	m u k k u m b a
ᤔᤧᤴᤇᤠᤩ	m ɛ n cʰ j aː
ᤔᤧᤴᤇᤢᤔᤠ	m ɛ n cʰ u m a
ᤔᤧᤶᤒᤣ	m ɛ m b e
ᤕ	j ɔ
ᤕᤠᤣ	j o
ᤕᤠᤶᤒᤡᤇᤠ	j a m b i cʰ a
ᤕᤧᤳᤇᤡ	j ɛ t cʰ i
ᤕᤶᤒᤠ	j ɔ m b a
ᤕ᤺ᤣᤰᤕᤠ	j eː k j a
ᤖ	r ɔ
ᤗ	l ɔ
ᤗᤠᤱ	l a ŋ
ᤗᤡᤛᤡ	l i s i
ᤗᤣᤵᤔᤡ	l e p m i
ᤘ	w ɔ
ᤙ	ʃ ɔ
ᤚ	ʂ ɔ
ᤛ	s ɔ
ᤛᤠᤖᤡᤰ	s a r i k
ᤛᤠᤵᤔᤢᤴᤎᤢᤶ	s a p m u n dʱ u m
ᤛᤢᤶᤛᤡ	s u m s i
ᤛᤧᤰᤂᤠᤒᤡ	s ɛ k kʰ a b i
ᤜ	h ɔ
ᤜᤠᤖᤠ	h a r a
ᤜᤠᤣᤵ	h o p
ᤜᤡᤶ	h i m
ᤜᤢᤏᤡ	h u n i
ᤜᤢᤏᤣ	h u n e
ᤜᤢᤴᤇᤡ	h u n cʰ i
ᤜᤧᤏᤡ	h ɛ n i
ᤜᤧᤏᤣ	h ɛ n e
ᤜᤧᤰᤁᤣᤀᤠᤱ	h ɛ k k e a ŋ
ᤜᤧᤳᤋᤠᤣ	h eː t t oː
ᤜᤧᤴ	h ɛ n
ᤜᤧᤴᤇᤡ	h ɛ n cʰ i
ᤜᤧᤴᤜᤠ	h ɛ n h a
