ава	ɑ v ɑ
акша	ɑ k ʃ ɑ
ала	ɑ l ɑ
апак	ɑ p ɑ k
ардомс	ɑ r d ə m s
атям	ɑ tʲ ɑ m
аф	ɑ f
афоль	ɑ f ə lʲ
ацам	ɑ t͡s ɑ m
аш	ɑ ʃ
ваномс	v ɑ n ə m s
варжакснемс	v ɑ r d ʒ ɑ k s nʲ ə m s
варжакстомс	v ɑ r d ʒ ɑ k s t ə m s
варжамс	v ɑ r d ʒ ɑ m s
варжаф	v ɑ r d ʒ ɑ f
варжафкс	v ɑ r d ʒ ɑ f k s
васенце	v ɑ sʲ e nʲ t sʲ æ
васта	v ɑ s t ɑ
вастс	v a s t s
ведь	vʲ e dʲ
веле	vʲ e lʲ æ
вете	vʲ e tʲ æ
ветеце	vʲ e tʲ ə t sʲ æ
видьме	vʲ i dʲ mʲ æ
вирь	vʲ i rʲ
инголе	i ŋ ɡ ə lʲ æ
инголи	i ŋ ɡ ə lʲ i
инкса	i ŋ k s ɑ
кандомс	k ɑ n d ə m s
кармамс	k ɑ r m ɑ m s
касомс	k ɑ s ə m s
кафксоце	k ɑ f k s ə t sʲ æ
келу	kʲ e l u
ки	k i
кие	kʲ i
кие	kʲ i j æ
колма	k o l m ɑ
колмоце	k o l m ə t sʲ æ
кота	k o t ɑ
куд	k u d
куз	k u z
кундамс	k u n d ɑ m s
курга	k u r ɡ ɑ
кяль	kʲ æ lʲ
лем	lʲ æ m
лия	lʲ i j æ
лоськофтомс	l o sʲ k ə f t ə m s
лоськофтф	l o sʲ k ə f t f
лувомс	l u v ə m s
мар	m ɑ r
марса	m ɑ r s ɑ
мархта	m ɑ r̥ t ɑ
маряма	m ɑ rʲ ɑ m ɑ
марямс	m ɑ rʲ ɑ m s
мезе	m e zʲ æ
минь	mʲ i nʲ
мода	m o d ɑ
мокша	m o k ʃ ɑ
мокшава	m o k ʃ ɑ v ɑ
молемс	m o lʲ ə m s
мон	m o n
мора	m o r ɑ
морамс	m o r ɑ m s
ниле	nʲ i lʲ æ
омбоце	o m b ə t sʲ æ
ор	o r
орган	o r ɡ ɑ n
ош	o ʃ
пакся	p ɑ k sʲ æ
панга	p ɑ ŋ ɡ ɑ
панда	p ɑ n d ɑ
пелемс	pʲ e lʲ ə m s
перьф	p e rʲ f
перьфпяле	p e rʲ f pʲ æ lʲ ə
перьфпяль	p e rʲ f pʲ æ lʲ
пизем	pʲ i zʲ e m
пиле	pʲ i lʲ æ
пичемарь	pʲ i t ʃʲ æ m ɑ rʲ
пря	p rʲ æ
пувордамс	p u v ə r d ɑ m s
пяле	pʲ æ lʲ ə
пялемс	pʲ æ lʲ ə m s
пяль	pʲ æ lʲ
пялькс	pʲ æ lʲ k s
ронга	r o ŋ ɡ ɑ
руз	r u z
рузава	r u z ɑ v ɑ
сама	s ɑ m ɑ
самс	s ɑ m s
сельме	sʲ e lʲ mʲ æ
сельмоваржафкс	sʲ e lʲ m ə v ɑ r d ʒ ɑ f k s
сембе	sʲ e mʲ bʲ æ
симомбяль	sʲ i m ə m bʲ æ lʲ
симомс	sʲ i m ə m s
синь	sʲ i nʲ
сон	s o n
ся	sʲ æ
сярядемс	sʲ æ rʲ æ dʲ ə m s
тинь	tʲ i nʲ
тол	t o l
тон	t o n
тонафнемс	t o n ɑ f nʲ ə m s
тонафтомс	t o n ɑ f t ə m s
тумс	t u m s
туфтал	t u f t ɑ l
тя	tʲ æ
улемс	u lʲ ə m s
урма	u r m ɑ
финц	f i n t s
фкя	fʲ kʲ æ
ши	ʃ i
шить	ʃ i tʲ
щам	ʃ t͡ʃ ɑ m
щамс	ʃ t͡ʃ ɑ m s
эльде	j æ lʲ dʲ æ ~ æ lʲ dʲ æ
эсь	e sʲ
ёр	j o r
