afgan	a f ɡ ɑ̃
afgan	a f ɡ ɑ̃
afganistan	a f ɡ a n i s t ɑ̃
agrikilter	a ɡ ʁ i k i l t ɛː
agrikiltir	a ɡ ʁ i k i l t ʃ iː ə
albane	a l b a n e
albane	a l b a n e
albani	a l b a n i
alzeri	a l z e ʁ i
alzerien	a l z ɛː j ɛ̃
alzerien	a l z ɛː j ɛ̃
andor	ɑ̃ d oː
andoran	ɑ̃ d o ʁ ɑ̃
andoran	ɑ̃ d o ʁ ɑ̃
angola	ɑ̃ ɡ o l a
angole	ɑ̃ ɡ o l e
angole	ɑ̃ ɡ o l e
anter	ɑ̃ t ɛː
antere	ɑ̃ t e ʁ e
antigwa	ɑ̃ t ʃ i ɡ w a
antigwayen	ɑ̃ t ʃ i ɡ w a j ɛ̃
armeni	ɑː m e n i
armenien	ɑː m e n j ɛ̃
arzantin	ɑː z ɑ̃ t ɛ̃
arzantin	ɑː z ɑ̃ t ɛ̃
arzantinn	l ɑː z ɑ̃ t ʃ i n
azerbaijan	a z ɛː b a j d ʒ ɑ̃
azeri	a z e ʁ i
baamas	b a a m a s
baameen	b a a m e ɛ̃
bachara	b a t ʃ a ʁ a
barbida	b ɑː b y d a
bareyn	b a ʁ e j n
bareyni	b a ʁ e j n i
bizin	b i z ɛ̃
chup	t ʃ u p
dal	d a l
deg	d e ɡ
deg	d e k
degou	d e ɡ u
degti	d e ɡ t ʃ i
deksi	d e k s i
devet	d e v e t
drom	d ʁ o m
e	ø
e	e
e	e
ek	e k
fineray	f i n e ʁ a y
ghin	ɡʰ i n
informasion	ɛ̃ f oː m a s j ɔ̃
informasion	ɛ̃ f oː m a ʃ ɔ̃
kalash	k ə l ə ʃ
kamli	k a m l i
kapav	k a p a v
karay	k a ʁ a j
kasrol	k a s ʁ o l
kav	k a v
koneksion	k o n e k s j ɔ̃
koneksion	k o n e k ʃ ɔ̃
konekte	k o n e k t e
kouver	k u v ɛː
kouvertir	k u v ɛː t iː ə
kouyon	k u j ɔ̃
kwet	k w e t
lagazet	l a ɡ a z e t
lame	l a m e
lanterman	l ɑ̃ t ɛː m ɑ̃
lerwa	l e ʁ w a
maharaja	m a h a ɾ a d ʒ a
maharaja	m a h a ʁ a d ʒ a
maharani	m a h a ɾ a n i
maraz	m a ʁ a z
molton	m o l t ɔ̃
news	n j u z
nouvel	n u v e l
ostrali	l o s t ʁ a l i
ostralien	o s t ʁ a l j ɛ̃
ostralien	o s t ʁ a l j ɛ̃
otrish	o t ʁ i ʃ
otrishien	o t ʁ i ʃ j ɛ̃
otrishien	o t ʁ i ʃ j ɛ̃
ouver	u v ɛː
ouvertir	u v ɛː t iː ə
pagn	p ã j
pandit	p ə n d i t
parsadi	p ə ɾ s a d i
paspor	p a s p oː
plant	p l ɑ̃ t
plantasion	p l ɑ̃ t a s j ɔ̃
plantasion	p l ɑ̃ t a ʃ ɔ̃
plante	p l ɑ̃ t e
planter	p l ɑ̃ t ɛː
prasad	p ɾ ə s a d
puja	p u d ʒ a
pujari	p u d ʒ a ʁ i
pujari	p u d ʒ a ɾ i
rani	ʁ a n i
rani	ɾ a n i
royos	ʁ o j o s
samachar	s a m a t ʃ a ɾ
sari	s a ʁ i
serom	s e ʁ o m
trankil	t ʁ ɑ̃ k i l
zournal	z uː n a l
zournalis	z uː n a l i s
zournalism	z uː n a l i s m
