а	a
аав	aː w
ааг	aː ɡ
аадар	aː d ə r
аалз	aː ɮ t s
ааруул	aː r ʊː ɮ
ав	a w
аварга	a w̜ r ə ɢ
авах	a w ə x
авга	a w ə ɢ
авдар	a w t ə r
авс	a w s
австрали	a f s tʰ r a ɮ
австри	a w̜ s tʰ r
автобус	a f tʰ ʊː s
автомашин	a f tʰ ə m a ʃ i ŋ
авьяас	a w j a s
агаар	a ɢ aː r
агентлаг	ä ɡ e n tʰ ɮ ə k̠
агшин	a ɡ ʃ i ŋ
ад	a t
адал	a t ə ɮ
адгуус	a t ɢ ʊ s
адил	a tʲ ə ɮ
адуу	a t ʊ
адуус	a t ʊ s
ажил	a t͜ɕ ə ɮ
ажилтан	a t͜ɕ ə ɮ tʰ ə ŋ
аз	a t͡s
айл	a i ɮ
айлчлах	a i ɮ t͡ɕʰ ɮ ə x
айраг	a i r a ɡ
академи	ä k t eˑ m
академич	ä k t e̞ m t͜ɕʰ
алба	a ɮ p
албадах	a ɮ p ə t ə x
албадлага	a ɮ p ə t ɮ ə ɢ
албани	ä ɮ p äˑ n
алга	a ɮ ə ɢ
алдах	a ɮ t ə x
алжир	a ɮ t͡ʃ i r
алим	ɛ ɮ ə m
аллах	a ɮ ɮ a x
алт	a ɮ tʰ
алтан	a ɮ tʰ ə ŋ
алтгана	a ɮ tʰ ɢ ə n
алх	a ɮ x
аль	a ɮʲ
ам	a m
амжилт	a m t͡ʃ i ɮ tʰ
амжих	a m t͡ɕ ə x
амь	ɛ m
амьдрал	ɛ m t r ə ɮ
амьсгалах	a mʲ s ɢ ə ɮ ə x
амьтан	ɛ m tʰ ə ŋ
анги	a ŋ ɡ
англи	a ŋ ɡ i ɮ
англи	ɛ ŋ ɡ ə ɮ
анекдот	ɔ n i ɡ ɔː
анх	a ŋ x
анхилга	a ŋʲ xʲ ə ɮ ə ɢ
анчин	a n t͡ʃʰ i ŋ
аппарат	a pʰ r a tʰ
аптек	a pʰ tʰ e kʰ
арал	a r ə ɮ
арвай	a r w a i
арга	a r ə ɢ
аргентин	a r ɡ e n tʰ i ŋ
архи	ɛ r x
архив	ɛ r x iˑ w̜
архичин	ɛ r x t͜ɕʰ ə ŋ
арьс	a rʲ s
арьстан	ɛ r s tʰ ə ŋ
асуух	a s ʊ x
атаа	a tʰ a
атаархах	a tʰ a r x ə x
афганистан	a f ɡ a n i s tʰ a ŋ
африкаанс	a f r i kʰ aː n s
ах	ä χ
ац	a t͡sʰ
баавар	p aː w̜ ə r
баатар	p aː tʰ ə r
баах	p aː x
баг	p a ɡ
бага	p a ɢ
багаж	p a ɢ t͡ɕ
баглаа	p a ɢ ɮ aː
багс	p a ɡ s
багш	p a ɡ ʃ
байгаль	p a i ɡ a ɮʲ
байгууллага	p a i ɢ ʊː ɮ ɮ ə k
байдал	p a i t ə ɮ
байна	p a i n
байх	p a i x
байц	p a i t͡sʰ
байцаа	p a i t͡s aː
байшин	p a i ʃ ə ŋ
балба	p a ɮ ə p
бангладеш	p a ŋ ɡ ɮ a t e ʃ
банк	p a ŋ k
бар	p a r
бараг	p a r ə ɡ
барамнас	p a r a m n a s
барга	p ä r ə q
барих	p a rʲ ə x
баруун	p a r ʊː ŋ
баруунтан	p ä r ʊː n tʰ ə ŋ
бассейн	p a s e j ŋ
баттулга	p ä tʰ tʰ ʊ ɮ ə q
баяд	p ä j t ə
баялаг	p a j ɮ ə k̠
баян	p a j ə ŋ
баяр	p a j r
баярлалаа	p a j ə r ɮ a
баяртай	p a j a r tʰ a i
беларусь	p e ɮ a r ʊ sʲ
бельги	p e ɮ i k
би	p i
бид	p i t
бие	p i j
бийр	p iː r
битлз	p i tʰ ə ɮ t͡s
богино	p ɔ ɡʲ ə n
бодис	p œ t ə s
бойжих	p ɔ i t͡ɕ ə x
бол	p ɔ ɮ
