azā	ʔ a ˧ z aː ˨˨˦
bbû	b͡ʙ u ˥
bbûmû	b͡ʙ u ˥ m u ˥
bì	b i ˦˨
bûdzhà	b u ˥ d ʐ a ˥˧
bûmŭ	b u ˥ m u ˨
bûnchîh	b u ˥ n t ʂʰ ɯ ˥
bădzhâ	b a ˨ d ʐ a ˥
bătsîh	b a ˨ t͡s ɨ ˥
bĕhnî	b e ˨ ɦⁿ ĩ ˥
bĕr	b ɚ ˨
bĭ	b i ˨
bŭtsîhtsîh	b u ˨ t͡s ɨ ˥ t͡s ɨ ˥
bŭzîhzîh	b u ˨ z ɨ ˥ z ɨ ˥
chìh	t ʂʰ ɯ ˥˨
chîh	t ʂʰ ɯ ˥
chā	t ʂʰ aː ˨
cìh	t ʂ ɯ ˥˧
cĭhkû	t ʂ ɯ ˨ k u ˥
dbù	d͡ʙ u ˥
dbŭ	d͡ʙ u ˨
duò	d w o ˥˧
dzhuò	d ʐ w o ˥˧
dzhèh	d ʐ ɤ ˥˨
dzhìh	d ʐ ɯ ˥˧
dzhìhqă	d ʐ ɯ ˥˧ q a ˨
dzhù	d ʐ u ˥˨
dzhīhgyî	d ʐ ɯ ˨˨˦ d͡ʑ i ˥
dzhŭ	d ʐ u ˨
dzhŭla	d ʐ u ˨ l a ˧
dzà	d͡z a ˥˧
dzè	d͡z e ˥˧
dzìh	d͡z ɨ ˥˧
dzìhmaya	d͡z ɨ ˥˧ m a ˧ j a ˧
dzìhmĭnggă	d͡z ɨ ˥˧ m i ˨ ŋ ɡ a ˨
dzîh	d͡z ɨ ˥
dàdzhĕh	d a ˥˨ d͡ʐ ɤ ˨
dàdzhĭh	d a ˥˧ d ʐ ɯ ˨
dàr	d aʴ ˥
dä̀	d æ ˥˨
fàxă	f a ˥˨ x a ˨
fû	f u ˥
fûyî	f u ˥ j i ˥
fŭ	f u ˨
fŭqâ	f u ˨ q a ˥
ghĭ	ɢ i ˨
gyĭ	d͡ʑ i ˨
gyĭgĭ	d͡ʑ i ˨ ɡ i ˨
gyǘ	d͡ʑ y ˧˥
gyǚ	d͡ʑ y ˥
gâmû	ɡ a ˥ m u ˥
gä̆ku	ɡ æ ˨ k u ˧
gä̑	ɡ æ ˥
gè	ɡ e ˥˧
gì	ɡ i ˥˧
gî	ɡ i ˥
găhnî	ɡ ã ˨ hⁿ ĩ ˥ ɡ ã ˨ hⁿ ĩ ˥
hnì	ɦⁿ ĩ ˥˨
hnîqho	ɦⁿ ĩ ˥ qʰ o ˧
hnô	ɦⁿ õ ˥
hnŭ	ɦⁿ ũ ˨
hró	ʁ o ˧˥
hră	ʁ a ˨
hrălî	ʁ a ˨ l i ˥
hrăzhîh	ʁ a ˨ ʐ ɯ ˥
hrō	ʁ oː ˨
hrō	ʁ oː ˨˨˦
hâtò	ɦ a ˥ t o ˥˧
hûndzhû	ɦ u ˥ n d ʐ u ˥
hāi	ɦ aː j ˨˨˦
hă	ɦ a ˨
hǟ	ɦ æː ˨˨˦
ka	k a ˧
khvìh	kʰ v̩ ˥˧
khyipä̆dzhŭa	t͡ɕʰ i ˧ p æ ˨ d ʐ u ʕ̞ ˨
khyipä̆hä̑	t͡ɕʰ i ˧ p æ ˨ ɦ æ ˥
khyìyǚ	t͡ɕʰ i ˥˨ ɥ y ˨
khyî	t͡ɕʰ i ˥
khyîdzhŭ	t͡ɕʰ i ˥ d ʐ u ˨
khyòxrŏ	t͡ɕʰ o ˥˧ χ o ˨
khyô	t͡ɕʰ o ˥
khâlâ	kʰ a ˥ l a ˥
khâyî	kʰ a ˥ j i ˥
khèr	kʰ ɚ ˥˨
khôpà	kʰ o ˥ p a ˥˧
kuh	k ʉ ˨
kvìh	k v̩ ˥˧
kyiyǚmû	t͡ɕ i ˧ ɥ y ˨ m u ˥
kyî	t͡ɕ i ˥
kyǘnyĭ	t͡ɕ y ˧˥ ɲ i ˨
kyǚmû	t͡ɕ y ˨ m u ˥
kä̑pă	k æ ˥ p a ˨
kō	k oː ˨
kŏhnî	k õ ˨ h̃ ĩ ˥
kŭ	k u ˨
lhâ	l̥ a ˥
lhâbä̑	l̥ a ˥ b æ ˥
lhâsâ	l̥ a ˥ s a ˥
lhĭmî	l̥ i ˨ m i ˥
libbûwûtshù	l i ˧ b͡ʙ u ˥ w u ˥ t͡sʰ u ˥˧
loqo	l o ˧ q o ˧
lundbù	l u ˧ n d͡ʙ u ˦˨
luò	l w o ˥˧
luòxŏ	l w o ˥˧ x o ˨
luóchìh	l w o ˧˥ t ʂʰ ɯ ˥˧
luófù	l w o ˧˥ f u ˥
luógä̑	l w o ˧˥ ɡ æ ˥
luópä̆	l w o ˧˥ p æ ˨
luópä̆xä̑	l w o ˧˥ p æ ˨ x æ ˥
luóxă	l w o ˧ x a ˨
làqă	l a ˥˧ q a ˨
làqŏ	l ɑ ˥˧ q o ˨
lä̀	l æ ˥˧
lä̆	l æ ˨
lä̆qä̆	l æ ˨ q æ ˨
lî	l i ˥
lîghî	l i ˥ ɢ i ˥
lînyu	l i ˥ ɲ u ˧
lùh	l ʉ ˥˨
lúmbâ	l u ˧˥ m b a ˥
lăbèr	l a ˨ b ɚ ˥˧
lŏghĭ	l o ˨ ɢ i ˨
lŏqŏ	l o ˨ q o ˨
lǜ	l y ˦˨
lǜe	l y e ˦˨
lǟ	l æː ˨˨˦
maku	m a ˧ k u ˧
mbà	m b a ˥˨
mbä̀	m b æ ˥˨
mbä̆	m b æ ˨
mbér	m b ɚ ˧˥
mphsìh	m pʰ s ɨ ˥˨
mphà	m pʰ a ˥˧
mphì	m pʰ i ˥˨
mphìpù	m pʰ i ˥˧ p u ˦˨
mpsīh	m p s ɨː ˨˨˦
mvĭh	m v̩ː ˨
mwĭ	m w i ˨
mà	m a ˥˨
mâ	m a ˥
mä̆kŭ	m æ ˨ k u ˨
mèr	m ɚ ˦˨
mìpä̆	m i ˥˧ p æ ˨
mìpä̆dä̑	m i ˥˧ p æ ˨ d æ ˥
mî	m i ˥
mîchādzhŭ	m i ˥ t ʂʰ aː ˨ d ʐ u ˨
mîkhyò	m i ˥ t͡ɕʰ o ˥˧
mînthù	m i ˥ n tʰ u ˥˧
mó	m o ˨
mólò	m o ˧˥ l o ˥˨
mólô	m o ˧˥ l o ˥
môngò	m o ˥ ŋ o ˥˨
mā	m a ˨˨˦
mākû	m aː ˨˨˦ k u ˥
māqû	m aː ˨˨˦ q u ˥
mă	m a ˨
măxrô	m a ˨ χ o ˥
mĕr	m ɚ ˨
mĭndzhâ	m i ˨ n d ʐ a ˥
mĭnggă	m i ˨ ŋ ɡ a ˨
mō	m o ˨˨˦
mŭ	m u ˨
nchèh	n t ʂʰ ɤ ˥˨
nchìh	n t ʂʰ ɯ ˥˧
ndbù	n d͡ʙ u ˥˧
ndzhìh	n d ʐ ɯ ˥˧
ndzhòqŏ	n d ʐ o ˥˧ q o ˨
ndzhû	n d ʐ u ˥
ndzhĭ	n d ʐ ɯ ˨
ndzhĭhbâ	n d ʐ ɯ ˨ b a ˥
ndzhĭhgyî	n d ʐ ɯ ˨ d͡ʑ i ˥
ndzhŭdzhû	n d ʐ u ˨ d ʐ u ˥
ndzuò	n d͡z w o ˦˨
ndzà	n d͡z a ˥˧
ndzò	n d͡zʷ o ˦˨
ndzù	n d͡z u ˥˨
ndză	n d͡z a ˨
ndà	n d a ˥˧
ndò	n d o ˥˨
nggă	ŋ ɡ a ˨
nggĭ	ŋ ɡ i ˨
nghò	ɴ ɢ o ˥˨
nghă	ɴ ɢ ɑ ˨
ngvìh	ŋ v̩ ˥˧
ngyü̑	n d͡ʑ y ˥
ngà	ŋ a ˥˨
ngâ	ŋ a ˥
ngânyî	ŋ a ˥ ɲ i ˥
ngâxrô	ŋ a ˥ χ o ˥
ngô	ŋ o ˥
ngă	ŋ a ˨
ngămû	ŋ a ˨ m u ˥
nkhvĭh	n kʰ v̩ ˨
nkhè	n kʰ e ˥˧
nkhî	ŋ kʰ i ˥
nqhvìh	ɴ qʰ v̩ ˥˨
nthà	n tʰ a ˥˧
nthă	n tʰ a ˨
ntshuò	n t͡sʰ w o ˥˧
ntshà	n t͡sʰ a ˥˧
ntshá	n t͡sʰ a ˧˥
ntshè	n t͡sʰ e ˥˧
nuò	n u̯ o ˥˧
nuònyî	n w o ˥˧ ɲ i ˥
nuôxrô	n w o ˥ χ o ˥
nxrŏ	ɴ χ o ˨
nyî	ɲ i ˥
nyîbî	ɲ i ˥ b i ˥
nyîmî	ɲ i ˥ m i ˥
nyĭmî	ɲ i ˨ m i ˥
nàkhà	n a ˥˨ kʰ a ˥˨
nàmŭzĭh	n a ˥˧ m u ˨ z ɨ ˨
nànămŭ	n a ˥˨ n a ˨ m u ˨
nâ	n a ˥
nā	n aː ˨˨˦
nă	n a ˨
pbĭh	p͡ʙ̩
phshĭh	pʰ ʂ ɯ ˨
phâtsìh	pʰ a ˥ t͡s ɨ ˥˧
phêrmî	pʰ ɚ ˥ m i ˥
phêrmîdàr	pʰ ɚ ˥ m i ˥ d aʴ ˥˧ l ʉ ˥
phî	pʰ i ˥
phò	pʰ o ˥˨
phòdä̀	pʰ o ˥˧ d æ ˦˨
phòxà	pʰ o ˥˧ x a ˦˨
phûdzhâ	pʰ u ˥ d ʐ a ˥
phûlŭ	pʰ u ˥ l u ˨
pâdzhà	p a ˥ d ʐ a ˥˧
pä̆	p æ ˨
pä̆dä̑	p æ ˨ d æ ˥
pä̆xä̑	p æ ˨ x æ ˥
pì	p i ˥˧
pîzeh	p i ˥ z ɤ ˧
pă	p a ˨
pădä̆	p a ˨ d æ ˨
pămî	p a ˨ m i ˥
pĭtsă	p i ˨ t͡s a ˨
pŭnyĭ	p u ˨ ɲ i ˨
qhâghŏ	qʰ a ˥ ɢ o ˨
qhâla	qʰ a ˥ l a ˧
qhâlûh	qʰ a ˥ l ʉ ˥
qhâtsŏ	qʰ a ˥ t͡s o ˨
qhâtô	qʰ a ˥ t o ˥
qhôtsô	qʰ o ˥ t͡s o ˥
qhă	qʰ a ˨
qhŏtshà	q o ˥ t͡sʰ a ˥˧
qhǟnggà	qʰ æː ˨˨˦ ŋ ɡ a ˦˨
qolô	q o ˧ l o ˥
qòtŭ	q o ˥˧ t u ˨
qô	q o ˥
qă	q a ˨
qădzîh	q a ˨ d͡z ɨ ˥
qŭbŭ	q u ˨ b u ˨
shuô	ʂ w o ˥
shà	ʂ a ˥˨
shâ	ʂ a ˥
shâphî	ʂ a ˥ pʰ i ˥
shìh	ʂ ɯ ˥˧
shìhkŏ	ʂ ɯ ˥˧ k o ˨
shímîyâ	ʂ ɯ ˧˥ m i ˥ j a ˥
shîh	ʂ ɯ ˥
shîhdzhĭh	ʂ ɯ ˥ d ʐ ɯ ˥˧
shîhshĭh	ʂ ɯ ˥ ʂ ɯ ˨
shû	ʂ u ˥
shûa	ʂ w a ˥
shă	ʂ a ˨
shĭh	ʂ ɯ ˨
shŭ	ʂ u ˩
shŭmaya	ʂ u ˨ m a ˧ j a ˧
shŭshû	ʂ u ˨ ʂ u ˥
sihpì	s ɨ ˧ p i ˧˩
sihsĭh	s ɨ ˧ s ɨ ˨
sà	s a ˥˧
sè	s e ˥˧
sìh	s ɨ ˥˧
sîh	s ɨ ˥
sîhphî	s ɨ ˥ pʰ i ˥
sîhpû	s ɨ ˥ p u ˥
sô	s o ˥
sā	s a ˨˨˦
să	s a ˨
săér	s a ˨ ɚ ˧˥
sēr	s ɚː ˨˨˦
sĕh	s ɤ ˨
sĕhpŭpû	s ɤ ˨ p u ˨ p u ˥
sĕndzà	s e ˨ n d͡z a ˥˧
sĭh	s ɨ ˨
sĭhbŭsĭh	s ɨ ˨ b u ˨ s ɨ ˨
sĭhlûh	s ɨ ˨ l ʉ ˥
sĭlûh	s ɨ ˨ l ʉ ˥
tbû	t͡ʙ u ˥
tbĭh	t͡ʙ̩ ˨
thuôlî	tʰ w o ˥ l i ˥
thî	tʰ i ˥
tshuò	t͡sʰ w o ˥˨
tshuòndzòfŭsû	t͡sʰ w o ˥˧ n d͡zʷ o ˦˨ f u ˨ s u ˥ l ʉ ˥
tshà	t͡sʰ a ˥˧
tsih	t͡s ɨ ˥˨
tsà	t͡s a ˥˧
tsĕ	t͡s e ˨
tsĭh	t͡s ɨ ˨
tà	t a ˦˨
tâ	t a ˥
tò	t o ˥˨
tòqô	t o ˥˧ q o ˥
tô	t o ˥
tôqhô	t o ˥ qʰ o ˥
và	v a ˥˧
vù	v u ˥˨
vû	v u ˥
vûdà	v u ˥ d a ˥˧
vûdä̀	v u ˥ d æ ˥˧
vŭ	v u ˨
vŭdzhì	v u ˨ d ʐ ɯ ˥˧
wà	w a ˥˧
wăwâ	w a ˨ w a ˥
xruò	χ w o ˥˨
xrălàyâ	χ a ˨ l a ˥˨ j a ˥
xà	x a ˦
xè	x e ˦˨
xă	x a ˨
yâ	j a ˥
yâqhûmu	j a ˨ qʰ u ˥ m u ˧
yîbì	j i ˥ b i ˥˧
yòqhŏ	j o ˥˧ qʰ o ˨
yûhnû	j ũ ˥ ɦⁿ ũ ˥
yă	j a ˨
yĭlhâ	j i ˨ l̥ a ˥
yĭnggă	j i ˨ ŋ ɡ a ˨
yĭntà	j i ˨ n t a ˥˨
yǘ	ɥ y ˧˥
yǘqhô	ɥ y ˧˥ qʰ o ˥
zhihzhìh	ʐ ɯ ˧ ʐ ɯ ˥˧
zhizhî	ʐ ɯ ˧ ʐ ɯ ˥
zhâ	ʐ a ˥
zhìnyĭ	ʐ ɨ ˥˧ ɲ i ˨
zhîhkä̑	ʐ ɯ ˥ k æ ˥
zhû	ʐ u ˥
zhĭzhî	ʐ ɯ ˨ ʐ ɯ ˥
zêhhnû	z ɤ̃ ɦⁿ u ˥
zêhxnû	z ɤ ˥ xⁿ u ˥
zìh	z ɨ ˥˨
zîh	z ɨ ˥
zùh	z ʉ ˥˧
ză	z a ˨
zăphà	z a ˨ pʰ a ˥˧
zĕhmî	z ɤ ˨ m i ˥
àdă	ʔ a ˥˧ d a ˨
àdămŭ	ʔ a ˥˧ d a ˨ m u ˨
â	ʔ a ˥
âdà	ʔ a ˥ d a ˥˧
âgyîsâ	ʔ a ˥ d͡ʑ i ˥ s a ˥
âhrô	ʔ a ˥ ʁ o ˥
âmèr	ʔ a ˥ m ɚ ˥˧
âmî	ʔ a ˥ m i ˥
ândbù	a ˥ n d͡ʙ u ˥˨
ânà	ʔ a ˥ n a ˦˨
âvûshû	ʔ a ˥ v u ˥ ʂ u ˥
âxrô	ʔ a ˥ χ o ˥
ä̑	ʔ æ ˥
ä̑hrô	ʔ æ ˥ ʁ o ˥
ä̑luò	ʔ æ ˥ l w o ˥˧
ăbì	ʔ a ˨ b i ˥˧
ămî	ʔ a ˨ m i ˥
ĕrgŭ	ɚ ˨ ɡ u ˨
ĕrkû	ɚ ˨ k u ˥
ĕrquô	ɚ ˨ q w o ˥
ĕrzîh	ɚ ˨ z ɨ ˥
