agurktid	ɑ ɡ ʉ ɾ k t iː
aksent	ɑ k s ɒ ŋ
alaskar	ɑ l ɑ s k ɑ ɾ
alaskisk	ɑ l ɑ s k ɪ s k
alfabet	ɑ l f ɑ b eː t
bakbord	b aː k b uʷː ɾ
banan	b ɑ n aː n
banne	² b ɑ n n ə
bannlyse	b ɑ nː ² l yː s ə
barnehage	b ɑː ɳ ə h ɑː ɡ ə
bart	b ɑ ʈ
benektelse	b ə n ɛ k t ə l s ə
binær	b ɪ n æː ɾ
blant	b l ɑ n t
blemme	b l ɛ m m ə
bløffe	² b l œ f f ə
boms	b ʊ m s
bongotromme	b ʊ ŋ ɡ ʊ t ɾ ʊ m m ə
brekkjern	b ɾ ɛ k j æː ɳ
datamus	d aː t ɑ m ʉʷː s
diskotek	d ɪ s k ʊ t eː k
dovendyr	d oː ʋ ə n d yː ɾ
drosje	d ɾ ɔʷ ʂ ə
dryle	² d ɾ yː l ə
dumming	d ʊ m m ɪ ŋ
dysleksi	d ʏ s l ɛ k s iː
døgn	d œ j n
døgn	d œ ŋ n
edderkopp	ɛ d ə ɾ k ɔ p
einherje	² æ ɪ̯ n h æ ɾ j ə
eplepai	ɛ p l ə p ɑ ɪ̯
erklæring	æ ɾ k l æː ɾ ɪ ŋ
faen	f ɑː ə n
fagidiot	f aː ɡ ɪ d ɪ u͍ː t
fagidiot	f aː ɡ ɪ d ɪ̯ u͍ː t
fallskjermhopping	f ɑ l ʂ æ ɾ m h ɔ p p ɪ ŋ
fasan	f ɑ s aː n
fele	f eː l ə
fennek	f ɛ n n ə k
fjes	f j eː s
fjære	f j æː ɾ ə
fjøl	f j øʷː l
fjøs	f j øː s
flått	f l ɔ t
forakte	f ɔ ɾ ɑ̀ k t ə
frysning	f ɾ ŷː s n ɪ ŋ
fårikål	f oʷː ɾ ɪ k ɔʷ l
førelegg	f ø̂ː ɾ ə l ɛ ɡ
gatekjøken	ɡ aː t ə ç øː k ə n
gatekjøkken	ɡ aː t ə ç œ k ə n
gaule	ɡ æ u̯ l ə
gissel	ɡ ɪ s s l̩
gissel	ɡ ɪ s s ə l
gjennomsnittsfart	j ɛ n n ʊ m s n ɪ t s f ɑ ʈ
grateng	ɡ ɾ ɑ t ɛ ŋ
gruvedrift	ɡ ɾ ʉʷː ʋ ə d ɾ ɪ f t
gråbein	ɡ ɾ oː b æ ɪ̯ n
hallik	h ɑ l l ɪ k
halvøy	h ɑ lː œ j
hammar	h ɑː m m ɑ ɾ
handlevogn	h ɑ̂ n l ə ʋ ɔ ŋ n
heie	h æ̂ ɪ̯ː ə
herme	² h æ ɾ m ə
homofili	h ʊ m ʊ f ɪ l iː
hovuddel	h uʷː ʋ ʉ d d eː l
hovudinngang	h uʷː ʋ ʉ d ɪ ŋ ɡ ɑ ŋ
hundemat	h ʉʷ n n ə m aː t
industriland	ɪ n d ʉʷ s t ɾ iː l ɑ n
inkje	² ɪ ɲ c͡ç ə
intim	ɪ n t iː m
joletid	j uʷː l ə t iː d
jord	j uː ɽ
jord	j uː ɾ
jord	j uː ʁ
jovial	j ʊ ʋ ɪ aː l
karboksylsyre	k ɑ ɾ b ʊ k s yʷː l s yʷː ɾ ə
keton	k ɛ t uʷː n
kilo	ç iː l ʊ
kjel	ç eː l
kjele	ç eː l ə
kjip	ç iː p
kjøken	ç øː k ə n
klassekamerat	k l ɑ s s ə k ɑ m m ə ɾ aː t
klubbe	k l ʉ b b ə
knebel	k n eː b l̩
knebel	k n eː b ə l
knivstikk	k n iː ʋ s t ɪ k
kokain	k ʊ k ɑ iː n
kommode	kʰ u m uː d ə
krake	k ɾ ɑ̂ː k ə
kreft	k ɾ ɛ f t
krige	k ɾ iː ɡ ə
krigserklæring	k ɾ ɪ k s æ ɾ k l æː ɾ ɪ ŋ
kro	k ɾ uʷː
krokodilletåre	k ɾ ʊ k ʊ d ɪ l l ə t oʷː ɾ ə
krydder	k ɾ ʏʷ d ə ɾ
kryptovaluta	k ɾ ʏ p t ʊ ʋ ɑ l ʉ t t ɑ
kråkesølv	k ɾ ɔ̂ː k ə s œ lː
kvantefysikk	k ʋ ɑ n t ə f ʏʷ s ɪ k
kvelds	k ʋ ɛ l s
kviskre	k ʋ ɪ s k ɾ ə
lande	l ɑ̂ n n ə
lapp	l ɑ p
lem	l ɛ m
ljosår	l j uʷː s oʷː ɾ
lundehund	l ʉ n d ə h ʉ n
lykke	l ʏʷ k ə
mamma	m ɑ mː a
mandolin	m ɑ n d ʊ l iː n
mangleta	m ɑ ŋ l eː t ɑ
mareritt	m ɑ̂ː ɾ ə ɾ ɪ t
mareritt	m ɑ̂ː ʁ ə ʁ ɪ t
matematikk	m ɑ t ə m ɑ t ɪ k
matpakke	m aː t p ɑ k k ə
middagskvil	m ɪ d ɑ k s k v iː l
middagskvild	m ɪ d ɑ k s k v ɪ l
middagskvild	m ɪ d ɑ k s k v ɪ l d
middelalderlitteratur	m ɪ d l̩ ɑ l d ə ɭ ɪ t ɾ ɑ t ʉʷː ɾ
middelalderlitteratur	m ɪ d ə l ɑ l d ə ɭ ɪ t ə ɾ ɑ t ʉʷː ɾ
modig	m uː d ɪ
motgift	m uʷː t j ɪ f t
muse	m ʉʷ s eː
musling	m ʉʷ ʂ l ɪ ŋ
musé	m ʉʷ s eː
målføre	m oː l f øː ɾ ə
møy	m ø ʏ̯
namnedag	n ɑ m n ə d aː ɡ
naust	n ø ʉ s t
nettvett	n ɛ t ʋ ɛ t
nordnorsk	n uː ɳ ɔ ʂ k
nynne	² n ʏ n n ə
nysgjerrigper	n ʏ ʂ æ ɾ ɪ p eː ɾ
olbogerom	ɔ̂ l b ɔ ɡ ə ɾ u mː
olbogerom	ɔ̂ l b ɔ ɡ ə ʁ u mː
omsorgsfull	ʊ m s ɔ ɾ ɡ s f ʉ l
onomatopoetikon	ʊ n ʊ m ɑ t ʊ p ʊ eː t ɪ k ɔ n
ordstilling	uʷː ʂ t ɪ l l ɪ ŋ
partnarskap	p aː r t n a r s k aː p
person	p æ ʂ ʂ uʷː n
pilleskrukketroll	p ɪ l l ə s k ɾ ʊʷ k k ə t ɾ ɔʷ l
polygami	p ʊ l ʏ ɡ ɑ m iː
primær	p ɾ ɪ m æː ɾ
pult	p ʉʷ l t
pult	p ʉʷː l t
reindrift	ɾ æ ɪ̯ n d ɾ ɪ f t
reklame	ɾ ɛ k l aː m ə
revehi	ɾ eː ʋ ə h iː
rime	ɾ iː m ə
romvesen	ɾ ʊ m ʋ eː s n̩
romvesen	ɾ ʊ m ʋ eː s ə n
selle	s ɛ l l ə
sidesyn	s iː d ə s yʷː n
sikksakk	s ɪ k s ɑ k
sirka	s ɪ ɾ k ɑ
sitron	s i t ɾ uː n
sitron	s i t ɾ ùː n
sitron	s i t ɾ ûː n
sitron	s i t ʁ ûː n
skaldyr	s k aː l d yʷː ɾ
