abece	a β e t͡s e
af	a ɸ
agua	a ɣ w a
aguaducho	a ɣ w a ð u t͡ʃ o
aguila	a ɣ i l a
ala	a l a
alacran	a l a k ɾ ã n
albuhera	a l b u e ɾ a
alefant	a l e ɸ ã n t
alga	a l ɡ a
algibe	a l ʒ i b e
algodon	a l ɡ o ð õ n
alguenno	a l ɡ e ɲ o
alhenna	a l e ɲ a
aljofar	a l ʒ o ɸ a ɾ
alquimia	a l k i m i a
alquimia	a l k i m j a
amariello	a m a ɾ j e ʎ o
amiztat	a m i d͡z t a ð
anno	a ɲ o
aramne	a ɾ a m n e
aranna	a ɾ a ɲ a
arbor	a r β o r
arcidiano	a ɾ t͡s i ð j a n o
aristotil	a ɾ i s t o t i l
arroham	a r o ã m
arroua	a r o β a
arçobispo	a ɾ t͡s o β i s p o
asso	a s o
asso	a s u
axeb	a ʃ e p
aymant	a j m ã n t
aymante	a j m ã n t e
ayre	a j ɾ e
azech	a d z e t ʃ
azech	a d z e t ʃ e
azeyte	a d͡z e j t e
açafran	a t͡s a ɸ ɾ ã n
barcilona	b a r t͡s i l o n a
beldeem	b e l d e ẽ n
bellinno	b e ʎ i ɲ o
bezahar	b e d͡z a a r
bezerro	b e d͡z e r o
biespa	b j e s p a
biuora	b i v o ɾ a
boca	b o k a
boitre	b o j t ɾ e
brasa	b ɾ a s a
braço	b ɾ a t͡s̻ o
buho	b u o
cabdiello	k a b d j e ʎ o
cabello	k a b e ʎ o
cabeça	k a b e t s a
camello	k a m e ʎ o
canastiello	k a n a s t j e ʎ o
cannamo	k a ɲ a m o
carcel	k a r t͡s e l
carcelero	k a r t͡s e l e ɾ o
casa	k a z a
castanna	k a s t a ɲ a
castiella	k a s t j e ʎ a
castiello	k a s̺ t j e ʎ o
catorzeno	k a t o r d z e n o
caym	k a ĩ m
caym	k a ĩ n
cebolla	t͡s e b o ʎ a
celestre	t͡s e l e s t ɾ e
cenisa	t͡s e n i z a
cherubin	k e ɾ u β ĩ n
cibdat	t͡s i β ð a t
cibdat	t͡s i β ð a ð
cielo	t͡s̻ j e l o
cirulgia	t͡s i ɾ u l ʒ i a
cirurgiano	t͡s i ɾ u ɾ ʒ a n o
clerigo	k l e ɾ i ɣ o
cochiello	k o t ʃ j e ʎ o
compannia	k õ m p ã ɲ i a
coral	k o ɾ a l
coraçon	k o ɾ a t͡s õ n
cornelina	k o r n e l i n a
criazon	k ɾ j a d z õ n
cuchiello	k u t ʃ j e ʎ o
cuello	k w e ʎ o
cueua	k w e v a
culuebra	k u l w e β ɾ a
culuebro	k u l w e b r o
desiert	ð e s̺ j e ɾ t
desierto	ð e s̺ j e ɾ t o
dezeno	d e d z e n o
diablo	d j a b l o
diezmo	d j e t͡s m o
dios	d j o s
dozeno	d o d z e n o
dragma	d r a ɣ m a
dragon	d ɾ a ɡ õ n
eglesia	e ɡ l e z j a
egual	e ɡ w a l
eleofant	e l e o̯ ɸ ã n t
elifant	e l i ɸ ã n t
emellizo	e m e ʎ i d͡z o
enemiztat	e n e m i t͡s t a ð
enfermedat	ẽ m ɸ e r m e ð a t
engenno	ẽ n ʒ e ɲ o
ensamne	e n s a m n e
ensamne	e n ʃ a m n e
enzia	ẽ n d z i a
enzina	e n d͡z i n a
ermana	e r m a n a
ermano	e r m a n o
escalera	e s k a l e ɾ a
escama	e s k a m a
escorpion	e s k o r p j õ n
escudiella	e s k u ð j e ʎ a
escuridat	e s k u ɾ i ð a ð
esmeralda	e z m e ɾ a l d a
esmeril	e z m e ɾ i l
espada	e s p a ð a
espalda	e s p a l d a
espuma	e s p u m a
estanno	e s t a ɲ o
estentino	e s t ẽ n t i n o
estomago	e s t o m a ɣ o
estranno	e s t ɾ a ɲ o
fambre	f a m b ɾ e
fambre	ɸ a m b ɾ e
fartura	ɸ a ɾ t u ɾ a
fazienda	ɸ a d͡z j ẽ n d a
fermosura	ɸ e r m o z u ɾ a
fierro	ɸ j e r o
figado	f i ɣ a ð o
figado	ɸ i ɣ a ð o
fongo	ɸ õ ŋ ɡ o
fonguenno	ɸ õ ŋ ɡ e ɲ o
fuego	ɸ w e ɣ o
fuerça	ɸ w e r t͡s a
fumo	ɸ u m o
golondrina	ɡ o l õ n d ɾ i n a
golondrino	ɡ o l õ n d ɾ i n o
graf	ɡ ɾ a ɸ
grant	ɡ ɾ ã n
grant	ɡ ɾ ã n t
huesso	w e s o
hueuo	w e v o
humidat	u m i ð a ð
ihrlm	j e ɾ u z a l ẽ n
infierno	ĩ ɱ ɸ j e ɾ n o
janero	ʒ a n e r o
jargonça	ʒ a r ɡ õ n t͡s a
ladriello	l a ð ɾ j e ʎ o
lagrema	l a ɡ ɾ e m a
lenguage	l ẽ ŋ ɡ w a ʒ e
leon	l e õ n
liebre	l j e b ɾ e
linaça	l i n a t͡s a
linnage	l ĩ ɲ a ʒ ẽ
logar	l o ɣ a r
malanconia	m a l ã ŋ k o n i a
mandragora	m ã n d ɾ a ɡ o ɾ a
manziella	m ã n d͡z j e ʎ a
marauilla	m a ɾ a v i ʎ a
martiello	m a r t j e ʎ o
melanconia	m e l ã ŋ k o n i a
melezina	m e l e d͡z i n a
menudiello	m e n u ð j e ʎ o
metal	m e t a l
miedo	m j e ð o
miel	m j e l
mies	m j e s
migero	m i ʒ e ɾ o
monneca	m o ɲ e k a
mont	m õ n t
mortaldat	m o r t a l d a t
mosca	m o s k a
mosquito	m o s k i t o
moysen	m o j z ẽ n
munneca	m u ɲ e k a
naf	n a ɸ
naue	n a v e
nief	n j e ɸ
nieue	n j e v e
nigromanciano	n i ɣ ɾ o m ã n t͡s j a n o
nilo	n i l o
ninniella	n i ɲ j e ʎ a
ninno	n i ɲ o
noveno	n o β e n o
nuf	n u ɸ
onzeno	õ n d z e n o
orcero	o ɾ t͡s e ɾ o
orebze	o ɾ e b d z e
oryzon	o ɾ i d͡z õ n
oscuridat	o s k u ɾ i ð a t
ossa	o s a
osso	o s o
otero	o t e ɾ o
palomo	p a l o m o
pedaço	p e ð a t͡s o
pequennuelo	p e k e ɲ w e l o
peso	p e s o
peyne	p e j n e
pez	p e t͡s
pidrizuela	p i ð ɾ i d͡z w e l a
piedra	p j e ð ɾ a
pielago	p j e l a ɣ o
pimienta	p i m j ẽ n t a
poderio	p o ð e ɾ i o
promission	p ɾ õ m i s̺ j õ n
propheta	p ɾ o ɸ e t a
pueblo	p w e β l o
pulmon	p u l m õ n
quantia	kʷ a n t i a
quantidat	kʷ ã n t i ð a t
queso	k e z o
quinzeno	k ĩ n d z e n o
ramo	r a m o
remont	r e m õ n
remont	r e m õ n t
rennon	r e ɲ õ n
robi	r o b i
rodiella	r o ð j e ʎ a
safir	s a ɸ i ɾ
sal	s a l
sangre	s a ŋ ɡ ɾ e
sangusuela	s ã ŋ ɡ u s w e l a
sant	s̺ ã n t
saragoça	s a ɾ a ɣ o t͡s a
sardenna	s a ɾ ð e ɲ a
segunt	s e ɣ ũ n
segunt	s e ɣ ũ n t
sennal	s e ɲ a l
sennero	s e ɲ e ɾ o
sennor	s e ɲ o r
sennora	s e ɲ o ɾ a
sennorio	s e ɲ o ɾ i o
seraphin	s e ɾ a ɸ ĩ n
seruidumne	s e ɾ w i ð u m n e
seruidumne	s e ɾ w i ð u m ɾ e
sessaenta	s e s a ẽ n t a
seteno	s e t e n o
setmana	s e m a n a
setmana	s e t m a n a
seys	s e j s
sufre	s u ɸ ɾ e
tempestat	t ẽ m p e s t a ð
tiniebra	t i n j e β ɾ a
tortiella	t o r t j e ʎ a
tossigoso	t o s i ɡ o z o
touiello	t o β j e ʎ o
trezeno	t ɾ e d z e n o
uebos	w e b o s
uebos	w e β o s
vasallo	β a s a ʎ o
vendimia	β ẽ n d i m j a
verdulaga	v e r ð u l a ɡ a
vermejo	β e r m e ʒ o
vermejura	β e r m e ʒ u ɾ a
veynte	β ẽ j n t e
veynteno	v ẽ j n t e n o
vinagroso	v i n a ɡ ɾ o z o
xabon	ʃ a β õ n
xaqueca	ʃ a k e k a
ximio	ʃ i m j o
ydropisia	i ð ɾ o p i s i a
yesso	j e s o
ynojo	i n o ʒ o
zebech	d z e b e t ʃ
zebech	d z e b e t ʃ e
çumo	t͡s u m o
