ਅ	ə
ਅਮਲ	ə m ə lᵊ
ਅੈ	ɛ
ਅੱਖ	ə kːʰ
ਅੱਜ	ə d͡ʒːᵊ
ਆ	äː
ਇ	ɪ
ਇਹਦਾ	eː ˦ d̪ ɑː
ਈ	iː
ਉ	ʊ
ਊ	uː
ਏ	e
ਐ	ɛ
ਓ	o
ਔ	ɔ
ਕ	k ə
ਕ਼	q
ਕੁਹੀਰ	k ʊ ɦ iː ɾᵊ
ਕੂੜ	k uː ɽᵊ
ਕੰਨ	k ə nː
ਖ	kʰ ə
ਖ਼	x ə
ਗ	ɡ ə
ਗ਼	ɣ ə
ਗਾਜਰ	ɡ ɑː d͡ʒ ə ɾ
ਗੁੰਝਲ਼ਦਾਰ	ɡ ʊ̃ d͡ʒ ɘ ɭ d ɑː ɾ ɘ
ਘ	k ə̀
ਘਰ	k ə ɾ ˩˨
ਘੋੜਾ	k oː ˨ ɽ ɑː ˨
ਘੋੜੀ	ɡ òː ɽ i
ਙ	ŋ ə
ਚ	t͡ʃ ə
ਚਪੇੜ	t͡ʃ ə p eː ɽᵊ
ਛ	t͡ʃʰ ə
ਜ	d͡ʒ ə
ਜਗ੍ਹਾ	ɟ ə́ ɡ aː
ਜਵਾਬ	d ʒ ə ʋ aː b
ਜਾਲ਼	d͡ʒ ɑː ɭᵊ
ਝ	t͡ʃ ə̀
ਞ	ɲ ə
ਟ	ʈ ə
ਠ	ʈʰ ə
ਡ	ɖ ə
ਢ	ʈ ə̀
ਢਿੱਡ	ʈ ɪ᷆ ɖː
ਣ	ɳ ə
ਤ	t̪ ə
ਤਰੀਕ਼ਾ	t̪ ə r iː q aː
ਤਾਂ	t̪ ɑ̃ː
ਤੁਹਾਡਾ	t̪ ʊ ɦ ɑː ˨ ɖ ɑː
ਤੂਫ਼ਾਨ	t̪ ʊ f ɑː nᵊ
ਥ	t̪ʰ ə
ਦ	d̪ ə
ਦਿਲ	d̪ ɪ l
ਦੁਬਿੰਦੀ	d̪ ʊ b ɪ n d̪ iː
ਦੁਸ਼ਮਣ	d̪ ʊ ʃᵊ m ə ɳᵊ
ਦੋਸਤ	d̪ oː s t̪
ਦੋਸਤ	d̪ oː s ə t̪
ਦੰਦ	d̪ ə n d̪
ਦੱਸਣਾ	d̪ ə sː ɳ ɑː
ਧ	t̪ ə̀
ਧੋਬੀ	t̪ oː ˨ b iː
ਧੰਨਵਾਦ	t̪ ə̀ n̪ː ʋ ɑː d̪
ਨ	n ə
