bail	p ɐ i ˨˦
baul	p ɐ u ˨˦
baus	p ɐ u ˧˥
bidt	p i t̚ ˧˥
bil	p i ˨˦
bingz	p i ŋ ˩
bix	p i ˧˩
boh	p o ˧
byagt	pʲ ɐ k̚ ˧˥
byal	pʲ a ˨˦
cangjzangj	t͡sʰ ɐ ŋ ˥˧ t͡s ɐ ŋ ˥˧
dal	t a ˨˦
dams	t ɐ m ˧˥
dangs	t ɐ ŋ ˧˥
deel	t e ˨˦
deh	t ɯ ˧
diangz	t i ə ŋ ˩
dinc	t i n ˥˧
doongl	t oː ŋ ˨˦
dueh	t u ə ˧
fanz	f ɐ n ˩
fead	f ɯ ə t̚ ˧
feiyjiy	f ɯ i ˧ t͡ɕ i ˧
fix	f i ˧˩
fufhaoq	f u ˧˩ x aː u ˨˦
gaail	k aː i ˨˦
gais	k ɐ i ˧˥
gal	k a ˨˦
ges	k ɯ ˧˥
guec	k u ə ˥˧
gugt	k u k̚ ˧˥
guiqzouy	k u i ˨˦ t͡s ə u ˧
gul	k u ˨˦
gvaz	kʷ a ˩
gvisxul	kʷ i ˧˥ ɕ u ˨˦
haangz	x aː ŋ ˩
haaul	x aː u ˨˦
hac	x a ˥˧
haec	x ɐ ɯ ˥˧
hauc	x ɐ u ˥˧
hingl	x i ŋ ˨˦
hocdeel	x o ˥˧ t e ˨˦
hocdul	x o ˥˧ t u ˨˦
hocrauz	x o ˥˧ z ɐ u ˩
hocsul	x o ˥˧ s u ˨˦
hol	x o ˨˦
hoz	x o ˩
iadt	ʔ i ə t̚ ˧˥
jac	t͡ɕ a ˥˧
jaec	t͡ɕ ɐ ɯ ˥˧
jael	t͡ɕ ɐ ɯ ˨˦
jais	t͡ɕ ɐ i ˧˥
jangl	t͡ɕ ɐ ŋ ˨˦
jeengl	t͡ɕ eː ŋ ˨˦
jizlanz	t͡ɕ i ˩ l ɐ n ˩
joic	t͡ɕ oː i ˥˧
joicdiangz	t͡ɕ oː i ˥˧ t i ə ŋ ˩
laail	l aː i ˨˦
liad	l i ə t̚ ˧
lingz	l i ŋ ˩
linx	l i n ˧˩
mal	m a ˨˦
max	m a ˧˩
mengz	m ɯ ŋ ˩
minfzuf	m i n ˧˩ t͡s u ˧˩
moil	m oː i ˨˦
mos	m o ˧˥
mul	m u ˨˦
myaus	mʲ ɐ u ˧˥
naais	n aː i ˧˥
nail	n ɐ i ˨˦
naz	n a ˩
ndingl	ɗ i ŋ ˨˦
ndumx	ɗ u m ˧˩
nganz	ŋ ɐ n ˩
ngeaz	ŋ ɯ ə ˩
nguanz	ŋ u ə n ˩
noh	n o ˧
nuangx	n u ə ŋ ˧˩
nyal	ɲ a ˨˦
nyib	ɲ i p̚ ˧
oix	ʔ oː i ˧˩
raabt	z aː p̚ ˧˥
raaml	z aː m ˨˦
raangx	z aː ŋ ˧˩
ramx	z ɐ m ˧˩
ranl	z ɐ n ˨˦
rog	z ɔ k̚ ˧
roh	z o ˧
roons	z oː n ˧˥
rumx	z u m ˧˩
saangl	s aː ŋ ˨˦
siqcuany	s i ˨˦ t͡sʰ u ə n ˧
siqhuaq	s i ˨˦ x u a ˨˦
sis	s i ˧˥
siyzij	s z̩ ˧ t͡s z̩ ˥˧
soix	s oː i ˧˩
veac	v ɯ ə ˥˧
venfhuaq	v ɯ n ˧˩ x u a ˨˦
xeh	ɕ ɯ ˧
xex	ɕ ɯ ˧˩
yianh	j i ə n ˧
yinfnanf	j i n ˧˩ n ɐ n ˧˩
zungyguef	t͡s u ŋ ˧ k u ə ˧˩
zungyhuaf	t͡s u ŋ ˧ x u a ˧˩
