aarufe	aː r uː f ə
acht	a x t
achtzeh	a x t͡s eː
achtzeht	a x t͡s eː t
achtzich	a x t͡s ɪ ç
brieh	b r iː
de	d ə
deede	d eː d ə
dem	d ɛ m
der	d ɛ ɐ̯
dich	d ɪ ç
dihr	d iː ɐ̯
dir	d iː ɐ̯
dotmache	d oː t m a x ə
drei	d r a ɪ̯
dreissich	d r a ɪ̯ s ɪ ç
dreizeh	d r a ɪ̯ t͡s eː
dreizeht	d r a ɪ̯ t͡s eː t
drinke	d r ɪ ŋ k ə
dritt	d r ɪ t
eens	eː n s
eich	a ɪ̯ ç
elf	ɛ l f
elft	ɛ l f t
em	ɛ m
en	ɛ n
er	ɛ ɐ̯
erscht	ɛ ɐ̯ ʃ t
es	ɛ s
esse	ɛ s ə
faahre	f aː r ə
fimf	f ɪ m f
fimft	f ɪ m f t
fuffzeh	f ʊ f t͡s eː
fuffzeht	f ʊ f t͡s eː t
fuffzich	f ʊ f t͡s ɪ ç
gebei	ɡ ə b a ɪ̯
gebei	ɡ ə b eː
geh	ɡ eː
glaawe	ɡ l aː ʋ ə
hariche	h aː r ɪ ç ə
haus	h a ʊ̯ s
heere	h eː r ə
heiser	h a ɪ̯ s ɐ
hunnert	h ʊ n ɐ t
huuschde	h uː ʃ d ə
ihm	iː m
ihn	iː n
ihne	iː n ə
ihre	iː r ə
kaer	kʰ æː ɐ̯
kar	kʰ aː ɐ̯
kee	k eː
kem	k ɛ m
ken	k ɛ n
kumme	kʰ ʊ m ə
me	m ə
mich	m ɪ ç
mir	m iː ɐ̯
nein	n a ɪ̯ n
neint	n a ɪ̯ n t
neinzeh	n a ɪ̯ n t͡s eː
neinzehte	n a ɪ̯ n t͡s eː t
neinzich	n a ɪ̯ n t͡s ɪ ç
nenne	n ɛ n ə
niese	n iː s ə
re	r ə
schaffe	ʃ a f ə
schreiwe	ʃ r a ɪ̯ ʋ ə
schwetze	ʃ ʋ ɛ t͡s ə
se	s ə
sechzeh	s ɛ ç t͡s eː
sechzeht	s ɛ ç t͡s eː t
sechzich	s ɛ ç t͡s ɪ ç
sei	s a ɪ̯
sex	s ɛ k͡s
sext	s ɛ k͡s t
sexzeh	s ɛ k s t͡s eː
sie	s iː
siwwe	s iː ʋ ə
siwwet	s iː v ə t
siwwezeh	s iː ʋ ə t͡s eː
siwwezeht	s iː v ə t͡s eː t
siwwezich	s iː v ə t͡s ɪ ç
uns	ʊ n s
varzeh	f a ɐ̯ t͡s eː
varzeht	f a ɐ̯ t͡s eː t
varzich	v a ɐ̯ t͡s ɪ ç
vieh	f iː
vier	f iː ɐ̯
viert	f iː ɐ̯ t
ware	ʋ aː r ə
zehe	t͡s eː ə
zehet	t͡s eː ə t
ziege	t͡s iː j ə
zwansich	t͡s ʋ a n s ɪ ç
zwansichscht	t͡s ʋ a n s ɪ ç ʃ t
zwee	t͡s w eː
zwee	t͡s ʋ eː
zwelf	d r a ɪ̯ t͡s eː
zwelft	t͡s ʋ ɛ l f t
zwett	t͡s w ɛ t
zwett	t͡s ʋ ɛ t
