a	a
a	ɐ
aba	a β ɐ
abacate	ɐ β ɐ k a t ɨ
abacateiro	ɐ b a k ɐ t ɐ j ɾ u
abacaxi	ɐ b ɐ k ɐ ʃ i
abacaxizeiro	ɐ b ɐ k ɐ ʃ i z ɐ j ɾ u
abacharelado	ɐ b ɐ ʃ ɐ ɾ ɘ l a d u
abacial	ɐ b ɐ s i a l
abacista	ɐ b a s i ʃ t ɐ
abactor	ɐ b ɐ k t o ɾ
abade	ɐ b a d ɨ
abadesa	a b a d e z a
abadessa	a b ɐ d e s ɐ
abadia	ɐ b ɐ d i ɐ
abafada	ɐ b ɐ f a d ɐ
abafadamente	ɐ b ɐ f a d ɐ m ẽ t ɨ
abafadiço	ɐ b ɐ f ɐ d i s u
abafado	ɐ b ɐ f a d u
abafador	ɐ b ɐ f ɐ d o ɾ
abafar	ɐ b ɐ f a ɾ
abafação	ɐ b ɐ f ɐ s ɐ̃ w̃
abaixamento	ɐ b a j ʃ ɐ m ẽ t u
abaixar	ɐ b ɐ j ʃ a ɾ
abaixo	ɐ b a j ʃ u
abajur	a b ɐ ʒ u ɾ
abalado	ɐ b ɐ l a d u
abalar	ɐ b ɐ l a ɾ
abalava	ɐ b ɐ l a v ɐ
abalizado	ɐ b ɐ l i z a d u
abalou	ɐ b ɐ l o w
abanar	ɐ b ɐ n a ɾ
abandonada	ɐ β ɐ̃ d u n a ð ɐ
abandonado	ɐ β ɐ̃ d u n a ð u
abandonar	ɐ b ɐ̃ d u n a ɾ
abandonara	ɐ β ɐ̃ d u n a ɾ ɐ
abandonará	ɐ β ɐ̃ d u n ɐ ɾ a
abandono	ɐ β ɐ̃ d o n u
abandono	ɐ β ɐ̃ d ɔ n u
abas	a β ɐ ʃ
abastado	ɐ β ɐ ʃ t a ð u
abastar	ɐ β ɐ ʃ t a ɾ
abastecer	ɐ β ɐ ʃ t ɨ s e ɾ
abater	ɐ b ɐ t e ɾ
abatimento	ɐ β ɐ t i m ẽ t u
abaxial	ɐ β ɐ k s j a l
abdicar	ɐ b d i k a ɾ
abdicar	ɐ β ð i k a ɾ
abdominal	a β ð o m ɪ n a ɫ
abduzir	a β ð u z i ɾ
abdómen	ɐ b d ɔ m ɛ n
abel	a b ɛ ɫ
abelha	ɐ β e ʎ ɐ
abelha	ɐ β ɐ j ʎ ɐ
abelha	ɐ β ɐ ʎ ɐ
abençoado	ɐ β ẽ s w a ð u
abençoar	ɐ β ẽ s w a ɾ
aberta	ɐ β ɛ ɾ t ɐ
abertas	ɐ β ɛ ɾ t ɐ ʃ
aberto	ɐ b ɛ ɾ t u
abertos	ɐ β ɛ ɾ t u ʃ
abertura	ɐ β ɨ ɾ t u ɾ ɐ
abeto	ɐ β ɛ t u
abismar	ɐ β i ʒ m a ɾ
abismo	ɐ β i ʒ m u
abissal	ɐ β i s a ɫ
abjeto	ɐ b ʒ ɛ t u
abjeção	ɐ b ʒ ɛ s ɐ̃ w̃
abobadar	ɐ β u β ɐ ð a ɾ
abobado	a b o b a d u
abolição	ɐ β u l i s ɐ̃ w̃
abominar	ɐ β u m i n a ɾ
abominação	ɐ β u m i n ɐ s ɐ̃ w̃
abomináveis	ɐ β u m i n a v ɛ ʃ
abominável	ɐ β u m i n a v ɛ ɫ
abondança	ɐ β õ d ɐ̃ s ɐ
aborto	ɐ b o ɾ t u
aborto	ɐ b ɔ ɾ t u
aborígene	ɐ β u ɾ i ʒ ɨ n ɨ
abotoar	ɐ b u t w a ɾ
abrandamento	ɐ β ɾ ɐ̃ d ɐ m ẽ t u
abrandar	ɐ b ɾ ɐ̃ d a ɾ
abranger	ɐ β ɾ ɐ̃ ʒ e ɾ
abrangência	a b ɾ ɐ̃ ʒ ẽ s j a
abrantes	ɐ β ɾ ɐ̃ t ɨ ʃ
abraçar	ɐ b ɾ ɐ s a ɾ
abraço	ɐ β ɾ a s u
abraços	ɐ β ɾ a s u s
abria	ɐ β ɾ i ɐ
abricó	a b ɾ i k ɔ
abrigado	ɐ β ɾ i ɣ a ð u
abrigar	ɐ b ɾ i ɡ a ɾ
abrigo	ɐ β ɾ i ɣ u
abril	ɐ b ɾ i l
abrindo	ɐ β ɾ ĩ d u
abrir	ɐ β ɾ i ɾ
abriu	ɐ β ɾ i w
abrunho	ɐ β ɾ u ɲ u
abrupto	ɐ β ɾ u p t u
absolutamente	ɐ b s u l u t ɐ m ẽ t ɨ
absoluto	ɐ b s u l u t u
absonância	a b s o n ɐ̃ s j a
abstenção	ɐ b ʃ t ẽ s ɐ̃ w̃
abstrair	ɐ β ʃ t ɾ ɐ i ɾ
absurdo	ɐ b s u ɾ ð u
abundante	ɐ b ũ d ɐ̃ t ɨ
abundar	ɐ b ũ d a ɾ
abundância	ɐ b ũ d ɐ̃ s j ɐ
abusar	ɐ b u z a ɾ
abusar	ɐ β u z a ɾ
abutre	ɐ β u t ɾ ɨ
abóbada	ɐ β ɔ β ɐ ð ɐ
abóbeda	ɐ β ɔ β ɨ ð ɐ
abóbora	ɐ β ɔ β u ɾ ɐ
acaba	ɐ k a β ɐ
acabado	ɐ k ɐ β a ð u
acabando	ɐ k ɐ β ɐ̃ d u
acabar	ɐ k ɐ b a ɾ
acabava	ɐ k ɐ β a v ɐ
acabou	ɐ k ɐ β o w
academia	ɐ k ɐ ð ɨ m i ɐ
académico	ɐ k ɐ d ɛ m i k u
acaju	a k a ʒ u
acalmar	ɐ k a ɫ m a ɾ
acamado	ɐ k ɐ m a ð u
acampamento	ɐ k ɐ̃ p ɐ m ẽ t u
acampar	ɐ k ɐ̃ p a ɾ
acanhado	ɐ k ɐ ɲ a d u
acarretar	ɐ k ɐ ʁ ɨ t a ɾ
acartar	ɐ k ɐ ɾ t a ɾ
acaso	ɐ k a z u
aceder	ɐ s ɨ ð e ɾ
aceitar	ɐ s e j t a ɾ
aceitar	ɐ s ɐ j t a ɾ
aceitação	ə s e t ə s ə̃ ʊ
aceitações	ə s e t ə s ʊ̃ ɪ ʃ
acelerador	ɐ s ɨ l ɨ ɾ ɐ ð o ɾ
acelerar	ɐ s ɨ l ɨ ɾ a ɾ
acendendo	ɐ s ẽ d ẽ d u
acender	ɐ s ẽ d e ɾ
aceno	ɐ s e n u
acento	ɐ s ẽ t u
acepipe	a s e p i p i
acercar	ɐ s ɨ ɾ k a ɾ
acertar	ɐ s ɨ ɾ t a ɾ
acerto	a s e ɾ t u
acerto	a s e ʁ t u
acerto	a s ɛ ɾ t u
acerto	a s ɛ ʁ t u
aceso	ɐ s e z u
acessar	ɐ s ɨ s a ɾ
acesso	ɐ s ɛ s u
acetato	ɐ s ɨ t a t u
acha	a ʃ ɐ
achado	ɐ ʃ a ð u
achanar	ɐ ʃ ɐ n a r
achando	ɐ ʃ ɐ̃ d u
achaparrado	a ʃ a p a ʁ a d u
achaparrar	a ʃ a p a ʁ a ɾ
achaque	ɐ ʃ a k ɨ
achar	ɐ ʃ a ɾ
achava	ɐ ʃ a v ɐ
acho	a ʃ u
achou	ɐ ʃ o w
acidentalmente	ə s i d ɪ̃ t ə l m ɛ̃ t̪
acidente	ɐ s i d ẽ t ɨ
acima	ɐ s i m ɐ
aclarar	ɐ k l ɐ ɾ a ɾ
acolhedor	ɐ k u ʎ ɨ ð o ɾ
acolher	ɐ k u ʎ e ɾ
acolhimento	ɐ k u ʎ i m ẽ t u
acomete	a k o m ɛ t ʃ i
acompanhado	ɐ k õ p ɐ ɲ a ð u
acompanhar	ɐ k õ p ɐ ɲ a ɾ
aconchego	ɐ k õ ʃ e ɣ u
aconselhada	ɐ k õ s ɨ ʎ a ð ɐ
aconselhado	ɐ k õ s ɨ ʎ a ð u
aconselhar	ɐ k õ s ɨ ʎ a ɾ
acontecer	ɐ k õ t ɨ s e ɾ
acontecimento	ɐ k õ t ɨ s i m ẽ t u
acordado	ɐ k u ɾ ð a ð u
acordar	ɐ k u ɾ d a ɾ
acordo	ɐ k o ɾ ð u
acordo	ɐ k ɔ ɾ ð u
acostar	ɐ k u ʃ t a ɾ
acostumado	ɐ k u ʃ t u m a ð u
acostumar	ɐ k u ʃ t u m a ɾ
acre	a k ɾ ɨ
acreditar	ɐ k ɾ ɨ ð i t a ɾ
acrescentar	ɐ k ɾ ɨ ʃ s ẽ t a ɾ
acrescentou	ɐ k ɾ ɨ ʃ s ẽ t o w
acrescer	ɐ k ɾ ɨ ʃ s e ɾ
acrograma	a k ɾ o ɡ ɾ ɐ̃ m ɐ
actuação	ɐ t w ɐ s ɐ̃ w̃
acudir	ɐ k u ð i ɾ
acudiu	ɐ k u ð i w
acurácia	a k u ɾ a s j a
acusado	ɐ k u z a ð u
acusar	ɐ k u z a ɾ
acúmulo	a k u m u l u
acúmulo	ɐ k u m u l u
adamastor	ɐ ð ɐ m ɐ ʃ t o ɾ
adaptação	ɐ ð ɐ p t ɐ s ɐ̃ w̃
adega	ɐ ð ɛ ɣ ɐ
adelo	ɐ ð ɛ l u
adentrar	a d ẽ t ɾ a ʁ
aderência	a d ɨ ɾ ɐ̃ j̃ s j ə
adesão	ɐ ð ɨ z ɐ̃ w̃
adeus	ɐ ð e w ʃ
adiantar	ɐ d j ɐ̃ t a ɾ
adiante	ɐ ð j ɐ̃ t ɨ
adiantou	ɐ d j ɐ̃ t o w
adicionar	ɐ ð i s j u n a ɾ
adivinhar	ɐ ð i v i ɲ a ɾ
adição	ɐ d i s ɐ̃ w̃
administrador	ɐ d m i n i ʃ t ɾ ɐ d o ɾ
administrar	ɐ d m i n i ʃ t r a r
admirador	ɐ ð m i ɾ ɐ d o ɾ
admirar	ɐ d m i ɾ a ɾ
admiração	ɐ d m i ɾ ɐ s ɐ̃ w̃
admitir	ɐ d m i t i ɾ
admoestar	ɐ d m w ɛ ʃ t a r
adoecer	ɐ ð u ɨ s e ɾ
adoecer	ɐ ð w ɨ s e ɾ
adolescência	ɐ ð u l ɨ ʃ s ẽ s j ɐ
adorar	ɐ ð u ɾ a ɾ
adoração	ə d u ɾ ə s ə̃ ʊ
adormecido	ɐ ð u ɾ m ɨ s i ð u
adornar	ɐ ð u ɾ n a ɾ
adorno	ɐ ð o ɾ n u
adorno	ɐ ð ɔ ɾ n u
adorável	ɐ ð u ɾ a v ɛ ɫ
adotar	ɐ ð ɔ t a ɾ
adoçante	a ð u s ɐ̃ t ɨ
adoçar	ɐ ð u s a ɾ
adoção	ɐ ð ɔ s ɐ̃ w̃
adrede	ɐ ð ɾ e ð ɨ
adscrito	ɐ ð ɨ ʃ k ɾ i t u
aduela	ɐ d w ɛ l ɐ
adufe	ɐ ð u f ɨ
adular	ɐ d u l a ɾ
adulto	ɐ ð u ɫ t u
adverso	ɐ d v ɛ ɾ s u
adversário	ɐ d v ɨ ɾ s a ɾ j u
advérbio	a d ʒ i v ɛ ɦ b ɪ ʊ
adão	ɐ ð ɐ̃ w̃
adélio	a d ɛ l j u
aeroporto	ɐ ɛ ɾ ɔ p o ɾ t u
afagar	ɐ f ɐ ɡ a ɾ
afago	ɐ f a ɡ u
afamar	ɐ f ɐ m a ɾ
afastado	ɐ f ɐ ʃ t a ð u
afastar	ɐ f ɐ ʃ t a ɾ
afazendar	ɐ f ɐ z ẽ d a r
afeganistão	ɐ f ɨ ɣ ɐ n i ʃ t ɐ̃ w̃
afeiçoar	ɐ f ɐ j s w a r
afeição	ɐ f ɐ j s ɐ̃ w
afetar	ɐ f ɛ t a ɾ
afete	a f ɛ t ʃ i
afeto	ɐ f ɛ t u
afiançar	ɐ f j ɐ̃ s a ɾ
afiar	ɐ f j a ɾ
afigurar	ɐ f i ɡ u ɾ a ɾ
afim	a f ĩ
afinal	ɐ f i n a ɫ
afinar	ɐ f i n a ɾ
afinidade	ɐ f i n i ð a ð ɨ
afirmar	ɐ f i ɾ m a ɾ
afixar	ɐ f i k s a ɾ
aflita	ɐ f l i t ɐ
aflito	ɐ f l i t u
aflição	ɐ f l i s ɐ̃ w̃
aflorar	ɐ f l u ɾ a ɾ
afogar	ɐ f u ɡ a ɾ
afoito	a f o j t u
afonso	ɐ f õ s u
afora	ɐ f ɔ ɾ ɐ
afortunadamente	ɐ f u ɾ t u n a ð ɐ m ẽ t ɨ
africano	ɐ f ɾ i k ɐ n u
afrontar	ɐ f ɾ õ t a ɾ
afta	a f i t ɐ
afta	a f t a
afta	a f t ɐ
