与那国	j u n a ɡ u n i
与那国口	j u n a ɡ u n i ɡ u t͡ɕ i
世界	ɕ i k eː
京都	t͡ɕ oː t u
人	t̚ t͡ɕ u
今日	k i j u
今日	t͡ɕ uː
何	n uː
傷	k i d͡ʑ i
兄弟	t͡ɕ oː d eː
八月	h a t͡ɕ i ɡʷ a t͡ɕ i
八重山	j e̞ː m a
八重山口	ʲeː m a ɡ u t͡ɕ i
写真	s a ɕ i ŋ̍
口	k u t͡ɕ i
各島々	k a k u ɕ i m a d͡ʑ i m a
名	n aː
名字	m j oː d͡ʑ i
名字	n oː d͡ʑ i
唇	ɕ i b a
唐	t oː
夕	j uː
大	d eː
大	ʔ u ɸ u
大人	ʔ u t u n a
大人	ʔ u ɸ u t t͡ɕ u
大和	j a m a t u
大和口	j a m a t u ɡ u t͡ɕ i
大大和	ʔ u ɸ u j a m a t u
学校	ɡ a k k oː
官話	kʷ a m̩ ɸ aː
宮古	n aː k u
宮古口	n aː k u ɡ u t͡ɕ i
山口	j a m a ɡ u t͡ɕ i
島	ɕ i m a
広東	kʷ a n̩ t u ŋ̍
手甲	t i k k oː
指	ʔ iː b i
日記	n i t̚ t͡ɕ i
書物	s u m u t͡ɕ i
書物	ɕ i m u t͡ɕ i
東	ʔ a ɡ a ɾ i
東京	t oː t͡ɕ oː
枝	j i d a
枝	j u d a
歌	ʔ u t a
歯	h aː
比嘉	ɸ i d͡ʑ a
水牛	m i d͡ʑ i ʔ u ɕ i
沖縄	ʔ u t͡ɕ i n aː
沖縄口	ʔ u t͡ɕ i n aː ɡ u t͡ɕ i
泡	ʔ aː
煉瓦	ɾ i ŋ̍ ɡʷ a
牛	ʔ u ɕ i
物	m u n u
物	m u ŋ
王	ʷoː
琉球	d uː t͡ɕ uː
琉球	ɾ uː t͡ɕ uː
生日	ʔ m̩ m a ɾ i b iː
生日	ʔ u m a ɾ i b iː
田魚	t aː ʔ i j u
石	ʔ i ɕ i
福建	ɸ u t͡ɕ a ŋ̍
腿	m u m u
自由	d͡ʑ i j uː
舌	ɕ i t͡ɕ a
船	ɸ u n i
花	h a n a
苺	ʔ i t͡ɕ u b iː
苺	ˀi t͡ɕ u b i
菓子	kʷ a ɕ i
菓子	kʷ aː ɕ i
葉	ɸ aː
蘆薈	d u ɡʷ a i
蘆薈	ɾ u ɡʷ a i
蚤	n u m i
蜜	m i t͡ɕ i
蟻	ʔ a i
西瓜	ɕ iː kʷ a
話	h a n a ɕ i
赤	ʔ a k a
足	ɸ i s a
足	ʔ a ɕ i
車	k u ɾ u m a
那覇	n aː ɸ a
銭	d͡ʑ i ŋ̍
音	ʔ u t u
鯨	ɡ u d͡ʑ i ɾ a
鹿児島	k a ɡ u ɕ i m a
黒	k u ɾ u
黒猫	k u ɾ u m a j aː
鼻	h a n a
