あか	ʔ a k a
あちさん	ʔ a t͡ɕ i s a ŋ̍
あんまー	ʔ a n m aː
あーさ	ʔ aː s a
いぇーご	j e̞ː ɡ o̞
いぇーま	j e̞ː m a
うちなー	ʔ u t͡ɕ i n aː
うとぅ	ʔ u t u
う菓子	u kʷ aː ɕ i
かくしまじま	k a k u ɕ i m a d͡ʑ i m a
が	ɡ a
くり	k u ɾ i
くれー	k u ɾ eː
くゎんふぁー	kʷ a m̩ ɸ aː
ぐゎち	ɡʷ a t͡ɕ i
さんさなー	s a ŋ̍ s a n aː
しけー	ɕ i k eː
しーじゃ	ɕ iː d͡ʑ a
そーゆー	s oː j uː
たーりー	t aː ɾ iː
っやー	ʔ j aː
っんじゆん	ʔ n d͡ʑ i j u ŋ̍
っんまりびー	ʔ m̩ m a ɾ i b iː
てぃー	t iː
とぅくぬしま	t u k u n u ɕ i m a
どぅー	d uː
なさき	n a s a k i
ななちぶし	n a n a t͡ɕ i b u ɕ i
ぬ	n u
はちぐゎち	h a t͡ɕ i ɡʷ a t͡ɕ i
ふぃなゆん	ɸ i n a j u ŋ
まぎさん	m a ɡ i s a ŋ
まちゅん	m a t͡ɕ u ŋ̍
まーすん	m aː s u ŋ̍
めんそーれー	m e̞ n s o̞ː ɾ e̞ː
や	j a
やまとぅ	j a m a t u
やー	j aː
ゆ	j u
るーちゅー	ɾ uː t͡ɕ uː
わったー	w a t t aː
わん	w a ŋ̍
んかい	ŋ k a i
ゴーブレーキ	ɡ o̞ː b u ɾ e̞ː k i
フランシ	ɸ u ɾ a n ɕ i
一ち	t iː t͡ɕ i
一ち	ɸ i t u t͡ɕ i
三ち	m iː t͡ɕ i
与那国	j u n a ɡ u n i
与那国口	j u n a ɡ u n i ɡ u t͡ɕ i
世界	ɕ i k eː
京都	t͡ɕ oː t u
人	t̚ t͡ɕ u
今日	k i j u
今日	t͡ɕ uː
何	n uː
作ゆん	t͡ɕ u̻ k u j u ŋ
傷	k i d͡ʑ i
兄弟	t͡ɕ oː d eː
八月	h a t͡ɕ i ɡʷ a t͡ɕ i
八重山	j e̞ː m a
八重山口	ʲeː m a ɡ u t͡ɕ i
写真	s a ɕ i ŋ̍
出ゆん	ʔ n d͡ʑ i j u ŋ̍
勝ゆん	m a s a j u ŋ
口	k u t͡ɕ i
叩ちゅん	t a t a t͡ɕ u ŋ
各島々	k a k u ɕ i m a d͡ʑ i m a
名	n aː
名字	m j oː d͡ʑ i
名字	n oː d͡ʑ i
吾ん	w a ŋ̍
吾んねー	w a n̩ n eː
唇	ɕ i b a
唐	t oː
四ち	j uː t͡ɕ i
夕	j uː
多さん	ʔ u ɸ u s a ŋ̍
大	d eː
大	ʔ u ɸ u
大人	ʔ u t u n a
大人	ʔ u ɸ u t t͡ɕ u
大和	j a m a t u
大和ん人	y a m a t u n̩ t͡ɕ u
大和口	j a m a t u ɡ u t͡ɕ i
大大和	ʔ u ɸ u j a m a t u
大大和ん人	u ɸ u y a m a t u n̩ t͡ɕ u
学校	ɡ a k k oː
官話	kʷ a m̩ ɸ aː
宮古	n aː k u
宮古口	n aː k u ɡ u t͡ɕ i
寄しーん	j u ɕ iː ŋ
山口	j a m a ɡ u t͡ɕ i
島	ɕ i m a
巻ちゅん	m a t͡ɕ u ŋ̍
広東	kʷ a n̩ t u ŋ̍
待ちゅん	m a t͡ɕ u ŋ̍
愛さん	k a n a s a ŋ̍
我ん	w a ŋ̍
我んねー	w a n̩ n eː
戦ゆん	t a t a k a j u n
手甲	t i k k oː
押しゅん	ʔ u ɕ u ŋ̍
押すん	ʔ u s u ŋ̍
指	ʔ iː b i
捨てぃゆん	ɕ i̥ t i j u ŋ
新ーさん	m iː s a ŋ
日記	n i t̚ t͡ɕ i
明かい	ʔ a k a i
書ちゅん	k a t͡ɕ u ŋ̍
書物	s u m u t͡ɕ i
書物	ɕ i m u t͡ɕ i
有ん	a ŋ
東	ʔ a ɡ a ɾ i
東京	t oː t͡ɕ oː
枝	j i d a
枝	j u d a
歌	ʔ u t a
歯	h aː
比嘉	ɸ i d͡ʑ a
水牛	m i d͡ʑ i ʔ u ɕ i
沖縄	ʔ u t͡ɕ i n aː
沖縄ん人	ʔ u t͡ɕ i n aː n̩ t͡ɕ u
沖縄口	ʔ u t͡ɕ i n aː ɡ u t͡ɕ i
泡	ʔ aː
泳じゅん	ʔ w iː d͡ʑ u ŋ̍
清らさん	t͡ɕ u ɾ a s a ŋ̍
煉瓦	ɾ i ŋ̍ ɡʷ a
熱さん	ʔ a t͡ɕ i s a ŋ̍
牛	ʔ u ɕ i
牛ぬ乳	ʔ u ɕ i n u t͡ɕ iː
物	m u n u
物	m u ŋ
王	ʷoː
琉球	d uː t͡ɕ uː
琉球	ɾ uː t͡ɕ uː
生日	ʔ m̩ m a ɾ i b iː
生日	ʔ u m a ɾ i b iː
田魚	t aː ʔ i j u
石	ʔ i ɕ i
福建	ɸ u t͡ɕ a ŋ̍
腿	m u m u
自由	d͡ʑ i j uː
舌	ɕ i t͡ɕ a
船	ɸ u n i
花	h a n a
苺	ʔ i t͡ɕ u b iː
苺	ˀi t͡ɕ u b i
菓子	kʷ a ɕ i
菓子	kʷ aː ɕ i
葉	ɸ aː
蒔ちゅん	m a t͡ɕ u ŋ̍
蘆薈	d u ɡʷ a i
蘆薈	ɾ u ɡʷ a i
蚤	n u m i
蜜	m i t͡ɕ i
蟻	ʔ a i
西瓜	ɕ iː kʷ a
言ゅん	ʔ j u ŋ̍
話	h a n a ɕ i
話すん	h a n a s u ŋ
赤	ʔ a k a
起きゆん	ʔ u k i j u ŋ
足	ɸ i s a
足	ʔ a ɕ i
車	k u ɾ u m a
那覇	n aː ɸ a
銭	d͡ʑ i ŋ̍
音	ʔ u t u
食ぬん	k a n u ŋ̍
食むん	k a m u ŋ̍
鯨	ɡ u d͡ʑ i ɾ a
鹿児島	k a ɡ u ɕ i m a
黒	k u ɾ u
黒さん	k u ɾ u s a ŋ̍
黒猫	k u ɾ u m a j aː
鼻	h a n a
