a'll	aː l
a'll	ə l
a'm	aː m
a'ready	ɑ r ɛ d ɪ
a'ready	ə r ɛ d ɪ
a'v	aː v
aahing	a h ɪ ŋ
aan	aː n
aan	ɑː n
abaise	ə b e z
abb	a b
abb	ɔ b
abbreviate	ə b r iː v ɪ ə t
abe	ə b iː
abeelity	ə b i l ɪ t ɪ
abeich	ə b i ç
aber	aː b ə r
able	e b l
able	j ɪ b l
ablo	ə b l oː
aboot	ə b u t
abreed	ə b r i d
abriven	a b r ɪ v ɪ n
absteen	ə b s t i n
abstersion	ə b s t ɛ r ʃ ə n
abstract	ə b s t r a k t
abuilyiement	ə b u l ɪ m ə n t
abuilyiement	ə b ø l j ɪ m ə n t
abuilyiement	ə b ɔ l ɪ m ə n t
abuilyiement	ə b ɔ ɪ l ɪ m ɪ n t
abuilyiement	ə b ʌ l j ə m ə n t
abuilyiement	ə b ʌ l ɪ m ə n t
abuin	ə b e n
abuin	ə b i n
abuin	ə b y n
abuin	ə b ø n
abuin	ə b ɪ n
abuise	ə b eː z
abuise	ə b iː z
abuise	ə b øː z
abuiss	ə b i s
abuiss	ə b j ɪ s
abuiss	ə b øː s
abund	ə b ʌ n d
aby	ə b a ɪ
abyne	ə b ə i n
academy	ə k a d ə m ɪ
acause	ə k ɑː z
accent	a k s ɛ n t
ackaduir	a k ə d øː r
ackwart	a k w ə r t
act	a k t
acteeve	a k t iː v
acteevity	a k t iː v ɪ t ɪ
action	a k ʃ ə n
actor	a k t ə r
actress	a k t r ə s
actual	a k t w ə l
adae	ə d eː
adae	ə d iː
adae	ə d øː
adapt	ə d a p t
add	a d
addeetion	a d i ʃ ə n
adderton	æ d ə r t ə n
addict	ə d i k t
address	a d r ɛ s
adduce	a d j u s
aderom	ɑ d ə r ə m
adheebit	ə d h i b ɪ t
admeenicle	a d m i n ɪ k l̩
admeenister	a d m i n ɪ s t ə r
admeenistration	a d m i n ɪ s t r e ʃ ə n
admeenistration	a d m i n ɪ s t r ɑː ʃ ə n
admeesible	a d m i s ɪ b l̩
admeet	a d m i t
admirality	a d m ə r a l ə t ɪ
admire	ə d m a ɪ r
admoneetion	a d m o n i ʃ ə n
admonish	a d m o n ɪ ʃ
adreich	ə d r i ç
adverteese	a d v ɛ r t iː z
advise	a d v a ɪ z
advocate	a d v o k e t
ae	eː
ae	j eː
ae	j æː
ae	j ɛː
aefauld	eː f ɑ l
aefauld	eː f ɑ l d
aefauld	j eː f l
aefauld	j eː f l d
aefauld	j eː f ɒ l
aefauld	j æː f ɒ l d
aff	a f
aff	ɑ f
affect	ə f ɛ k t
afflict	ə f l ɪ k t
affroad	a f r o d
affront	ə f r ɔ n t
affuird	ə f eː r d
affuird	ə f uː r d
affuird	ə f øː r d
afore	ə f oː r
africae	a f r ɪ k e
africae	a f r ɪ k i
africae	a f r ɪ k ə
aft	a f t
aft	ɑ f t
aften	a f ə n
after	a f ə n
again	ə ɡ e n
again	ə ɡ ɛ n
agalis	a ɡ ə l ə s
agatha	a ɡ ə θ ə
age	e d ʒ
agg	a k
agg	a ɡ
aggle	a ɡ l
aggle	ʌ ɡ l
agile	ə d ʒ ə i l
agitate	ə d ʒ ɪ t e t
agley	ə ɡ l iː
agley	ə ɡ l ə i
agnes	a ɡ n ə s
agricultur	a ɡ r ɪ k ʌ l t ə r
ague	e ɡ j u
ague	ə ɡ j u
ahauchill	ə h ɑ x ə l
ahint	ə h ɛ n t
ahint	ə h ɪ n d
ahint	ə h ɪ n t
aiberdeen	a b ə r d i n
aiberdeen	e b ə r d i n
aiberdeen	ɛ b ə r d i n
aiberdeenshire	e b ə r d i n ʃ ə i r
aiberdeenshire	e b ə r d i n ʃ ə r
aiberdeenshire	ɛ b ə r d i n ʃ ə i r
aiberdeenshire	ɛ b ə r d i n ʃ ə r
aiberdour	ɛ b ə r d ʌ uː r
aiberfyle	e b ə r f ə i l
aiberleddy	e b ə r l ɛ d e
aiberleddy	ɛ b ə r l ɛ d e
aiberlour	e b e r l uː r
aibey	e b ɪ
aibey	eː b e
aiccess	e k s ɪ z
aiccess	ɛ k s ɪ z
aiccession	e k s ɛ ʃ ə n
aiccession	ɛ k s ɛ ʃ ə n
aich	e i ç
aich	e x
aich	ɛ x
aicher	e x ə r
aicht	e x t
aicht	ɛ ç t
aiger	e ɪ ɡ ʌ r
aik	e k
aiker	ɛ k ə r
aipple	e p l
airchibauld	eː r t ʃ ɪ b ɑː l d
airt	e ɪ r t
airt	ɛ r t
aitch	e t ʃ
aller	ɑː l ʌ ɹ
aller	ɛ l ə r
ander	a n d ə r
andra	ɑ n d r ə
andra	ɔ n d r ə
ane	e n
ane	i n
ane	j ɪ n
ane	w a n
annual	ɑː n w ʌ u l l
antrin	ɑ n t r ə n
antrin	ɑ n t r ɪ n
apen	ɑ p ə n
apern	e ɪ p ɜː ɹ n
arl	ɑː ɹ ʌ l l
aswaip	ɑː s w e e p
atap	ɑː t ɑ p
athraw	ɑ θ ɹ ɑː w
athraw	ɑ θ ɹ ɒː w
aucht	ɑ x t
aucht	ɔ x t
auld	a l d
auld	ɔ l d
auncient	a n ʃ ə n t
aw	aː
aw	ɑː
aw	ɔː
awa	ə w ɑː
awhummle	ɑ ʍ ʌ m̩ l̩
aye	a ɪ
bairn	b e r n
bairn	b ɛ r n
bairnheid	b e r n h i d
bairnheid	b ɛ r n h i d
ballion	b ɑː l j ə n
ballion	b ɒː l j ə n
barefit	b ɑ r f ɪ t
barefit	b ɛ r f ɪ t
barefit	b ɛ r f ɪ̜ t
barkit	b ɑ r k ɪ t
battock	b ɑː t ɒ k
bauld	b ɑ l
bauld	b ɑ l d
bawbee	b ɑː b iː
begrutten	b ə ɡ r ʌ t n̩
bent	b ɛ n t
benty	b ɛ n t i
bere	b ɪ ə
bery	b e r i
bespeak	b ə s p ɛ k
bespeak	b ə s p ɪ k
beuch	b j u x
big	b ɪ ɡ
bing	b ɪ ŋ
bink	b ɪ ŋ k
birk	b ɛ r k
birk	b ɪ r k
birk	b ʌ r k
birken	b ɛ r k ə n
birken	b ɪ r k ə n
birken	b ʌ r k ə n
birkenshaw	b ɛ r k ə n ʃ aː
birkenshaw	b ɛ r k ə n ʃ ɑː
birkenshaw	b ɪ r k ə n ʃ ɒː
birkenshaw	b ʌ r k ə n ʃ ɔː
birkie	b ɪ̈ r k ɪ
birkie	b ʌ r k ɪ
birstle	b ɪ r s ə l
birstle	b ʌ r s ə l
blackmail	b l ɑ kʰ ɱ ɛ l
blackmail	b l ɑ kʰ ɱ ɪ l
blackmail	b l ɒː kʰ ɱ ɑː l
blackneb	b l ɒː k n ɛ b
blaff	b l ɑ f
blaff	b l ɒː f
blain	b l e ɪ n
blain	b l i n
blain	b l ɛ n
blainy	b l e ɪ n i
blainy	b l i n i
blainy	b l ɛ n i
blash	b l ɑ ʃ
blash	b l ɑː ʃ
blaver	b l e ɪ v ə r
blaver	b l ɑː v ə r
bleck	b l ɛ k
blithe	b l a ɪ ð
blouster	b l ɔ u s t ʌ r
blouster	b l ʌ u s t ə r
bluid	b l ø d
bluid	b l ɪ d
boak	b o k
boak	b ɔ k
bodach	b ɔ d ə x
boo	b uː
bothan	b o θ ə n
boun	b ʌ u n
bourach	b uː r ə x
bowie	b ɔ u iː
bowsome	b ɔ u s ʌ m
brae	b r e ɪ
brainyell	b r e n j ə l
brammel	b r a m ə l
braw	b r ɑː
breard	b r e ɪ r d
breard	b r e ɪː r
breard	b r e ɪː r d
breard	b r iː ð ə r
bree	b r i
breenge	b r e n d ʒ
breenge	b r i n d ʒ
bring	b r ɪ ŋ
broach	b r ɒ t ʃ
broach	b r ə ʊ t ʃ
broch	b r ɔ x
brocht	b r o x t
brongie	b r ɔ ŋ ɡ i
bruckle	b r uː k u l
bruckle	b r ɪ k l
bruckle	b r ʌ k l
bruiky	b r uː k iː
bruiky	b r ɪ k iː
bucht	b u x t
bucht	b ʌ x t
buckie	b ʌ k ɪ
bud	b ʌ d
buil	b ɪ l
buird	b eː r d
buird	b iː r d
buird	b j uː r d
buird	b øː r d
buirdly	b uː r d l ɪ
buirdly	b øː r d l ɪ
bul	b ʌ l
bullit	b ʌ l ɪ t
bury	b ʌ r i
byke	b a ɪ k
byke	b ə i k
byordinar	b ɑ ɪ ɔ r d n ə r
ca	k aː
ca	k ɑː
caa'd	k aː d
caff	k a f
caff	k ɑː f
caif	k e ɪ f
caif	k eː f
caller	k ɑ l ə r
cammel	k ɔː m ɛ l
canker	k ɔː ŋ ɡ k ʌ r
canny	k a n ɪ
canny	k ɑː n ɪ
cark	k ɑ r k
carline	k ɑ r l ɪ n
carvy	k ɑ r v i
castie	k ɔː s t i
cauf	k ɑː f
cauf	k ɑː v
cauld	k a l d
cauld	k ɔ l d
