accae	a k e
ailes	a lʲ e s
asbeirinn	a s bʲ e rʲ i n͈ʲ
asberainn	a s bʲ e r ɨ n͈ʲ
asbered	a s bʲ e rʲ e ð
baid	b a ɨ ðʲ
beirinn	bʲ e rʲ i n͈ʲ
beithe	bʲ e θʲ e
benas	bʲ e n a s
béra	bʲ eː r a
berainn	bʲ e r ɨ n͈ʲ
beram	bʲ e r a ṽ
boc	b o k
brister	bʲ rʲ i sʲ tʲ e r
cinges	kʲ i ŋʲ ɡʲ e s
combad	k o m b a ð
coscair	k o s k ɨ rʲ
coscar	k o s k a r
damait	d a ṽ ɨ dʲ
dénai	dʲ eː n ɨ
dénaim	dʲ eː n ɨ mʲ
derdriu	d e rʲ ð rʲ ĭ ŭ
didam	dʲ i ð a ṽ
dignem	dʲ i ɣʲ nʲ e ṽ
dignet	dʲ i ɣʲ nʲ e d
digni	dʲ i ɣʲ nʲ i
doadbat	d o h a ð v a d
doárbas	d o h aː r v a s
dobertis	d o bʲ e r͈ʲ dʲ i sʲ
doindnaig	d o h i n͈ d n͈ ɨ ɣʲ
douic	d o h u ɡʲ
eblas	e v l a s
epir	e bʲ i rʲ
eplet	e bʲ lʲ e d
erelc	e rʲ e l k
ethniu	e θʲ nʲ u
fetar	fʲ e d a r
finnaid	fʲ i n͈ ɨ ðʲ
fiur	ɸʲ ɪ ʊ ɾ
gníu	ɡʲ nʲ iː u̯
gobr	ɡ ɔ b r̩
goídelc	ɡ oː i̯ ðʲ e l ɡ
guidimm	ɡ u ðʲ i mʲ
immerádin	i mʲ e r aː d ɨ n͈ʲ
indat	i n͈ d a d
insamlar	i n s a ṽ l a r
irisse	i rʲ i sʲ e
labrad	l͈ a v r a ð
labraithir	l͈ a v r ɨ θʲ i rʲ
léicthe	l͈ʲ eː ɡʲ θʲ e
maldacht	m a l͈ d a x t
maldachta	m a l͈ d a x t a
matis	m a dʲ i sʲ
mitter	mʲ i dʲ e r
moysi	m oː i̯ s i
muimme	mʷ ʊ mʲ mʲ ɛ
ndama	n͈ d a ṽ a
nosberinn	n͈ o s bʲ e r ɨ n͈ʲ
oircthe	o rʲ ɡʲ θʲ e
popuil	p o b ɨ lʲ
popul	p o b u l
rigas	r͈ʲ i ɣ a s
robam	r͈ o v a ṽ
rochluinemmar	r o x l u nʲ e m a r
saillte	s a l͈ʲ tʲ e
scaraid	s k a r ɨ ðʲ
sinis	sʲ i nʲ i sʲ
sluindid	s l͈ u n͈ʲ dʲ i ðʲ
templaib	tʲ e m p l ɨ vʲ
tempuil	tʲ e m p ɨ lʲ
tempul	tʲ e m p u l
tergam	tʲ e r ɡ a ṽ
thair	θ a rʲ
tharta	θ a r͈ t a
tharta	θ a r͈ d a
théged	θʲ eː ɣʲ e ð
thog	θ o ɣ
tindnacol	tʲ i n͈ d n͈ a k o l
tindnacul	tʲ i n͈ d n͈ a k u l
