ငဝ်းလၢႆး	ŋ a w ˥ l aː j ˥
ငိူင်ႉဝႄႈ	ŋ ɤ ŋ ˦˨ˀ w ɛː ˧˧˨
ငူး	ŋ uː ˥
တင်ႇငူင်း	t a ŋ ˩ ŋ o ŋ ˥
တတ်း	t a t̚ ˥
တပ်ႉ	t a p̚ ˦˨
တပ်ႉသိုၵ်း	t a p̚ ˦˨ˀ sʰ ɯ k̚ ˥
တမ်းပူႇ	t a m ˥ p uː ˩
တမ်ႇငႃႈ	t a m ˩ ŋ aː ˧˧˨
တမ်ႇတိူင်း	t a m ˩ t ɤ ŋ ˥
တမၢၼ်ႇ	t a ˨˦ m aː n ˩
တလႅင်း	t a ˨˦ l ɛ ŋ ˥
တိူၵ်ႇလိူၼ်	t ɤ k̚ ˩ l ɤ n ˨˦
တိူၵ်ႈ	t ɤ k̚ ˧˧˨
တိၼ်	t i n ˨˦
တီႇသႅမ်ႇပႃႇ	t iː ˩ sʰ ɛ m ˩ p aː ˩
တီႈ	t iː ˧˧˨
တီႈၶႃႈ	t iː ˧˧˨ kʰ aː ˧˧˨
တူ	t uː ˨˦
တူင်ႉ	t o ŋ ˦˨
တူၵ်းလူင်း	t o k̚ ˥ l o ŋ ˥
တူၼ်ႈမႆႉ	t o n ˧˧˨ m a j ˦˨
တေႃႉသူင်ႇ	t ɔː ˦˨ˀ sʰ o ŋ ˩
တြႃး	t r aː ˥
တွင်	t ɔ ŋ ˨˦
တွင်းလၢၼ်း	t ɔ ŋ ˥ l aː n ˥
တွင်ႇသူႇ	t ɔ ŋ ˩ sʰ uː ˩
တွင်ႉမႆႈသႆႈလိူတ်ႇ	t ɔ ŋ ˦˨ˀ m a j ˧˧˨ sʰ a j ˧˧˨ l ɤ t̚ ˩
တၢင်း	t aː ŋ ˥
တၢင်းပဵၼ်	t aː ŋ ˥ p e n ˨˦
တၢင်းႁူႉ	t aː ŋ ˥ h uː ˦˨
တၢင်းႁၵ်ႉ	t aː ŋ ˥ h a k̚ ˦˨
တၢင်ႇထီး	t aː ŋ ˩ tʰ iː ˥
တၢၼ်း	t aː n ˥
တၢႆ	t aː j ˨˦
တၼင်းလႃႇ	t a ˨˦ n a ŋ ˥ l aː ˩
တၼင်းၼူၺ်ႇ	t a ˨˦ n a ŋ ˥ n o j ˩
တၼူႉ	t a ˨˦ n uː ˦˨
တႃ	t aː ˨˦
တႅမ်ႈ	t ɛ m ˧˧˨
တႆး	t a j ˥
ထမ်ႈ	tʰ a m ˧˧˨
ထီး	tʰ iː ˥
ထုင်း	tʰ u ŋ ˥
ထူ	tʰ uː ˨˦
ထူး	tʰ uː ˥
ထူၺ်ႈၸႂ်	tʰ o j ˧˧˨ t͡ɕ a ɰ ˨˦
ထေႃးပၢတ်ႈ	tʰ ɔː ˥ p aː t̚ ˧˧˨
ထွင်ႇ	tʰ ɔ ŋ ˩
ထွင်ႉ	tʰ ɔ ŋ ˦˨
ထၼူႉ	tʰ a ˨˦ n uː ˦˨
ထႃႇပၼႃႇ	tʰ aː ˩ p a ˨˦ n aː ˩
ပတ်ႈတမျႃး	p a t̚ ˧˧˨ t a ˨˦ m j aː ˥
ပတ်ႈတႃး	p a t̚ ˧˧˨ t aː ˥
ပရုၵ်ႈ	p a ˨˦ r u k̚ ˧˧˨
ပလွင်ႈ	p a ˨˦ l ɔ ŋ ˧˧˨
ပဢူဝ်	p a ˨˦ ʔ oː ˨˦
ပဢူဝ်း	p a ˨˦ ʔ oː ˥
ပိတ်ႈတၵၢတ်ႈ	p i t̚ ˧˧˨ t a ˨˦ k aː t̚ ˧˧˨
ပိုၼ်ႉတီႈ	p ɯ n ˦˨ˀ t iː ˧˧˨
ပိၵ်ႈမၢၼ်ႇ	p i k̚ ˧˧˨ m aː n ˩
ပီ	p iː ˨˦
ပီႉတၵၢတ်ႈ	p iː ˦˨ˀ t a ˨˦ k aː t̚ ˧˧˨
ပုင်ႇ	p u ŋ ˩
ပုင်ႇၵၢၼ်ႇ	p u ŋ ˩ k aː n ˩
ပုၵ်ႈတႁူး	p u k̚ ˧˧˨ t a ˨˦ h uː ˥
ပုၵ်ႉထႃႉၽႃႇသႃႇ	p u k̚ ˦˨ˀ tʰ aː ˦˨ˀ pʰ aː ˩ sʰ aː ˩
ပူ	p uː ˨˦
ပူၺ်း	p o j ˥
ပူၼ်ႉပႅၼ်	p o n ˦˨ˀ p ɛ n ˨˦
ပူႇ	p uː ˩
ပူႉထူဝ်း	p uː ˦˨ˀ tʰ oː ˥
ပေႃႈ	p ɔː ˧˧˨
ပဵတ်း	p e t̚ ˥
ပဵတ်ႈၸယႃႇ	p e t̚ ˧˧˨ t͡ɕ a ˨˦ j aː ˩
ပဵၼ်	p e n ˨˦
ပျၢတ်ႈသၢတ်ႈ	p j aː t̚ ˧˧˨ sʰ aː t̚ ˧˧˨
ပျႃႇတႃႇ	p j aː ˩ t aː ˩
ပွင်ႇၸႂ်	p ɔ ŋ ˩ t͡ɕ a ɰ ˨˦
ပွတ်းႁွင်ႇ	p ɔ t̚ ˥ h ɔ ŋ ˩
ပၢင်တိုၵ်း	p aː ŋ ˨˦ t ɯ k̚ ˥
ပၢၼ်းသေး	p aː n ˥ sʰ eː ˥
ပၢႆးမွၼ်း	p aː j ˥ m ɔ n ˥
ပၢႆးမၢၵ်ႈမီး	p aː j ˥ m aː k̚ ˧˧˨ m iː ˥
ပၼ်ႁႅင်း	p a n ˨˦ h ɛ ŋ ˥
ပႂၢင်း	p w aː ŋ ˥
ပႃ	p aː ˨˦
ပႃးၸပူတ်ႉ	p aː ˥ t͡ɕ a ˨˦ p o t̚ ˦˨
ပႃႇတီႇ	p aː ˩ t iː ˩
ပႅတ်ႇ	p ɛ t̚ ˩
ပႅတ်ႇသိပ်း	p ɛ t̚ ˩ sʰ i p̚ ˥
ပႆ	p a j ˨˦
မလႅင်ႇ	m a ˨˦ l ɛ ŋ ˩
မိုၼ်ႇ	m ɯ n ˩
မိူင်း	m ɤ ŋ ˥
မိူင်းထႆး	m ɤ ŋ ˥ tʰ a j ˥
မိူင်းမၢၼ်ႈ	m ɤ ŋ ˥ m aː n ˧˧˨
မိူင်းယူၼ်း	m ɤ ŋ ˥ j o n ˥
မိူင်းလၢဝ်း	m ɤ ŋ ˥ l aː w ˥
မိူင်းဢမေႇရီႉၵႃႉ	m ɤ ŋ ˥ ʔ a ˨˦ m eː ˩ r iː ˦˨ˀ k aː ˦˨
မိူင်းဢိင်ႇတီႉယႃႉ	m ɤ ŋ ˥ ʔ i ŋ ˩ t iː ˦˨ˀ j aː ˦˨
မိူင်းဢိင်ႇၵလၼ်ႇ	m ɤ ŋ ˥ ʔ i ŋ ˩ k a ˨˦ l a n ˩
မိူင်းၵလႃး	m ɤ ŋ ˥ k a ˨˦ l aː ˥
မိူင်းၵျႃႇပၢၼ်ႇ	m ɤ ŋ ˥ k j aː ˩ p aː n ˩
မိူင်းၵွၵ်ႇ	m ɤ ŋ ˥ k ɔ k̚ ˩
မိူင်းၶႄႇ	m ɤ ŋ ˥ kʰ ɛː ˩
မိူင်းၽီးလၢတ်ႈ	m ɤ ŋ ˥ pʰ iː ˥ l aː t̚ ˧˧˨
မိူင်းႀမတႃႉ	m ɤ ŋ ˥ θ a ˨˦ m a ˨˦ t aː ˦˨
မိူဝ်ႈ	m ɤː ˧˧˨
မိူဝ်ႈၼႃႈထႃႇလိုၼ်း	m ɤː ˧˧˨ n aː ˧˧˨ tʰ aː ˩ l ɯ n ˥
မိူၼ်	m ɤ n ˨˦
မီ	m iː ˨˦
မီး	m iː ˥
မီးပၢၼ်း	m iː ˥ p aː n ˥
မီးယၢပ်ႈ	m iː ˥ j aː p̚ ˧˧˨
မုၵ်ႈ	m u k̚ ˧˧˨
မုၼ်း	m u n ˥
မုၼ်ၸဝ်ႈ	m u n ˨˦ t͡ɕ a w ˧˧˨
