abbé	a b eː
adresa	a d r e s a
aj	a j
albánsko	a l b aː n s k o
andy	a n d i
anonymný	a n o n i m n iː
apokalypsa	a p o k a l i p s a
arno	a r n o
arogantný	a r o ɡ a n t n iː
august	a u ɡ u s t
babami	b a b a m i
babe	b a b e
babou	b a b o u
babu	b a b u
baby	b a b i
babách	b a b aː x
babám	b a b aː m
baldrián	b a l d r i aː n
bankomat	b a n k o m a t
baran	b a r a n
barikáda	b a r i k aː d a
baterka	b a t e r k a
batéria	b a t eː r i̯ a
bedľa	b e d ʎ a
bedňa	b e d ɲ a
besnota	b e s n o t a
beta	b e t a
bezmenný	b e z m e n iː
blbaňa	b l̩ b a ɲ a
bledý	b l e d iː
blen	b l e n
blog	b l o k
bludisko	b l u d i s k o
bobor	b o b o r
boha	b o ɦ a
bohmi	b o ɦ m i
bohoch	b o ɦ o x
bohom	b o ɦ o m
bohov	b o ɦ o f
bohovi	b o ɦ o v i
bohovia	b o ɦ o v i̯ a
bohu	b o ɦ u
bol	b o l
bola	b o l a
boli	b o l i
bolo	b o l o
bradavica	b r a d a v i t͡s a
bradavka	b r a d a v k a
bratislava	b r a c i s l a v a
brezina	b r e z i n a
bridlica	b r i d l i t͡s a
britva	b r i t v a
brne	b r n e
broskýň	b r o s k iː ɲ
brunet	b r u n e t
bruneta	b r u n e t a
brunetka	b r u n e t k a
brzda	b r̩ z d a
brán	b r aː n
bršlen	b r̩ ʃ l e n
bubon	b u b o n
buchol	b u x o l
budapešť	b u d a p e ʃ c
budiť	b u d i c
buka	b u k a
bukoch	b u k o x
bukov	b u k o f
bukový	b u k o v iː
buku	b u k u
bumerang	b u m e r a n k
bunka	b u n k a
burina	b u r i n a
bydgoszcz	b i d ɡ o ʃ t͡ʃ
bylinožravec	b i l i n o ʒ r a v e t͡s
bylinožravý	b i l i n o ʒ r a v iː
byvol	b i v o l
bábok	b aː b o k
bájka	b aː j k a
bĺch	b l̩ː x
bŕd	b r̩ː t
bŕzd	b r̩ː s t
celej	t͡s e l e j
celom	t͡s e l o m
celou	t͡s e l o u
celá	t͡s e l aː
celé	t͡s e l eː
celého	t͡s e l eː ɦ o
celému	t͡s e l eː m u
celí	t͡s e l iː
celú	t͡s e l uː
celých	t͡s e l iː x
celým	t͡s e l iː m
celými	t͡s e l iː m i
cepín	t͡s e p iː n
cestovať	t͡s e s t o v a c
charita	x a r i t a
chcieť	x t͡s i̯ e c
chlieb	x l i̯ e p
chlp	x l̩ p
chobot	x o b o t
chorobe	x o r o b e
chorom	x o r o m
chorvát	x o r v aː t
chorvátka	x o r v aː t k a
chovan	x o v a n
chovanec	x o v a n e t͡s
chrt	x r̩ t
chrupka	x r u p k a
chrápať	x r aː p a c
chudol	x u d o l
chudák	x u d aː k
chudý	x u d iː
chápadlo	x aː p a d l o
cirok	t͡s i r o k
cop	t͡s o p
cti	t͡s c i
cuciak	t͡s u t͡s i̯ a k
cudzoložstvo	t͡s u d͡z o l o ʒ s t v o
cárovná	t͡s aː r o v n aː
dabovať	d a b o v a c
darovať	d a r o v a c
darvinovský	d a r v i n o v s k iː
decák	d e t͡s aː k
dedinčania	ɟ e ɟ i n t͡ʃ a ɲ i̯ a
dediť	d e d i c
deja	d e j a
deje	d e j e
deji	d e j i
dejmi	d e j m i
dejoch	d e j o x
dejom	d e j o m
dejov	d e j o f
deju	d e j u
denne	d e n e
desaťtisíci	ɟ e s a c i s iː t͡s i
detský	d e t s k iː
deväťsil	d e v æ c s i l
deťmi	d e c m i
deťoch	d e c o x
dido	d i d o
dieťa	d i̯ e c a
diktát	d i k t aː t
diviak	d i v i̯ a k
divný	d i v n iː
divoký	d i v o k iː
divozel	d i v o z e l
divák	d i v aː k
divý	d i v iː
dlh	d l̩ x
dna	d n a
dofrasa	d o f r a s a
dohodnutou	d o ɦ o d n u t o u
dohodnutá	d o ɦ o d n u t aː
dohodnuté	d o ɦ o d n u t eː
dohodnutého	d o ɦ o d n u t eː ɦ o
dohodnutému	d o ɦ o d n u t eː m u
dohodnutí	d o ɦ o d n u t iː
dohodnutý	d o ɦ o d n u t iː
dohodnutých	d o ɦ o d n u t iː x
dohodnutým	d o ɦ o d n u t iː m
dohodnutými	d o ɦ o d n u t iː m i
dojka	d o j k a
dojčiť	d o j t͡ʃ i c
domami	d o m a m i
dome	d o m e
domoch	d o m o x
domom	d o m o m
domu	d o m u
domácnosť	d o m aː t͡s n o s c
doparoma	d o p a r o m a
doslova	d o s l o v a
doslovný	d o s l o v n iː
dovidenia	d o v i d e n i̯ a
drahami	d r a ɦ a m i
drahe	d r a ɦ e
drahou	d r a ɦ o u
drahu	d r a ɦ u
drahy	d r a ɦ i
drahí	d r a ɦ iː
drahú	d r a ɦ uː
drahý	d r a ɦ iː
drak	d r a k
dračka	d r a t͡ʃ k a
dreva	d r e v a
drevami	d r e v a m i
dreve	d r e v e
drevom	d r e v o m
drevu	d r e v u
drevá	d r e v aː
drevách	d r e v aː x
drevám	d r e v aː m
drez	d r e s
driapať	d r i̯ a p a c
drieň	d r i̯ e ɲ
drina	d r i n a
dráh	d r aː x
drž	d r̩ ʃ
dubák	d u b aː k
dvojhláska	d v o j ɦ l aː s k a
dynamit	d i n a m i t
dúhe	d uː ɦ e
elektrika	e l e k t r i k a
epizóda	e p i z oː d a
erekcia	e r e k t͡s i̯ a
fajčiť	f a j t͡ʃ i c
fanatik	f a n a t i k
fasáda	f a s aː d a
francúzsko	f r a n t͡s uː s k o
frano	f r a n o
ftáčnik	f t aː t͡ʃ n i k
fúrik	f uː r i k
fúz	f uː s
fúza	f uː z a
fúze	f uː z e
fúzik	f uː z i k
fúzmi	f uː z m i
fúzoch	f uː z o x
fúzom	f uː z o m
fúzov	f uː z o f
fúzu	f uː z u
fúzy	f uː z i
galaxia	ɡ a l a k s i̯ a
galaxii	ɡ a l a k s i i
gazela	ɡ a z e l a
glg	k l̩ k
gril	ɡ r i l
grilovať	ɡ r i l o v a c
gruzínsko	ɡ r u z iː n s k o
grécko	ɡ r eː t͡s k o
gule	ɡ u l e
guli	ɡ u l i
guliach	ɡ u l i̯ a x
guliam	ɡ u l i̯ a m
gulí	ɡ u l iː
guľami	ɡ u ʎ a m i
guľatí	ɡ u ʎ a t iː
guľatý	ɡ u ʎ a t iː
guľou	ɡ u ʎ o u
guľu	ɡ u ʎ u
