aagni	ɑː ɡ n i
â	ɐ
â	ɐ
b	b
b	b
c	t͡s
c	t͡s
cââǥǥan	t͡s ɐː ɣː ɑ n
ceerkav	t͡s eː r k ɑ v
ceeʒʒaž	t͡s eː d͡zː ɑ ʒ
č	t͡ʃ
č	t͡ʃ
čiõlliǩ	t͡ʃ i ɘ lː i c͡ç
čõrmm	t͡ʃ ɘ r mː
čäŋŋõõtti	t͡ʃ a ŋː ɘː tː i
d	d
d	d
đ	ð
đ	ð
e	e
e	ɛ
f	f
f	f
fooma	f oː m ɑ
g	ɡ
g	ɡ
garmaan	ɡ ɑ r m ɑː n
ǧ	ɟ͡ʝ
ǧ	ɟ͡ʝ
ǥ	ɣ
ǥ	ɣ
gåårad	ɡ ɔː r ɑ d
h	x
h	h
h	x
h	h
i	i
i	j
iirâšǩ	iː r ɐ ʃ c͡ç
j	ʝ
j	ʝ
jååǥǥar	ʝ ɔː ɣː ɑ r
k	k
k	k
kluuǥǥai	k l uː ɣː ɑ i
koonǥõs	k oː n ɣ ɘ s
koǯǯ	k o d͡ʒː
kõʒʒ	k ɘ d͡zː
kuõbǯǯ	k u̯ ɘ b d͡ʒː
ǩ	c͡ç
ǩ	c͡ç
ǩiõll	c͡ç i ɘ ɫː
l	l
l	l
luõss	l u ɘ sː
m	m
m	m
manah	m ɑ n ɑ x
n	n
n	n
njauddâm	ɲ ɑ u dː ɐ m
njuhčč	ɲ u h t͡ʃː
ŋ	ŋ
ŋ	ŋ
o	o
o	o
õ	ɘ
õ	ɘ
õõđ	ɘː ð
p	p
p	p
papp	p ɑ pː
päärnaž	p aː r n ɑ ʒ
pååttaǩ	p ɔː tː ɑ c͡ç
r	r
r	r
s	s
s	s
smiâhh	s m i̯ ɐ xː
soorkõs	s oː r k ɘ s
sääldat	s aː l d ɑ t
š	ʃ
š	ʃ
škooulnekka	ʃ k oː u l n e kː ɑ
t	t
t	t
truubšeǩ	t r uː b ʃ e c͡ç
u	u
u	w
u	u
u	w
v	v
v	v
villj	v i ʎː
võõri	v ɘː r i
võrr	v ɘ rː
z	z
z	z
ž	ʒ
ž	ʒ
ä	a
ä	a
äkk	a kː
å	ɔ
å	ɔ
ååggašǩ	ɔː ɡː ɑ ʃ c͡ç
åållaž	ɔː lː ɑ ʒ
ʒ	d͡z
ʒ	d͡z
ǯ	d͡ʒ
ǯ	d͡ʒ
