aaden	aː d ə n
aan	aː n
achttien	a x t t iˑ n
alven	a l v ə n
been	b eː n
bisamrotte	b iː s a m r ɔ t ə
boar	b ɔː ɐ
brainge	b r aː ɪ ŋ ə
bruur	b r uː r
bruur	b ʀ uː ʀ
buk	b ʊ k
bäie	b ɛ ɪ ə
dai	d aː i
die	d iː
dien	d i n
dienen	d i n ə n
din	d ɪ n
dinnen	d ɪ n ə n
do	d oː
du	d u
dusse	d ʊ s ə
dussen	d ʊ s ə n
dut	d ʊ t
dät	d ɛ t
een	eː n
eend	eː n d
eenuntwintich	eː n ʊ n t v ɪ n t ɪ x
eere	eː r ə
elefant	eː l ə f a n t
elefante	eː l ə f a n t ə
er	ə r
et	ə t
fieuw	f iː u
fisk	f ɪ s k
fisk	f ɪ ʃ k
fjauer	f j aː u̯ ə r
fjautien	f j aː u̯ t i n
fledermuze	f l eː d ə r m u s ə
fledermúus	f l eː d ə r m uː s
foaks	f ɔː k s
fout	f oː u t
fründ	f r ʏ n d
fäild	f ɛ ɪ̯ l d
fäildere	f ɛ ɪ̯ l d ə r ə
fäildmuze	f ɛ ɪ̯ l d m u s ə
fäildmúus	f ɛ ɪ̯ l d m uː s
fäite	f ɛ ɪ t ə
füüftien	f yː f t i n
gloowe	ɡ l oː v ə
glove	ɡ l oː v ə
haat	h aː t
hie	h i
hier	h i r
hier	h iː r
hier	h iː ɐ
hiere	h i r ə
hierens	h i r ə n s
him	h ɪ m
hoaze	h ɔː s ə
hoazen	h ɔː s ə n
hounde	h oː u n d ə
hälper	h ɛ l p ə r
hööft	h œː f t
húus	h uː s
húusmuze	h uː s m u s ə
húusmúus	h uː s m uː s
húze	h uː s ə
iek	i k
ieme	i m ə
ierm	iˑ r m
jie	j i
jo	j oː
jou	j oː u̯
jouens	j oː u̯ ə n s
ju	j u
juns	j ʊ n s
kannienken	k a n i n k ə n
kannienkene	k a n i n k ə n ə
katteker	k a t eː k ə r
kenientje	k ə n i n t͡ʃ ə
kenientjene	k ə n i n t͡ʃ ə n ə
knientje	k n i n t͡ʃ ə
knientjene	k n i n t͡ʃ ə n ə
knientjes	k n i n t͡ʃ ə s
koold	k oː l d
krie	k r i
krju	k r j u
kro	k r oː
krusse	k r ʊ s ə
krussen	k r ʊ s ə n
krut	k r ʊ t
krän	k r ɛ n
krät	k r ɛ t
ku	k ʊ
kääle	k ɛː l ə
lippe	l ɪ p p ə
loum	l oː u m
lound	l oː u n d
meente	m eː n t ə
meenten	m eː n t ə n
mie	m i
mien	m i n
mienen	m i n ə n
min	m ɪ n
minnen	m ɪ n ə n
moakje	m ɔː k j ə
moanske	m ɔː n s k ə
moanskene	m ɔː n s k ə n ə
muze	m u s ə
múus	m uː s
n	n̩
naan	n aː n
nail	n aː i l
neen	n eː n
njuugen	n j u ɡ ə n
njuugentien	n j uː ɣ ə n t ɪˑ n
njúgen	n j uː ɡ ə n
noaber	n ɔː b ə r
näp	n ɛ p
oachte	ɔː x t ə
oold	oː l d
rotte	r ɔ t ə
rotten	r ɔ t ə n
seelter	s eː l t ə r
seelterlound	s eː l t ə r l oː u̯ n t
seeltersk	s eː l t ə r s k
sien	s i n
siene	s iː n ə
sienen	s i n ə n
sin	s ɪ n
sinnen	s ɪ n ə n
sogen	s oː ɡ ə n
soogentien	s oː ɣ ə n t iˑ n
sooke	s oː k ə
spits	s p ɪ t s
spitsmuze	s p ɪ t s m u s ə
spitsmúus	s p ɪ t s m uː s
stíekel	s t iː k ə l
stíekele	s t iː k ə l ə
stíekelswien	s t iː k ə l s v i n
stíekelswiene	s t iː k ə l s v i n ə
sunderkloas	s ʊ n d ə r k l ɔː s
swien	s v i n
säks	s ɛ k s
säkstien	s ɛ k s t iˑ n
tjo	t j ɔ
tjoon	t j oː n
trjo	t r j ɔ
träi	t r ɛ ɪ̯
trättien	t r ɛ t i n
tweelich	t v eː l ɪ x
twelig	t v eː l ɪ x
twintich	t v ɪ n t ɪ x
two	t v ɔ
twäin	t v ɛ ɪ̯ n
un	ʊ n
uus	u s
uzen	u s ə n
wai	v aː i
wie	v i
wiet	v i t
wieuw	v i u̯
wieuwljude	v i u̯ l j ʊ d ə
wieuwmoanske	v iˑ u w m ɔː n s k ə
woater	v ɔː t ə r
wroute	v r oː u̯ t ə
wrouten	v r oː u̯ t ə n
wöile	v œː i̯ l ə
wöilmuze	v œː i̯ l m u s ə
wöilmúus	v œː i̯ l m uː s
ze	z ə
älk	ɛ l k
älkunaan	ɛ l k ʊ n aː n
älkuneen	ɛ l k ʊ n eː n
