ܐ	ʔ
ܐ	ʔ ɑ l a f
ܐ	ʔ ɑ l ɛ f
ܐܐܪ	ʔ ɑ ʔ a r
ܐܒܐ	ʔ a b b e
ܐܒܐ	ʔ a b b ɑ
ܐܒܐ	ʔ a b b ɑ n e
ܐܒܐ	ʔ ă v ɑ
ܐܒܐ	ʔ ɛ b b e
ܐܒܐ	ʔ ɛ b b ɑ
ܐܒܐ	ʔ ɛ b b ɑ n e
ܐܒܓܕ	ʔ a b ɡ a d
ܐܒܕܢܐ	ʔ a b d ɑ n ɑ ʔ
ܐܒܕܢܐ	ʔ a v d ɑ n ɑ ʔ
ܐܒܗܐ	ʔ ă v ɑ h e
ܐܒܗܬܐ	ʔ ă v ɑ h ɑ θ ɑ
ܐܒܘܒܐ	ʔ a b b u v e
ܐܒܘܒܐ	ʔ a b b u v ɑ
ܐܒܝܕܘܬܐ	ʔ ă v i ð u θ ɑ ʔ
ܐܒܟܐ	ʔ ɑ v a k k e
ܐܒܟܐ	ʔ ɑ v a k k ɑ
ܐܒܠܐ	ʔ a b b ɑ l ɑ
ܐܒܠܐ	ʔ ɛ b b ɑ l ɑ
ܐܒܠܐ	ʔ ɛ b b ə l ɑ
ܐܒܠܐ	ʔ ɛ v l e
ܐܒܠܐ	ʔ ɛ v l ɑ
ܐܒܠܬܐ	ʔ a b b ɑ l t ɑ
ܐܒܠܬܐ	ʔ a b b ɑ l ɑ θ ɑ
ܐܒܠܬܐ	ʔ ɛ b b a l t ɑ
ܐܒܠܬܐ	ʔ ɛ b b ɑ l t ɑ
ܐܒܠܬܐ	ʔ ɛ b b ɑ l ɑ θ ɑ
ܐܒܠܬܐ	ʔ ɛ b b ə l ɑ θ ɑ
ܐܒܢܐ	ʔ a b b ɑ n e
ܐܒܢܐ	ʔ a v n ɑ
ܐܒܢܐ	ʔ a w n ɑ
ܐܒܢܐ	ʔ ɑ b o n e
ܐܒܢܐ	ʔ ɑ w n o
ܐܒܢܐ	ʔ ɛ b b ɑ n e
ܐܒܢܐ	ʔ ɛ b o n e
ܐܒܢܐ	ʔ ɪ b b ɑ n e
ܐܒܢܘܣܐ	ʔ a v n u s e
ܐܒܢܘܣܐ	ʔ a v n u s ɑ
ܐܒܩܐ	ʔ a v q ɑ ʔ
ܐܒܪܐ	ʔ ă v ɑ r ɑ
ܐܒܪܐ	ʔ ɛ v r e
ܐܒܪܐ	ʔ ɛ v r ɑ
ܐܒܪܬܐ	ʔ ɑ v a r t ɑ ʔ
ܐܒܪܬܐ	ʔ ɑ v r ɑ θ ɑ ʔ
ܐܒܪܬܐ	ʔ ɛ v r ɑ θ ɑ ʔ
ܐܒܪܬܐ	ʔ ɛ v r ə θ ɑ ʔ
ܐܓܘܓܐ	ʔ a ɡ ɡ o ɣ e
