't	t
'y	i
aa	ʔ a a
aa	ʔ a a ʔ
aam	ʔ a a m
aba	ʔ a b a
aba	ʔ a b a ʔ
abadiano	a b a d d͡ʒ a n o
abaka	a b a k a
abako	a b a k o
abakus	a b a k u s
abala	a b a l a
abala	ɐ b ɐ l a
abalos	ʔ a b a l o s
abandonado	ʔ a b a n d o n a d o
abangan	ʔ a b a ŋ a n
abaniko	ʔ a b a n i k o
abay	ʔ a b a j
abayan	ʔ a b a j a n
abejuela	ʔ a b ɛ d͡ʒ u ɛ l a
abelgas	ʔ a b ɛ l ɡ a s
abellera	ʔ a b ɛ l l ɛ ɾ a
abenida	a b ɛ n iː d a
aberya	ɑ b ɛ r j ɑ
abing	ʔ a b i ŋ
abiso	a b i s ɔ
abisuhan	ʔ a b i s u h a n
abitsuwelas	a b i t s u ɛ l a s
abnoy	a b n ɔ j
abo	ʔ a b o
abogasya	ɑ b ɔ ɡ ɑ sʲ ɑ
abogasya	ɑ b ɔ ɡ ɑ ɕ ɑ
aborsyonista	ɑ b ɔ r sʲ ɔ n i s t ɑ
aborsyonista	ɑ b ɔ r ɕ ɔ n i s t ɑ
abot	ʔ a b ɔ t
abrasyete	ɑ b r ɑ sʲ ɛ t ɛ
abrasyete	ɑ b r ɑ ɕ ɛ t ɛ
abrazado	ʔ a b ɾ a s a d o
abrenica	ʔ a b ɾ ɛ n i k a
abril	a b ɾ i l
abueg	ʔ a b w ɛ ɡ
abulencia	ʔ a b u l ɛ n s j a
abusado	ʔ a b u s a d o
abusuhin	ʔ a b u s u h i n
abutin	ʔ a b u t i n
abyad	ʔ a b j a d
abyador	ɑ bʲ ɑ d ɔ r
abyador	ʔ a b j a d o ɾ
abyasyon	ɑ b j ɑ sʲ ɔ n
abyasyon	ɑ b j ɑ ɕ ɔ n
acierto	ʔ a s j ɛ ɾ t o
acorda	ʔ a k o ɾ d a
acuzar	ʔ a k u s a ɾ
adajar	ʔ a d a d͡ʒ a ɾ
adelpa	a d e l p a
adidas	a d i d a s
adik	ʔ a d i k
adiksyon	ɑ d i k̚ sʲ ɔ n
adiksyon	ɑ d i k̚ ɕ ɔ n
adisyunal	ɑ d i sʲ u n ɑ l
adisyunal	ɑ d i ɕ u n ɑ l
adlawan	ʔ a d l a w a n
administrasyon	ɑ d m i n i s t r ɑ sʲ ɔ n
administrasyon	ɑ d m i n i s t r ɑ ɕ ɔ n
adopsyon	ɑ d ɔ p̚ sʲ ɔ n
adopsyon	ɑ d ɔ p̚ ɕ ɔ n
adres	ʔ a d ɾ ɛ s
adrias	ʔ a d ɾ i a s
adyenda	ɑ d ʑ ɛ n d ɑ
adyenda	ɑ dʲ ɛ n d ɑ
afam	a f a m
agamahan	ʔ a ɡ a m a h a n
agapay	ʔ a ɡ a p a i
agaran	ʔ a ɡ a ɾ a n
agbarog	ʔ a ɡ b a ɾ o ɡ
agbarugan	ʔ a ɡ b a ɾ u ɡ a n
