abtej	ʔ ä̃ ʔ m tʰ ɛ h
ajvalil	ʔ ä h β ä l i l
akʼ	ʔ ä kʼ
ama	ʔ ä m ä
ants	ʔ ä n t͡sʰ
atsʼam	ʔ ä t͡sʼ ä m
bak	ɓ ä kʰ
bakʼ	ɓ ä kʼ
balamil	ɓ ä l ä m i l
bat	ɓ ä tʰ
batsʼi	ɓ ä t͡sʼ i
be	ɓ ɛ
bekʼtal	ɓ ɛ kʼ tʰ ä l
bikʼit	ɓ i kʼ i tʰ
bolom	ɓ ɔ l ɔ m
buchʼu	ɓ u t͡ɕʼ u
chij	t͡ɕʰ i h
chikinil	t͡ɕʰ i kʰ i n i l
chitom	t͡ɕʰ i tʰ ɔ m
chiʼilil	t͡ɕʰ i ʔ i l i l
chon	t͡ɕʰ ɔ n
chopol	t͡ɕʰ ɔ pʰ ɔ l
chʼen	t͡ɕʼ ɛ n
chʼichʼelil	t͡ɕʼ i t͡ɕʼ ɛ l i l
chʼojon	t͡ɕʼ ɔ h ɔ n
chʼutil	t͡ɕʼ u tʰ i l
eal	ʔ ɛ ä l
ep	ʔ ɛ pʰ
ibel	ʔ i ʔ ɓ ɛ l
il	ʔ i l
ixim	ʔ i ɕ i m
jolol	h ɔ l ɔ l
k'ucha'al	kʼ u t͡ɕʰ ä ʔ ä l
karina	kʰ ä ɾ i n ä
kavron	kʰ ä v ɾ ɔ n
kaʼ	kʰ ä ʔ
kot	kʰ ɔ tʰ
kotol	kʰ ɔ tʰ ɔ l
krixchano	kʰ ɾ i ɕ t͡ɕʰ ä n ɔ
kuxlejal	kʰ u ɕ l ɛ h ä l
kʼajomal	kʼ ä h ɔ m ä l
kʼokʼ	kʼ ɔ kʼ
kʼop	kʼ ɔ pʰ
kʼopoj	kʼ ɔ pʰ ɔ h
kʼusi	kʼ u s i
lek	l ɛ kʰ
loʼbol	l ɔ ʔ b ɔ l
me'il	m ɛ ʔ i l
mochol	m ɔ t͡ɕʰ ɔ l
mu	m u
mukʼta	m u kʼ tʰ ä
na	n ä
nat	n ä tʰ
ni'il	n i ʔ i l
nichim	n i t͡ɕʰ i m
nopol	n ɔ pʰ ɔ l
okol	ʔ ɔ kʰ ɔ l
paxakʼ	pʰ ä ɕ ä kʼ
pukuj	pʰ u kʰ u h
pus	pʰ u s
satil	s ä tʰ i l
sob	s ɔ ʔ m̥
sut	s u tʰ
t'anal	tʼ ä n ä l
t'ul	tʼ u l
tak'in	tʰ ä kʼ i n
tal	tʰ ä l
te'	tʰ ɛ ʔ
teklumal	tʰ ɛ kʰ l u m ä l
totil	tʰ ɔ tʰ i l
ts'iba	t͡sʼ i ʔ ɓ ä
ts'ibaj	t͡sʼ i ʔ ɓ ä h
tseb	t͡sʰ ɛ ʔ m̥
tsekil	t͡sʰ ɛ kʰ i l
tsoj	t͡sʰ ɔ h
tsots	t͡sʰ ɔ t͡sʰ
tsukut	t͡sʰ u kʰ u tʰ
u	ʔ u
vaj	β ä h
vakax	β ä kʰ ä ɕ
vil	v i l
vo'	v ɔ ʔ
voʼon	v ɔ ʔ ɔ n
voʼot	v ɔ ʔ ɔ tʰ
voʼotik	v ɔ ʔ ɔ tʰ i kʰ
voʼotikotik	v ɔ ʔ ɔ tʰ i kʰ ɔ tʰ i kʰ
vun	v u n
xchiʼuk	ɕ t͡ɕʰ i ʔ u kʰ
xinich	ɕ i n i t͡ɕʰ
xiʼ	ɕ i ʔ
xiʼel	ɕ i ʔ ɛ l
xtok	ɕ tʰ ɔ kʰ
ʼaʼ	ʔ ä ʔ
