AA	e i̯ ⁵ ⁵ e i̯ ⁵ ⁵
APP	e i̯ ⁵ ⁵ pʰ iː ⁵ ⁵ pʰ iː ⁵ ⁵
AV	e i̯ ⁵ ⁵ w iː ⁵ ⁵
B	p iː ⁵ ⁵
BB	p iː ⁵ ⁵ ⁻ ² ¹ p iː ⁵ ⁵
CD	s iː ⁵ ⁵ t iː ⁵ ⁵
CLS	t͡sʰ iː ⁵ ⁵ l ɐ n ³ ⁵ s iː n ³ ³
D	t iː ⁵ ⁵
DNA	t iː ⁵ ⁵ ɛː n ⁵ ⁵ e i̯ ⁵ ⁵
G	k ɪ k̚ ⁵
GG	t͡s iː ⁵ ⁵ t͡s iː ⁵ ⁵
JJ	t͡ʃ œ̽ː ⁵ ⁵ t͡ʃ œ̽ː ⁵ ⁵
K	kʰ e i̯ ⁵ ⁵
K	kʰ ɛː ⁵ ⁵
M	ɛː m ⁵ ⁵
MK	ɛː m ⁵ ⁵ kʰ e i̯ ⁵ ⁵
N	ɛː n ⁵ ⁵
O	o u̯ ⁵ ⁵
OK	o u̯ ⁵ ⁵ kʰ e i̯ ⁵ ⁵
OL	o u̯ ⁵ ⁵ ɛː ⁵ ⁵ l o u̯ ² ¹
OT	o u̯ ⁵ ⁵ tʰ iː ⁵ ⁵
PK	pʰ iː ⁵ ⁵ kʰ e i̯ ⁵ ⁵
Q	kʰ iː u̯ ⁵ ⁵
U	j uː ⁵ ⁵
band	p ɛː n ⁵ ⁵
bio	p äː i̯ ² ² ɔː ⁵ ⁵
case	kʰ e i̯ ⁵ ⁵ s iː ³ ⁵
check	t͡sʰ ɛː k̚ ⁵
chok	t͡sʰ ɔː k̚ ³
chur	t͡ʃʰ œ̽ː ³ ⁵
d	t iː ⁵ ⁵
fit	f iː t̚ ⁵
friend	f ɛː n ⁵ ⁵
hall	h ɔː ⁵ ⁵
hea	h ɛː ³ ³
iPhone	äː i̯ ⁵ ⁵ f ʊ ŋ ⁵ ⁵
kam	kʰ ɐ ŋ ³ ³
likey	l ɐ i̯ ⁵ ⁵ kʰ iː ³ ⁵
m	ɛː m ⁵ ⁵
mon	m ɔː n ⁵ ⁵
mouse	m ɐ u̯ ⁵ ⁵ s iː ³ ⁵
n	ɛː n ⁵ ⁵
po	pʰ o u̯ ⁵ ⁵
quali	kʷʰ ɔː ⁵ ⁵ l iː ² ¹ ⁻ ³ ⁵
sales	s ɛː u̯ ⁵ ⁵ s iː ³ ⁵
short	s ɔː t̚ ⁵
size	s äː i̯ ⁵ ⁵ s iː ³ ⁵
soc	s o u̯ ³ ⁵
soci	s o u̯ ² ² s iː ² ²
un	ɐ n ⁵ ⁵
yygq	j ɐ m ⁵ ⁵ j œ̽ː ŋ ² ¹ kʷ äː i̯ ³ ³ h e i̯ ³ ³
