abadía	a β a ð i a	75
agua	a ɣ w a	58
albeiro	a l β e j ɾ ʊ	0
albelo	a l β ɛ l ʊ	2
allo	a ʎ ʊ	29
amor	a m o ɾ	455
arao	a ɾ a ʊ̯	4
armadura	a ɾ m a ð u ɾ ɐ	45
asistir	a s̺ i s̺ t i ɾ	100
auga	a w ɰ ɐ	2622
bilingüismo	b i l i ŋ ɡ w i s m o̞	6
bilingüismo	b i l i ŋ ɡ w i z m o̞	6
bispo	b i s p ʊ	464
cabalo	k ɑ β a l ʊ	209
cabelo	k a β̞ e l ʊ	97
cama	k ɑ m ɐ	77
carocha	k a ɾ ɔ t͡ʃ ɐ	1
catalexo	k a t a l e ʃ o̝	0
ceo	θ ɛ ʊ	247
cidade	s i ð a ð ɪ	5857
cidade	θ i ð a ð ɪ	5857
cocer	k o s e ɾ	12
cocer	k o θ e ɾ	12
cousa	k o w s̺ ɐ	284
cu	k u	24
cuarzo	k w a ɾ s ʊ	18
cuarzo	k w a ɾ θ ʊ	18
curto	k u ɾ t̪ ʊ	351
dez	d ɛ s	781
dez	d ɛ θ	781
dor	d̪ oː ɾ	233
día	d̪ i ɐ	2846
enfurruñar	e ɱ f u r u ɲ a ɾ	0
entre	e n t ɾ ɪ	11723
escudo	e s k u ð ʊ	549
esquío	ɪ s k i ʊ̯	16
estrela	e s̺ t ɾ e l ɐ	464
familia	f a m i l j ɐ	2417
fe	f ɛ	247
festa	f ɛ s̺ t ɐ	470
figueira	f i ɰ e j ɾ ɐ	14
folga	f ɔ l ɣ ɐ	129
folla	f o ʎ ɐ	210
folla	f o ʝ ɐ	210
follato	f o ʎ a t ʊ	0
frío	f ɾ i ʊ	252
gato	ħ a t ʊ	103
gato	ɡ a t ʊ	103
gol	ħ ɔ l	219
gol	ɡ ɔ l	219
grecia	ɡ ɾ ɛ θ j ɐ	344
guedella	ɡ e ð e ʎ ɐ	4
guinda	ɡ i n d ɐ	3
guindal	ɡ i n d a l	0
guindeira	ɡ i n d e j ɾ ɐ	0
gusto	ħ u s̺ t̪ ʊ	97
gusto	ɡ u s̺ t̪ ʊ	97
herba	ɛ ɾ β ɐ	185
hora	o ɾ ɐ	504
hora	ɔ ɾ ɐ	504
lardo	l a ɾ ð o̝	0
leite	l e j t̪ ɪ	350
lume	l u m ɪ	348
luz	l u θ	1180
lábil	l a b i l	3
lóstrego	l o s t ɾ ɪ̝ ɣ ʊ	14
lúa	l u ɐ	415
mercadotecnia	m e ɾ k a ð o t e k n j a	22
miñoca	m i ɲ ɔ k ɐ	3
negro	n e ɣ ɾ ʊ	560
noite	n o i̯ t̪ ɪ	716
nove	n ɔ̃ β̞ ɪ	497
odiar	ɔ ð̞ j a ɾ	3
odio	ɔ ð̞ j ʊ	49
ombreiro	o m b ɾ e j ɾ ʊ	26
ombro	o m b ɾ ʊ	10
orde	ɔ ɾ ð̞ ɪ	1272
oír	ɔ i ɾ	47
parar	p a ɾ a ɾ	85
pardal	p a ɾ ð a l	6
pardal	p a ɾ ð a ʊ̯	6
paz	p a θ	560
pedra	p ɛ ð ɾ ɐ	822
pelo	p e l ʊ	170
penico	p ɪ n i k ʊ	1
penúltimo	p e n u l t i m o	18
pluma	p l u m ɐ	58
po	p ɔ	212
pornográfico	p o̞ ɾ n o̞ ɣ̞ ɾ ä ɸ i k o̞	6
portaxe	p ɔ ɾ t a ʃ ɪ	1
porto	p o ɾ t̪ ʊ	859
prolongar	p ɾ o l o ŋ ɡ a ɾ	18
quente	k ɛ n t̪ ɪ	211
quizais	k i s a j s	258
quizais	k i θ a j s	258
rúa	r u ɐ	686
sal	s̺ a l	215
sapo	s̺ a p ʊ	29
seco	s e k ʊ	210
seixo	s̺ e j ʃ ʊ	13
sen	s̺ ɪ ŋ	4694
sete	s ɛ t e	1064
sociable	s̺ ɔ θ j a β l e̝	10
sol	s̺ o l	681
sol	s̺ ɔ l	681
soles	s̺ o l ɪ s̺	7
son	s̺ o ŋ	16334
sábado	s̺ a β a ð ʊ	111
súa	s̺ u ɐ	26990
tangalexo	t a ŋ ɡ a l e ʃ o̝	0
telepatía	t e l e p a t i a	4
tempo	t̪ ɛ m p ʊ	4512
uva	u β ɐ	48
virote	b i ɾ o t e	0
viño	b i ɲ ʊ	322
vocábulo	b o k a β̞ u l ʊ	38
voz	b ɔ θ	710
xabardo	ʃ a β a ɾ ð ʊ	0
xabrón	ʃ a β ɾ o ŋ	2
xabón	ʃ a β o ŋ	23
xastre	ʃ a s̺ t̪ ɾ ɪ	7
xeo	ʃ e ʊ	401
xoio	ʃ ɔ j ʊ	1
xusta	ʃ u s̺ t̪ ɐ	28
xusto	ʃ u s̺ t̪ ʊ	305
á	a	20473
á	aː	20473
