α	a
α	ə
α	a
αβάνα	a.ˈva.na
αβάρα	aˈva.ɾa
αβάραρα	aˈva.ɾa.ɾa
αβάραρε	aˈvaɾ.a.ɾe
αβαράριζα	a.vaˈɾa.ɾi.za
αβαράριζε	a.vaˈɾa.ɾi.ze
αβαράρισα	a.vaˈɾa.ɾi.sa
αβαράρισε	a.vaˈɾa.ɾi.se
αβαράρω	a.vaˈɾa.ɾo
αβγατισμένα	avɣatiˈzmena
αβγατισμένε	avɣatiˈzmene
αβγατισμένεσ	avɣatiˈzmenes
αβγατισμένη	avɣatiˈzmeni
αβγατισμένησ	avɣatiˈzmenis
αβγατισμένο	avɣatiˈzmeno
αβγατισμένοι	avɣatiˈzmeni
αβγατισμένοσ	avɣatiˈzmenos
αβγατισμένου	avɣatiˈzmenu
αβγατισμένουσ	avɣatiˈzmenus
αβγατισμένων	avɣatiˈzmenon
αβγό	aˈvɣo
αβγοθήκη	avɣoˈθici
αβγοκόβω	avɣoˈkovo
αβγοκομμένα	avɣokoˈmena
αβγοκομμένε	avɣokoˈmene
αβγοκομμένεσ	avɣokoˈmenes
αβγοκομμένη	avɣokoˈmeni
αβγοκομμένησ	avɣokoˈmenis
αβγοκομμένο	avɣokoˈmeno
αβγοκομμένοι	avɣokoˈmeni
αβγοκομμένοσ	avɣokoˈmenos
αβγοκομμένου	avɣokoˈmenu
αβγοκομμένουσ	avɣokoˈmenus
αβγοκομμένων	avɣokoˈmenon
αβγουλάκι	avɣuˈlaci
αβέβαιοσ	aˈvɛvɛɔs
αβεβαίωσ	aveˈveos
αβλαβέστεροσ	avlaˈvesteros
αβλαβήσ	avlaˈvis
άβλαβοσ	ˈavlavos
άβλαπτοσ	ˈavlaptos
άβλαφτοσ	ˈavlaftos
αβούλιαχτοσ	aˈvu.ʎa.xtos
αγαθοεργία	a.ɣa.θɔ.ɛɾ.ˈʝi.a
αγάμητοσ	aˈɣamitos
αγανόσ	aɣaˈnos
αγάνταρα	aˈɣan.da.ra
αγάνταρε	aˈɣan.da.re
αγαντάριζα	a.ɣanˈda.ri.za
αγαντάριζε	a.ɣanˈda.ri.ze
αγαντάρισα	a.ɣanˈda.ri.sa
αγαντάρισε	a.ɣanˈda.ri.se
αγαντάρω	a.ɣanˈda.ɾo
αγαπάω	aɣaˈpaɔ
αγαπημένα	aɣapiˈmena
αγαπημένε	aɣapiˈmene
αγαπημένεσ	aɣapiˈmenes
αγαπημένη	aɣapiˈmeni
αγαπημένησ	aɣapiˈmenis
αγαπημένο	aɣapiˈmeno
αγαπημένοι	aɣapiˈmeni
αγαπημένοσ	aɣapiˈmenos
αγαπημένου	aɣapiˈmenu
αγαπημένουσ	aɣapiˈmenus
αγαπημένων	aɣapiˈmenon
αγαπιέμαι	a.ɣaˈpçe.me
αγαπώ	aɣaˈpo
αγγελμένοσ	aŋɟelˈmenos
αγγελοκρούομαι	aŋɟeloˈkruome
αγγελοκρούομε	aŋɟeloˈkruome
αγγελοκρούουμε	aŋɟeloˈkruume
αγγελόκρουσα	aŋɟeˈlokrusa
αγγελοκρούστηκα	aŋɟeloˈkrustika
αγγελοκρούω	aŋɟeloˈkruo
άγγελοσ	ˈaŋɟelos
άγγελου	ˈaŋɟelu
αγγέλου	aŋˈɟelu
αγγελούδι	aŋɟeˈluði
αγγελούδια	aŋɟeˈluðʝa
αγγιγμένα	aŋ.ɟiˈɣme.na
αγγιγμένε	aŋ.ɟiˈɣme.ne
αγγιγμένεσ	aŋ.ɟiˈɣme.nes
αγγιγμένη	aŋ.ɟiˈɣme.ni
αγγιγμένησ	aŋ.ɟiˈɣme.nis
αγγιγμένο	aŋ.ɟiˈɣme.no
αγγιγμένοι	aŋ.ɟiˈɣme.ni
αγγιγμένοσ	aŋ.ɟiˈɣme.nos
αγγιγμένου	aŋ.ɟiˈɣme.nu
αγγιγμένουσ	aŋ.ɟiˈɣme.nus
αγγιγμένων	aŋ.ɟiˈɣme.non
αγγίζομαι	aŋˈɟi.zo.me
αγγίζομε	aŋˈɟi.zo.me
αγγίζουμε	aŋˈɟi.zu.me
αγγίζω	aŋˈɟi.zo
άγγιξα	ˈaŋ.ɟi.ksa
άγγισα	ˈaŋ.ɟi.sa
αγγισμένα	aŋ.ɟiˈzme.na
αγγισμένε	aŋ.ɟiˈzme.ne
αγγισμένεσ	aŋ.ɟiˈzme.nes
αγγισμένη	aŋ.ɟiˈzme.ni
αγγισμένησ	aŋ.ɟiˈzme.nis
αγγισμένο	aŋ.ɟiˈzme.no
αγγισμένοι	aŋ.ɟiˈzme.ni
αγγισμένοσ	aŋ.ɟiˈzme.nos
αγγισμένου	aŋ.ɟiˈzme.nu
αγγισμένουσ	aŋ.ɟiˈzme.nus
αγγισμένων	aŋ.ɟiˈzme.non
αγγίστηκα	aŋˈɟi.sti.ka
αγγίχτηκα	aŋˈɟi.xti.ka
αγγλία	aŋˈɡlia
αγγλοφέρνω	aŋɡlɔfernɔ
αγγόνι	aŋˈɡoni
αγγόνια	aŋˈɡoɲa
αγγονιού	aŋɡoˈɲu
αγγονιών	aŋɡoˈɲon
αγγούρι	aŋˈɡuɾi
αγελάδα	a.ʝeˈla.ða
αγέλη	aˈʝɛli
αγένεια	aˈʝe.ni.a
αγένειοσ	aˈʝe.ni.os
αγενήσ	aʝeˈnis
άγια	ˈa.ʝi.a
αγία	a.ˈʝi.a
αγία	a.ˈʝi.a
αγιάγκαθο	aˈʝaŋɡaθo
αγιάζομαι	a.ʝiˈa.zo.me
αγιάζομαι	aˈʝa.zo.me
αγιάζω	a.ʝiˈa.zo
αγιάζω	aˈʝa.zo
αγίασ	a.ˈʝi.as
αγίασ	a.ˈʝi.as
