NG	e̞nd͡ʑi
OK	o̞kʰe̞i
PC방	pʰiɕ͈iba̠ŋ
ᆫ다	nda̠
ᆫ데	nde̞
ᆫ지	nd͡ʑi
ᆯ게	ɭk͈e̞
ᆯ지	ɭt͡ɕ͈i
ᆸ니까	mnik͈a̠
ᆸ니다	mnida̠
ᆸ시다	pɕ͈ida̠
ㄴㄴ	no̞no̞
ㅄ	pjʌ̹ŋɕʰin
ㅇㅇ	iɯŋiɯŋ
ㅈㅅ	t͡ɕwe̞sʰo̞ŋ
ㅋㅋㅋ	kxɯkxɯkxɯ
ㅚ	we̞
ㅢ	ɰi
가	ka̠
가	ka̠ː
가	ka̠
가	ka̠
가	ka̠ː
가	ka̠
가가우스어	ka̠ɡa̠usʰɯʌ̹
가감	ka̠ɡa̠m
가강수량	ka̠ɡa̠ŋsʰuɾja̠ŋ
가게	ˈka̠ːɡe̞
가격	ka̠ɡjʌ̹k̚
가계	ka̠ɡje̞
가곡	ka̠ɡo̞k̚
가공	ka̠ɡo̞ŋ
가공품	ka̠ɡo̞ŋpʰum
가공하다	ka̠ɡo̞ŋɦa̠da̠
가관	ˈka̠ːɡwa̠n
가구	ka̠ɡu
가구	ka̠ɡu
가극	ka̠ɡɯk̚
가까이	ka̠k͈a̠i
가까이하다	ka̠k͈a̠iɦa̠da̠
가깝다	ka̠k͈a̠p̚t͈a̠
가꾸다	ka̠k͈uda̠
가끔	ka̠k͈ɯm
가끔씩	ka̠k͈ɯmɕ͈ik̚
가나	ka̠na̠
가나	ka̠na̠
가난	ka̠na̠n
가난하다	ka̠na̠nɦa̠da̠
가난히	ka̠na̠nʝi
가내공업	ka̠ne̞ɡo̞ŋʌ̹p̚
가는돌고기	ka̠nɯndo̞ɭɡo̞ɡi
가늘다	ka̠nɯɭda̠
가늠	ka̠nɯm
가늠하다	ka̠nɯmɦa̠da̠
가능	ˈka̠ːnɯŋ
가능성	ˈka̠ːnɯŋs͈ʌ̹ŋ
가능하다	ˈka̠ːnɯŋɦa̠da̠
가닛	ka̠nit̚
가다	ka̠da̠
가돌리늄	ka̠do̞ɭʎiɲjum
가두녀성	ka̠duɲjʌ̹sʰʌ̹ŋ
가두다	ka̠duda̠
가두리	ˈka̠ːduɾi
가두배추	ka̠dube̞t͡ɕʰu
가드	ka̠dɯ
가득	ka̠dɯk̚
가득가득	ka̠dɯk̚k͈a̠dɯk̚
가득하다	ka̠dɯkʰa̠da̠
가득히	ka̠dɯkçi
가따까나	ka̠t͈a̠k͈a̠na̠
가라데	ka̠ɾa̠de̞
가라앉다	ka̠ɾa̠a̠nt͈a̠
가라오케	ka̠ɾa̠o̞kʰe̞
가락	ka̠ɾa̠k̚
가락지	ka̠ɾa̠k̚t͡ɕ͈i
가락지빵	ka̠ɾa̠k̚t͡ɕ͈ip͈a̠ŋ
가람	ka̠ɾa̠m
가람	ka̠ɾa̠m
가래	ka̠ɾe̞
가련하다	ˈka̠ːɾjʌ̹nɦa̠da̠
가련히	ka̠ɾjʌ̹nʝi
가렵다	ka̠ɾjʌ̹p̚t͈a̠
가령	ˈka̠ːɾjʌ̹ŋ
가로	ka̠ɾo̞
가로등	ka̠ɾo̞dɯŋ
가로막	ka̠ɾo̞ma̠k̚
가로채다	ka̠ɾo̞t͡ɕʰe̞da̠
가루	ka̠ɾu
가르다	ka̠ɾɯda̠
가르치다	ka̠ɾɯt͡ɕʰida̠
가르침	ka̠ɾɯt͡ɕʰim
가름	ka̠ɾɯm
가리개	ka̠ɾiɡe̞
가리다	ka̠ɾida̠
가리비	ka̠ɾibi
가리키다	ka̠ɾikçida̠
가마	ka̠ma̠
가마	ka̠ma̠
가마	ka̠ma̠
가마	ˈka̠ːma̠
가마솥	ka̠ma̠sʰo̞t̚
가마우지	ka̠ma̠ud͡ʑi
가마치	ka̠ma̠t͡ɕʰi
가만	ka̠ma̠n
가만가만	ka̠ma̠nɡa̠ma̠n
가만두다	ka̠ma̠nduda̠
가만히	ka̠ma̠nʝi
가면	ˈka̠ːmjʌ̹n
가면극	ˈka̠ːmjʌ̹nɡɯk̚
가명	ˈka̠ːmjʌ̹ŋ
가무이야기	ka̠muija̠ɡi
가물가물	ka̠muɭɡa̠muɭ
가물치	ka̠muɭt͡ɕʰi
가뭄	ka̠mum
가미카제	ka̠mikʰa̠d͡ʑe̞
가방	ka̠ba̠ŋ
가벼워지다	ka̠bjʌ̹wʌ̹d͡ʑida̠
가볍다	ka̠bjʌ̹p̚t͈a̠
가보로네	ka̠bo̞ɾo̞ne̞
가봉	ka̠bo̞ŋ
가브리엘	ka̠bɯɾie̞ɭ
가사	ka̠sʰa̠
가산	ka̠sʰa̠n
가새	ka̠sʰe̞
가설	ka̠sʰʌ̹ɭ
가설	ˈka̠ːsʰʌ̹ɭ
가설	ka̠sʰʌ̹ɭ
가설법	ˈka̠ːsʰʌ̹ɭp͈ʌ̹p̚
가소롭다	ˈka̠ːsʰo̞ɾo̞p̚t͈a̠
가소제	ˈka̠ːsʰo̞d͡ʑe̞
가솔린	ka̠sʰo̞ɭʎin
가수	ka̠sʰu
가숭어	ˈka̠ːsʰuŋʌ̹
가스	k͈a̠sʰɯ
가스레인지	ka̠sʰɯɾe̞ind͡ʑi
가스파초	ka̠sʰɯpʰa̠t͡ɕʰo̞
가슴	ka̠sʰɯm
가슴뼈	ka̠sʰɯmp͈jʌ̹
가시	ka̠ɕʰi
가시고기	ka̠ɕʰiɡo̞ɡi
가시나	ka̠ɕʰina̠
가시납지리	ka̠ɕʰina̠p̚t͡ɕ͈iɾi
가시다	ka̠ɕʰida̠
가시다	ka̠ɕʰida̠
가시아버지	ka̠ɕʰia̠bʌ̹d͡ʑi
가시어머니	ka̠ɕʰiʌ̹mʌ̹ni
가시집	ka̠ɕʰid͡ʑip̚
가식	ˈka̠ːɕʰik̚
가식하다	ˈka̠ːɕʰikʰa̠da̠
가야	ka̠ja̠
가야금	ka̠ja̠ɡɯm
